Facility Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Fax,Latitude,Longitude,Description,History,ESA Listing Description,Cooperative Project Description,Seasonal Activities,County,WRIA,Salmon Recovery Region,Lead Entity,PSC Code,Image,Last Updated,GeoLocation
Tumwater Falls Hatchery,114 Deschutes Way SW,,Tumwater,WA,98501     ,3605862801,3606640790,47.0144,-122.9043,No Data.,"Tumwater Falls, located at river mile 0.2 on the Deschutes River, presented an impassable geological barrier to salmon passage until the Washington Department of Fisheries completed construction on a series of fish ladders in 1952-1954. The two holding ponds and an adult trap were constructed at the top of the third fishway in 1961, with an easement for hatchery operations granted in 1962, in conjunction with the development of Tumwater Falls Park. Fall Chinook released on-site enter Budd Inlet (South Puget Sound) through Capitol Lake.<br /><br />There are no incubation facilities at Tumwater Falls Hatchery. Broodstock collected at the Tumwater Falls fishway are spawned, then incubated at Minter Creek Hatchery. The fry are reared at Coulter Creek Rearing Ponds. Final rearing and acclimation takes place at Tumwater Falls.<br /><br />In addition, yearling Chinook were reared and released in Percival Cove, backwater from Percival Creek as it enters Capitol Lake, from 1971. Net pens were used in the 1980s, due to deteriorating water quality, and the program was discontinued in 2007. Adults returning to the mouth of Percival Creek were also trapped and monitored until 2003.<br /><br />This hatchery production supports ocean fisheries in Canada, Alaska, Washington and Oregon, and plays an important role in South Puget Sound commercial (net), recreational marine and recreational, and Tribal commercial and subsistence fisheries.",,,,Thurston,DESCHUTES,Puget Sound,WRIA 13 Thurston Conservation District Lead Entity,3F10513  130028 H02,,05/20/2016 12:00:00 AM,
Minter Creek Hatchery,12710 124th Ave Ct KPN,,Gig Harbor,WA,98329     ,2538575077,2538576103,47.3726,-122.7026,"The Minter Creek Hatchery is located ten miles west of Gig Harbor on Minter  Creek, a tributary to Carr Inlet in the South Puget Sound.  The hatchery was constructed in 1936 under Works Progress Administration Contract as a biological  research station and converted to a production facility for harvest  opportunity in the 1950's.  ","The Minter Creek Hatchery is located ten miles west of Gig Harbor on Minter Creek, a tributary to Carr Inlet in the South Puget Sound. The hatchery was constructed in 1936, under a Works Progress Administration (WPA) contract, as a biological research station. It was converted to a production facility for harvest opportunity in the 1950s. The hatchery was completely renovated between 1993 and 1997.<br /><br />The Minter Creek Hatchery plays an important role in Puget Sound commercial (net) and recreational fisheries in South Puget Sound. In addition, the facility supports various research and recovery programs.<br /><br />The facility rears fall Chinook sub-yearlings, coho yearlings, and chum fry, and serves as a hub for Coulter Creek rearing pond and Hupps Springs rearing facility. It also provides program support for Tumwater Falls Chinook, the White River Spring Chinook Recovery Program (Puyallup Tribe), regional educational co-operatives, various volunteer enhancement co-op chum programs, Grovers Creek Hatchery chum (Suquamish Tribe), and the Upper Deschutes Coho Enhancement (Squaxin Island Tribe).","Minter Creek has been involved in the restoration of the White River Spring Chinook since the 1970's. These Chinook are the last known spring stock  in lower Puget Sound and are on the ESA list. Minter provides adult  trapping, incubation and other support for Hupp Spring hatchery which is located upstream.  Hupp Spring is the main rearing site for the  recovery program.",Volunteer rearing (cooperative projects): 17<br/>Salmon in the Classroom (educational projects): 87,Adult spawning :September through December;Egg transfers to cooperative projects:October through January;Moving fry to holding ponds:December through February;Mass Marking :April and May;Rearing fish :Year round,Pierce,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,3F10513  150048 H,,05/16/2012 12:00:00 AM,
Chelan Hatchery,75 Fish  Hatchery Road,,Chelan,WA,98816     ,5096825514,5096824769,47.8207,-119.9765,The Chelan Hatchery is comprised of two hatchery facilities operated as a complex with one hatchery funded by the state and the other by the Chelan PUD.,"The Chelan Hatchery is comprised of two hatchery facilities operated as a complex with one hatchery funded by the state and the other by the Chelan PUD. The PUD hatchery began operations in 1965 as a mitigation facility for the Rocky   Reach Dam.  This facility is owned and funded by the Chelan PUD and is operated by the Washington Department of Fish and Wildlife (WDFW). <br /><br />The PUD hatchery produces summer steelhead, resident trout, and Kokanee to compensate for lost fish production and recreational and tribal fishing opportunities stemming from the construction of the Rocky Reach and Chelan hydroelectric projects. The state hatchery produces a larger variety of fish and releases them into a larger geographic area.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Chelan,CHELAN,,Chelan County Lead Entity,3F42001  470052 H,,05/16/2012 12:00:00 AM,
Methow Hatchery,44C Wolf Creek Road,,Winthrop,WA,98862     ,5099963144,5099962605,48.4767,-120.2049,The Methow Hatchery began operations in 1992 with the purpose of replacing fish  killed by the construction and operation of the Wells Dam.  The facility is owned and funded by the Douglas County PUD and is operated by the Washington Department of Fish and Wildlife.  ,"The Methow Hatchery began operations in 1992 with the purpose of replacing fish  killed by the construction and operation of the Wells Dam.  The facility is owned and funded by the Douglas County PUD and is operated by the Washington Department of Fish and Wildlife.  This hatchery's goal is to increase the number of naturally spawning spring chinook adults in the Methow, Twisp, and Chewuch rivers. Spring chinook are an ESA listed species.<br /><br />The mitigation agreement associated with the Wells Project requires hatchery  production to be consistent with guidelines and procedures developed under  the Northwest Power Planning Council's Fish and Wildlife Program.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,,Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,3F42001  480002 H03,,05/16/2012 12:00:00 AM,
Reiter Ponds,45300 Reiter Road,,Goldbar,WA,98251     ,3607930475,3607931423,47.839,-121.6241,The Reiter Ponds rearing facility originally was named the Skykomish Rearing   Ponds and was dedicated in April of 1975.," The Reiter Ponds rearing facility originally was named the Skykomish Rearing   Ponds and was dedicated in April of 1975.  This facility consists of an    adult pond used for trapping returning adult steelhead, and two 2.5-acre   ponds used for rearing summer and winter steelhead.  The primary goal for this facility is to enhance the steelhead sport fishing in Puget Sound   and the Snohomish/Skykomish River System.  This facility rears and   releases 500,000 steelhead smolts into this system annually.  ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,Adult spawning :January through February;Adult trapping :June through August ;Release of fish:May ;Rearing of fish :October through May,Snohomish,SNOHOMISH,Puget Sound,Snohomish County Lead Entity,3F10308  070973 H,,05/16/2012 12:00:00 AM,
Bellingham Hatchery,1700 Silver Beach Road,,Bellingham,WA,98225     ,3606762138,3607386291,48.7521,-122.4282,"Bellingham Hatchery is located in Whatcom Falls Park in the city of Bellingham.  It was originally constructed in 1936.  The hatchery rears Goldendale Rainbow and Lake Whatcom Kokanee.  This facility provides rainbow trout for opening day  fishing in the lakes of Skagit, Snohomish, San Juan and Whatcom County. ","Bellingham Hatchery is located in Whatcom Falls Park in the city of Bellingham.  It was originally constructed in 1936.  The hatchery rears Goldendale Rainbow and Lake Whatcom Kokanee.  This facility provides rainbow for opening day  fishing in the lakes of Skagit, Snohomish, San Juan and Whatcom Counties. ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects) - 4 <br/>Salmon in the Classroom (educational projects): None ,Release of Fish:March through June;Rearing Fish:Year round,Whatcom,NOOKSACK,Puget Sound,WRIA 1 - Salmon Recovery Board Lead Entity,3F10107  010626 H,,05/16/2012 12:00:00 AM,
Speelyai Hatchery,,,Ariel,WA,98603     ,3602314210,3602314244,45.9887,-122.4053,No Data.,"Speelyai Hatchery is owned and its operation is fully funded by Pacificorp and Cowlitz PUD as mitigation for the loss of fish habitat on the North Fork Lewis River due to the construction of four hydroelectric dams. The state has operated this hatchery since 1958 to provide fish for recreational and commercial fishing opportunities and to aid in the preservation and restoration of threatened and endangered fish species.The Speelyai Hatchery is located approximately three miles east of Woodland, Washington on the Speelyai Creek and Speelyai Bay<br /><br />The incubation facilities consist of 50 single stacks of FAL vertical incubators, four 18 foot long fry troughs and two shallow troughs. There is approximately 166.000 cubic feet of rearing capacity with a total of 9,200 gallons of water per minute in flow available. The hatchery water is taken from nine gravity intake located on Speelyai Creek. There are two one acre rearing ponds, 24 raceway ponds and four intermediate raceways. One of the large rearing ponds is also used as an adult holding and spawning facility. Also included is a pollution abatement pond to ensure that all hatchery effluent meets local, state and federal standards.This facility supports the early rearing of spring Chinook and Type S coho for Lewis River Hatchery.",,,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270430 H,,05/16/2012 12:00:00 AM,
Humptulips Hatchery,PO Box  129,,Humptulips,WA,98552     ,3609872215,3609872163,47.2332,-123.9892,"Humptulips Hatchery was built in 1978.   Currently, the Humptulips Hatchery rears Humptulips Winter-run Steelhead, VanWinkle Summer-run Steelhead, Fall timed and late timed Humptulips Coho and Humptulips Fall Chinook. ","Humptulips Hatchery, located on the site of an old county facility, began operations in 1976, and achieved full production in 1977. It is located on Stevens Creek, tributary of the Humptulips River, approximately 25 miles north of Hoquiam WA. The hatchery has four standard raceways, 10-20' x 100' raceways, two 0.5 acre rearing ponds and an adult holding pond. Water source is the Humptulips River A second water source from Hatchery Creek, used for egg incubation and, on a limited basis, imprinting water for the fall Chinook program. The facility produces fall Chinook, late- and normal-run coho, summer and winter steelhead, and rainbow trout. Hatchery production from this facility plays an important role in freshwater recreational fisheries, as well as ocean commercial and sport, and Tribal ocean and Grays Harbor troll and gillnet fisheries. Trout plants support popular recreational lake fishing opportunities in Grays Harbor County.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 6<br/>Salmon in the Classroom (educational projects): None,Adult Spawning:September through February;Moving fry to holding ponds:January through April;Release of Fish:March through June;Rearing Fish:Year round,Grays Harbor,LOWER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,3F21802  220004 H,,05/16/2012 12:00:00 AM,
Voights Creek Hatchery,19112 Pioneer Way,,Orting,WA,98360     ,3608936440,3608933446,47.0828,-122.1775,"Located near Orting, Washington, the Voights Creek Hatchery began releasing  salmon in 1926.  Formerly known as the Puyallup Salmon Hatchery, the Voights Creek Hatchery is located on river mile 0.5 of Voights Creek, which is a   tributary of the Carbon River. ","Located 1.5 miles southeast of Orting WA, the original Voights Creek Hatchery was constructed in 1917, and began releasing salmon in 1926. Formerly known as the ""Puyallup Salmon Hatchery"", the state-funded facility is located on river mile 0.5 of Voights Creek, tributary to the Carbon River. Renovations and a new facility were completed in 2015.<br /><br />Fish released from Voights Creek Hatchery play an important role in Puget Sound commercial (net), and freshwater recreational fisheries. The facility also supports the Puyallup Indian Tribe's coho and Clark Creek Hatchery Chinook programs, Puyallup Hatchery's coho program, and various educational co-operative programs in Region 4 and 6, as well as the Surprise Lake and Orting Co-op volunteer enhancement coho programs.",The Fall Chinook returning to the Voights Creek Hatchery are part of the Puget Sound ESU which is listed as threatened under the Endangered Species Act.,"Volunteer rearing (cooperative projects):<blockquote>400,000 Chinook fry to Puyallup Indian Tribe<br/>100,000 Coho Yearlings to Puyallup Indian Tribe</blockquote>Salmon in the Classroom (educational projects): 6",,Pierce,PUYALLUP-WHITE,Puget Sound,Pierce County Lead Entity,3F10511  100414 H,,05/16/2012 12:00:00 AM,
North Toutle Hatchery,11285 Spirit Lake Hwy,,Toutle,WA,98649     ,3602747757,3602742256,46.3746,-122.572,Constructed in 1952 the North Toutle Hatchery and the Beaver Slough Rearing  Ponds is a federally-funded hatchery operated by the state of Washington. ,"Constructed in 1952, the North Toutle Hatchery and the Beaver Slough Rearing  Ponds is a federally-funded hatchery operated by the state of Washington.  This facility is used for adult collection, incubation and rearing of the  fall chinook and early (Type S) coho.  The hatchery was temporarily abandoned after the eruption of Mount St. Helens.  Hatchery operations were  reestablished in 1985.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects):  None,,Cowlitz,COWLITZ,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  260323 H,,05/20/2016 12:00:00 AM,
Lyons Ferry Hatchery,PO Box  278,,Starbuck,WA,99359-0278,5096463454,5096463400,46.5969,-118.2287,"The hatchery produces Snake River Fall Chinook, Tucannon  Spring Chinook, three stocks of summer steelhead, and rainbow trout to  meet mitigation requirements resulting from construction of the four lower  Snake River dams. ","Lyons Ferry Hatchery was constructed in the early 1980's on the banks of the Snake River just below the confluence with the Palouse River.  Originally constructed  as two separate facilities, a southern hatchery operated by Washington  Department of Fisheries and the northern hatchery operated by Washington  Department of Wildlife, the facilities were combined when the two Agencies  merged in 1994.  The hatchery produces Snake River Fall Chinook, Tucannon  Spring Chinook, three stocks of summer steelhead, and rainbow trout to  meet mitigation requirements resulting from construction of the four lower  Snake River dams.  It is funded by the US Fish and Wildlife Service through the Lower Snake River Compensation Plan, and operated by WDFW.  The facility includes an interactive visitor center and self guided tour including salmon  spawning viewing.  Additionally, acclimation sites on the Grande Ronde and Touchet Rivers are utilized for final rearing of steelhead.",Snake River fall and spring Chinook and Tucannon summer-run steelhead are listed under the Snake River ESU.  Touchet summer-run steelhead are included in the  listed population under the mid-Columbia River ESU.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): Up to 8,Adult spawning :August through February;Moving fry to holding ponds:Year round;Release of fish :March through June;Rearing fish :Year round,Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,3F42001  330002 H01,,05/16/2012 12:00:00 AM,
Dungeness Hatchery,1261 Fish Hatchery Road,,Sequim,WA,98382     ,3606834255,3606817823,48.028,-123.1406,"Dungeness Hatchery was originally built on Canyon Creek in 1902 and was relocated in 1945 to its present site. Its main purpose was primarily as a harvest oriented production hatchery. In recent years however, the operation and rearing potential of the facility has been heavily committed to the restoration and integrated recovery of the Dungeness Spring Chinook.","Dungeness Hatchery was originally built on Canyon Creek in 1902 and was relocated in 1945 to its present site. Its main purpose was primarily as a harvest oriented production hatchery. In recent years however, the operation  and rearing potential of the facility has been heavily committed to the restoration and integrated recovery of the Dungeness Spring Chinook.<br /><br />The hatchery rears Dungeness River Spring Chinook, Dungeness River Coho and Chambers Creek origin Winter Steelhead. ",Dungeness Spring Chinook.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): 10,Adult spawning:August through January;Moving fry to holding ponds:April through May;Release of Fish:April through June;Rearing Fish:Year round,Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,3F10806  180018 H,,05/16/2012 12:00:00 AM,
Samish Hatchery,5585 Old Hwy 99 N Road,,Burlington,WA,98233     ,3607243131,3607242010,48.5649,-122.3315,Samish Hatchery was constructed in 1899.   ,Samish Hatchery was constructed in 1899.   The Hatchery Rears Samish fall chinook.  The hatchery staff handle Samish fall chinook that return to the facility.,Samish fall chinook are included in the Puget Sound Chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): 1,Adult spawning :September through October;Moving fry to holding ponds:January ;Release of fish :March through May ;Rearing fish :October through May,Skagit,LOWER SKAGIT-SAMISH,Puget Sound,Skagit Watershed Council,3F10107  030017 H,,05/16/2012 12:00:00 AM,
Lake Whatcom Hatchery,3918 S Bay Dr,,Sedro Woolley,WA,98284     ,3605952411,3605952370,48.6732,-122.2777,The Hatchery rears Lake Whatcom kokanee and Goldendale Rainbow.,Lake Whatcom Hatchery is located on the south end of Lake Whatcom near Bellingham. It was  originally constructed in 1907.  The facility was reconstructed in 1995.  The Hatchery rears Lake Whatcom Kokanee and Goldendale Rainbow. Hatchery staff handles Lake Whatcom Kokanee adults that are returning to  spawn naturally.  ,No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1 <br/>Salmon in the Classroom (educational projects): None,Adult spawning :October through November;Incubation and rearing :October through May;Release of fish:May through June ;Rearing fish:October through May,Whatcom,NOOKSACK,Puget Sound,WRIA 1 - Salmon Recovery Board Lead Entity,3F10107  010619 H,,05/16/2012 12:00:00 AM,
Elwha Hatchery,326 Crown Z Water Road,,Port Angeles,WA,98362     ,3604572630,,48.1152,-123.5493,"Since its inception in 1975 this facility has been dedicated to maintain  and enhance the run of Fall Chinook indigenous to this river system.    These fish were noted for their large size but, due to two dams restricting  spawning and rearing areas to less than 5 miles of river, their numbers   began to dwindle.  ","Since its inception in 1975, this facility has been dedicated to maintain and enhance the run of Fall Chinook indigenous to this river system.    These fish were noted for their large size but, due to two dams restricting  spawning and rearing areas to less than 5 miles of river, their numbers began to dwindle.  With the staff of the Dungeness Hatchery preserving  this stock of Elwha fish many years prior to construction of this  facility and now the Elwha Hatchery continuing that tradition, the run  of Fall Chinook is being maintained at good levels. With the removal  of the two dams imminent in the near future, this facility should  play an integral part in restoring that run back to its original  condition.<br /><br />Although no specific educational project is associated with Elwha, many school groups, from elementary school to college, visit this facility every year.",Elwha Fall Chinook are one of the listed populations.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,,Clallam,ELWHA-DUNGENESS,Puget Sound,North Olympic Peninsula Lead Entity,3F10806  180272 H,,05/16/2012 12:00:00 AM,
Tokul Creek Hatchery,37501 SE Fall City-Snoqualmie Road,,Fall City,WA,98024     ,4252225464,4252227924,47.5536,-121.8397,The state funded Tokul Creek Hatchery is located 2.5 miles east of Fall City and 2.5 miles west of Snoqualmie.  ,"The state funded Tokul Creek Hatchery is located 2.5 miles east of Fall City and 2.5 miles west of Snoqualmie.  The facility borders Tokul Creek, a tributary of the Snoqualmie River.  County hatchery operation was handed over to the state in the early 1930's, and a substantial remodel took place shortly after its transition.  The facility was severely damaged in the flood of 1950 and repaired shortly thereafter.  Other minor upgrades were accomplished in the mid 1960's and 1990's.  The hatchery produces cutthroat, eastern brook, lowland lake rainbow, high lake rainbow, golden trout and winter steelhead.  Spring and summer stocking of these fish provide excellent recreational opportunities for the fishing enthusiast whether they trek into the alpine lakes or fish lowland lakes, streams or beaver ponds.  Fall chinook adults entering Tokul Creek are also trapped and transported upstream to allow access to spawning grounds.",,,Adult Steelhead spawning :December through February;Planting fish:April through September ;Rearing fish :Year round,King,SNOHOMISH,Puget Sound,Snohomish County Lead Entity,3F10308  070440 H,,05/16/2012 12:00:00 AM,
Lakewood Hatchery,7723 Phillips Road SW,,Tacoma,WA,98498     ,2535897016,2535897098,47.1876,-122.5332,The Lakewood and Chambers Hatcheries are located near the outlet of Lake Steilacoom and provide for hatchery incubation and rearing programs. ,"The Lakewood Hatchery is located near the outlet of Lake Steilacoom. The facility was constructed before 1900, as part of the Steilacoom Game Farm, which was acquired by the Washington Department of Game in 1921, and renamed ""South Tacoma Hatchery"" (game farm operations were discontinued in1987). The hatchery facility was renovated in 1930, and received several minor upgrades/renovations in 1955 and 1967. An incubation room was added in 1982, and the asphalt pond in 1995.<br /><br />Lakewood Hatchery provides incubation for the Garrison Springs Hatchery fall Chinook program. It also incubates and rears kokanee and jumbo rainbow trout and brown trout for release into lakes and reservoirs in Pierce, King, Thurston, and Mason counties.",The Chambers Fall Chinook programs are not included in the Puget Sound chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects):  None ,,Pierce,CHAMBERS-CLOVER,Puget Sound,Pierce County Lead Entity,3F10513  120007 H03,,05/16/2012 12:00:00 AM,
Lake Wenatchee Net Pens,2640 Kinnickinnick Drive,,Leavenworth,WA,98826     ,5097632828,5097633070,47.8333,-120.8136,No Data.,No Data.,,,,Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,3F42001  450030 H02,,05/16/2012 12:00:00 AM,
Sherman Creek Hatchery,152 Mellenberger Rd,,Kettle Falls,WA,99141     ,5097386971,5097384971,48.5833,-118.1401,The Sherman Creek Hatchery (SCH) is one of two kokanee facilities provided  to partially mitigate for the loss of anadromous and resident fish due  to the construction of Columbia River mainstem dams.,"Sherman Creek Hatchery (SCH) is one of two facilities built to partially mitigate for the loss of anadromous and resident fish due to the hydroelectric development (Grand Coulee Dam) on the mainstem Columbia River. The facility was constructed in 1991, and became operational in April 1992. In 1999, SCH added twenty net pens at River Mile 699 to facilitate increased rearing capabilities on Lake Roosevelt. The facility is owned and funded by the Bonneville Power Administration (BPA), and operated and maintained by WDFW.",No ESA listed species are reared at this facility.,"Volunteer rearing (cooperative projects):The Lake Roosevelt Development Association / Lake Roosevelt Volunteer Net Pen Project represents over 500,000 yearling rainbow trout released annually into Lake Roosevelt by approximately 45 volunteers from around the lake on their 18th year of successful operations.<br />Salmon in the Classroom (educational projects):<blockquote> The SCH represents WDFW and BPA on the Lake Roosevelt Water Festival Organization Committee.  <br />The Lake Roosevelt 4th grade Water Festival / &quot;Kids in the Creek &quot; is in its 10th year of providing hands on educational opportunities to area students from Northeast Washington and Southeast British Columbia.<br />We also participate with Kettle Falls High School Chemistry and Biology classes in their annual field study at Sherman Creek Hatchery / Lake Roosevelt.</blockquote>",,Ferry,MIDDLE LK ROOSEVELT,Northeast Washington,,3F42001  580428 H01,,05/16/2012 12:00:00 AM,
Ringold Springs Hatchery,1871 Ringold River Road,,Mesa,WA,99343     ,5092694448,5092694408,46.5146,-119.2612,"The Ringold-Meseberg Hatchery is located in Franklin County, on the southeast shore of the Columbia River. The facility's three major programs include: Summer  steelhead, Salmon, and warm water fish production.","The Ringold Springs Rearing Facility (RSRF) is located in Franklin County, on the east shore of the Columbia River, 17 miles north of Pasco WA. This federally-funded facility began operations in 1962, with funding from the Federal Bureau of Commercial Fisheries (predecessor to NOAA Fisheries) under the Columbia River Fishery Development Program. The facility was built to determine if earthen rearing ponds and abundant, 58-60&deg;F spring water can be used to successfully enhance salmon and steelhead runs for fisheries in the mid-Columbia River area. For many years, the RSRF reared spring chinook, coho and steelhead.<br /><br />In 1996, two concrete raceways were constructed, per a cooperative agreement with the US Army Corps of Engineers (USACE) to compare the survival of fall Chinook salmon reared in the earthen ponds vs. concrete raceways. Since then, 3.5-million up-river bright (URB) fall Chinook have been acclimated and released after 30-45 days of final rearing under the USACE John Day/The Dalles Mitigation Program (JDM). Recent construction (March 2014) of incubation and early-rearing facilities allows full-term rearing of locally-adapted Wells stock steelhead. Facility upgrades are required to improve rearing conditions and provide expanded egg incubation capability, which may be implemented under the proposed JDM fall Chinook production expansion at RSRF.<br /><br />This facility's production supports harvest in treaty and non-treaty, and recreational fisheries in the Columbia River Basin. In addition, URB fall Chinook contribute significantly to commercial fisheries in Alaska, Canada and Washington/Oregon troll and net fisheries.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,Moving fry to intermediate ponds:January through February;Release of Fish:March through October;Rearing yearling fry:November through December,Franklin,ESQUATZEL COULEE,,,3F42001  360001 H04,,05/16/2012 12:00:00 AM,
Icy Creek Hatchery,32915 SE 309th Street,,Palmer,WA,98051     ,3608862221,3608860572,47.2799,-121.9786,"The Icy Creek Rearing Pond began releasing delayed release Fall Chinook in 1983.  Formerly a private trout rearing pond, the Icy Creek  pond is located at river mile 48.3 on the Green River in King County,  Washington.","The Icy Creek Rearing Pond began releasing delayed release Fall Chinook in 1983.  Formerly a private trout rearing pond, the Icy Creek  pond is located at river mile 48.3 on the Green River in King County,  Washington.<br /><br />Icy Creek Rearing pond is a 1/3 acre pond that is gravity fed with up to  3000 gallons per minute (gpm) of spring water.  The program is funded  by the Puget Sound Recreational Enhancement Fund and has one fulltime position and a temporary employee.  Delayed release Fall Chinook released from this program are intended to bolster the catch of resident   blackmouth in Puget Sound. <br /><br />The programmed release goal is for 300,000 delayed release Fall Chinook,  20,000 Winter Steelhead, and 20,000 Summer Steelhead.  There are no incubation facilities; currently eggs are incubated at the Soos  Creek Hatchery, and fish are transported to the pond after receiving  an adipose fin clip.  <br /><br />All fish reared at Icy Creek are released into the Green River and  contribute heavily to the Puget Sound sport fishery.   Significant numbers of fish are also harvested by the Muckleshoot Indian Tribe in a lower river fishery.",The Chinook cultured and released from  the Icy Creek Rearing Pond are a  part of the Puget Sound ESU which is listed as threatened under the Endangered Species Act.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,,King,DUWAMISH-GREEN,Puget Sound,WRIA 9 - King County Lead Entity,3F10510  090125 H,,05/16/2012 12:00:00 AM,
Vancouver Hatchery,12208 SE Evergreen Hwy,,Vancouver,WA,98683-6632,3608922581,3602567427,45.5997,-122.5471,"Constructed in 1938 on the site of a private fish hatchery, Vancouver Trout Hatchery was considered state of the art at the time of completion. ","Constructed in 1938 on the site of a private fish hatchery, Vancouver Trout Hatchery was considered state of the art at the time of completion. The hatchery has been releasing trout into Clark County lakes and streams ever  since. Scheduled for closure in the mid 1990's a cooperative agreement was signed by Clark Public Utilities and the Washington Department of Fish and Wildlife in 1996. In 2000 a non-profit partnership was formed that now includes, Clark college, Evergreen Public School District, City of Vancouver,  Clark County as well as Clark public Utilities and WDFW.  The partnership and hatchery grounds were given the name Columbia Springs Environmental Education Center. The mission of Columbia Springs is to engage the community in environmental education within a historically significant urban setting. Columbia Springs offers a wide range of environmental and cultural interpretive opportunities. The site is open to the public for hiking, bird watching and visiting the hatchery. Future facility developments include a new building devoted to science education, an interpretive stream, a community center, a historical center, as well as hatchery upgrades.",No ESA listed species are reared at this facility.,"Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): <blockquote>Approximately 9,000 students attend the on-site classroom annually.<br/>Salmon in the classroom include 50 fish tanks in 44 schools.<br/>Americorps member on site to assist in activities.<br/>Part time teacher on site (paid through Evergreen Public Schools).</blockquote>",Fry to outside ponds:March through May;Release of catchables to area lakes:December through June;Kids Derby:Spring ;Open house event:Mid June,Clark,SALMON-WASHOUGAL,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  280001 H01,,05/16/2012 12:00:00 AM,
Kalama Falls Hatchery,Box 3900 Kalama River Road,,Kalama,WA,98625     ,3606734825,3606734827,46.016,-122.7336,"Constructed in 1958, Kalama Falls Hatchery is a Columbia River Fish Development  (CRFD) program hatchery, authorized under the Mitchell Act and funded through National Marine Fisheries Service (NMFS).","Constructed in 1958, Kalama Falls Hatchery is a Columbia River Fish Development  (CRFD) program hatchery, authorized under the Mitchell Act and funded through National Marine Fisheries Service (NMFS).<br /><br />Central to the facility is a hatchery building with incubation room, office,  break room, shop, storage and walk-in freezer. In addition, there are four residences, a large out building with additional storage and parking  and a newly constructed pump station.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): 1<br/>Salmon in the Classroom (educational projects): 1 ,,Cowlitz,LEWIS,Lower Columbia River,Lower Columbia Fish Recovery Board,3F42001  270002 H,,05/20/2016 12:00:00 AM,
