Year and Quarter,Time Period,Indicator,Rate Type,Rate,Unit,Significant
2018 Q3,3-month period,Pneumonitis due to solids and liquids,Crude,5.2,"Deaths per 100,000",
2018 Q3,3-month period,Septicemia,Crude,11.4,"Deaths per 100,000",
2018 Q3,3-month period,Stroke,Crude,41.9,"Deaths per 100,000",
2018 Q3,3-month period,Suicide,Crude,15.5,"Deaths per 100,000",
2018 Q3,3-month period,Unintentional injuries,Crude,51.9,"Deaths per 100,000",
2018 Q3,3-month period,All Causes,Age-adjusted,675.2,"Deaths per 100,000",
2018 Q3,3-month period,Alzheimer disease,Age-adjusted,27.3,"Deaths per 100,000",
2018 Q3,3-month period,Cancer,Age-adjusted,147.0,"Deaths per 100,000",
2018 Q3,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,10.9,"Deaths per 100,000",
2018 Q3,3-month period,Chronic lower respiratory diseases,Age-adjusted,33.5,"Deaths per 100,000",
2018 Q3,3-month period,Diabetes,Age-adjusted,19.6,"Deaths per 100,000",
2018 Q3,3-month period,Drug overdose,Age-adjusted,21.1,"Deaths per 100,000",
2018 Q3,3-month period,"Falls, ages 65 and over",Age-adjusted,60.7,"Deaths per 100,000",
2018 Q3,3-month period,Firearm-related injury,Age-adjusted,12.2,"Deaths per 100,000",
2018 Q3,3-month period,Heart disease,Age-adjusted,149.4,"Deaths per 100,000",
2018 Q3,3-month period,HIV disease,Age-adjusted,1.4,"Deaths per 100,000",
2018 Q3,3-month period,Homicide,Age-adjusted,6.2,"Deaths per 100,000",
2018 Q3,3-month period,Hypertension,Age-adjusted,8.1,"Deaths per 100,000",
2018 Q3,3-month period,Influenza and pneumonia,Age-adjusted,9.2,"Deaths per 100,000",
2018 Q3,3-month period,Kidney disease,Age-adjusted,11.8,"Deaths per 100,000",
2018 Q3,3-month period,Parkinson disease,Age-adjusted,8.0,"Deaths per 100,000",
2018 Q3,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,4.3,"Deaths per 100,000",
2018 Q3,3-month period,Septicemia,Age-adjusted,9.4,"Deaths per 100,000",
2018 Q3,3-month period,Stroke,Age-adjusted,34.4,"Deaths per 100,000",
2018 Q3,3-month period,Suicide,Age-adjusted,14.9,"Deaths per 100,000",
2018 Q3,3-month period,Unintentional injuries,Age-adjusted,49.0,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,All Causes,Crude,867.8,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Alzheimer disease,Crude,37.3,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Cancer,Crude,183.2,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,13.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Chronic lower respiratory diseases,Crude,48.7,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Diabetes,Crude,26.0,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Drug overdose,Crude,20.6,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,"Falls, ages 65 and over",Crude,62.0,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Firearm-related injury,Crude,12.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Heart disease,Crude,200.3,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,HIV disease,Crude,1.7,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Homicide,Crude,5.8,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Hypertension,Crude,11.0,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Influenza and pneumonia,Crude,18.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Kidney disease,Crude,15.7,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Parkinson disease,Crude,10.3,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,5.9,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Septicemia,Crude,12.4,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Stroke,Crude,45.2,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Suicide,Crude,14.8,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Unintentional injuries,Crude,51.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,All Causes,Age-adjusted,723.6,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Alzheimer disease,Age-adjusted,30.5,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Cancer,Age-adjusted,149.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,11.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,39.7,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Diabetes,Age-adjusted,21.4,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Drug overdose,Age-adjusted,20.7,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,64.4,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Firearm-related injury,Age-adjusted,11.9,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Heart disease,Age-adjusted,163.6,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Homicide,Age-adjusted,5.9,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Hypertension,Age-adjusted,8.9,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,14.9,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Kidney disease,Age-adjusted,12.9,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Parkinson disease,Age-adjusted,8.7,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,4.8,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Septicemia,Age-adjusted,10.2,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Stroke,Age-adjusted,37.1,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Suicide,Age-adjusted,14.2,"Deaths per 100,000",
2018 Q4,12 months ending with quarter,Unintentional injuries,Age-adjusted,48.0,"Deaths per 100,000",
2018 Q4,3-month period,All Causes,Crude,866.7,"Deaths per 100,000",
2018 Q4,3-month period,Alzheimer disease,Crude,38.0,"Deaths per 100,000",
2018 Q4,3-month period,Cancer,Crude,185.2,"Deaths per 100,000",
2018 Q4,3-month period,Chronic liver disease and cirrhosis,Crude,13.3,"Deaths per 100,000",
2018 Q4,3-month period,Chronic lower respiratory diseases,Crude,46.3,"Deaths per 100,000",
2018 Q4,3-month period,Diabetes,Crude,26.4,"Deaths per 100,000",
2018 Q4,3-month period,Drug overdose,Crude,19.7,"Deaths per 100,000",
2018 Q4,3-month period,"Falls, ages 65 and over",Crude,63.0,"Deaths per 100,000",
2018 Q4,3-month period,Firearm-related injury,Crude,11.6,"Deaths per 100,000",
2018 Q4,3-month period,Heart disease,Crude,201.1,"Deaths per 100,000",
2018 Q4,3-month period,HIV disease,Crude,1.6,"Deaths per 100,000",
2018 Q4,3-month period,Homicide,Crude,5.5,"Deaths per 100,000",
2018 Q4,3-month period,Hypertension,Crude,11.0,"Deaths per 100,000",
2018 Q4,3-month period,Influenza and pneumonia,Crude,14.0,"Deaths per 100,000",
2018 Q4,3-month period,Kidney disease,Crude,15.7,"Deaths per 100,000",
2018 Q4,3-month period,Parkinson disease,Crude,10.7,"Deaths per 100,000",
2018 Q4,3-month period,Pneumonitis due to solids and liquids,Crude,5.6,"Deaths per 100,000",
2018 Q4,3-month period,Septicemia,Crude,12.3,"Deaths per 100,000",
2018 Q4,3-month period,Stroke,Crude,45.8,"Deaths per 100,000",
2018 Q4,3-month period,Suicide,Crude,13.9,"Deaths per 100,000",
2018 Q4,3-month period,Unintentional injuries,Crude,50.1,"Deaths per 100,000",
2018 Q4,3-month period,All Causes,Age-adjusted,717.9,"Deaths per 100,000",
2018 Q4,3-month period,Alzheimer disease,Age-adjusted,30.9,"Deaths per 100,000",
2018 Q4,3-month period,Cancer,Age-adjusted,149.8,"Deaths per 100,000",
2018 Q4,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,11.2,"Deaths per 100,000",
2018 Q4,3-month period,Chronic lower respiratory diseases,Age-adjusted,37.4,"Deaths per 100,000",
2018 Q4,3-month period,Diabetes,Age-adjusted,21.6,"Deaths per 100,000",
2018 Q4,3-month period,Drug overdose,Age-adjusted,19.8,"Deaths per 100,000",
2018 Q4,3-month period,"Falls, ages 65 and over",Age-adjusted,65.5,"Deaths per 100,000",
2018 Q4,3-month period,Firearm-related injury,Age-adjusted,11.3,"Deaths per 100,000",
2018 Q4,3-month period,Heart disease,Age-adjusted,163.1,"Deaths per 100,000",
2018 Q4,3-month period,HIV disease,Age-adjusted,1.4,"Deaths per 100,000",
2018 Q4,3-month period,Homicide,Age-adjusted,5.7,"Deaths per 100,000",
2018 Q4,3-month period,Hypertension,Age-adjusted,8.9,"Deaths per 100,000",
2018 Q4,3-month period,Influenza and pneumonia,Age-adjusted,11.4,"Deaths per 100,000",
2018 Q4,3-month period,Kidney disease,Age-adjusted,12.8,"Deaths per 100,000",
2018 Q4,3-month period,Parkinson disease,Age-adjusted,8.9,"Deaths per 100,000",
2018 Q4,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,4.6,"Deaths per 100,000",
2018 Q4,3-month period,Septicemia,Age-adjusted,10.1,"Deaths per 100,000",
2018 Q4,3-month period,Stroke,Age-adjusted,37.4,"Deaths per 100,000",
2018 Q4,3-month period,Suicide,Age-adjusted,13.4,"Deaths per 100,000",
2018 Q4,3-month period,Unintentional injuries,Age-adjusted,46.8,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,All Causes,Crude,858.0,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Alzheimer disease,Crude,36.3,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Cancer,Crude,182.9,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,13.1,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Chronic lower respiratory diseases,Crude,47.6,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Diabetes,Crude,26.1,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Drug overdose,Crude,20.5,"Deaths per 100,000",*
2019 Q1,12 months ending with quarter,"Falls, ages 65 and over",Crude,61.7,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Firearm-related injury,Crude,12.0,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Heart disease,Crude,198.5,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,HIV disease,Crude,1.6,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Homicide,Crude,5.7,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Hypertension,Crude,10.9,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Influenza and pneumonia,Crude,15.2,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Kidney disease,Crude,15.5,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Parkinson disease,Crude,10.3,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,5.8,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Septicemia,Crude,12.0,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Stroke,Crude,44.9,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Suicide,Crude,14.7,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Unintentional injuries,Crude,50.9,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,All Causes,Age-adjusted,712.2,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Alzheimer disease,Age-adjusted,29.6,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Cancer,Age-adjusted,148.1,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,11.0,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,38.5,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Diabetes,Age-adjusted,21.3,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Drug overdose,Age-adjusted,20.5,"Deaths per 100,000",*
2019 Q1,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,64.1,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Firearm-related injury,Age-adjusted,11.8,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Heart disease,Age-adjusted,161.3,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Homicide,Age-adjusted,5.9,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Hypertension,Age-adjusted,8.8,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,12.5,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Kidney disease,Age-adjusted,12.7,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Parkinson disease,Age-adjusted,8.6,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,4.7,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Septicemia,Age-adjusted,9.8,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Stroke,Age-adjusted,36.6,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Suicide,Age-adjusted,14.2,"Deaths per 100,000",
2019 Q1,12 months ending with quarter,Unintentional injuries,Age-adjusted,47.7,"Deaths per 100,000",
2019 Q1,3-month period,All Causes,Crude,920.3,"Deaths per 100,000",
2019 Q1,3-month period,Alzheimer disease,Crude,39.4,"Deaths per 100,000",
2019 Q1,3-month period,Cancer,Crude,185.6,"Deaths per 100,000",
2019 Q1,3-month period,Chronic liver disease and cirrhosis,Crude,13.5,"Deaths per 100,000",
2019 Q1,3-month period,Chronic lower respiratory diseases,Crude,54.8,"Deaths per 100,000",
2019 Q1,3-month period,Diabetes,Crude,29.1,"Deaths per 100,000",
2019 Q1,3-month period,Drug overdose,Crude,20.2,"Deaths per 100,000",*
2019 Q1,3-month period,"Falls, ages 65 and over",Crude,66.0,"Deaths per 100,000",
2019 Q1,3-month period,Firearm-related injury,Crude,11.7,"Deaths per 100,000",
2019 Q1,3-month period,Heart disease,Crude,216.2,"Deaths per 100,000",
2019 Q1,3-month period,HIV disease,Crude,1.7,"Deaths per 100,000",
2019 Q1,3-month period,Homicide,Crude,5.4,"Deaths per 100,000",
2019 Q1,3-month period,Hypertension,Crude,12.1,"Deaths per 100,000",
2019 Q1,3-month period,Influenza and pneumonia,Crude,21.7,"Deaths per 100,000",
2019 Q1,3-month period,Kidney disease,Crude,16.9,"Deaths per 100,000",
2019 Q1,3-month period,Parkinson disease,Crude,11.3,"Deaths per 100,000",
2019 Q1,3-month period,Pneumonitis due to solids and liquids,Crude,6.6,"Deaths per 100,000",
2019 Q1,3-month period,Septicemia,Crude,12.9,"Deaths per 100,000",
2019 Q1,3-month period,Stroke,Crude,48.1,"Deaths per 100,000",
2019 Q1,3-month period,Suicide,Crude,14.2,"Deaths per 100,000",
2019 Q1,3-month period,Unintentional injuries,Crude,50.6,"Deaths per 100,000",
2019 Q1,3-month period,All Causes,Age-adjusted,759.0,"Deaths per 100,000",
2019 Q1,3-month period,Alzheimer disease,Age-adjusted,31.9,"Deaths per 100,000",
2019 Q1,3-month period,Cancer,Age-adjusted,149.4,"Deaths per 100,000",
2019 Q1,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,11.4,"Deaths per 100,000",
2019 Q1,3-month period,Chronic lower respiratory diseases,Age-adjusted,44.0,"Deaths per 100,000",
2019 Q1,3-month period,Diabetes,Age-adjusted,23.7,"Deaths per 100,000",
2019 Q1,3-month period,Drug overdose,Age-adjusted,20.3,"Deaths per 100,000",*
2019 Q1,3-month period,"Falls, ages 65 and over",Age-adjusted,68.9,"Deaths per 100,000",
2019 Q1,3-month period,Firearm-related injury,Age-adjusted,11.4,"Deaths per 100,000",
2019 Q1,3-month period,Heart disease,Age-adjusted,174.8,"Deaths per 100,000",
2019 Q1,3-month period,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2019 Q1,3-month period,Homicide,Age-adjusted,5.6,"Deaths per 100,000",
2019 Q1,3-month period,Hypertension,Age-adjusted,9.8,"Deaths per 100,000",
2019 Q1,3-month period,Influenza and pneumonia,Age-adjusted,17.8,"Deaths per 100,000",
2019 Q1,3-month period,Kidney disease,Age-adjusted,13.7,"Deaths per 100,000",
2019 Q1,3-month period,Parkinson disease,Age-adjusted,9.4,"Deaths per 100,000",
2019 Q1,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,5.4,"Deaths per 100,000",
2019 Q1,3-month period,Septicemia,Age-adjusted,10.5,"Deaths per 100,000",
2019 Q1,3-month period,Stroke,Age-adjusted,39.1,"Deaths per 100,000",
2019 Q1,3-month period,Suicide,Age-adjusted,13.7,"Deaths per 100,000",
2019 Q1,3-month period,Unintentional injuries,Age-adjusted,47.0,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,All Causes,Crude,857.9,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Alzheimer disease,Crude,36.3,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Cancer,Crude,182.9,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,13.1,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Chronic lower respiratory diseases,Crude,47.6,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Diabetes,Crude,26.1,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Drug overdose,Crude,,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,"Falls, ages 65 and over",Crude,61.3,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Firearm-related injury,Crude,12.0,"Deaths per 100,000",*
2019 Q2,12 months ending with quarter,Heart disease,Crude,198.4,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,HIV disease,Crude,1.6,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Homicide,Crude,5.7,"Deaths per 100,000",*
2019 Q2,12 months ending with quarter,Hypertension,Crude,10.9,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Influenza and pneumonia,Crude,15.2,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Kidney disease,Crude,15.5,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Parkinson disease,Crude,10.3,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,5.8,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Septicemia,Crude,12.0,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Stroke,Crude,44.9,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Suicide,Crude,14.7,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Unintentional injuries,Crude,50.9,"Deaths per 100,000",*
2019 Q2,12 months ending with quarter,All Causes,Age-adjusted,710.1,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Alzheimer disease,Age-adjusted,29.5,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Cancer,Age-adjusted,147.6,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,11.0,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,38.4,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Diabetes,Age-adjusted,21.3,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Drug overdose,Age-adjusted,,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,63.8,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Firearm-related injury,Age-adjusted,11.8,"Deaths per 100,000",*
2019 Q2,12 months ending with quarter,Heart disease,Age-adjusted,160.8,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Homicide,Age-adjusted,5.9,"Deaths per 100,000",*
2019 Q2,12 months ending with quarter,Hypertension,Age-adjusted,8.7,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Influenza and pneumonia,Age-adjusted,12.4,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Kidney disease,Age-adjusted,12.6,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Parkinson disease,Age-adjusted,8.5,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Pneumonitis due to solids and liquids,Age-adjusted,4.7,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Septicemia,Age-adjusted,9.8,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Stroke,Age-adjusted,36.5,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Suicide,Age-adjusted,14.2,"Deaths per 100,000",
2019 Q2,12 months ending with quarter,Unintentional injuries,Age-adjusted,47.6,"Deaths per 100,000",*
2019 Q2,3-month period,All Causes,Crude,836.7,"Deaths per 100,000",
2019 Q2,3-month period,Alzheimer disease,Crude,34.5,"Deaths per 100,000",
2019 Q2,3-month period,Cancer,Crude,180.0,"Deaths per 100,000",
2019 Q2,3-month period,Chronic liver disease and cirrhosis,Crude,12.7,"Deaths per 100,000",
2019 Q2,3-month period,Chronic lower respiratory diseases,Crude,48.2,"Deaths per 100,000",
2019 Q2,3-month period,Diabetes,Crude,24.9,"Deaths per 100,000",
2019 Q2,3-month period,Drug overdose,Crude,,"Deaths per 100,000",
2019 Q2,3-month period,"Falls, ages 65 and over",Crude,57.9,"Deaths per 100,000",*
2019 Q2,3-month period,Firearm-related injury,Crude,12.3,"Deaths per 100,000",
2019 Q2,3-month period,Heart disease,Crude,193.8,"Deaths per 100,000",
2019 Q2,3-month period,HIV disease,Crude,1.7,"Deaths per 100,000",
2019 Q2,3-month period,Homicide,Crude,5.9,"Deaths per 100,000",
2019 Q2,3-month period,Hypertension,Crude,10.4,"Deaths per 100,000",
2019 Q2,3-month period,Influenza and pneumonia,Crude,14.1,"Deaths per 100,000",
2019 Q2,3-month period,Kidney disease,Crude,15.0,"Deaths per 100,000",
2019 Q2,3-month period,Parkinson disease,Crude,9.6,"Deaths per 100,000",
2019 Q2,3-month period,Pneumonitis due to solids and liquids,Crude,5.6,"Deaths per 100,000",
2019 Q2,3-month period,Septicemia,Crude,11.4,"Deaths per 100,000",
2019 Q2,3-month period,Stroke,Crude,43.7,"Deaths per 100,000",
2019 Q2,3-month period,Suicide,Crude,15.3,"Deaths per 100,000",
2019 Q2,3-month period,Unintentional injuries,Crude,50.9,"Deaths per 100,000",
2019 Q2,3-month period,All Causes,Age-adjusted,690.4,"Deaths per 100,000",
2019 Q2,3-month period,Alzheimer disease,Age-adjusted,27.9,"Deaths per 100,000",
2019 Q2,3-month period,Cancer,Age-adjusted,144.3,"Deaths per 100,000",
2019 Q2,3-month period,Chronic liver disease and cirrhosis,Age-adjusted,10.6,"Deaths per 100,000",
2019 Q2,3-month period,Chronic lower respiratory diseases,Age-adjusted,38.6,"Deaths per 100,000",
2019 Q2,3-month period,Diabetes,Age-adjusted,20.2,"Deaths per 100,000",
2019 Q2,3-month period,Drug overdose,Age-adjusted,,"Deaths per 100,000",
2019 Q2,3-month period,"Falls, ages 65 and over",Age-adjusted,60.5,"Deaths per 100,000",*
2019 Q2,3-month period,Firearm-related injury,Age-adjusted,12.1,"Deaths per 100,000",
2019 Q2,3-month period,Heart disease,Age-adjusted,156.5,"Deaths per 100,000",
2019 Q2,3-month period,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",
2019 Q2,3-month period,Homicide,Age-adjusted,6.1,"Deaths per 100,000",
2019 Q2,3-month period,Hypertension,Age-adjusted,8.4,"Deaths per 100,000",
2019 Q2,3-month period,Influenza and pneumonia,Age-adjusted,11.4,"Deaths per 100,000",
2019 Q2,3-month period,Kidney disease,Age-adjusted,12.1,"Deaths per 100,000",
2019 Q2,3-month period,Parkinson disease,Age-adjusted,7.9,"Deaths per 100,000",
2019 Q2,3-month period,Pneumonitis due to solids and liquids,Age-adjusted,4.5,"Deaths per 100,000",
2019 Q2,3-month period,Septicemia,Age-adjusted,9.3,"Deaths per 100,000",
2019 Q2,3-month period,Stroke,Age-adjusted,35.3,"Deaths per 100,000",
2019 Q2,3-month period,Suicide,Age-adjusted,14.8,"Deaths per 100,000",
2019 Q2,3-month period,Unintentional injuries,Age-adjusted,47.9,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,All Causes,Crude,858.0,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Alzheimer disease,Crude,36.3,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Cancer,Crude,183.0,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Chronic liver disease and cirrhosis,Crude,13.1,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Chronic lower respiratory diseases,Crude,47.6,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Diabetes,Crude,26.1,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Drug overdose,Crude,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,"Falls, ages 65 and over",Crude,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Firearm-related injury,Crude,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Heart disease,Crude,198.4,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,HIV disease,Crude,1.6,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Homicide,Crude,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Hypertension,Crude,10.9,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Influenza and pneumonia,Crude,15.2,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Kidney disease,Crude,15.5,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Parkinson disease,Crude,10.3,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Pneumonitis due to solids and liquids,Crude,5.8,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Septicemia,Crude,12.0,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Stroke,Crude,44.9,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Suicide,Crude,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Unintentional injuries,Crude,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,All Causes,Age-adjusted,708.5,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Alzheimer disease,Age-adjusted,29.4,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Cancer,Age-adjusted,147.1,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Chronic liver disease and cirrhosis,Age-adjusted,11.0,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Chronic lower respiratory diseases,Age-adjusted,38.2,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Diabetes,Age-adjusted,21.2,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Drug overdose,Age-adjusted,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,"Falls, ages 65 and over",Age-adjusted,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Firearm-related injury,Age-adjusted,,"Deaths per 100,000",
2019 Q3,12 months ending with quarter,Heart disease,Age-adjusted,160.4,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,HIV disease,Age-adjusted,1.5,"Deaths per 100,000",*
2019 Q3,12 months ending with quarter,Homicide,Age-adjusted,,"Deaths per 100,000",
