Permit Number,Processed Date,Issued Date,Finaled Date,Building Area,Declared Valuation,Description,Work Type,Use Code,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
550222,09/27/2010,09/30/2010,,3800,20000.00,interior alteration--ste #G,ALTER,MERCANTILE BUILDING,19710,,FISHER,AVE,,POOLESVILLE,MD,20837
363322,10/27/2004,10/27/2004,,2028,24336.00,,ALTER,BUSINESS BUILDING,8403,,COLESVILLE,RD,,SILVER SPRING,MD,20910
448058,03/21/2007,05/18/2007,11/02/2007,2100,80000.00,Interior Alteration of existing Hair Salon.,ALTER,BUSINESS,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
575744,07/29/2011,11/28/2011,02/06/2013,13509,25000.00,systems furniture--3rd fl,ALTER,BUSINESS BUILDING,4445,,WILLARD,AVE,,CHEVY CHASE,MD,20815
318701,09/16/2003,09/24/2003,12/15/2003,3000,20000.00,Suite 10066,ALTER,BUSINESS BUILDING,10016,,DARNESTOWN,RD,,ROCKVILLE,MD,20850
498993,10/29/2008,11/06/2008,12/10/2008,4230,8000.00,8th floor,ALTER,BUSINESS,8403,,COLESVILLE,RD,,SILVER SPRING,MD,20910
796717,04/21/2017,04/21/2017,04/24/2018,1520,17830.00,"Interior alterations - 1,520 sf",ALTER,BUSINESS BUILDING,9211,,CORPORATE,BLVD,,GAITHERSBURG,MD,20878
768495,08/17/2016,08/29/2016,,10000,15000.00,alter modular furniture,ALTER,BUSINESS BUILDING,2,,BETHESDA METRO,CTR,,BETHESDA,MD,20814
475461,01/09/2008,02/11/2008,05/01/2008,1982,175000.00,SUITE 1300,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
486429,05/29/2008,07/08/2008,08/01/2008,2588,45000.00,"Interior Alterations
Suite 500",ALTER,BUSINESS BUILDING,6410,,ROCKLEDGE,DR,,BETHESDA,MD,20817
534186,03/31/2010,,,2600,380000.00,SYSTEMS FURNITURE  524350,ALTER,BUSINESS BUILDING,8455,,COLESVILLE,RD,,SILVER SPRING,MD,20910
589266,01/20/2012,01/20/2012,03/14/2012,500,3000.00,Suite 2186,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
662635,02/06/2014,,,2143,125000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,8630,,FENTON,ST,,SILVER SPRING,MD,20910
478848,02/27/2008,03/20/2008,07/13/2009,804,12060.00,Interior Alteration/ *Revision construction type change 03/12/2009*,ALTER,BUSINESS BUILDING,11420,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
470549,11/08/2007,12/10/2007,03/06/2008,1917,60000.00,"Interior mercantile.
*REVISION #1, submitted 02/21/2008; Storefront , Approved - .*",ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
571245,06/14/2011,06/15/2011,08/24/2011,2232,15000.00,interior alteration--ste 1122,ALTER,MULTI-FAMILY DWELLING,1110,,FIDLER,LN,,SILVER SPRING,MD,20910
679227,07/03/2014,07/03/2014,09/14/2015,500,20000.00,INTERIOR ALTERATIONS,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
232106,10/11/2000,11/01/2000,03/08/2001,3300,46200.00,,ALTER,BUSINESS BUILDING,10230,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20903
439869,11/30/2006,12/05/2006,02/15/2007,1795,52500.00,"Interior Alteration.  *Revision 12/11/06 - Electrical, Architectural, and Life Safety.",ALTER,BANK,8630,,GEORGIA,AVE,,SILVER SPRING,MD,20910
587246,12/20/2011,01/09/2012,08/29/2012,1287,83650.00,"Interior Alterations
Suite 505",ALTER,BUSINESS BUILDING,5550,,FRIENDSHIP,BLVD,,CHEVY CHASE,MD,20815
358573,09/22/2004,09/22/2004,,5073,10000.00,,ALTER,BUSINESS BUILDING,1776,,JEFFERSON,ST,,ROCKVILLE,MD,
369466,01/03/2005,01/06/2005,02/08/2005,6813,9000.00,,ALTER,BUSINESS BUILDING,4800,,MONTGOMERY,LN,,BETHESDA,MD,20814
419424,05/01/2006,05/02/2006,,655,16375.00,6th floor lobby,ALTER,BUSINESS BUILDING,4350,,EAST WEST,HWY,,BETHESDA,MD,20814
527254,12/08/2009,12/08/2009,01/12/2010,,,interior alteration / space 102 and 103 - Demolition,ALTER,BUSINESS BUILDING,13097,,WISTERIA,DR,,GERMANTOWN,MD,20874
649957,09/27/2013,09/27/2013,,55435,15000.00,Interior demolition work,ALTER,INDUSTRIAL BUILDING,15813,,GAITHER,DR,,GAITHERSBURG,MD,20877
209048,01/06/2000,01/18/2000,,,,,ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
700159,01/09/2015,01/09/2015,,10470,50000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,6701,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
480596,03/21/2008,04/16/2008,05/23/2008,1000,12000.00,Interior Alteration,ALTER,BUSINESS BUILDING,5515,,SECURITY,LN,,ROCKVILLE,MD,20852
361093,10/08/2004,10/08/2004,,400,10000.00,all interior  Suite # 102,ALTER,BUSINESS BUILDING,20500,,SENECA MEADOWS,PKWY,,GERMANTOWN,MD,20876
345076,05/19/2004,05/19/2004,,140,20000.00,5th fl,ALTER,BUSINESS BUILDING,4900,,ROCKMERE,CT,,BETHESDA,MD,20816
850373,08/30/2018,08/30/2018,,21291,60000.00,1St Floor.,ALTER,BUSINESS BUILDING,6701,,ROCKLEDGE,DR,,BETHESDA,MD,20817
772909,09/20/2016,09/20/2016,,1400,25000.00,"interior alterations

**REVISION** 10/27/16 Construction Type change only",ALTER,BUSINESS BUILDING,9128,,ROTHBURY,DR,,MONTGOMERY VILLAGE,MD,20886
360774,10/06/2004,10/13/2004,,4917,150000.00,,ALTER,BUSINESS,5530,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
276356,05/01/2002,05/01/2002,,4321,10000.00,go to suite 310,ALTER,BUSINESS BUILDING,6110,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
369548,01/04/2005,02/11/2005,,1800,25000.00,,ALTER,BUSINESS BUILDING,4922,,FAIRMONT,AVE,,BETHESDA,MD,20814
612701,09/24/2012,09/27/2012,11/21/2012,1262,15000.00,Interior,ALTER,BUSINESS BUILDING,23233,,STRINGTOWN,RD,,CLARKSBURG,MD,20871
710270,04/24/2015,04/24/2015,05/06/2015,8893,12000.00,SYSTEM FURNITURE,ALTER,BUSINESS BUILDING,15201,,DIAMONDBACK,DR,,ROCKVILLE,MD,20850
437679,11/02/2006,11/21/2006,01/24/2007,11972,255000.00,"Tenant Fitout.  Cato Research, Suite 390",ALTER,BUSINESS BUILDING,9605,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850
414236,03/10/2006,03/10/2006,06/09/2006,6541,119000.00,suite 200 & 220,ALTER,BUSINESS BUILDING,8401,,CONNECTICUT,AVE,,CHEVY CHASE,MD,20815
786115,01/11/2017,01/11/2017,,14031,69429.06,systems furniture,ALTER,BUSINESS BUILDING,4445,,WILLARD,AVE,,CHEVY CHASE,MD,20815
244645,04/04/2001,04/04/2001,07/13/2001,55000,,,ALTER,BUSINESS BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
290094,10/15/2002,11/12/2002,03/06/2003,6030,84420.36,,ALTER,BUSINESS BUILDING,1100,,WAYNE,AVE,,SILVER SPRING,MD,20910
290104,10/15/2002,10/17/2002,01/03/2003,4300,75000.00,,ALTER,BUSINESS BUILDING,7700,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814
413689,03/07/2006,03/16/2006,,3440,6000.00,,ALTER,HOTEL,8400,,WISCONSIN,AVE,,BETHESDA,MD,20814
274065,04/09/2002,04/09/2002,05/14/2002,5000,20000.00,,ALTER,BUSINESS BUILDING,5530,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
578485,08/30/2011,08/30/2011,01/25/2012,10330,30990.00,INTERIOR DEMO - Basement,ALTER,BIOSCIENCE,9714,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850
646251,08/21/2013,08/21/2013,10/19/2013,3894,5000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,8455,,COLESVILLE,RD,,SILVER SPRING,MD,20910
248467,05/18/2001,05/18/2001,06/12/2001,3369,50000.00,,ALTER,BUSINESS,8730,,GEORGIA,AVE,,SILVER SPRING,MD,20910
454503,05/24/2007,07/27/2007,09/04/2007,4935,80000.00,Interior,ALTER,BUSINESS BUILDING,10215,,FERNWOOD,RD,,BETHESDA,MD,20817
625284,02/05/2013,02/05/2013,02/20/2014,175,10000.00,"INTERIOR ALTERATIONS

5TH FLOOR",ALTER,BUSINESS BUILDING,1040,,SPRING,ST,,SILVER SPRING,MD,20910
833380,04/10/2018,04/10/2018,,16998,25000.00,"MODULAR FURNITURE INSTALLATION INTERIOR ALTERATION&nbsp; 16,998 SQ FT",ALTER,BUSINESS BUILDING,6123,,MONTROSE,RD,,ROCKVILLE,MD,20852
507768,03/26/2009,,,1227,200000.00,"PNC Bank
Interior demolition.",ALTER,BANK,10113,,RIVER,RD,,POTOMAC,MD,20854
578693,09/01/2011,09/16/2011,,1500,150000.00,interior alteration,ALTER,MERCANTILE BUILDING,4860,,BETHESDA,AVE,,BETHESDA,MD,20814
374988,02/28/2005,03/22/2005,05/05/2005,170,10000.00,WHEATON REVITALIZATION PROGRAM-KIOSK-SPACE 9130=1ST FLOOR/U&O 234601,ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
639944,06/26/2013,06/26/2013,,2501,25000.00,INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,9231,,CORPORATE,BLVD,,ROCKVILLE,MD,20850
208719,01/03/2000,02/04/2000,03/15/2000,7500,105000.00,SUITE 540,ALTER,BUSINESS BUILDING,7361,,CALHOUN,PL,,ROCKVILLE,MD,20855
475964,01/16/2008,01/18/2008,,1100,5000.00,Alteration,ALTER,BUSINESS BUILDING,8401,,CONNECTICUT,AVE,,CHEVY CHASE,MD,20815
540898,06/17/2010,06/18/2010,08/13/2010,120,15000.00,2nd/2210,ALTER,BUSINESS BUILDING,6001,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
514704,06/24/2009,,,556,,Wheaton Revitalization-Green tape Honey Bee Bakery space 141,ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
531705,03/01/2010,03/01/2010,04/26/2010,1533,35000.00,interior alteration,ALTER,BUSINESS BUILDING,9420,,KEY WEST,AVE,,ROCKVILLE,MD,20850
397025,09/09/2005,09/27/2005,03/16/2006,637,36000.00,,ALTER,BUSINESS BUILDING,12441,,PARKLAWN,DR,,ROCKVILLE,MD,20852
448126,03/22/2007,04/02/2007,06/01/2007,5767,97300.00,Interior,ALTER,BUSINESS BUILDING,15204,,OMEGA,DR,,ROCKVILLE,MD,20850
641685,07/12/2013,07/12/2013,,965,8500.00,Suite #1240,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
587262,12/20/2011,01/11/2012,,3515,45767.45,"Interior Alterations
4th floor*REVISION CHANGED CONSTRUCTION TYPE 1-25-12*",ALTER,BUSINESS BUILDING,4330,,EAST WEST,HWY,,BETHESDA,MD,20814
435189,10/05/2006,10/05/2006,,19000,12000.00,modular furniture - 9th floor,ALTER,BUSINESS BUILDING,7600,,WISCONSIN,AVE,,BETHESDA,MD,20814
615139,10/17/2012,11/02/2012,01/28/2013,4116,144750.00,INTERIOR ALTERATIONS AT COMMERCIAL BUILDING,ALTER,BUSINESS BUILDING,20400,,OBSERVATION,DR,,GERMANTOWN,MD,20876
324349,11/10/2003,11/25/2003,12/15/2003,2731,45000.00,1ST FLOOR,ALTER,BUSINESS BUILDING,5515,,SECURITY,LN,,ROCKVILLE,MD,20852
478251,02/19/2008,02/21/2008,04/30/2008,1400,10000.00,Flr 300,ALTER,BUSINESS BUILDING,10215,,FERNWOOD,RD,,BETHESDA,MD,20817
501326,12/03/2008,12/03/2008,04/14/2009,1365,20000.00,interior alteration,ALTER,BUSINESS BUILDING,7520,,STANDISH,PL,,ROCKVILLE,MD,20855
669036,04/10/2014,04/10/2014,,2223,14450.00,INTERIOR DEMO,ALTER,BUSINESS BUILDING,9900,,BELWARD CAMPUS,DR,,ROCKVILLE,MD,20850
569793,05/31/2011,06/09/2011,07/26/2011,25495,59517.00,5th floor,ALTER,BUSINESS BUILDING,12420,,MILESTONE CENTER,DR,,GERMANTOWN,MD,20876
675888,06/09/2014,06/10/2014,06/26/2014,620,8515.00,ALTERATIONS SYSTEMS FURNITURE,ALTER,BUSINESS BUILDING,5600,,FISHERS,LN,,ROCKVILLE,MD,20852
607097,08/01/2012,08/07/2012,09/24/2012,1438,42000.00,INTERIOR ALTERATIONS TO EXISTING COMMERCIAL BUILDING,ALTER,COMMERCIAL MISCELLANEOUS STRUC,938,,WAYNE,AVE,,SILVER SPRING,MD,20910
550747,10/04/2010,11/01/2010,12/22/2010,4505,265000.00,AT&T -- 2010 LEVEL 3B,ALTER,MERCANTILE BUILDING,8519,,GEORGIA,AVE,,SILVER SPRING,MD,20910
342007,04/26/2004,04/26/2004,05/06/2004,5825,1793.42,Business Offices - Revision to Permit #335727,ALTER,BUSINESS BUILDING,20440,,CENTRY,BLVD,,GERMANTOWN,MD,20874
257108,08/27/2001,08/27/2001,04/30/2002,11824,9500.00,,ALTER,"ASSEMBLY, CHURCHES",19425,,WOODFIELD,RD,,GAITHERSBURG,MD,20879
631938,04/23/2013,04/25/2013,,12000,50000.00,INTERIOR ALTERATIONS&nbsp; 60 Work Stations 4th floor West,ALTER,BUSINESS BUILDING,9609,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850
336397,03/05/2004,03/15/2004,05/07/2004,1983,60000.00,,ALTER,BUSINESS BUILDING,6000,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
827612,02/12/2018,02/16/2018,,2970,25690.00,for revision to add electrical,ALTER,BUSINESS BUILDING,5481,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
325130,11/18/2003,11/19/2003,03/31/2004,1080,17000.00,Interior alteration - Multi-family Condo,ALTER,MULTI-FAMILY DWELLING,7420,,WESTLAKE,TER,,BETHESDA,MD,20817
419256,04/28/2006,04/28/2006,,712,18000.00,11th Floor Lobby,ALTER,BUSINESS BUILDING,4350,,EAST WEST,HWY,,BETHESDA,MD,20814
500400,11/18/2008,11/18/2008,02/10/2009,4900,98000.00,INTERIOR ALTERATION MONTGOMERY COUNTY LIQUOR STORE,ALTER,MERCANTILE BUILDING,4920,,HAMPDEN,LN,,BETHESDA,MD,20814
234479,11/09/2000,11/21/2000,03/01/2001,2323,70000.00,#210 (Primary Care Suite) U & O #209113,ALTER,BUSINESS BUILDING,18109,,PRINCE PHILIP,DR,,OLNEY,MD,20832
631610,04/15/2013,04/19/2013,03/14/2014,12225,29554.00,INTERIOR ALTERATIONS TO COMMERCIAL BUILDING,ALTER,BUSINESS BUILDING,6901,,ROCKLEDGE,DR,,BETHESDA,MD,20817
792675,03/15/2017,03/15/2017,03/30/2017,1083,16842.00,1083 sf office alteration,ALTER,BUSINESS BUILDING,8380,,COLESVILLE,RD,,SILVER SPRING,MD,20910
281741,07/02/2002,07/08/2002,10/23/2002,,,,ALTER,BUSINESS BUILDING,20251,,CENTURY,BLVD,,GERMANTOWN,MD,20874
538205,05/18/2010,05/24/2010,07/28/2010,335,20000.00,4th floor,ALTER,BUSINESS BUILDING,6120,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
465687,09/14/2007,09/19/2007,11/09/2007,842,17335.00,Restore Multi-Family Unit # 101,ALTER,MULTI-FAMILY DWELLING,13820,,CASTLE,BLVD,,SILVER SPRING,MD,20904
698017,12/17/2014,12/19/2014,05/04/2015,6264,107000.00,interior alterations,ALTER,BUSINESS BUILDING,20251,,CENTURY,BLVD,,GERMANTOWN,MD,20874
571045,06/13/2011,06/22/2011,06/22/2012,17850,46768.00,interior alteration 12th floor,ALTER,BUSINESS BUILDING,2,,BETHESDA METRO,CTR,,BETHESDA,MD,20814
590827,02/09/2012,,,1920,50000.00,Suite E,ALTER,BUSINESS BUILDING,7620,,RICKENBACKER,DR,,GAITHERSBURG,MD,20879
551210,10/08/2010,10/15/2010,,11185,29000.00,8th Floor,ALTER,BUSINESS BUILDING,7501,,WISCONSIN,AVE,,BETHESDA,MD,20814
416600,04/04/2006,04/10/2006,,170,22000.00,10TH FL - Revision on 5/22/2006,ALTER,BUSINESS BUILDING,4340,,EAST WEST,HWY,,BETHESDA,MD,20814
754829,05/10/2016,05/10/2016,06/09/2016,1504,10573.12,"SUITE 110/115 (one suite, not 2 floors)",ALTER,BUSINESS BUILDING,11821,,PARKLAWN,DR,,ROCKVILLE,MD,20852
359245,09/23/2004,10/14/2004,05/02/2005,1621,152750.00,Store Name: Helzberg Diamond Wheaton Plaza Mall-Space 129-Wheaton Revitalization Program U&O 235173,ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
223024,06/30/2000,07/26/2000,03/16/2001,2600,10000.00,,ALTER,BUSINESS BUILDING,17700,,MUNCASTER,RD,,ROCKVILLE,MD,20855
786128,01/11/2017,,,1000,45000.00,interior renovations,ALTER,BUSINESS BUILDING,2,,WISCONSIN,CIR,,CHEVY CHASE,MD,20815
742955,01/28/2016,01/28/2016,08/30/2016,1220,61000.00,COMFAST,ALTER,MERCANTILE BUILDING,7706,,WOODMONT,AVE,,BETHESDA,MD,20814
694952,11/17/2014,11/20/2014,02/25/2015,175,47275.00,"Interior Alter

Installing 2 new rest rooms for the use of the Education A-2 conference room

this is to allow access to rest rooms without going thru building security",ALTER,BUSINESS BUILDING,1040,,SPRING,ST,,SILVER SPRING,MD,20910
540899,06/17/2010,06/30/2010,,419,25000.00,5th Floor/501 & 503,ALTER,BUSINESS BUILDING,6011,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
253747,07/19/2001,07/20/2001,09/13/2001,835,40150.00,,ALTER,BUSINESS,2121,,MEDICAL PARK,DR,,SILVER SPRING,MD,20902
678196,06/25/2014,07/01/2014,07/07/2015,147,61500.00,"INTERIOR ALTERATIONS

Mothers Room only",ALTER,BUSINESS BUILDING,11601,,LANDSDOWN,ST,,ROCKVILLE,MD,20852
361295,10/11/2004,10/11/2004,01/25/2005,4348,33000.00,,ALTER,BUSINESS BUILDING,7920,,NORFOLK,AVE,,BETHESDA,MD,20814
358557,09/17/2004,,,1086,25000.00,,ALTER,MERCANTILE,13842,,OUTLET,DR,,SILVER SPRING,MD,20904
255908,08/10/2001,10/23/2001,,3066,35000.00,,ALTER,BUSINESS BUILDING,5910,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
563224,03/16/2011,03/17/2011,,2000,120000.00,,ALTER,MERCANTILE BUILDING,5120,,RIVER,RD,,BETHESDA,MD,20816
703594,02/18/2015,02/18/2015,02/18/2016,800,12000.00,INTERIOR ALTERATIONS - SYSTEMS FUR.,ALTER,BUSINESS BUILDING,8403,,COLESVILLE,RD,,SILVER SPRING,MD,20910
450588,04/16/2007,04/27/2007,,1080,10000.00,Interior Alteration,ALTER,MERCANTILE,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
360389,10/04/2004,10/11/2004,02/24/2005,410,6000.00,4th floor (OIT),ALTER,BUSINESS BUILDING,6705,,ROCKLEDGE,DR,,BETHESDA,MD,20817
446563,03/02/2007,03/08/2007,05/25/2007,4217,150000.00,H & R Retail Retail c/o Guardian Realty - Suite 600,ALTER,BUSINESS BUILDING,7201,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
844364,07/11/2018,07/11/2018,,5410,94750.00,Suite 640,ALTER,BUSINESS BUILDING,4520,,EAST WEST,HWY,,BETHESDA,MD,20814
622616,01/07/2013,01/09/2013,01/27/2013,350,8000.00,alteration,ALTER,BUSINESS BUILDING,1100,,WAYNE,AVE,,SILVER SPRING,MD,20910
466013,09/19/2007,10/17/2007,03/18/2008,2964,295901.00,,ALTER,BUSINESS BUILDING,19785,,CRYSTAL ROCK,DR,,GERMANTOWN,MD,20874
279804,06/11/2002,06/11/2002,07/26/2002,1800,75000.00,,ALTER,BUSINESS BUILDING,9210,,CORPORATE,BLVD,,ROCKVILLE,MD,20850
514038,06/17/2009,06/18/2009,08/28/2009,3300,40000.00,alteration,ALTER,BUSINESS BUILDING,7600,,STANDISH,PL,,ROCKVILLE,MD,20855
317088,08/28/2003,08/28/2003,10/08/2003,102,20000.00,Finders School,ALTER,BUSINESS BUILDING,6001,,MONTROSE,RD,,ROCKVILLE,MD,20852
447781,03/19/2007,03/21/2007,05/31/2007,2479,28000.00,"Interior work, one floor.
*REVISION #1 - 05/14/2007; redoing hallway, 400-sqft, $7,000.*",ALTER,BUSINESS BUILDING,6110,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
505677,02/24/2009,03/04/2009,05/14/2009,4500,150000.00,ALTERATION - SPACE C2A,ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
468677,10/17/2007,10/19/2007,04/25/2008,460,50000.00,alteration,ALTER,BUSINESS BUILDING,11921,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
513109,06/05/2009,06/05/2009,,200,20000.00,Interior Alterations - 5th Floor/ 5104,ALTER,BUSINESS BUILDING,6001,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
645727,08/16/2013,09/24/2013,,1176,5500.00,"division wall

&nbsp;",ALTER,BUSINESS BUILDING,11160,,VIERS MILL,RD,,WHEATON,MD,20902
595585,04/09/2012,04/12/2012,04/15/2013,1650,35000.00,interior alteration ste 630,ALTER,BUSINESS BUILDING,4600,,EAST WEST,HWY,,BETHESDA,MD,20814
498752,10/27/2008,11/05/2008,12/12/2008,1150,20000.00,"GNC - MONTGOMERY MALL - SPACE 1118
Alteration/Refurbishment of existing store.",ALTER,MERCANTILE BUILDING,7101,,DEMORCRACY,BLVD,,BETHESDA,MD,20814
479353,03/06/2008,,,2625,3500.00,"1st Floor Office
GREEN TAPE",ALTER,BUSINESS,11240,,GEORGIA,AVE,,SILVER SPRING,MD,20902
568928,05/19/2011,05/27/2011,08/23/2011,2623,85000.00,Suite 201,ALTER,BUSINESS BUILDING,11200,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
504393,01/30/2009,,,9947,5000.00,Commercial Furniture,ALTER,BUSINESS BUILDING,9707,,KEY WEST,AVE,,ROCKVILLE,MD,20850
209230,01/10/2000,01/18/2000,04/05/2000,1200,9000.00,"FF BOND DATE OF 1-19-00 REMOVED ON 1-21-00 DUE TO A UNBALANCE FOR THE U&0 OF $198.0.  WHEN BALANCE IS PAID, FF BOND DATE TO BE REINSTATED.",ALTER,BUSINESS BUILDING,1343,E,UNIVERSITY,BLVD,,SILVER SPRING,MD,20912
578999,09/06/2011,09/13/2011,12/17/2012,2430,19440.00,interior alteration,ALTER,BUSINESS BUILDING,7361,,CALHOUN,PL,,ROCKVILLE,MD,20855
817613,10/25/2017,10/25/2017,,20,5400.00,MODULAR FURNITURE ON 14TH FLOOR,ALTER,BUSINESS BUILDING,2,,BETHESDA METRO,CTR,,BETHESDA,MD,20814
444832,02/07/2007,02/12/2007,08/08/2007,2640,58000.00,"King Salon & Spa
*REVISION #1, 05/02/2007; To change Architectual layout.*",ALTER,BUSINESS BUILDING,727,,CLOVERLY,ST,,SILVER SPRING,MD,20905
506548,03/10/2009,03/31/2009,04/28/2009,391,75000.00,"PNC BANK IN GIANT FOOD STORE #192
Interior alteration",ALTER,BANK,18250,,FLOWER HILL,WAY,,GAITHERSBURG,MD,20879
608814,08/16/2012,,,1500,15000.00,,ALTER,BUSINESS BUILDING,4215,,HOWARD,AVE,,KENSINGTON,MD,20895
534978,04/12/2010,04/15/2010,11/12/2010,3790,22000.00,REPLACE CEILING TILES AND ELECTRICAL WORK / ALL INTERIOR,ALTER,BUSINESS BUILDING,4411,S,PARK,AVE,,CHEVY CHASE,MD,20815
742072,01/15/2016,01/15/2016,,5304,73000.00,"interior alterations

suite # 800",ALTER,BUSINESS BUILDING,7735,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814
351756,07/15/2004,07/28/2004,02/25/2005,3643,4500.00,Business Offices,ALTER,BUSINESS BUILDING,5530,,WISCONSIN,AVE,,CHEVY CHASE,MD,20815
351847,07/15/2004,07/15/2004,,14000,1500.00,Dennis Shea American offices,ALTER,BUSINESS,12200,,PLUM ORCHARD,DR,,SILVER SPRING,MD,20904
225063,07/27/2000,08/03/2000,05/07/2001,513,10000.00,"SPACE  H-2, H2A, H4, H11 AND H11A",ALTER,MERCANTILE BUILDING,11160,,VEIRS MILL,RD,,SILVER SPRING,MD,20902
673819,05/22/2014,05/22/2014,,39306,25000.00,ALL INTERIOR ALTERATIONS,ALTER,BUSINESS BUILDING,6101,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852
270916,03/04/2002,03/08/2002,,10000,500.00,,ALTER,BUSINESS BUILDING,7735,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814
224841,07/25/2000,07/28/2000,12/28/2000,342,,,ALTER,BUSINESS BUILDING,6705,,ROCKLEDGE,DR,,BETHESDA,MD,20817
852935,09/25/2018,10/05/2018,01/26/2019,400,5000.00,,ALTER,BUSINESS BUILDING,12250,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
700816,01/15/2015,01/20/2015,04/27/2015,961,18500.00,interior alterations&nbsp; space #1260,ALTER,MERCANTILE BUILDING,7101,,DEMOCRACY,BLVD,,BETHESDA,MD,20817
438589,11/14/2006,12/18/2006,08/14/2007,2703,94600.00,Alter,ALTER,BUSINESS BUILDING,800,,PERSHING,DR,,SILVER SPRING,MD,20910
715876,06/09/2015,06/10/2015,06/23/2015,3906,10000.00,Interior alteration 1st flr.,ALTER,BUSINESS BUILDING,8380,,COLESVILLE,RD,,SILVER SPRING,MD,20910
400501,10/12/2005,10/12/2005,,15000,10000.00,,ALTER,BUSINESS BUILDING,4550,,MONTGOMERY,AVE,,BETHESDA,MD,20814
261859,10/26/2001,01/04/2002,,800,50000.00,,ALTER,BUSINESS,11921,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852
541024,06/18/2010,,,5953,10000.00,Interion Alter,ALTER,MERCANTILE BUILDING,3134,,OLNEY SANDY SPRING,RD,,OLNEY,MD,20832
854563,10/10/2018,,,590,27000.00,Interior Alteration,ALTER,BUSINESS BUILDING,8905,,FAIRVIEW,RD,,SILVER SPRING,MD,20910
616028,10/26/2012,11/06/2012,12/14/2012,1955,17380.00,commercial interior fitout,ALTER,BUSINESS BUILDING,4520,,EAST WEST,HWY,,BETHESDA,MD,20814
248781,05/22/2001,05/22/2001,10/12/2001,218,3000.00,,ALTER,BUSINESS BUILDING,7735,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814
216315,04/13/2000,04/13/2000,,225,10000.00,,ALTER,RESTAURANT,3308,,OLNEY SANDY SPRING,RD,,OLNEY,MD,20832
480112,03/14/2008,,,2000,,,ALTER,BUSINESS BUILDING,7361,,CALHOUN,PL,,ROCKVILLE,MD,20855
574283,07/14/2011,07/14/2011,08/19/2011,1700,45000.00,interior alteration,ALTER,BUSINESS BUILDING,3919,,NATIONAL,DR,,BURTONSVILLE,MD,20866
284375,08/02/2002,08/02/2002,,7800,100000.00,,ALTER,BUSINESS BUILDING,6705,,ROCKLEDGE,DR,,BETHESDA,MD,20817
