the_geom,OBJECTID,StreetName,GISID,GlobalID,Route Number,Lane Width,Barrier,Two Way,Contraflow,Neutral Ground,Divided Roadway,Install Year,Install Quarter,Update Year,Road Diet,Notes,created_user,created_date,last_edited_user,last_edited_date,Plan Source,RouteName,FacilityType,Status,Length of Segment(miles),LENGTH_LANE,LENGTH_ROUTE,ComfortLevel,Shape_Length
"MULTILINESTRING ((-89.988714210303 30.024209495891, -89.988733263183 30.024307730838, -89.988761891618 30.024428380117, -89.988780913373 30.024496867442, -89.988806130885 30.024578756536, -89.988831806602 30.02465311852, -89.988883249545 30.024783376643, -89.988916958337 30.024860609406, -89.988956064573 30.024943863685, -89.988991651447 30.025014615965, -89.989061363962 30.025144083415, -89.989110040366 30.025225644423, -89.989177563457 30.025329419326, -89.989224250705 30.025395495832, -89.989280021122 30.025468228726, -89.989290548953 30.025482084301, -89.989309511051 30.025507042139, -89.989337003223 30.025543225918, -89.989390341375 30.02560665274, -89.98944517443 30.025668946263, -89.989597922339 30.025828836685, -89.989699890173 30.025926212339, -89.98981596391 30.026024621429, -89.989881681998 30.026077924168, -89.989948857412 30.026130035465, -89.990023541795 30.026185216011, -89.99020277782 30.026305133043, -89.990250134775 30.026336816841, -89.990382041173 30.02641412325, -89.990459474164 30.026455253247, -89.99052582371 30.026487736925, -89.990617650548 30.026532693785, -89.990739084453 30.026589202305, -89.991192646922 30.02677442808, -89.991336903661 30.026857418004, -89.99147681228 30.026945865228, -89.991612100348 30.027039597372))",44736,CROWDER BLVD,1036,{A18FA45C-1BD5-4F5C-B0B5-35456BD57D16},,,,0,,1,1,2013,2Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:01 PM +0000,2030,,Bike Lane,Completed,0.27295205,0.273,0.13647603,,1441.186775261044
"MULTILINESTRING ((-90.066339100286 29.95064434425, -90.067232794286 29.951049191194, -90.067494611866 29.951167793686))",44914,COMMON ST,1032,{4FE1D95D-4D1F-4CFB-A551-63659DDBF2F2},,,,0,,0,0,2010,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:03 PM +0000,2030,,Bike Lane,Completed,0.07812244,0.078,0.07812244,,412.48647783115712
"MULTILINESTRING ((-89.991612100348 30.027039597372, -89.991731132177 30.027129459213, -89.991821397601 30.027202698508, -89.991887114983 30.027259041612, -89.991951290372 30.027316715094, -89.99205827898 30.027420898574, -89.992137360545 30.027509542904, -89.992205116897 30.027589386118, -89.992291228279 30.027701334245, -89.992331638107 30.027753869125, -89.992510873346 30.02800402002, -89.992654962241 30.028295487502, -89.992658973161 30.028303558141, -89.992864550214 30.028717239725))",44735,CROWDER BLVD,1037,{85EE7C1C-7146-4AD9-8652-5826CBC03BDF},,,,0,,1,1,2013,2Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:01 PM +0000,NOTMP,,Bike Lane,Completed,0.13952575,0.14,0.06976288,,736.69595940907732
"MULTILINESTRING ((-90.076814915504 29.946150440725, -90.077009081921 29.945833887602, -90.077128024508 29.945673644367, -90.077408656175 29.945296553799, -90.077462567136 29.94523216388, -90.077531292279 29.94515504234, -90.077692320544 29.944982496002, -90.077701125999 29.944973060622))",44712,LOYOLA AVE,1112,{5EEE01A5-A4B4-4961-BC78-D512FF587CD0},,,,0,,True,1,2013,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:32:55 PM +0000,UNOP,,Bike Lane,Completed,0.09717368,0.09717368,0.04858684,,513.07707682893033
"MULTILINESTRING ((-90.075610110807 29.939116297869, -90.075775149824 29.93889345315, -90.075994995675 29.938597004848, -90.076121644366 29.938426921481, -90.07615895956 29.938376807342, -90.076637657391 29.937734827782, -90.076698232579 29.937653599435, -90.077147873472 29.937037228149, -90.077183746267 29.936988052701, -90.077668881634 29.936334686081, -90.077784390237 29.93623117768, -90.07824694007 29.935853395965, -90.078775974743 29.935431443744, -90.078820660256 29.935395802331, -90.078894963239 29.935336302358, -90.07911751322 29.935194895743, -90.079650285445 29.934845174792, -90.079703446782 29.93481037353, -90.079800198903 29.934747035958, -90.080036705722 29.934595897614, -90.080651933743 29.934193067065), (-90.073546048264 29.941908157365, -90.073550481998 29.941902260443, -90.073666191901 29.94174836715, -90.073928034618 29.941395002144, -90.073964457297 29.941345847272, -90.074371929827 29.940790147395, -90.074402793235 29.940747888176, -90.074456713998 29.94067405862, -90.074548459964 29.940552593249, -90.074582301519 29.940507790226, -90.074638331696 29.940431620546, -90.074924240789 29.940046606235, -90.075060970344 29.939861680293, -90.07509570173 29.939814706764, -90.075278804274 29.939565171538, -90.075511463273 29.93924949645, -90.075563422781 29.939179337809))",45093,ST CHARLES AVE,,{A11C846A-DC21-4D85-8B04-AAFD88305AE4},,,,0,,1,1,2017,4Q,,,,KRODRIGUEZ,02/15/2018 10:11:15 PM +0000,KRODRIGUEZ,04/17/2019 03:30:32 PM +0000,2030,,Shared Lane,Completed,0.68374286,0.68374286,0.34187143,,3610.1622650059635
"MULTILINESTRING ((-90.134350708816 29.943101467976, -90.134285478903 29.94316231137, -90.134215640066 29.943227453327, -90.134166335105 29.943273442326, -90.133971314369 29.943457639232, -90.133517337426 29.943875889795, -90.132817313877 29.944535464685, -90.132768774192 29.944581199405, -90.132666723143 29.944676276526, -90.132494059521 29.944837140766, -90.132107527523 29.945197255535, -90.132060513844 29.945240354096, -90.132004954082 29.94529250692, -90.131523141335 29.945743512474, -90.13130516923 29.945947545934, -90.130598288622 29.946612409274, -90.130548939007 29.946658730342, -90.12979152017 29.947369214774, -90.12978625258 29.947374155888, -90.129241642343 29.94788099657, -90.129041497059 29.948070847694, -90.129005253737 29.948105227218, -90.128353113164 29.948714788794, -90.128284151591 29.948779991596, -90.127793716314 29.949243694543, -90.127529374129 29.949487236574, -90.127435956716 29.949573302491, -90.127211508307 29.949784095185, -90.12714744124 29.949844264545, -90.126776671904 29.950192473497, -90.126727065044 29.950238525529, -90.12637795735 29.950564636252, -90.126013797048 29.950903227343, -90.12594556053 29.950970932033, -90.125697781404 29.951205345729, -90.125269090738 29.95161090733, -90.124994282921 29.951856023646, -90.124559473787 29.952266977999, -90.124513083116 29.952311383318, -90.123788280506 29.952999028924, -90.123758695991 29.95302473199, -90.123706879609 29.953069749383, -90.123042346135 29.953694564633, -90.12300347622 29.953730751674, -90.122284207471 29.954400363902, -90.122241133026 29.954441125093, -90.121879281891 29.954783548795, -90.121831103246 29.95482423489, -90.121794245653 29.95485213694, -90.121700192912 29.954930142422, -90.121617527152 29.954994962942, -90.121542865953 29.955062438389, -90.121456320716 29.955143650769, -90.121360130318 29.955233911977, -90.120695384491 29.955857680453))",44698,S CARROLLTON AVE,1192,{882F6156-3DEC-4855-BCAC-B6ACE172F676},,,,0,,True,1,2010,2Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:34:34 PM +0000,NOTMP,,Bike Lane,Completed,1.20122321,1.20122321,0.60061161,,6342.4585927830776
"MULTILINESTRING ((-90.124114392731 29.934263493747, -90.123612625856 29.934883941082))",44668,AP NW,1005,{828029A9-B4C2-4B62-8440-9C594551C4B6},,,,0,,0,0,0,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,2030,,Shared Use Path,Completed,0.05226989,0.052,0.05226989,,275.98498203232089
"MULTILINESTRING ((-90.08367342182 30.020667688928, -90.083650469493 30.020760778484, -90.083631845046 30.020861278427, -90.083618834172 30.020969182016, -90.08361279701 30.021077550571, -90.083613753406 30.021186043242, -90.083621699374 30.02129431805, -90.083629398447 30.021359175785, -90.083640781989 30.021423639934, -90.083655715373 30.021487533286, -90.083677120711 30.02155958817, -90.083705719027 30.021684525346, -90.083727391087 30.021788498708, -90.083775478795 30.022034324035, -90.083794535702 30.022160264121, -90.083819602806 30.022287950187, -90.083812657563 30.022374062321, -90.083813531742 30.022388527755, -90.083816017974 30.022439326361, -90.083816618607 30.022480005842, -90.083817372654 30.022531029804, -90.083813309816 30.02275049993, -90.083796426259 30.022971187276, -90.083784126339 30.02309523917, -90.083771997975 30.023198483939, -90.083754978135 30.02327929556, -90.083687490953 30.023610035137, -90.083663367279 30.023761870464, -90.083642831156 30.023896145686, -90.083631589391 30.023992080959, -90.083620506142 30.024120533655, -90.08361506713 30.024229886741, -90.083603183277 30.024401117695, -90.083602058791 30.024518628974, -90.083606665659 30.024772063186, -90.083611971497 30.02491662442, -90.083615642006 30.024960617996, -90.083624116915 30.025047561217, -90.083630813445 30.025136427326, -90.083641902079 30.025290386794, -90.083651467025 30.025371433536, -90.083660032995 30.02540851296, -90.083665729022 30.025424665282))",44931,BEAUREGARD,1014,{95371A25-9B5C-4A7E-A140-B191050E7567},,,,1,,0,0,2008,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:03 PM +0000,NOTMP,Wisner,Shared Lane,Completed,0.33004476,0.66000002,0.33004476,,1742.6363784411969
"MULTILINESTRING ((-90.135310513276 29.942237742478, -90.135022795915 29.940157349574, -90.135004341731 29.94007005549, -90.134978798917 29.93998412596, -90.134946298976 29.939899998853, -90.134907005669 29.939818099701, -90.134797253852 29.939629687165, -90.13476714406 29.939585408673, -90.134733528023 29.939543086734, -90.134696574138 29.939502932195, -90.13458661596 29.939373760352, -90.134552552747 29.939332370799, -90.134524416784 29.939287730397, -90.134502610583 29.939240480691, -90.134487448176 29.939191298507, -90.134479146896 29.939140890466, -90.134468133984 29.939060699643, -90.133929333795 29.934959671055, -90.133914096654 29.934795684461, -90.133905082954 29.934648084875, -90.133898339619 29.934550931345, -90.133892779904 29.934445018977, -90.133893476245 29.934327262393, -90.133900660897 29.934238065352, -90.13390268947 29.93412909054, -90.133897854725 29.93395984045, -90.133905636405 29.931790714598, -90.133902007692 29.931467940137, -90.133904422257 29.931395192256, -90.13391250531 29.931322756798, -90.133924995678 29.931267745603, -90.13393778675 29.931203053561, -90.133943046454 29.931137568367, -90.133944035773 29.930774767247, -90.133934237692 29.929699165458, -90.133931652199 29.928996348664, -90.13392958858 29.928745634694))",44961,MRT EAST,1131,{57EE6F11-025B-41AA-A15E-16548C956EBC},,,,1,,False,0,1995,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,NOTMP,MRT East,Shared Use Path,Completed,0.94069519,1.88139038,0.94069519,,4966.8706226020431
"MULTILINESTRING ((-90.077605110243 29.979569005285, -90.077547239901 29.97973858015, -90.077516764586 29.979929607818, -90.077482854331 29.980152850898, -90.077470472261 29.980231692702, -90.07745847403 29.980301529459, -90.077387458258 29.980714886973, -90.077373346268 29.980797028831, -90.077263226851 29.981305201352, -90.077249812855 29.981365064919, -90.077241500456 29.981402162634, -90.077155284854 29.981778636356, -90.077138803118 29.981849853991, -90.077125888825 29.981910268157, -90.077116074508 29.981956181593, -90.077075882842 29.982124242293, -90.077021457253 29.98235181765, -90.077010567722 29.982380647128, -90.077003930982 29.982393797751, -90.076973257505 29.982466779983, -90.076972902862 29.982471404104, -90.076958922485 29.982653969185, -90.076890383712 29.982970263469, -90.076876700969 29.983033408518, -90.076864753383 29.983087481126, -90.076758639421 29.983559883882, -90.076638148963 29.984099226894, -90.076631044809 29.984130956135, -90.076544818566 29.984504531308, -90.076491379336 29.984765489962, -90.076461804842 29.98489880793, -90.076418656674 29.985093307779, -90.076389598853 29.985216532974, -90.076270002123 29.985766468976, -90.076256008415 29.985831940513), (-90.076256194889 29.985831946805, -90.076239460147 29.985906852878, -90.07623462513 29.985928494349, -90.076173657778 29.986201385922, -90.076137279524 29.986330665423, -90.076079836211 29.986432055372, -90.076048163469 29.986487959556, -90.076024173573 29.986530302719, -90.075929843015 29.986696799263, -90.075928858271 29.986698537462, -90.075906634574 29.986735024002, -90.075837610742 29.986848345191, -90.075594534965 29.987253330596, -90.07544086863 29.987512699466, -90.075265892439 29.987801163282, -90.075230946886 29.987846706431, -90.075209066444 29.987870975517, -90.075185909934 29.987893946734, -90.075104470623 29.987965076386, -90.075017594594 29.988031152992, -90.07492569521 29.988091862007, -90.074744126926 29.988213247041, -90.074589963698 29.988316310805, -90.074424095675 29.988426436925))",44829,GENTILLY BLVD,1065,{56438F0E-4006-40B0-A215-5F5B6EE551D8},,,,0,,True,1,2013,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:35:16 PM +0000,NOTMP,,Bike Lane,Completed,0.65493645,0.65493645,0.32746823,,3458.064389839154
"MULTILINESTRING ((-90.10233480342 29.960910561969, -90.10239158841 29.960841110312, -90.102451616693 29.960767692112, -90.102495875315 29.960716318402, -90.102626332028 29.960553376097, -90.102664548967 29.960504501828, -90.102980581332 29.960078299503, -90.103524360671 29.959344255894))",44781,S JEFFERSON DAVIS PW,1194,{9C5584F8-FC7D-4C73-A28D-669E575C5504},,,,0,,True,1,2012,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:33:39 PM +0000,NOTMP,,Bike Lane,Completed,0.12936029,0.12936029,0.06468014,,683.02234561679575
"MULTILINESTRING ((-90.063591807346 29.965814084868, -90.063663685782 29.965863006025, -90.063722647978 29.965903135738, -90.063788739729 29.965948117812, -90.063788873282 29.965948208421, -90.063894979169 29.966022507269, -90.064027172435 29.96611507242, -90.064167115341 29.966212148425, -90.064208126368 29.966240736728, -90.064312352889 29.966315059511, -90.064613575772 29.966527616175, -90.064739372349 29.966612556455, -90.065139505341 29.966888555363, -90.065440559416 29.967096077639, -90.065550341788 29.967174972197, -90.065817667006 29.967360602725, -90.06599968516 29.967481397316, -90.06605009816 29.967514852862, -90.066162156174 29.967591855186, -90.066319595487 29.967700041321, -90.0664822575 29.967811670813, -90.066644281524 29.967923792889, -90.066976727804 29.968151499688, -90.066976948676 29.968151650681, -90.067034292302 29.968190927835, -90.067199858619 29.968305967712, -90.067222903194 29.968321979287, -90.067384147662 29.968433520917, -90.067464541627 29.968488958343, -90.067743779386 29.968681513055, -90.067805353554 29.968723973003, -90.068199527622 29.968996032703, -90.068321737932 29.96908038193, -90.068440125032 29.969162092273, -90.068508438054 29.969209241465))",44778,ESPLANADE AVE,1049,{B50D189A-53FD-487B-92E7-29168A311A26},,,,0,,True,1,2014,1Q,,1,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:33:39 PM +0000,2030,,Shared Lane,Completed,0.37632644,0.37632644,0.18816322,,1987.0036113855133
"MULTILINESTRING ((-90.099457438195 29.951435053628, -90.099308823085 29.951469318598, -90.099297716989 29.951471719018, -90.099152342588 29.951503131594, -90.099072581446 29.951520367504, -90.099026713074 29.95153027855, -90.098998621094 29.951536349554, -90.098992740276 29.951537621561, -90.098939386882 29.951549170275, -90.098937314007 29.951549651564, -90.098788477487 29.951584198073, -90.098761200738 29.951590529299, -90.098573529026 29.951632503708, -90.09856567058 29.951634261483, -90.098493747641 29.95165219584, -90.098443477641 29.951666907623, -90.098391134467 29.951685220562, -90.098356906689 29.951699010129, -90.098339829232 29.951705890815, -90.098293558438 29.951727040468, -90.098289506305 29.951728892597, -90.098248227876 29.951751075227, -90.098212029531 29.951775155995, -90.098211942811 29.951775214728, -90.098183490692 29.951796727385, -90.098183462432 29.951796750578, -90.098157294347 29.951818885552, -90.098153421897 29.9518223751, -90.098120636566 29.951854466266, -90.098090671129 29.951888584132, -90.098081796325 29.951899795785, -90.098066417938 29.951920653431, -90.098036281533 29.951974520308, -90.098021657292 29.952005510711, -90.098008674792 29.952037453939, -90.097997380403 29.952070370276, -90.097986043418 29.952114007362, -90.09797856458 29.952150708268, -90.097973088312 29.952191938202, -90.097970358223 29.952239560928, -90.09797244008 29.952298943332, -90.09798230753 29.952387480279, -90.097979997866 29.95241838329, -90.097974951673 29.95244579516, -90.097964952543 29.952478692075, -90.097950404244 29.952511323429, -90.097927426339 29.952549242978, -90.097888566032 29.952601938023, -90.097849704649 29.952654633046, -90.097721358205 29.952828667213, -90.097370730148 29.95330728462, -90.09733422996 29.953352575448))",45026,S BROAD ST,1191,{D714C24C-EA29-4CC4-875B-729DFD52358C},,,,0,,True,1,2015,3Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:41:46 PM +0000,2030,,Bike Lane,Completed,0.20274685,0.20274685,0.10137343,,1070.5033892320473
"MULTILINESTRING ((-90.089402518292 29.929144503673, -90.08945557635 29.929122040028, -90.090154315481 29.928826200691, -90.09020649575 29.928804494443, -90.09020659987 29.928804451218, -90.090322325141 29.928756310998, -90.0903955315 29.928725858647, -90.090669114154 29.9286231856, -90.091347273679 29.928378970529, -90.091399058924 29.928360750807, -90.091543210888 29.928310031356), (-90.080651933743 29.934193067065, -90.080729582774 29.934142224144, -90.08074999723 29.934128728986, -90.081043768662 29.933937512982, -90.081047606825 29.933935015155, -90.08138661092 29.933714356131, -90.081499002085 29.933642296329, -90.081673758545 29.933530251129, -90.081710492546 29.933506699657, -90.081710818356 29.933506490733, -90.082058922287 29.93327883948, -90.082158244057 29.933218676118, -90.08217525561 29.933208628278, -90.082237686244 29.933171753316, -90.082505901197 29.933012377925, -90.082688848688 29.932903668122, -90.082720933446 29.932884650084, -90.082777167573 29.932853446925, -90.082859654654 29.932807676874, -90.083532003796 29.932434061408, -90.083587489641 29.932403097105, -90.084339930709 29.931983184404, -90.084395031778 29.931952466028, -90.084896174216 29.931673084548, -90.085147893691 29.931530077022, -90.085200941713 29.931500064225, -90.086047376189 29.931021177874, -90.086106984903 29.930987664915, -90.08666871268 29.930671321988, -90.086697566244 29.930654789589, -90.086734047991 29.930634086284, -90.087124809606 29.930412331371, -90.087322764427 29.930301652444, -90.087348782253 29.930287313431, -90.087406450945 29.93025554808, -90.08749674678 29.930205811626, -90.088163082576 29.929838040688, -90.088216567444 29.92980732257, -90.088572485863 29.929602908277, -90.088653987565 29.929556731026, -90.088928617571 29.929405444922, -90.088970246154 29.92938393257, -90.089021897626 29.929355334167, -90.089355565756 29.929170589741, -90.089402771651 29.929144952673))",45091,ST CHARLES AVE,1244,{5F267C7F-A0A0-45B2-8FAB-FBF0F975F058},,,,0,,1,1,2017,4Q,,,,KRODRIGUEZ,02/15/2018 10:05:41 PM +0000,KRODRIGUEZ,04/17/2019 03:24:05 PM +0000,2030,<Null>,Shared Lane,Completed,0.77064556,3.04699993,0.38532278,,4069.0086301241854
"MULTILINESTRING ((-90.104234191397 29.948985658571, -90.104233621363 29.948985760611, -90.104215305621 29.948989956289, -90.104215258861 29.948989967582, -90.104194998889 29.948997075525, -90.104194934362 29.948997099282, -90.104181609198 29.949003393237, -90.104180971993 29.949003733739, -90.104178846518 29.949004875049, -90.103520775214 29.949366787109, -90.103380854862 29.949438537881, -90.103295379921 29.949482368357, -90.103081665272 29.949579468073, -90.103023950733 29.949609079914, -90.102740997541 29.949766500466, -90.102676931186 29.949803731594, -90.102608802545 29.94984667097, -90.102491162511 29.949940453143, -90.102457853187 29.949973864946, -90.102416328085 29.950023990304, -90.102267458974 29.9501441815, -90.102237078796 29.950165887206, -90.102174097001 29.950204103545, -90.102096913736 29.950247731143, -90.101900533032 29.950358286357, -90.101803604373 29.950412853433, -90.10171976244 29.950458724578, -90.101627001731 29.950511683975, -90.101383988591 29.950643319978))",44970,S BROAD ST,1190,{D2D052A0-6303-4683-AB0D-E3C3B02DDC0F},,,,0,,True,1,2015,3Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:40:55 PM +0000,2030,,Bike Lane,Completed,0.2064747,0.2064747,0.10323735,,1090.1864499542653
"MULTILINESTRING ((-90.103801602956 29.958714111101, -90.103714090853 29.95872058246, -90.10359124938 29.958734837309), (-90.10359124938 29.958734837309, -90.103612114668 29.958617577985, -90.103616503698 29.958563352894), (-90.10359124938 29.958734837309, -90.103575137521 29.958825385579, -90.103564408909 29.958865782571, -90.103548199143 29.958898028165, -90.103533928848 29.958923813007, -90.103512284705 29.958950836257, -90.103204293901 29.959363803623, -90.103189637736 29.959384736266, -90.103175856309 29.959412792027, -90.103169455036 29.959436662791, -90.10316907479 29.959467503589, -90.1031692675 29.959600452696, -90.103167127698 29.95962542702, -90.103160732972 29.959648765532, -90.103147581378 29.959675232045, -90.102906045223 29.959996833638, -90.102550909766 29.960472932992, -90.102523424122 29.960505344564, -90.102475922199 29.960544478143, -90.10242855388 29.960572695135, -90.102369441293 29.960600119267, -90.102324374185 29.960632452044, -90.102283123249 29.960673008193, -90.102247298064 29.960718392368, -90.102190738399 29.960792924695, -90.102138589195 29.960892086587, -90.102109173805 29.960937444082, -90.101977972726 29.961093257654, -90.101646370629 29.961481538421, -90.100815630703 29.962479223573, -90.099956351399 29.963501209901, -90.09872000977 29.96496402351, -90.098349201635 29.965466720872, -90.096325161692 29.96772527401, -90.09457473133 29.969681814407, -90.09272402945 29.97174663042, -90.092365607127 29.972160603772, -90.091873288247 29.972706169248, -90.091858834925 29.972725607559, -90.091840732586 29.972742571832, -90.091819526494 29.97275654753, -90.091795860238 29.972767113068, -90.09177044972 29.972773948593, -90.091724321545 29.972779242544, -90.091694799826 29.972792013795, -90.091667953082 29.972808669089, -90.091644450715 29.972828794306))",44786,JEFF DAVIS TR,1095,{AC872870-C097-49BF-A5DE-F27FEA83A699},,,,1,,False,0,1981,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,NOTMP,,Shared Use Path,Completed,1.23818174,2.47636348,1.23818174,,6537.5995972872734
"MULTILINESTRING ((-90.067770594917 29.987833933752, -90.067481385038 29.988125579134, -90.067394572252 29.988220802221, -90.067267864729 29.988366331179, -90.067169476041 29.988476049781, -90.067152184585 29.988496506485, -90.067139691339 29.988511286536, -90.067084150061 29.988586448839, -90.067080523449 29.988591356334, -90.067017250537 29.988677108518, -90.066929804828 29.988833946201, -90.066897987922 29.988903105915, -90.066861318266 29.988994638292, -90.06684133894 29.989051518036, -90.066813661677 29.989145066777, -90.066790268614 29.989256115667, -90.066767408161 29.989336398431))",44809,N BROAD ST,1144,{D25495AD-DE6F-4830-BF61-B873E7BBC5CC},,,,0,,True,1,2011,3Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:34:34 PM +0000,2010,,Shared Lane,Completed,0.12170082,0.12170082,0.06085041,,642.58032712763224
"MULTILINESTRING ((-90.104588352389 29.973061051038, -90.104720418079 29.973149160813, -90.105298662574 29.973539673188, -90.105522951014 29.973697425372, -90.105559073937 29.973722832423, -90.105731439222 29.973837637643, -90.106301681518 29.974223905296, -90.106443326557 29.974319851798, -90.106492956448 29.974353469314, -90.107353309225 29.974936535924, -90.107441112662 29.974996039747, -90.107741747763 29.975200580159, -90.107819027214 29.975253152291, -90.10827429165 29.975560420084, -90.108326548162 29.975595688949, -90.108514888373 29.97572499618, -90.108659193341 29.975824516137, -90.109187945574 29.976183357926))",44709,BANKS AVE,1009,{116DCB68-5024-4ABE-ABAC-261355412BAC},,,,0,,1,1,2014,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:24:01 PM +0000,2030,,Bike Lane,Completed,0.34974519,0.34999999,0.1748726,,1846.6546366472855
"MULTILINESTRING ((-90.115263281893 30.012117043513, -90.115169556262 30.012084162119, -90.11509092987 30.012055187124, -90.115031707343 30.012032040411, -90.114973531457 30.012011729099, -90.114913249818 30.011986689606, -90.114858376978 30.011961700141, -90.114758437836 30.011906163126, -90.114676888389 30.011850796251, -90.114606077051 30.011802119416, -90.114509313591 30.011752261285, -90.11447595046 30.011737828225, -90.114390741559 30.011716324476, -90.114288135764 30.011694437648, -90.114252077862 30.011675975543, -90.114217835921 30.011673904574))",44673,WEST END CROSSOVER 2,1238,{98B952EE-07CD-4222-831F-39AF1624F9AE},,,,1,,False,0,,,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 07:56:24 PM +0000,2030,,Shared Use Path,Completed,0.07044629,0.14089258,0.07044629,,371.95633807042321
"MULTILINESTRING ((-90.068855511151 29.951025446641, -90.069391403972 29.951238030462, -90.070038973807 29.951494911899, -90.071219246142 29.951960273942))",44835,GRAVIER ST,1084,{7E5EDFE1-97D7-4260-B458-F81D6CA48901},,,,0,,False,0,2010,4Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:35:16 PM +0000,NOTMP,,Shared Lane,Completed,0.15570859,0.15570859,0.15570859,,822.1413146546347
"MULTILINESTRING ((-90.101262857133 29.983424697637, -90.101389818685 29.983509484069, -90.10150627174 29.983582251878, -90.101789965317 29.983680949885, -90.101862940099 29.983704215267, -90.101931581966 29.983722429132, -90.102012861554 29.983741648973, -90.102052731755 29.983754036833, -90.102077906548 29.983763275599, -90.102093374315 29.983770099436, -90.102107593623 29.983778739494, -90.10212865517 29.983796026386, -90.10214644499 29.98381590543, -90.102160546999 29.983837912601, -90.102170633843 29.983861532377, -90.102176468754 29.983886214896, -90.102177914804 29.983911382358, -90.102174939837 29.983936448921))",44718,ORLEANS AVE,1168,{50C67E8B-CDA5-4EF5-975A-356BAD361B2A},,,,0,,True,1,2011,1Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:32:55 PM +0000,2030,,Shared Lane,Completed,0.06892485,0.06892485,0.03446243,,363.92326373440051
"MULTILINESTRING ((-90.066767408161 29.989336398431, -90.066766260569 29.989541371742, -90.066767858233 29.989663439952, -90.06677387037 29.989830546341, -90.066792396546 29.990088509778, -90.066808162372 29.990278752797, -90.066816321074 29.990349626086, -90.066832009064 29.990576615915, -90.066837894921 29.990651973036, -90.066845174696 29.990740156045, -90.066851569738 29.99081761483, -90.066852404485 29.990829174933, -90.066857388903 29.990898226758, -90.06687092542 29.990969056141, -90.066879056273 29.991011601133, -90.066889358287 29.991065511573, -90.066905108153 29.991216385869, -90.066909934588 29.991262619836, -90.066912119486 29.991277556416, -90.066917790576 29.991357673394, -90.066934870665 29.991567214932, -90.066939190485 29.991601025816, -90.066972618768 29.99231508919, -90.066977124965 29.992380103454, -90.066982166372 29.992452843192, -90.066990007267 29.992544036871, -90.067008469836 29.992758764105, -90.067021268952 29.992907623263))",44807,NEW ORLEANS ST,1164,{7F58142C-858D-4AC8-93DB-65779A8BE910},,,,0,,False,0,2011,3Q,,,,AKKUEMMEL,02/02/2017 12:00:00 AM +0000,KRODRIGUEZ,04/17/2019 03:34:34 PM +0000,2030,,Shared Lane,Completed,0.24657819,0.24657819,0.24657819,,1301.9328557007398
