Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Union Description,Bargaining Unit Short Name,Bargaining Unit Description,Minimum Salary Rate,Maximum Salary Rate
12204,SUPERVISOR OF HOUSING STOCK WO,35,01,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,48828.00,61687.00
12204,SUPERVISOR OF HOUSING STOCK WO,35,02,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,54260.00,64851.00
12204,SUPERVISOR OF HOUSING STOCK WO,35,03,420,TEAMSTERS LOCAL 237 (HA),IBT,Intl Brotherhood of Teamsters,66411.00,79065.00
12603,LEGISLATIVE ANALYST AIDE (CITY,35,00,883,MGRL TEMP - PROP EX,N/U,Non-Union,63301.00,252165.00
12611,LEGISLATIVE ANALYST,35,00,664,UNCLASSIFIED OJ,N/U,Non-Union,3000.00,100000.00
12626,STAFF ANALYST,35,01,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,57590.00,68181.00
12626,STAFF ANALYST,35,02,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,66875.00,74479.00
12627,ASSOCIATE STAFF ANALYST,35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,75591.00,97873.00
12628,EDUCATION ANALYST,35,01,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,33760.00,39968.00
12628,EDUCATION ANALYST,35,02,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,39202.00,43658.00
12629,ASSOCIATE EDUCATION ANALYST,35,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,65120.00,84313.00
1262C,EDUCATION ANALYST (UNION),37.5,00,430,EDUCATION ANALYST- DOE,N/U,Non-Union,58936.00,76208.00
1262D,ASSOCIATE EDUCATION ANALYST (U,37.5,00,430,EDUCATION ANALYST- DOE,N/U,Non-Union,75828.00,98181.00
1262E,STAFF ANALYST (DOE - OJ),35,01,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,46592.00,55157.00
1262E,STAFF ANALYST (DOE - OJ),35,02,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,54101.00,60252.00
1262F,ASSOCIATE STAFF ANALYST DOE OJ,35,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,61157.00,79182.00
12632,SPECIAL ASSISTANT TO THE DISTR,35,00,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,33000.00,113500.00
12633,EDUCATION OFFICER,35,01,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,49611.00,64156.00
12633,EDUCATION OFFICER,35,02,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,65120.00,84313.00
12634,*ASSOCIATE EDUCATION OFFICER,35,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,71897.00,93086.00
12635,SR MANAGEMENT CONSULTANT (ACCO,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12638,Senior Management Consultant,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
1263A,EDUCATION OFFICER (UNION),37.5,01,430,EDUCATION ANALYST- DOE,N/U,Non-Union,58938.00,76208.00
1263A,EDUCATION OFFICER (UNION),37.5,02,430,EDUCATION ANALYST- DOE,N/U,Non-Union,77352.00,100155.00
1263B,*ASSOCIATE EDUCATION OFFICER (,37.5,00,430,EDUCATION ANALYST- DOE,N/U,Non-Union,86221.00,111640.00
12644,SENIOR MANAGEMENT CONSULTANT (,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12645,SENIOR MANAGEMENT CONSULTANT (,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12646,*ASSISTANT SYSTEMS ANALYST (FI,35,00,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,37832.00,70055.00
12647,*SYSTEMS ANALYST,35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,38141.00,70045.00
12648,*SENIOR SYSTEMS ANALYST,35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,42189.00,78803.00
12650,*SUPERVISING SYSTEMS ANALYST,35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,51648.00,69438.00
12651,*SR SYSTEMS ANALYST - EDP(HMH),35,00,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,45287.00,84587.00
12652,*SR MANAGEMENT CONSULTANT HMH,35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,56884.00,124361.00
12675,DIRECTOR EMPLOYEE MANAGEMENT D,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12676,DIRECTOR OF TRAINING (POLICE D,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12702,MONITOR,35,00,660,PART TIME OJ,N/U,Non-Union,15.00,16.00
12704,TESTS AND MEASUREMENT SPECIAL,35,01,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,57590.00,74479.00
12704,TESTS AND MEASUREMENT SPECIAL,35,02,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,66591.00,86175.00
12704,TESTS AND MEASUREMENT SPECIAL,35,03,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,75591.00,97873.00
12707,PENSION INVESTMENT ADVISOR,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12749,STAFF ANALYST TRAINEE,35,00,180,STAFF ANALYSTS,OSA,Organization of Staff Analysts,45123.00,47824.00
12750,EDUCATION ANALYST TRAINEE,35,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,25000.00,30000.00
12751,PSYCHOMETRICIAN,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12752,LABOR RELATIONS ANALYST TRAINE,35,00,661,COMPETITIVE OJ,N/U,Non-Union,49110.00,59832.00
12797,SECRETARY TO THE EXECUTIVE DIR,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,53811.00,70253.00
12798,SECRETARY TO COMMISSIONER (YOU,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,64829.00,89054.00
12799,SECRETARY TO CONFLICTS OF INTE,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,48440.00,68772.00
12800,CONFIDENTIAL SECRETARY OF ADMI,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,55224.00,71418.00
12801,EXECUTIVE SECRETARY TO VICE CH,35,00,883,MGRL TEMP - PROP EX,N/U,Non-Union,63301.00,252165.00
12803,SECRETARY TO THE EXECUTIVE DIR,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,49329.00,64650.00
12804,CONFIDENTIAL SECRETARY (KINGS,35,00,128,CLERICAL TITLES DC37,DC37,District Council 37,42896.00,55228.00
12805,ASSISTANT EXECUTIVE SECRETARY,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12816,CONFIDENTIAL SECRETARY TO THE,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,58926.00,234738.00
12820,EXECUTIVE SECRETARY,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,58926.00,234738.00
12823,EXEC SEC TO ADVISORY BD FOR LO,35,00,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,63301.00,252165.00
12827,SECRETARY (NYC COMMISSION TO T,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,52791.00,61595.00
12830,LAW SECRETARY,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12832,SECRETARY TO COMMUNITY SCHOOL,35,00,403,UNIQUE TITLES DB OF ED,N/U,Non-Union,27355.00,46609.00
12833,SECY TO THE DIRECTOR OF COLLEC,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,64905.00,89066.00
12834,SECRETARY TO THE DIRECTOR OF F,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,52791.00,69179.00
12840,EXECUTIVE SECRETARY TO THE DIR,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,84395.00,84395.00
12846,SECRETARY TO COMMISSIONER OF B,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,52791.00,69179.00
12849,Secretary to the Deputy Mayor,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,59454.00,83535.00
12851,SECRETARY,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,63036.00,63036.00
12854,SECRETARY OF THE AUTHORITY,35,00,792,HA EXEMPT CLASS MANAGER,N/U,Non-Union,44558.00,137387.00
12855,SECRETARY OF THE BOARD,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,33000.00,113500.00
12856,SECRETARY OF THE BOARD OF EDUC,35,00,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,33000.00,113500.00
12857,SECRETARY OF THE DEPARTMENT (H,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12858,SECRETARY OF THE COMMISSION,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12859,SECRETARY TO THE DEPARTMENT (F,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
1285A,SECRETARY (MANAGERIAL),35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12860,SECRETARY OF THE TAX COMMISSIO,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,41000.00,47277.00
12862,SECRETARY OF COMM(7 AGENCIES),35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,53992.00,91196.00
12862,SECRETARY OF COMM(7 AGENCIES),35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,55612.00,93932.00
12867,SECRETARY TO DEPARTMENT,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12868,SECRETARY TO ONE DEPUTY COMMIS,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,70000.00,95000.00
12869,SECRETARY TO THE DEPUTY COMMIS,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,46662.00,81102.00
12871,SECRETARY TO THE CHAIRMAN (TAX,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,48539.00,67763.00
12872,SECRETARY TO THE CHAIRMAN,35,00,620,NON COMPETITIVE OJ (HA),N/U,Non-Union,1.00,200000.00
12875,SECRETARY TO THE COMMISSIONER,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,68972.00,93063.00
12876,SECRETARY TO THE COMMISSIONER,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,32070.00,128280.00
12879,SECRETARY TO THE CORPORATION C,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,58926.00,234738.00
12880,SECRETARY TO THE DEPARTMENT,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12882,SECRETARY TO THE PRESIDENT,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,43702.00,83650.00
12885,SECRETARY TO THE DEPUTY BORO P,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,49284.00,49284.00
12886,SECRETARY TO VICE CHAIRMAN,35,00,883,MGRL TEMP - PROP EX,N/U,Non-Union,63301.00,252165.00
12888,SECRETARY TO THE DIRECTOR OF M,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,64905.00,89066.00
12889,ASSISTANT SECRETARY TO THE COM,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,45000.00,99000.00
12890,SECRETARY TO MINORITY LEADER,35,00,883,MGRL TEMP - PROP EX,N/U,Non-Union,63301.00,252165.00
12891,SECRETARY TO THE BOARD OF CORR,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,55434.00,55434.00
12896,SECRETARY TO THE FIRE COMMISSI,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,68972.00,93063.00
12898,SECRETARY TO PRESIDENT OF THE,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,33000.00,103000.00
12899,SECRETARY TO THE COMPTROLLER,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,61506.00,61506.00
1289A,SECRETARY TO THE BOARD OF CORR,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12912,ASSISTANT DEPUTY COMMISSIONER,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12913,SECRETARY TO THE COMMISSIONER,40,00,662,NON COMPETITIVE OJ,N/U,Non-Union,62998.00,86458.00
12917,FIRST DEPUTY CITY ADMINISTRATO,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12920,ASSISTANT COMMISSIONER (DEPT O,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12927,ASSISTANT COMMISSIONER (PROGRA,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12929,ASSISTANT COMMISSIONER (BUDGET,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12930,DEPUTY CITY CLERK,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12931,ASSISTANT DEPUTY COMMISSIONER,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
12932,ASSISTANT COMMISSIONER (EQUAL,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12933,SECRETARY TO THE FIRST DEPUTY,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,45978.00,88649.00
12935,DEPUTY COMMISSIONER,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12936,SPECIAL DEPUTY COMMISSIONER (D,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12939,DEPUTY COMMISSIONER (YOUTH SER,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12940,DEPUTY MAYOR,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12941,DIRECTOR OF FRANCHISES,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12942,FIRST DEPUTY MAYOR,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12945,FIRST DEPUTY COMMISSIONER,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12947,SECRETARY TO THE COMMISSIONER,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,65318.00,86807.00
12948,FIRST DEPUTY COMMISSIONER GENE,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12953,SECRETARY TO COUNSEL (HA),35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,58068.00,72292.00
12956,EXECUTIVE SECRETARY (EEPC),35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,80000.00,80000.00
12957,SECRETARY TO DEPUTY EXECUTIVE,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,57192.00,72292.00
12961,DEPUTY BOROUGH PRESIDENT,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
12962,SECRETARY TO THE FIRST DEPUTY,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,53086.00,80223.00
12963,SECRETARY TO MEMBER (HA),35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,56617.00,71564.00
12964,SECRETARY TO EXECUTIVE DIRECTO,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,59882.00,78923.00
12985,"CHAIRMAN, FINANCE COMMITTEE",35,00,887,ELECTED OFFICIALS,N/U,Non-Union,3000.00,77500.00
12986,CHAIRMAN COMMISSION ON HUMAN R,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
12987,FIRST DEPUTY CITY CLERK,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
12988,CITY CLERK & CLERK OF COUNCIL,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
12989,VICE CHAIRMAN MAJORITY LEADER,35,00,887,ELECTED OFFICIALS,N/U,Non-Union,3000.00,77500.00
12990,MEMBER OF THE HOUSING AUTHORIT,35,00,793,HA UNCLASSIFIED SERVICE MANAGE,N/U,Non-Union,44558.00,137387.00
12991,COMMISSIONER,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
12992,CHAIRMAN,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
12993,PRESIDENT,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
12994,BOROUGH PRESIDENT,35,00,887,ELECTED OFFICIALS,N/U,Non-Union,135000.00,179200.00
12994,BOROUGH PRESIDENT,35,00,887,ELECTED OFFICIALS,N/U,Non-Union,160000.00,179200.00
12995,MAYOR,35,00,887,ELECTED OFFICIALS,N/U,Non-Union,1.00,258750.00
12997,COMMISSIONER DESIGNATED AS VIC,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
1299A,COMMISSIONER (NOT FULL-TIME),35,00,664,UNCLASSIFIED OJ,N/U,Non-Union,39154.00,156000.00
13002,COMMISSIONER OF EMERGENCY MANA,35,00,774,UNCLASSIFIED MANAGER,N/U,Non-Union,63301.00,252165.00
13003,FIRST DEPUTY COMMISSIONER (FD),35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13004,FIRST DEPUTY COMMISSIONER (BUI,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13005,FIRST DEPUTY COMMISSIONER (DOC,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13079,DIRECTOR OF PERSONNEL (HA),35,00,720,COMPETITIVE OJ (HA),N/U,Non-Union,58926.00,234738.00
13117,ASSISTANT TRANSIT MANAGEMENT A,35,00,661,COMPETITIVE OJ,N/U,Non-Union,26481.00,34245.00
13198,RESEARCH AND LIAISON COORDINAT,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13200,ASSISTANT TO THE COMMISSIONER,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13201,ADMINISTRATIVE ASSISTANT TO TH,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13202,ASSISTANT TO CITY ADMINISTRATO,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13204,EXECUTIVE ASSISTANT TO THE COM,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13206,ASSISTANT TO THE CHAIRMAN,35,00,792,HA EXEMPT CLASS MANAGER,N/U,Non-Union,44558.00,137387.00
13207,ASSISTANT TO THE COMMISSIONER,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13208,ASSISTANT TO THE COMPTROLLER,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13209,ASSISTANT TO THE MAYOR,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13210,ASSISTANT TO THE PRESIDENT,35,00,888,"EXEMPT SOME MANAGERIAL,SOME NO",N/U,Non-Union,63301.00,252165.00
13211,ASSISTANT TO DEPUTY COMPTROLLE,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13217,ASSISTANT TO POLICE COMMISSION,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13219,EXECUTIVE ASSISTANT TO THE CHI,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
1321A,ASSISTANT TO THE PRESIDENT (PM,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13220,CONFIDENTIAL ASSISTANT TO BOAR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,87800.00,113924.00
13222,EXECUTIVE ASSISTANT TO THE PRE,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13224,CONFIDENTIAL EXAMINER,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,40000.00,151181.00
13225,SPECIAL ASSISTANT (TAX COMMISS,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13229,CONFIDENTIAL ASSISTANT TO THE,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13231,EXECUTIVE ASSISTANT,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13232,EXECUTIVE ASSISTANT TO THE COM,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13240,EXECUTIVE ASSISTANT TO THE COM,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13243,SPECIAL ASSISTANT (RESEARCH AN,35,00,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,33000.00,113500.00
13244,SPECIAL ASSISTANT IN THE OFFIC,35,00,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,63301.00,252165.00
13247,ASST TO THE CHAIRMAN (COMM HUM,35,00,661,COMPETITIVE OJ,N/U,Non-Union,78827.00,96038.00
13250,LIAISON OFFICER TO THE MAYOR,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,57550.00,226351.00
13251,EXECUTIVE ASSISTANT TO COMMUNI,35,00,672,BOE NON-MANAGERIAL/NON-COMPETI,N/U,Non-Union,34568.00,118891.00
13252,CALENDAR ASSISTANT,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,61544.00,100935.00
13255,EXECUTIVE ASSISTANT FOR PLANNI,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13259,ASSISTANT TO THE DEPUTY MAYOR,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13260,EXECUTIVE ASSISTANT TO THE MAY,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13261,SPECIAL ASSISTANT TO THE MAYOR,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13262,SPECIAL ASSISTANT TO COMMISSIO,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,59039.00,177720.00
13264,EXECUTIVE ASSISTANT TO THE DIR,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13265,EXECUTIVE ASSISTANT TO THE DIR,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13266,Exec Asst to the Chairman,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,68969.00,106876.00
13272,EXECUTIVE ASST TO THE NYC COMM,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13273,Executive Assistant to the Ope,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,58641.00,72251.00
13275,DIRECTOR OF MANAGEMENT PLANNIN,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13283,EXECUTIVE ASSISTANT FOR INTERG,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13284,EXECUTIVE ASSISTANT FOR PROGRA,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13286,EXEC ASST TO THE DIR (MAYOR'S,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13288,SPECIAL ASSISTANT (BOE),35,00,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,63301.00,252165.00
13289,SPECIAL ASSISTANT TO MEMBER OF,35,00,780,BOE MANAGERIAL/NON-COMPETITIVE,N/U,Non-Union,63301.00,252165.00
13290,ASSISTANT TO THE COMMISSIONER,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,96452.00,96452.00
13291,EXECUTIVE ASSISTANT TO THE DIR,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13292,EXECUTIVE ASSISTANT (TAXI & LI,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13293,EXECUTIVE ASSISTANT TO THE CHA,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13304,SPECIAL ASSISTANT TO THE CHANC,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13327,LABOR RELATIONS TRIAL EXAMINER,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13341,DEPUTY DIRECTOR (OFFICE OF COL,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13347,EXECUTIVE ASSISTANT (BUILDINGS,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,53589.00,95951.00
13353,HEARING EXAMINER (HA),35,00,620,NON COMPETITIVE OJ (HA),N/U,Non-Union,47244.00,74470.00
13360,DIRECTOR OF LABOR MANAGEMENT R,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13361,"COMMISSIONER, UN & CONSULAR CO",35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13362,DIRECTOR OF COMMUNITY ASSISTAN,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13363,MEDIATOR (OLR),35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13364,CHIEF MEDIATOR (OLR),35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13365,ASSISTANT COMMISSIONER OF LABO,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,63301.00,252165.00
13366,DEPUTY COMMISSIONER OF LABOR R,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13367,COMMISSIONER OF LABOR RELATION,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13368,LABOR RELATIONS ANALYST,35,01,661,COMPETITIVE OJ,N/U,Non-Union,62684.00,75341.00
13368,LABOR RELATIONS ANALYST,35,02,661,COMPETITIVE OJ,N/U,Non-Union,72784.00,82298.00
13369,ASSOCIATE LABOR RELATIONS ANAL,35,00,661,COMPETITIVE OJ,N/U,Non-Union,82275.00,108156.00
13376,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13377,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13378,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13379,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13380,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13381,STRATEGIC INITIATIVE SPECIALIS,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,40000.00,200000.00
13382,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13383,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13384,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13385,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13386,STRATEGIC INITIATIVE SPECIALIS,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,40000.00,200000.00
13387,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
13388,EXECUTIVE PROGRAM SPECIALIST (,35,00,773,EXEMPT MANAGER,N/U,Non-Union,63301.00,252165.00
