LocationAbbr,LocationDesc,Year,Topic,Indicator,SubMeasure,Amount,Data_Value_Unit,Data_Value_Footnote_Symbol,Data_Value_Footnote,GeoLocation,TopicTypeId,TopicId,MeasureId,Source,SubMeasureID,DisplayOrder
ID,Idaho,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,24182770.02,$,,,"(43.682630005, -114.363730042)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ME,Maine,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,44873801.01,$,,,"(45.254228894001, -68.985031336)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AR,Arkansas,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,49970848.25,$,,,"(34.748650124, -92.274490743)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IN,Indiana,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,117354741.55,$,,,"(39.766910452, -86.149960194)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AZ,Arizona,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,100482950.76,$,,,"(34.86597028, -111.763811277)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,75488463.79,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AL,Alabama,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,98101756.33,$,,,"(32.840571122, -86.631860762)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
GA,Georgia,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,156472027.54,$,,,"(32.839681093, -83.627580346)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,256200401.94,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
UT,Utah,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,20552302.18,$,,,"(39.360700171, -111.587130635)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MN,Minnesota,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,184410711.00,$,,,"(46.355648736, -94.794200503)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
DC,District of Columbia,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,37384422.76,$,,,"(38.890371385, -77.031961127)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,47866113.57,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OR,Oregon,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,77426857.76,$,,,"(44.567449424, -120.155031326)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
DE,Delaware,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,28432752.52,$,,,"(39.008830667, -75.577741168)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ND,North Dakota,2002,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,25353818.86,$,,,"(47.475319779, -100.118421049)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ME,Maine,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,46729185.83,$,,,"(45.254228894001, -68.985031336)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,66493632.34,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IN,Indiana,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,130037761.12,$,,,"(39.766910452, -86.149960194)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KY,Kentucky,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,102552539.59,$,,,"(37.645970271, -84.774971048)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NE,Nebraska,2013,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,56205296.51,$,,,"(41.641040988001, -99.365720623)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
GA,Georgia,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,141210785.09,$,,,"(32.839681093, -83.627580346)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NH,New Hampshire,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,41911645.10,$,,,"(43.655950113, -71.50036092)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,50034013.41,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MN,Minnesota,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,366022358.00,$,,,"(46.355648736, -94.794200503)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
RI,Rhode Island,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,51756760.89,$,,,"(41.708280193, -71.522470314)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,78868920.74,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,35104897.25,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,88079225.13,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,168066389.07,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
UT,Utah,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,36426739.90,$,,,"(39.360700171, -111.587130635)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WI,Wisconsin,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,128568201.19,$,,,"(44.393191174, -89.816370742)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KS,Kansas,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,56856036.91,$,,,"(38.3477403, -98.200781227)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NC,North Carolina,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,136034867.11,$,,,"(35.466220975, -79.159250463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
PA,Pennsylvania,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,348843634.28,$,,,"(40.793730152, -77.860700294)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,589676518.89,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KS,Kansas,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,59124916.31,$,,,"(38.3477403, -98.200781227)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VT,Vermont,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,18995393.79,$,,,"(43.625381239, -72.517640791)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WY,Wyoming,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,13397329.88,$,,,"(43.235541343, -108.109830353)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
RI,Rhode Island,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,43665238.81,$,,,"(41.708280193, -71.522470314)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TX,Texas,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,422611447.00,$,,,"(31.827240407, -99.426770206)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MI,Michigan,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,256107015.54,$,,,"(44.661319543001, -84.71439027)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ND,North Dakota,2013,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,31515508.01,$,,,"(47.475319779, -100.118421049)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VT,Vermont,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,37277904.35,$,,,"(43.625381239, -72.517640791)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,96177544.21,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
DC,District of Columbia,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,28046860.39,$,,,"(38.890371385, -77.031961127)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,155071165.41,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NM,New Mexico,2014,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,14711671.10,$,,,"(34.520880952, -106.240580985)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ID,Idaho,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,21188002.80,$,,,"(43.682630005, -114.363730042)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AR,Arkansas,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,57047679.82,$,,,"(34.748650124, -92.274490743)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NH,New Hampshire,2003,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,38602456.29,$,,,"(43.655950113, -71.50036092)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,23420999.46,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NM,New Mexico,2019,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,34703111.10,$,,,"(34.520880952, -106.240580985)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NY,New York,2019,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,616022075.06,$,,,"(42.827001032, -75.543970427)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
GA,Georgia,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,146205873.58,$,,,"(32.839681093, -83.627580346)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ID,Idaho,2019,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,21014363.87,$,,,"(43.682630005, -114.363730042)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VA,Virginia,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,121623074.11,$,,,"(37.542680674, -78.457890463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,2004,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,21934649.54,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ME,Maine,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,50029359.22,$,,,"(45.254228894001, -68.985031336)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CT,Connecticut,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,118354526.61,$,,,"(41.56266102, -72.649840952)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,77953044.84,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,141267295.55,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,2004,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,802380615.28,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CT,Connecticut,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,108285996.31,$,,,"(41.56266102, -72.649840952)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NJ,New Jersey,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,262244309.88,$,,,"(40.130570048, -74.273691288)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WA,Washington,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,157471818.80,$,,,"(47.522278629, -120.47001079)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MA,Massachusetts,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,248741127.26,$,,,"(42.27687047, -72.082690675)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WA,Washington,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,118128833.97,$,,,"(47.522278629, -120.47001079)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,94587045.32,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,47665178.58,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MD,Maryland,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,137213399.95,$,,,"(39.290580964, -76.609260111)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AK,Alaska,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,19642630.82,$,,,"(64.845079957001, -147.722059036)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,65651121.61,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SC,South Carolina,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,83474566.50,$,,,"(33.998821303, -81.045371207)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2002,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,159620052.36,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MS,Mississippi,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,211149286.00,$,,,"(32.745510099, -89.538030825)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IL,Illinois,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,250996165.23,$,,,"(40.485010283, -88.997710178)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AZ,Arizona,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,105394083.04,$,,,"(34.86597028, -111.763811277)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
FL,Florida,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,364200000.00,$,,,"(28.932040377, -81.928960539)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IL,Illinois,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,273739561.58,$,,,"(40.485010283, -88.997710178)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ID,Idaho,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,23639053.33,$,,,"(43.682630005, -114.363730042)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,36472305.36,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
ME,Maine,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,53132290.74,$,,,"(45.254228894001, -68.985031336)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AK,Alaska,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,21765492.47,$,,,"(64.845079957001, -147.722059036)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TX,Texas,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,487573768.08,$,,,"(31.827240407, -99.426770206)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
HI,Hawaii,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,49266822.47,$,,,"(21.304850435, -157.857749403)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
AR,Arkansas,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,50523025.47,$,,,"(34.748650124, -92.274490743)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2001,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,136986551.26,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CO,Colorado,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,89065763.27,$,,,"(38.843840757, -106.133610921)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MO,Missouri,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,138071969.74,$,,,"(38.635790776, -92.566300053)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
UT,Utah,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,36547288.26,$,,,"(39.360700171, -111.587130635)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MD,Maryland,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,135641570.51,$,,,"(39.290580964, -76.609260111)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NM,New Mexico,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,38019931.31,$,,,"(34.520880952, -106.240580985)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,65870033.04,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MS,Mississippi,2003,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,149605074.00,$,,,"(32.745510099, -89.538030825)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NJ,New Jersey,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,287427595.64,$,,,"(40.130570048, -74.273691288)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MT,Montana,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,19622461.85,$,,,"(47.066528972, -109.424420645)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OR,Oregon,2015,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,76599953.44,$,,,"(44.567449424, -120.155031326)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
UT,Utah,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,25595402.88,$,,,"(39.360700171, -111.587130635)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,688571026.42,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
FL,Florida,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,353600000.00,$,,,"(28.932040377, -81.928960539)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OK,Oklahoma,2004,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,65131302.46,$,,,"(35.472031356, -97.521070214)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
PA,Pennsylvania,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,330835457.61,$,,,"(40.793730152, -77.860700294)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
LA,Louisiana,2002,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,156228530.63,$,,,"(31.312660644, -92.445680071)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
GA,Georgia,2009,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,175356598.06,$,,,"(32.839681093, -83.627580346)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
KY,Kentucky,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,115136615.59,$,,,"(37.645970271, -84.774971048)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
MS,Mississippi,2008,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,121267928.59,$,,,"(32.745510099, -89.538030825)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
CA,California,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,733925745.01,$,,,"(37.638640123, -120.999999538)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WY,Wyoming,2016,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,18266183.71,$,,,"(43.235541343, -108.109830353)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
NY,New York,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,589585995.47,$,,,"(42.827001032, -75.543970427)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2017,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,64039497.06,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
PA,Pennsylvania,1999,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,123594244.10,$,,,"(40.793730152, -77.860700294)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WY,Wyoming,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,14485178.91,$,,,"(43.235541343, -108.109830353)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IN,Indiana,2018,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,143613850.26,$,,,"(39.766910452, -86.149960194)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TX,Texas,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,512649776.00,$,,,"(31.827240407, -99.426770206)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VA,Virginia,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,115112902.55,$,,,"(37.542680674, -78.457890463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
TN,Tennessee,2011,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,136473964.73,$,,,"(35.68094058, -85.774490914)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OH,Ohio,2010,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,306144143.86,$,,,"(40.060210141, -82.404260056)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
RI,Rhode Island,2005,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,45830325.24,$,,,"(41.708280193, -71.522470314)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WI,Wisconsin,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,131092905.55,$,,,"(44.393191174, -89.816370742)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
OR,Oregon,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,61912077.56,$,,,"(44.567449424, -120.155031326)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
WV,West Virginia,2012,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,63668302.55,$,,,"(38.665510202, -80.712640135)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
VA,Virginia,2006,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,119263566.85,$,,,"(37.542680674, -78.457890463)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IL,Illinois,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,282520341.03,$,,,"(40.485010283, -88.997710178)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
IA,Iowa,2007,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,52790195.01,$,,,"(42.469400913, -93.816490556)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
SD,South Dakota,2000,Tobacco Settlement,Tobacco Settlement Payment,Tobacco Settlement Revenue - NAAG,20075682.65,$,,,"(44.353130053, -100.373530637)",POL,300POL,325TSR,National Association of Attorneys General,330TSR,1
