Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
MID. ATLANTIC,2015,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,52,,68,,187,,798,,954,,,
MARYLAND,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,14,,50,,182,,181,,"MARYLAND
(39.290583, -76.60926)",
WISCONSIN,2015,17,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,14,,67,,24,,207,,"WISCONSIN
(44.393191, -89.816366)",
WEST VIRGINIA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,12,,40,,39,,"WEST VIRGINIA
(38.665511, -80.712638)",
PACIFIC,2015,17,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,34,,105,,187,,1104,,1276,,,
INDIANA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,105,,155,,"INDIANA
(39.766913, -86.149956)",
NEW MEXICO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,62,,63,,"NEW MEXICO
(34.520881, -106.240578)",
OKLAHOMA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,13,,53,,102,,117,,"OKLAHOMA
(35.472031, -97.521068)",
ARKANSAS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,12,,29,,99,,66,,"ARKANSAS
(34.74865, -92.27449)",
COLORADO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,26,,48,,154,,"COLORADO
(38.843843, -106.133609)",
MICHIGAN,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,17,,56,,195,,207,,"MICHIGAN
(44.661322, -84.714386)",
PUERTO RICO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,34,,89,,170,,"PUERTO RICO
(18.248289, -66.49989)",
PENNSYLVANIA,2015,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,13,,25,,69,,223,,262,,"PENNSYLVANIA
(40.793734, -77.860697)",
MONTANA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,29,,60,,34,,"MONTANA
(47.066528, -109.424416)",
VERMONT,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,1,,7,,18,,25,,"VERMONT
(43.625384, -72.517637)",
DELAWARE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,15,,18,,22,,"DELAWARE
(39.008834, -75.577736)",
KENTUCKY,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,96,,112,,"KENTUCKY
(37.645973, -84.774968)",
E.S. CENTRAL,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,56,,155,,413,,626,,,
S. ATLANTIC,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,137,,236,,561,,2357,,2416,,,
NORTH CAROLINA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,27,,190,,327,,420,,"NORTH CAROLINA
(35.46622, -79.15925)",
CALIFORNIA,2015,17,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,14,,80,,133,,798,,992,,"CALIFORNIA
(37.638642, -120.999996)",
MASSACHUSETTS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,22,,53,,203,,205,,"MASSACHUSETTS
(42.276874, -72.082687)",
ALABAMA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,54,,66,,226,,"ALABAMA
(32.840572, -86.631857)",
C.N.M.I.,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
ARIZONA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,19,,41,,244,,214,,"ARIZONA
(34.865974, -111.763807)",
ALASKA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,16,,21,,"ALASKA
(64.845078, -147.72206)",
NEBRASKA,2015,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,2,,5,,13,,71,,32,,"NEBRASKA
(41.641044, -99.365719)",
TENNESSEE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,16,,54,,153,,168,,"TENNESSEE
(35.680941, -85.774487)",
DIST. OF COL.,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,15,,DIST. OF COL.,
WASHINGTON,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,14,,64,,139,,93,,"WASHINGTON
(47.522288, -120.470028)",
FLORIDA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,76,,104,,226,,1075,,1111,,"FLORIDA
(28.932043, -81.928958)",
WYOMING,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,6,,18,,18,,"WYOMING
(43.235541, -108.109827)",
SOUTH CAROLINA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,21,,77,,194,,163,,"SOUTH CAROLINA
(33.998822, -81.045366)",
LOUISIANA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,25,,21,,50,,181,,169,,"LOUISIANA
(31.312663, -92.445678)",
RHODE ISLAND,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,2,,12,,17,,22,,"RHODE ISLAND
(41.708281, -71.522466)",
MISSOURI,2015,17,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,16,,36,,86,,130,,"MISSOURI
(38.635791, -92.566299)",
NEVADA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,42,,28,,"NEVADA
(39.493242, -117.071839)",
MAINE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,6,,25,,28,,"MAINE
(45.254229, -68.985026)",
W.N. CENTRAL,2015,17,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,4,,42,,79,,481,,401,,,
NEW HAMPSHIRE,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,8,,28,,44,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
GEORGIA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,35,,93,,328,,306,,"GEORGIA
(32.839683, -83.627579)",
NORTH DAKOTA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,8,,14,,20,,"NORTH DAKOTA
(47.475319, -100.118428)",
IOWA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,23,,167,,108,,"IOWA
(42.469401, -93.816487)",
NEW ENGLAND,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,40,,87,,384,,421,,,
NEW YORK CITY,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,17,,35,,222,,214,,"NEW YORK CITY
(40.714268, -74.005969)",
W.S. CENTRAL,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,76,,162,,280,,1225,,973,,,
NEW YORK,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,23,,23,,57,,286,,243,,"NEW YORK
(42.827004, -75.543966)",
VIRGIN ISL.,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
UTAH,2015,17,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,-,6,,17,,92,,110,,"UTAH
(39.360701, -111.587128)",
NEW JERSEY,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,50,,67,,235,,"NEW JERSEY
(40.130571, -74.273688)",
HAWAII,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,53,,81,,"HAWAII
(21.304852, -157.857748)",
GUAM,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
IDAHO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,3,,31,,85,,39,,"IDAHO
(43.682632, -114.363727)",
OREGON,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,8,,17,,98,,89,,"OREGON
(44.56745, -120.155029)",
E.N. CENTRAL,2015,17,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,28,,96,,203,,931,,1183,,,
VIRGINIA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,20,,58,,193,,159,,"VIRGINIA
(37.542681, -78.457889)",
MOUNTAIN,2015,17,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,16,,58,,94,,651,,660,,,
SOUTH DAKOTA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,48,,40,,"SOUTH DAKOTA
(44.35313, -100.373529)",
MINNESOTA,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
OHIO,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,26,,23,,46,,298,,268,,"OHIO
(40.060212, -82.404257)",
KANSAS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,21,,95,,71,,"KANSAS
(38.347743, -98.200778)",
AMER. SAMOA,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
CONNECTICUT,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,93,,97,,"CONNECTICUT
(41.562661, -72.64984)",
MISSISSIPPI,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,98,,120,,"MISSISSIPPI
(32.745513, -89.538027)",
UNITED STATES,2015,17,,-,0,,1,,2,,2,,,-,0,,0,,,-,1,,366,,875,,1586,,8344,,8910,,,
TEXAS,2015,17,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,98,,225,,843,,621,,"TEXAS
(31.82724, -99.426768)",
ILLINOIS,2015,17,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,,-,27,,61,,309,,346,,"ILLINOIS
(40.485012, -88.997709)",
C.N.M.I.,2015,21,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
ALABAMA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,17,,56,,203,,291,,"ALABAMA
(32.840572, -86.631857)",
KENTUCKY,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,143,,167,,"KENTUCKY
(37.645973, -84.774968)",
OKLAHOMA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,12,,53,,138,,170,,"OKLAHOMA
(35.472031, -97.521068)",
MISSISSIPPI,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,58,,169,,154,,"MISSISSIPPI
(32.745513, -89.538027)",
SOUTH DAKOTA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,58,,54,,"SOUTH DAKOTA
(44.35313, -100.373529)",
VIRGIN ISL.,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
COLORADO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,26,,48,,200,,"COLORADO
(38.843843, -106.133609)",
W.N. CENTRAL,2015,21,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,9,,51,,109,,616,,791,,,
NEW JERSEY,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,16,,50,,72,,323,,"NEW JERSEY
(40.130571, -74.273688)",
DELAWARE,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,15,,33,,27,,"DELAWARE
(39.008834, -75.577736)",
WASHINGTON,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,44,,191,,156,,"WASHINGTON
(47.522288, -120.470028)",
NORTH DAKOTA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,28,,25,,"NORTH DAKOTA
(47.475319, -100.118428)",
ALASKA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,5,,20,,26,,"ALASKA
(64.845078, -147.72206)",
ILLINOIS,2015,21,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,,-,30,,65,,433,,472,,"ILLINOIS
(40.485012, -88.997709)",
NORTH CAROLINA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,25,,190,,378,,492,,"NORTH CAROLINA
(35.46622, -79.15925)",
PUERTO RICO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,13,,34,,151,,239,,"PUERTO RICO
(18.248289, -66.49989)",
IDAHO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,4,,32,,103,,50,,"IDAHO
(43.682632, -114.363727)",
WEST VIRGINIA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,55,,56,,"WEST VIRGINIA
(38.665511, -80.712638)",
ARIZONA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,20,,41,,331,,281,,"ARIZONA
(34.865974, -111.763807)",
GEORGIA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,37,,94,,440,,429,,"GEORGIA
(32.839683, -83.627579)",
VIRGINIA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,20,,58,,256,,233,,"VIRGINIA
(37.542681, -78.457889)",
NEW YORK,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,24,,58,,381,,338,,"NEW YORK
(42.827004, -75.543966)",
RHODE ISLAND,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,17,,32,,"RHODE ISLAND
(41.708281, -71.522466)",
OREGON,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,9,,17,,142,,113,,"OREGON
(44.56745, -120.155029)",
MICHIGAN,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,17,,56,,259,,274,,"MICHIGAN
(44.661322, -84.714386)",
FLORIDA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,75,,109,,225,,1500,,1480,,"FLORIDA
(28.932043, -81.928958)",
DIST. OF COL.,2015,44,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,9,,60,,DIST. OF COL.,
MOUNTAIN,2015,18,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,35,,61,,94,,741,,716,,,
IDAHO,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,3,,31,,88,,42,,"IDAHO
(43.682632, -114.363727)",
KENTUCKY,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,27,,96,,128,,"KENTUCKY
(37.645973, -84.774968)",
OHIO,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,22,,23,,46,,320,,297,,"OHIO
(40.060212, -82.404257)",
W.S. CENTRAL,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,41,,162,,280,,1269,,1058,,,
MISSISSIPPI,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,59,,103,,126,,"MISSISSIPPI
(32.745513, -89.538027)",
SOUTH CAROLINA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,23,,77,,206,,182,,"SOUTH CAROLINA
(33.998822, -81.045366)",
ARIZONA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,29,,20,,41,,299,,228,,"ARIZONA
(34.865974, -111.763807)",
DELAWARE,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,15,,22,,22,,"DELAWARE
(39.008834, -75.577736)",
AMER. SAMOA,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
ILLINOIS,2015,18,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,,-,27,,61,,336,,367,,"ILLINOIS
(40.485012, -88.997709)",
NEW MEXICO,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,69,,68,,"NEW MEXICO
(34.520881, -106.240578)",
ARKANSAS,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,13,,29,,111,,73,,"ARKANSAS
(34.74865, -92.27449)",
MINNESOTA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
NEVADA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,45,,33,,"NEVADA
(39.493242, -117.071839)",
WYOMING,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,18,,21,,"WYOMING
(43.235541, -108.109827)",
MICHIGAN,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,17,,56,,214,,224,,"MICHIGAN
(44.661322, -84.714386)",
C.N.M.I.,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
E.S. CENTRAL,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,55,,155,,489,,690,,,
S. ATLANTIC,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,199,,235,,560,,2577,,2584,,,
PACIFIC,2015,18,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,27,,103,,187,,1143,,1386,,,
NEBRASKA,2015,18,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,4,,5,,13,,75,,35,,"NEBRASKA
(41.641044, -99.365719)",
E.N. CENTRAL,2015,18,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,29,,96,,203,,1018,,1277,,,
UNITED STATES,2015,18,,-,0,,1,,2,,2,,,-,0,,0,,,-,1,,393,,887,,1588,,9043,,9650,,,
TEXAS,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,98,,225,,844,,673,,"TEXAS
(31.82724, -99.426768)",
CONNECTICUT,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,120,,106,,"CONNECTICUT
(41.562661, -72.64984)",
UTAH,2015,18,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,1,,7,,15,,104,,127,,"UTAH
(39.360701, -111.587128)",
VIRGINIA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,20,,58,,213,,176,,"VIRGINIA
(37.542681, -78.457889)",
FLORIDA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,125,,103,,225,,1201,,1197,,"FLORIDA
(28.932043, -81.928958)",
MARYLAND,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,14,,50,,191,,189,,"MARYLAND
(39.290583, -76.60926)",
WEST VIRGINIA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,40,,43,,"WEST VIRGINIA
(38.665511, -80.712638)",
GEORGIA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,35,,93,,350,,330,,"GEORGIA
(32.839683, -83.627579)",
ALABAMA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,54,,126,,244,,"ALABAMA
(32.840572, -86.631857)",
NORTH DAKOTA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,8,,14,,22,,"NORTH DAKOTA
(47.475319, -100.118428)",
NEW JERSEY,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,17,,50,,71,,263,,"NEW JERSEY
(40.130571, -74.273688)",
CALIFORNIA,2015,18,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,9,,78,,133,,806,,1076,,"CALIFORNIA
(37.638642, -120.999996)",
PUERTO RICO,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,34,,89,,187,,"PUERTO RICO
(18.248289, -66.49989)",
RHODE ISLAND,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,12,,17,,23,,"RHODE ISLAND
(41.708281, -71.522466)",
NORTH CAROLINA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,25,,27,,190,,354,,430,,"NORTH CAROLINA
(35.46622, -79.15925)",
TENNESSEE,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,15,,54,,164,,192,,"TENNESSEE
(35.680941, -85.774487)",
OREGON,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,17,,105,,94,,"OREGON
(44.56745, -120.155029)",
MASSACHUSETTS,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,22,,53,,233,,219,,"MASSACHUSETTS
(42.276874, -72.082687)",
W.N. CENTRAL,2015,18,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,6,,42,,79,,502,,436,,,
PENNSYLVANIA,2015,18,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,11,,25,,69,,249,,285,,"PENNSYLVANIA
(40.793734, -77.860697)",
COLORADO,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,26,,48,,159,,"COLORADO
(38.843843, -106.133609)",
MAINE,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,6,,26,,31,,"MAINE
(45.254229, -68.985026)",
MONTANA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,35,,70,,38,,"MONTANA
(47.066528, -109.424416)",
NEW ENGLAND,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,40,,87,,444,,455,,,
NEW YORK CITY,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,17,,35,,233,,237,,"NEW YORK CITY
(40.714268, -74.005969)",
WISCONSIN,2015,18,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,12,,67,,31,,222,,"WISCONSIN
(44.393191, -89.816366)",
ALASKA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,16,,22,,"ALASKA
(64.845078, -147.72206)",
OKLAHOMA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,12,,13,,53,,114,,131,,"OKLAHOMA
(35.472031, -97.521068)",
INDIANA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,40,,117,,167,,"INDIANA
(39.766913, -86.149956)",
SOUTH DAKOTA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,50,,46,,"SOUTH DAKOTA
(44.35313, -100.373529)",
LOUISIANA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,21,,50,,200,,181,,"LOUISIANA
(31.312663, -92.445678)",
MISSOURI,2015,18,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,16,,36,,86,,143,,"MISSOURI
(38.635791, -92.566299)",
IOWA,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,23,,177,,113,,"IOWA
(42.469401, -93.816487)",
NEW YORK,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,23,,23,,58,,307,,263,,"NEW YORK
(42.827004, -75.543966)",
WASHINGTON,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,14,,64,,152,,107,,"WASHINGTON
(47.522288, -120.470028)",
VERMONT,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,7,,20,,29,,"VERMONT
(43.625384, -72.517637)",
KANSAS,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,8,,21,,100,,77,,"KANSAS
(38.347743, -98.200778)",
VIRGIN ISL.,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
GUAM,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
MID. ATLANTIC,2015,18,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,46,,75,,187,,860,,1048,,,
HAWAII,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,64,,87,,"HAWAII
(21.304852, -157.857748)",
NEW HAMPSHIRE,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,28,,47,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
DIST. OF COL.,2015,18,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,15,,DIST. OF COL.,
CONNECTICUT,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,23,,141,,141,,"CONNECTICUT
(41.562661, -72.64984)",
GUAM,2015,21,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
TEXAS,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,56,,97,,218,,1159,,882,,"TEXAS
(31.82724, -99.426768)",
NEW HAMPSHIRE,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,36,,63,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
E.S. CENTRAL,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,14,,55,,154,,735,,849,,,
LOUISIANA,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,22,,51,,281,,241,,"LOUISIANA
(31.312663, -92.445678)",
PACIFIC,2015,21,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,35,,121,,221,,1649,,2169,,,
MAINE,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,2,,7,,40,,41,,"MAINE
(45.254229, -68.985026)",
NEW MEXICO,2015,21,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,16,,85,,89,,"NEW MEXICO
(34.520881, -106.240578)",
PENNSYLVANIA,2015,21,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,18,,23,,69,,328,,370,,"PENNSYLVANIA
(40.793734, -77.860697)",
