Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Carino's Italian,78753,10/23/2019,94,"12901 N IH
AUSTIN, TX 78753",11814853,Routine Inspection
Circle K #2742103,78753,06/21/2018,94,"11139 N IH
AUSTIN, TX 78753",2803560,Routine Inspection
Angel's Ice House,78669,08/15/2017,100,"21815 W SH
SPICEWOOD, TX 78669",2802178,Routine Inspection
Teapioca Lounge,78748,11/18/2019,93,"9600 S IH
AUSTIN, TX 78748",10693969,Routine Inspection
Subway,78748,08/01/2018,95,"9300 S IH
AUSTIN, TX 78748",2802744,Routine Inspection
183 Grill Austin Gyros,78729,12/03/2019,92,"13729 N US 183 HWY
AUSTIN, TX 78729",11368998,Routine Inspection
Howdy Donut,78730,09/12/2019,100,"10815 FM 2222 RD
AUSTIN, TX 78730",12096125,Routine Inspection
Marias Mexican Restaurant,78753,08/22/2017,79,"13000 N IH
AUSTIN, TX 78753",11230438,Routine Inspection
Cyclo Restaurant,78753,07/24/2017,96,"13000 N IH
AUSTIN, TX 78753",11648991,Routine Inspection
Double Dave's Pizzaworks,78748,04/17/2018,97,"9500 S IH
AUSTIN, TX 78748",10328502,Routine Inspection
BC - Serasana Bee Cave,78738,11/25/2019,96,"15500 W SH
BEE CAVE, TX 78738",11930325,Routine Inspection
Wing's N More,78660,04/25/2018,79,"1200 W HOWARD LN
AUSTIN, TX 78660",2802223,Routine Inspection
P. Terry's,78723,07/03/2019,98,"5701 N IH
AUSTIN, TX 78723",11579122,Routine Inspection
Buffalo Wild Wings #620,78752,07/16/2019,89,"7604 N IH
AUSTIN, TX 78752",11398783,Routine Inspection
Wendy's W123,78702,08/31/2017,94,"619 N IH
AUSTIN, TX 78702",11119164,Routine Inspection
Mariana's Kitchen,78745,12/10/2019,88,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
Walgreens,78730,06/28/2017,96,"6911 N FM 620 RD
AUSTIN, TX 78730",2803852,Routine Inspection
Sterling Events Center,78752,05/23/2017,80,"6134 E US 290 HWY
AUSTIN, TX 78752",11526833,Routine Inspection
AMC Tech Ridge 10,78753,02/15/2020,100,"12625 N IH
AUSTIN, TX 78753",12186410,Routine Inspection
Starstop 50,78741,01/17/2019,95,"6310 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.212675, -97.711026)",10871614,Routine Inspection
Smoothie King,78746,04/24/2018,95,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.273599, -97.799243)",11503088,Routine Inspection
Hat Creek Burger Company,78756,02/14/2020,91,"5400 BURNET RD
AUSTIN, TX 78756
(30.328281, -97.739794)",10345923,Routine Inspection
OOB-ABIA - Vino Volo,78719,02/07/2018,97,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",11109090,Routine Inspection
Schlotzsky's,78757,10/12/2018,96,"2545 W ANDERSON LN
AUSTIN, TX 78757
(30.356597, -97.732063)",11823591,Routine Inspection
Taco Joint,78704,03/23/2020,100,"134 E RIVERSIDE DR
AUSTIN, TX 78704
(30.256158, -97.745845)",11526829,Follow-Up Inspection
Donut Kolache Express,78750,10/04/2018,90,"13450 N US 183 HWY
AUSTIN, TX 78750",11902673,Routine Inspection
La Bodega Gourmet,78738,07/07/2017,98,"11500 FM 2244 RD
BEE CAVE, TX 78738",11313992,Routine Inspection
Tienda Mexicana,78753,09/18/2019,88,"825 E RUNDBERG LN
AUSTIN, TX 78753
(30.357466, -97.686736)",10692976,Routine Inspection
"Coffee Bean & Tea Leaf, The",78732,09/20/2019,96,"5145 N FM 620 RD
AUSTIN, TX 78732
(30.390402, -97.884768)",10737830,Routine Inspection
Courtyard Austin South,78744,02/21/2020,90,"4533 S IH
AUSTIN, TX 78744",12392467,Routine Inspection
LW - Lakeway Elementary School,78734,11/16/2018,100,"1701 LOHMANS CROSSING RD
BLDG A LAKEWAY, TX 78734
(30.352773, -97.977022)",2800942,Routine Inspection
MN - El Pollo Rico #10,78653,09/18/2019,79,"11828 RING DR
MANOR, TX 78653",11457812,Routine Inspection
Gloria's Restaurant #11,78758,04/13/2020,94,"3309 ESPERANZA XING
AUSTIN, TX 78758
(30.40038, -97.725942)",10359753,Routine Inspection
Accent Food Services,78752,02/28/2019,99,"6101 HIGHLAND CAMPUS DR
AUSTIN, TX 78752
(30.325922, -97.712219)",11313967,Routine Inspection
"BC - Secure Link, Inc",78738,10/21/2019,82,"11402 FM 2244 RD
BEE CAVE, TX 78738
(30.310266, -97.911687)",11588783,Routine Inspection
Stop-N-Express,78723,02/20/2018,96,"5301 MANOR RD
AUSTIN, TX 78723
(30.300157, -97.685877)",10300378,Routine Inspection
Cabo Bob's Burritos,78757,02/06/2020,96,"7849 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.360055, -97.740968)",11858984,Routine Inspection
La Madeleine # 204,78723,06/06/2019,98,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.306845, -97.709573)",11763339,Routine Inspection
Korean Grill,78753,08/16/2019,88,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37848, -97.688327)",10159246,Routine Inspection
Taco Cabana Patio Rest #125,78750,09/16/2019,84,"13376 N US 183 HWY
AUSTIN, TX 78750",2800474,Routine Inspection
Del Valle ISD Concessions - (Visitor),78617,09/18/2018,95,"5201 ROSS RD
AUSTIN, TX 78617
(30.178552, -97.61496)",11769827,Routine Inspection
Launderette,78702,11/02/2017,84,"2115 HOLLY ST
AUSTIN, TX 78702
(30.252193, -97.722601)",11262665,Routine Inspection
ABIA I Vini Italian Market,78719,01/26/2018,97,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",11737442,Routine Inspection
Silver Grill Cafe,78727,12/26/2018,82,"4005 W PARMER LN
AUSTIN, TX 78727
(30.425623, -97.715752)",10465293,Routine Inspection
Chef G.,78757,09/18/2019,97,"7113 BURNET RD
AUSTIN, TX 78757
(30.347742, -97.736052)",11479935,Routine Inspection
COTA - Austin Smoque Main Grand Stand,78617,04/13/2019,100,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11228887,Routine Inspection
Dollar Tree # 3211,78729,09/03/2019,92,"13729 N US 183 HWY
AUSTIN, TX 78729",11127582,Routine Inspection
Country Home Learning Center,78749,10/08/2019,96,"6900 ESCARPMENT BLVD
AUSTIN, TX 78749
(30.229596, -97.865427)",2800886,Routine Inspection
99 Ranch Market #107,78752,02/27/2019,81,"6929 AIRPORT BLVD
AUSTIN, TX 78752
(30.336497, -97.718225)",11795289,Routine Inspection
Taco Cabana #199,78748,11/07/2019,94,"9705 MANCHACA RD
AUSTIN, TX 78748
(30.17531, -97.823023)",2801240,Routine Inspection
Chosun Galbi Korean BBQ & Grill,78752,09/09/2019,95,"713 E HUNTLAND DR
AUSTIN, TX 78752
(30.330091, -97.706273)",10664808,Routine Inspection
The Kebab Shop,78759,04/09/2020,97,"9761 GREAT HILLS TRL
AUSTIN, TX 78759
(30.394186, -97.750817)",12186011,Routine Inspection
La Montana Tacos,78753,08/30/2019,85,"707 E BRAKER LN
AUSTIN, TX 78753
(30.377214, -97.677118)",11587120,Routine Inspection
Dollar Tree Store #2875,78723,12/26/2018,95,"5425 N IH
AUSTIN, TX 78723",10004227,Routine Inspection
Double Dave's Pizza,78729,11/21/2019,91,"13343 N US 183 HWY
AUSTIN, TX 78729",2802971,Routine Inspection
Del Valle Elementary School,78617,11/13/2017,94,"5400 ROSS RD
AUSTIN, TX 78617
(30.175147, -97.619564)",2801598,Routine Inspection
BC - ThunderCloud Subs,78738,08/30/2018,93,"12400 W SH
BEE CAVE, TX 78738",11250915,Routine Inspection
Growler Room,78757,10/30/2019,97,"6800 BURNET RD
AUSTIN, TX 78757
(30.344107, -97.738213)",10882060,Routine Inspection
LW - Little Sunshines Playhouse & Preschool,78734,06/02/2017,100,"1501 LOHMANS CROSSING RD
LAKEWAY, TX 78734
(30.357503, -97.97889)",11410592,Routine Inspection
"Micah 6 of Austin, Texas",78705,10/24/2019,100,"2203 SAN ANTONIO ST
AUSTIN, TX 78705
(30.285572, -97.74285)",10370003,Routine Inspection
Hampton Inn,78749,10/04/2017,90,"6401 W US 290 HWY
AUSTIN, TX 78749",10882011,Routine Inspection
Popham Elementary School(New),78617,10/22/2019,95,"7014 ELROY RD
AUSTIN, TX 78617
(30.158176, -97.642922)",2801056,Routine Inspection
Egg Roll Express,78729,05/10/2019,90,"6301 W PARMER LN
AUSTIN, TX 78729
(30.445314, -97.743259)",10467276,Routine Inspection
Jimmy John's #832,78746,04/10/2018,92,"6317 FM 2244 RD
AUSTIN, TX 78746
(30.296698, -97.833118)",10102079,Routine Inspection
La Quinta Inn #0522,78741,04/17/2018,97,"1603 E OLTORF ST
AUSTIN, TX 78741
(30.233436, -97.739816)",2803265,Routine Inspection
Cash Corner,78704,02/07/2019,93,"2000 S IH
AUSTIN, TX 78704",11341161,Routine Inspection
A+A Sichuan China,78750,10/01/2019,80,"13376 N US 183 HWY
AUSTIN, TX 78750",11426430,Routine Inspection
Hilton Garden Inn Austin Airport,78741,08/17/2018,86,"7610 JOHN GLENN WAY
AUSTIN, TX 78741
(30.221985, -97.689335)",11712723,Routine Inspection
OOB-El Patio Restaurant,78705,03/23/2018,83,"2938 GUADALUPE ST
AUSTIN, TX 78705
(30.296684, -97.741986)",2800359,Routine Inspection
Fiesta Mart #64 - Grocery,78745,11/17/2017,97,"5510 S IH
AUSTIN, TX 78745",11377952,Routine Inspection
Purple Sage Elementary,78750,11/28/2017,100,"11801 TANGLEBRIAR TRL
AUSTIN, TX 78750
(30.457077, -97.821389)",10314257,Routine Inspection
XTC,78724,06/27/2018,84,"3501 ANDTREE BLVD
AUSTIN, TX 78724
(30.322242, -97.659577)",2801306,Routine Inspection
Las Palomas,78746,09/12/2019,87,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.273599, -97.799243)",2800591,Routine Inspection
Hut's Hamburgers,78719,08/15/2019,94,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",11864802,Routine Inspection
CVS # 6895,78723,09/25/2019,92,"1701 BRIARCLIFF BLVD
AUSTIN, TX 78723
(30.313886, -97.692096)",2804095,Routine Inspection
Once Over Coffee Bar,78704,11/19/2019,100,"2009 S 1ST ST
AUSTIN, TX 78704
(30.245013, -97.757355)",10237613,Routine Inspection
Taco Bell #030098,78717,09/06/2018,96,"9900 W PARMER LN
AUSTIN, TX 78717
(30.486294, -97.770552)",11066586,Routine Inspection
Black Walnut Cafe,78758,07/31/2017,92,"11101 BURNET RD
AUSTIN, TX 78758
(30.396129, -97.720128)",11406451,Routine Inspection
"Hideout Pub, The",78759,09/12/2017,87,"12164 N MOPAC EXPY
AUSTIN, TX 78759
(30.412141, -97.709607)",2803145,Routine Inspection
Jim's Coffee Shop #30,78750,10/27/2017,80,"12832 N US 183 HWY
AUSTIN, TX 78750",2800319,Routine Inspection
DoubleDave's Pizzaworks,78759,01/22/2019,87,"8108 MESA DR
AUSTIN, TX 78759
(30.371969, -97.757005)",11344519,Routine Inspection
Wal-Mart Supercenter/Bakery&Deli #1185,78753,12/21/2017,96,"1030 NORWOOD PARK BLVD
AUSTIN, TX 78753
(30.33872, -97.692623)",2803918,Routine Inspection
West Cypress Hills Elementary School,78669,03/21/2018,100,"6112 CYPRESS RANCH BLVD
SPICEWOOD, TX 78669
(30.349776, -98.083257)",11166950,Routine Inspection
Taqueria Chapala #3,78735,03/06/2020,86,"6116 W US 290 HWY
AUSTIN, TX 78735",2803037,Routine Inspection
"LW - Summit at Lakeway Assisted Living Facility, The",78734,06/14/2019,86,"1915 LOHMANS CROSSING RD
LAKEWAY, TX 78734
(30.345689, -97.976689)",10642459,Routine Inspection
Shangri-La,78702,12/04/2019,98,"1016 E 6TH ST
AUSTIN, TX 78702
(30.264816, -97.731679)",10192211,Routine Inspection
Empire Control Room & Garage,78701,10/17/2018,95,"606 E 7TH ST
AUSTIN, TX 78701
(30.267272, -97.736318)",11233868,Routine Inspection
LORO,78704,01/28/2020,96,"2115 S LAMAR BLVD
AUSTIN, TX 78704
(30.248039, -97.77136)",11875690,Routine Inspection
Harmony School of Excellence-Austin,78744,03/20/2018,94,"2100 E ST ELMO RD
AUSTIN, TX 78744
(30.209759, -97.74644)",10331481,Routine Inspection
Child Inc.-American YouthWorks,78744,02/08/2018,97,"1911 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.215775, -97.746169)",10631897,Routine Inspection
"Sprouts Farmers Market-Meat,Deli,Bakery",78704,01/03/2020,92,"4006 S LAMAR BLVD
AUSTIN, TX 78704
(30.237089, -97.791623)",10639398,Routine Inspection
AFC Sushi@St. Edwards University,78704,09/04/2018,100,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",10497447,Routine Inspection
Hong Kong Supermarket - Meat & Seafood Dept.,78758,07/05/2019,86,"8557 RESEARCH BLVD
AUSTIN, TX 78758
(30.361033, -97.716672)",11947508,Routine Inspection
Boston Market #1981,78759,07/23/2019,98,"4607 W BRAKER LN
AUSTIN, TX 78759
(30.40026, -97.745036)",2801703,Routine Inspection
MN - Mr. Jim's,78653,12/07/2017,95,"302 W MURRAY AVE
MANOR, TX 78653",2803767,Routine Inspection
Hyatt Place - Austin Downtown,78701,10/03/2018,90,"211 E 3RD ST
AUSTIN, TX 78701
(30.264698, -97.741802)",10877901,Routine Inspection
Le Politique,78701,08/27/2019,89,"110 SAN ANTONIO ST
AUSTIN, TX 78701
(30.264904, -97.749028)",11756673,Routine Inspection
Dream Dinners,78750,02/22/2019,100,"12129 N FM 620 RD
AUSTIN, TX 78750
(30.461777, -97.817222)",10102975,Routine Inspection
Domino's Pizza,78660,01/23/2019,100,"1420 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.440938, -97.663588)",11002186,Routine Inspection
Dart Bowl Steak House,78756,01/17/2020,94,"5700 GROVER AVE
AUSTIN, TX 78756
(30.328616, -97.730584)",2801126,Routine Inspection
Chipotle Mexican Grill #973,78723,12/27/2019,96,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.306845, -97.709573)",10176511,Routine Inspection
Habana Restaurant,78704,06/15/2017,95,"2728 S CONGRESS AVE
AUSTIN, TX 78704
(30.234758, -97.75697)",2801827,Routine Inspection
Jake & Jubi's Snack Co LLC,78745,12/05/2019,100,"1606 W STASSNEY LN
AUSTIN, TX 78745
(30.213367, -97.793265)",11983380,Routine Inspection
Taco Cabana Patio Rest #125,78750,10/17/2018,91,"13376 N US 183 HWY
AUSTIN, TX 78750",2800474,Routine Inspection
LW - Hat Creek Burger Co.,78734,06/28/2018,93,"1602 N FM 620 RD
LAKEWAY, TX 78734",11727776,Routine Inspection
Pacha,78756,04/01/2019,91,"4618 BURNET RD
AUSTIN, TX 78756
(30.317286, -97.740391)",10213212,Routine Inspection
Whole Foods Market - Bakery,78758,06/28/2017,96,"11920 DOMAIN DR
AUSTIN, TX 78758
(30.40557, -97.720877)",11055573,Routine Inspection
MN - Manor Express Mart,78653,02/03/2020,88,"12130 N FM 973 RD
MANOR, TX 78653",10188186,Routine Inspection
Salvation Army,78701,09/05/2019,88,"501 E 8TH ST
AUSTIN, TX 78701
(30.2686, -97.737362)",2800013,Routine Inspection
Grand Oriental Express Co. Ltd,78752,07/11/2018,75,"7517 CAMERON RD
AUSTIN, TX 78752
(30.329586, -97.689879)",11626719,Follow-Up Inspection
Walgreens #4761,78749,11/26/2019,99,"6200 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.230445, -97.864739)",2803714,Routine Inspection
Jason's Deli,78751,04/15/2019,96,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298553, -97.720058)",2801464,Routine Inspection
Slick Willie's Family Pool Hall,78757,03/27/2019,92,"8440 BURNET RD
AUSTIN, TX 78757
(30.366472, -97.728137)",2800866,Routine Inspection
Super Thai Cuisine,78704,12/31/2019,87,"2024 S LAMAR BLVD
AUSTIN, TX 78704
(30.248982, -97.768367)",11958674,Routine Inspection
"Gatsby, The",78701,06/21/2018,89,"708 E 6TH ST
AUSTIN, TX 78701
(30.266124, -97.735598)",11066547,Routine Inspection
BC-Wild Kitchen and Bar,78738,06/19/2019,90,"15506 W SH
BEE CAVE, TX 78738",11942642,Routine Inspection
Double Dave's Pizzaworks,78746,02/15/2018,95,"8947 FM 2244 RD
AUSTIN, TX 78746
(30.318368, -97.862764)",11714231,Routine Inspection
"Market, The",78701,09/24/2019,90,"117 W 4TH ST
AUSTIN, TX 78701
(30.266505, -97.744598)",2803205,Routine Inspection
Burger Fi,78749,12/14/2017,97,"5701 W SLAUGHTER LN
AUSTIN, TX 78749
(30.201061, -97.869111)",10985744,Routine Inspection
Dennis Cowan Elementary,78748,03/02/2018,97,"2817 KENTISH DR
AUSTIN, TX 78748
(30.18872, -97.831231)",2801291,Routine Inspection
Sarpino's Pizzeria,78750,03/04/2020,91,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Enchiladas Y Mas,78757,08/07/2018,76,"1911 W ANDERSON LN
AUSTIN, TX 78757
(30.354144, -97.72679)",2801459,Routine Inspection
Taqueria Morelos,78744,01/03/2020,80,"3100 S US 183 HWY
AUSTIN, TX 78744
(30.204876, -97.683462)",2802982,Routine Inspection
"Gatsby, The",78701,02/19/2018,89,"708 E 6TH ST
AUSTIN, TX 78701
(30.266124, -97.735598)",11066547,Routine Inspection
JK Diamond,78758,09/25/2019,98,"8801 RESEARCH BLVD
AUSTIN, TX 78758
(30.368496, -97.71843)",11738260,Routine Inspection
Walgreens #3724,78748,02/01/2018,96,"9801 MANCHACA RD
AUSTIN, TX 78748
(30.174458, -97.82349)",2803869,Routine Inspection
Starbucks Coffee #6227,78703,06/21/2017,95,"2727 EXPOSITION BLVD
AUSTIN, TX 78703
(30.304565, -97.76469)",2801131,Routine Inspection
Steak n Shake,78748,07/16/2018,91,"9300 S IH
AUSTIN, TX 78748",11120083,Routine Inspection
Barrington Elementary,78753,09/25/2018,100,"400 COOPER DR
AUSTIN, TX 78753
(30.360249, -97.696307)",2800127,Routine Inspection
Hanabi,78757,05/18/2017,70,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.356921, -97.73276)",10816678,Routine Inspection
Lotus Chinese,78758,12/07/2017,96,"11501 ROCK ROSE AVE
AUSTIN, TX 78758
(30.401102, -97.722763)",11546953,Routine Inspection
Firehouse Subs,78749,09/28/2017,93,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222178, -97.838856)",10754193,Routine Inspection
Thundercloud Subs,78703,09/25/2017,84,"2308 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.277899, -97.772256)",2800255,Routine Inspection
Salty Sow,78722,02/15/2018,92,"1917 MANOR RD
AUSTIN, TX 78722
(30.283939, -97.721299)",10745858,Routine Inspection
Cornucopia Popcorn,78729,09/04/2019,97,"7318 MC NEIL DR
AUSTIN, TX 78729
(30.435103, -97.767339)",11563122,Routine Inspection
Lakehills Grocery,78733,07/10/2017,88,"1500 N CUERNAVACA DR
AUSTIN, TX 78733
(30.338407, -97.864587)",2801959,Routine Inspection
MOD Super Fast Pizza,78753,12/20/2017,93,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.403174, -97.672214)",11518681,Routine Inspection
Opera Cafe,78747,12/31/2018,100,"11215 S IH
AUSTIN, TX 78747",11172513,Routine Inspection
Tokyo Gardens,78726,01/16/2020,98,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4545, -97.82678)",2802916,Routine Inspection
Burger King,78741,04/05/2018,92,"3001 MONTOPOLIS DR
AUSTIN, TX 78741
(30.213678, -97.711329)",10840105,Routine Inspection
La Campena Restaurant,78617,09/15/2017,91,"5053 E SH
AUSTIN, TX 78617
(30.29519, -97.741054)",2802562,Routine Inspection
Westwood High School,78750,10/30/2018,93,"12400 MELLOW MEADOW DR
AUSTIN, TX 78750
(30.457387, -97.797016)",10314272,Routine Inspection
Fresh Heim,78750,01/15/2019,91,"13776 N US 183 HWY
AUSTIN, TX 78750",11267435,Routine Inspection
Kebabalicious,78702,06/19/2018,94,"1311 E 7TH ST
AUSTIN, TX 78702
(30.264698, -97.728228)",11039598,Routine Inspection
Cedar Food Mart,78744,11/21/2019,92,"729 E SLAUGHTER LN
AUSTIN, TX 78744
(30.160458, -97.776933)",10806090,Routine Inspection
Caffe Macs Riata Vista 2,78727,07/11/2017,100,"12545 RIATA VISTA CIR
AUSTIN, TX 78727
(30.430659, -97.734852)",2802381,Routine Inspection
Xian Sushi and Noodle,78723,08/02/2019,85,"1801 E 51ST ST
AUSTIN, TX 78723
(30.302589, -97.697714)",11061849,Routine Inspection
Pho Thaison,78705,09/16/2019,80,"1908 GUADALUPE ST
AUSTIN, TX 78705
(30.282296, -97.742103)",11652670,Routine Inspection
Austin Habibi,78705,06/25/2019,85,"3316 HARMON AVE
AUSTIN, TX 78705
(30.290822, -97.723934)",11792449,Routine Inspection
Johnny G's Butcher Block,78748,08/18/2017,97,"11600 MANCHACA RD
AUSTIN, TX 78748
(30.151943, -97.833228)",2801862,Routine Inspection
Lebowskis,78757,08/01/2019,85,"8909 BURNET RD
AUSTIN, TX 78757
(30.37204, -97.726568)",10226371,Routine Inspection
Andiamo Italiano,78758,01/24/2018,91,"2521 RUTLAND DR
AUSTIN, TX 78758
(30.383045, -97.722871)",10403775,Routine Inspection
Holiday In Express Austin Airport,78744,05/31/2019,93,"7601 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.217543, -97.69231)",10908918,Routine Inspection
Dream Bakery,78728,03/15/2019,93,"2013 W WELLS BRANCH PKWY
AUSTIN, TX 78728",11870865,Routine Inspection
Sugar Mama's Bakeshop,78704,02/28/2018,99,"1905 S 1ST ST
AUSTIN, TX 78704
(30.246222, -97.75658)",10182564,Routine Inspection
DJ's Food & Gas Stop,78702,12/09/2019,96,"1135 AIRPORT BLVD
AUSTIN, TX 78702
(30.269458, -97.696677)",10124657,Routine Inspection
Baby Acapulco #4,78753,08/21/2018,89,"13609 N IH
AUSTIN, TX 78753
(30.43232, -97.685219)",2801593,Routine Inspection
Accent Food Services,78704,09/24/2019,97,"721 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.258978, -97.75186)",11560833,Routine Inspection
Subway,78741,12/11/2017,94,"1900 E OLTORF ST
AUSTIN, TX 78741
(30.231107, -97.735132)",2801378,Routine Inspection
Grab N Goat,78704,02/24/2020,99,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",12185962,Routine Inspection
"Courtyard Tennis Club, The",78731,09/20/2018,97,"5608 COURTYARD DR
AUSTIN, TX 78731
(30.353469, -97.790592)",2801083,Routine Inspection
Jack in the Box #845,78741,05/07/2018,87,"1936 E OLTORF ST
AUSTIN, TX 78741
(30.230942, -97.733802)",10789482,Routine Inspection
Amaya's Taco Village,78751,04/01/2020,92,"5804 N IH
AUSTIN, TX 78751",10581694,Routine Inspection
Chinatown Restaurant,78731,07/12/2017,70,"3407 GREYSTONE DR
AUSTIN, TX 78731
(30.356842, -97.747275)",2800414,Routine Inspection
Applebee's,78752,05/23/2017,85,"7522 N IH
AUSTIN, TX 78752",10870114,Routine Inspection
Escuelita del Alma,78722,02/02/2018,100,"3109 N IH
AUSTIN, TX 78722",10215627,Routine Inspection
Target Store T2288 -Grocery,78748,04/30/2019,98,"9500 S IH
AUSTIN, TX 78748",10055908,Routine Inspection
Hay Elotes,78660,10/02/2019,85,"1200 W HOWARD LN
AUSTIN, TX 78660",11299017,Routine Inspection
"Donut Hole, The",78734,06/08/2018,95,"1700 N FM 620 RD
AUSTIN, TX 78734
(30.381097, -97.944261)",11289602,Routine Inspection
Giddy-Ups,78748,12/03/2018,100,"12000 MANCHACA RD
AUSTIN, TX 78748
(30.144214, -97.833026)",2801711,Routine Inspection
Tokyo Gardens Catering,78741,04/15/2019,100,"2508 E RIVERSIDE DR
AUSTIN, TX 78741
(30.234706, -97.723507)",10750623,Routine Inspection
Retirement and Nursing Center-Austin,78757,10/11/2018,83,"6909 BURNET LN
AUSTIN, TX 78757
(30.345718, -97.736662)",11318323,Routine Inspection
Star of Texas,78705,02/01/2018,97,"611 W 22ND ST
AUSTIN, TX 78705
(30.285196, -97.744645)",10002635,Routine Inspection
HEB  Deli & Bakery,78753,03/06/2019,94,"9414 N LAMAR BLVD
AUSTIN, TX 78753
(30.364261, -97.696358)",2800162,Routine Inspection
Baskin Robbins,78748,09/28/2017,99,"9911 BRODIE LN
AUSTIN, TX 78748
(30.184608, -97.849046)",10457940,Routine Inspection
Le Bleu,78757,01/13/2020,87,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.373498, -97.727719)",11858487,Routine Inspection
Circle K #2742169,78744,09/24/2019,96,"4602 E STASSNEY LN
AUSTIN, TX 78744
(30.193992, -97.745069)",2800441,Routine Inspection
WL - Randall's #2477- Deli Station,78746,10/16/2017,100,"3300 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.2749, -97.801111)",2803246,Routine Inspection
Metz Recreation Center,78702,01/11/2018,100,"2407 CANTERBURY ST
AUSTIN, TX 78702
(30.252716, -97.718138)",2800341,Routine Inspection
Accent Food Services,78746,07/17/2019,100,"1301 S MOPAC EXPY
AUSTIN, TX 78746",11566530,Routine Inspection
Sushi Junai 2,78727,01/30/2020,61,"2500 W PARMER LN
AUSTIN, TX 78727
(30.41959, -97.702884)",11442537,Routine Inspection
Pizza Hut #7149,78704,09/20/2018,100,"2919 MANCHACA RD
AUSTIN, TX 78704
(30.241688, -97.782254)",10917118,Routine Inspection
Texaco Braker Mart,78758,02/22/2019,89,"2601 W BRAKER LN
AUSTIN, TX 78758
(30.390871, -97.720803)",10001712,Routine Inspection
Taco Cabana #203,78758,07/09/2019,86,"8415 RESEARCH BLVD
AUSTIN, TX 78758
(30.358489, -97.71591)",2800517,Routine Inspection
MN - Starbucks # 26036,78653,01/11/2018,97,"12608 LEXINGTON ST
MANOR, TX 78653
(30.349739, -97.555951)",11474011,Routine Inspection
The Barr Mansion,78754,12/27/2017,97,"10463 SPRINKLE RD
AUSTIN, TX 78754
(30.35207, -97.647056)",2800683,Routine Inspection
Lick Ice Creams,78723,11/08/2018,100,"1905 ALDRICH ST
AUSTIN, TX 78723
(30.298282, -97.705359)",11703726,Routine Inspection
Lonestar Family Market,78752,12/07/2018,99,"7110 CAMERON RD
AUSTIN, TX 78752
(30.325727, -97.692614)",2803903,Routine Inspection
Good Luck Food Mart,78705,07/11/2019,86,"3713 GUADALUPE ST
AUSTIN, TX 78705
(30.302524, -97.73827)",2803725,Routine Inspection
Fairmont Austin - Rules & Regs Pool & Bar (Level 7),78701,06/05/2019,95,"101 RED RIVER ST
AUSTIN, TX 78701
(30.262069, -97.738859)",11853711,Routine Inspection
Sushi Japon Steak House,78752,07/26/2019,81,"807 CAMINO LA
AUSTIN, TX 78752",11008369,Routine Inspection
BC - Rosie's Tamale House,78738,06/13/2019,84,"13436 W SH
BEE CAVE, TX 78738",10261963,Routine Inspection
Austins Pizza,78733,10/15/2018,96,"1705 N CUERNAVACA DR
AUSTIN, TX 78733
(30.340386, -97.863412)",11120698,Routine Inspection
Costco #681 Food Court & Deli,78759,03/06/2020,99,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.396085, -97.745776)",2801807,Routine Inspection
Nelson Field,78752,09/30/2019,100,"7105 BERKMAN DR
AUSTIN, TX 78752
(30.324507, -97.689394)",11723137,Routine Inspection
Children's Courtyard,78759,05/28/2019,100,"4213 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.371414, -97.757)",2801652,Routine Inspection
