Application Type,Application Number,Process Date,Approved Date,Project Name,Comments,WSSC Map,Tax Map,Site Area,Proposed Disturbed Area,Proposed Impervious Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,State Water Use,Tributary,Requested Waiver,Resubmittal,Revision,Onsite Quantity Control,Quantity Control,Onsite Quality Control,Quality Control,Quantity Waiver Proposed,Quantity Waiver Acres Proposed,Quality Waiver Proposed,Quality Waiver Acres Proposed,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location
STORMWATER CONCEPT,281948,05/11/2016,10/31/2016,Shady Grove Restaurant Redevelopment,,,,1.0,0.0,0.0,,,,,MBR,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,16004,,SHADY GROVE,RD,,GAITHERSBURG,MD,20877,
STORMWATER CONCEPT,239331,12/27/2010,,JOHNS HOPKINS MCC PARKING,,220NW09,FS51,35.6,25.0,22.0,LSC,LSC,COMM,COMM,MBR,GENERAL USE,UPPER SEC,N,Y,N,Y,84.8,Y,35.6,N,0.0,N,0.0,,,,,,,,,KEY WEST AVENUE AND BROSCHART ROAD
STORMWATER CONCEPT,204587,12/18/2001,03/24/2003,OUR LADY OF GOOD COUNCEL H.S.,"Parcels 239, 881, Pt of 91, 401 & 452
ADMINISTRATIVE WAIVER SUBMITTED 3/28/2011",223NW01,JT121,53.7,55.0,11.2,,,,,NWB,RECREATION TROUT,NORTH BR,N,N,N,Y,11.6,Y,52.5,Y,42.2,Y,1.2,,,,,,,,,INTERSECTION OF MD ROUTES 108 & 182
STORMWATER CONCEPT,282431,11/14/2016,01/23/2017,1101 Spring Street-Woodside Park,,,,0.2,0.2,0.2,EOF,,Office,Lab,SCR,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,0.2,Y,0.2,1101,,SPRING,ST,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,203200,02/02/2001,06/25/2001,VICTORY TERRACE @ POTOMAC,parcel 795,212NW9,FP562,16.0,3.9,1.6,,,,,CJC,GENERAL USE,,N,N,N,Y,6.9,Y,6.9,N,0.0,N,0.0,,,,,,,,,"NEWBRIDGE DRIVE, POTOMAC PARCEL 795"
STORMWATER CONCEPT,282538,12/19/2016,02/01/2017,Manors of Paint Branch,Revision application 09/11/2017 - ePlans review requested,,,0.0,0.0,0.0,,,,,,,,N,N,Y,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"12608 Stratford Garden Way / Manors of Paint Branch (HOA) / WRE-40 Asset #11219 / Silver Spring, MD 20904"
STORMWATER CONCEPT,210911,12/29/2003,10/02/2014,JUDITH A. RESNICK ELEMENTARY,Parcel P390,227NW07,GU32,29.9,1.8,0.5,R-90,R-90,SCHOOL,SCHOOL,GSC,GENERAL USE,,N,N,N,Y,1.8,Y,1.8,N,0.0,N,0.0,7305,,HADLEY FARMS,DR,,GAITHERSBURG,MD,20879,
STORMWATER CONCEPT,203672,05/11/2001,06/13/2001,JACKSON'S ACRES,,217NE2,KR121,2.0,1.5,0.5,R-90,R-90,SF,SF,PBR,NATURAL TROUT,,N,N,N,N,0.0,N,0.0,Y,2.0,Y,2.0,,,,,,,,,"MORNINGSIDE DRIVE, LOTS 18-21/4"
STORMWATER CONCEPT,282712,02/08/2017,04/14/2017,Heights School,,,,0.0,0.0,0.0,,,,,CJC,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,10400,,SEVEN LOCKS,RD,,POTOMAC,MD,20854,
STORMWATER CONCEPT,234174,07/31/2008,,BENDERLY ACTIVE ADULT,,222NE4,KS62,0.0,6.5,3.5,RC,RC,OLD FARM,ADULTLIV,LPR,GENERAL USE,,N,N,N,Y,9.5,Y,9.5,N,0.0,N,0.0,,,,,,,,,OLD COLUMBIA PIKE
STORMWATER CONCEPT,240572,06/30/2011,11/15/2013,ADDITION OF WASH PENTACOSTAL,,,,2.4,0.4,0.0,RE-2C,RE-2C,RESID,CHURCH,NWB,RECREATION TROUT,,N,N,N,Y,2.2,Y,2.2,N,0.0,N,0.0,230,,AWKARD,LN,,SILVER SPRING,MD,20905,
STORMWATER CONCEPT,214508,09/22/2004,10/27/2004,DOWNTOWN SILVER SPRING,Green Tape     Lot 20/H,210NW01,JN33,0.2,0.2,0.2,CBD-1,CBD-1,COMMERCI,COMMERCI,SCR,GENERAL USE,,N,N,N,Y,0.2,Y,0.2,N,0.0,N,0.0,8215,,FENTON,ST,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,283081,06/20/2017,08/08/2017,WELL HOUSE 11,"Customer Wants To Use ePlans,The Town of Poolesville is proposing to construct a new well house to serve the public utility needs in the area.

Stormwater Concept/SD Plan Combo",,31,0.3,0.2,0.0,TOP,TOP,,,HRB,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"17003 Hughes RD
Poolesville, MD 20837-0158"
STORMWATER CONCEPT,230185,12/22/2006,01/03/2007,THOMAS PYLE MIDDLE SCHOOL,"Parcels P909, P958, P987, P013, P012",,GN53,14.2,1.0,0.5,,,,,CJC,GENERAL USE,,N,N,N,N,0.0,Y,1.0,N,0.0,N,0.0,6311,,WILSON,LN,,BETHESDA,MD,20817,
STORMWATER CONCEPT,205612,06/18/2002,06/20/2002,HAMMOND SUBDIVISION,Parcel P590,221NW2,JS122,0.8,0.3,0.0,R-200,R-200,VACANT,RESID,NWB,RECREATION TROUT,,N,N,N,Y,0.8,Y,0.8,N,0.0,N,0.0,,,,,,,,,"TWIN VALLEY LANE,NORBECK"
STORMWATER CONCEPT,242015,02/09/2012,,"FOREST GLEN,LOTS 8-14",,212NW02,JP-12,0.9,0.9,0.5,R-60,R-60,RES.,RES.,LRC,GENERAL USE,,N,N,N,N,0.0,Y,0.9,Y,0.9,N,0.0,,,,,,,,,2101-2107 ELLIS STREET & 2100-2104 GLEN ROAD
STORMWATER CONCEPT,256877,09/19/2013,,Prince of Peace Lutheran Church,,221NW12,ES62,4.0,0.9,0.9,R-200,R-200,,,MBR,,,N,N,N,Y,0.9,Y,0.9,N,0.0,N,0.0,11900,,DARNESTOWN,RD,,GAITHERSBURG,MD,20878,
STORMWATER CONCEPT,284408,12/17/2018,01/25/2019,Montgomery Village/South Village Home Site Improve,"Stormwater Management Concept/Site Development Stormwater Management PlanCustomer Wants To Use ePlans,The project involves the replacement and widening of an existing sidewalk in disrepair.",,563,1.4,0.3,0.0,R-20,R-20,,,GSC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"The project site is situated around an asphalt sidewalk along the northwest side of Tunstall Drive, and extends approximately 0.2 miles from Contour Road to Walburg Way."
STORMWATER CONCEPT,200854,03/08/2000,03/31/2000,KEYWEST AVE SIDEWALK IMPROVE,,9NW&10NW,FS341,0.6,0.5,0.1,,,STATE RD,STATE RD,MBR,GENERAL USE,UNNAMED,N,N,N,N,0.0,N,0.0,Y,0.6,Y,0.6,,,,,,,,,NORTH SIDE OF RT 28 (KEY WEST AVE) BETWEEN BROSCHART DR & MEDICAL CENTER DR
STORMWATER CONCEPT,252053,03/29/2013,08/14/2013,UNITED THERAPEUTICES ADD. TO SILVER SPRING - LOT 2,,210NW01,JN343,1.6,1.9,1.8,CBD-1,CBD-1,GARAGE,OFFICE/R,,,,N,N,N,Y,0.0,N,0.6,Y,1.6,Y,0.9,1000,,SPRING,ST,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,283230,08/10/2017,10/06/2017,DC CHRISTIAN FELLOWSHIP OAKMONT,,223NW09,FT561,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,8730,,OAKMONT,ST,,GAITHERSBURG,MD,20877,
STORMWATER CONCEPT,208277,06/17/2003,08/11/2003,NOTLEY ACRES,"Parcel 661, Lots 6-8; Revision submitted 3/22/05. Revision approved 4/14/05",218NE01,JR562,1.9,1.9,0.3,R-200,R-200,RESID,RESID,NWB,RECREATION TROUT,,N,N,N,Y,1.9,Y,1.9,N,0.0,N,0.0,,,,,,,,,NOTLEY RD OFF NH AVE NEAR INTERSECTION WITH RANDOLPH RD
STORMWATER CONCEPT,276816,06/29/2015,10/29/2015,KAISER PERMAMENTE,,215NW06,GQ62,4.0,0.2,0.1,,,MED OFFI,MED OFFI,CJC,,,N,N,N,Y,0.1,Y,0.1,N,0.0,N,0.0,6111,,EXECUTIVE,BLVD,,ROCKVILLE,MD,20852,
STORMWATER CONCEPT,259455,12/05/2013,07/14/2014,CENTER FOR JEWISH LIVING,,225NW03,HT563,1.6,1.2,0.8,R-200,R-200,RES/RELI,RES/RELI,HWR,RECREATION TROUT,,N,N,N,Y,1.6,Y,1.6,N,0.0,N,0.0,18320,,GEORGIA,AVE,,OLNEY,MD,20832,
STORMWATER CONCEPT,284301,10/26/2018,02/11/2019,CONGRESSIONAL COUNTRY CLUB,"Customer Wants To Use ePlans,The project will consist of a renovation of the Blue Golf Course, including regrading the course and restoring natural drainageways throughout.",,536,276.7,169.9,0.0,RE-1,RE-1,,,CJC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"8910 Bradley BLVD
Potomac, MD 20854"
STORMWATER CONCEPT,228763,10/09/2006,10/25/2006,WOODSIDE,Part of Parcel C,211NW01,JP21,1.5,0.0,0.4,R-60,R-60,RESID,RESID,SCR,GENERAL USE,,N,N,N,Y,0.3,Y,0.3,N,0.0,N,0.0,9206,,WATSON,RD,,SILVER SPRING,MD,20910,
STORMWATER CONCEPT,282630,01/23/2017,09/27/2017,KUNZANG PALYUL CHOLING/ KPC BUDDHIST TEMPLE,,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,18400,,RIVER,RD,,POOLESVILLE,MD,20837,
STORMWATER CONCEPT,236207,07/24/2009,,WASHINGTON ADVENTIST HOSPITAL,,215NE3,,12.9,12.9,1.5,I-3,I-3,R/W,R/W,LPB,GENERAL USE,,N,N,N,N,8.2,Y,8.2,N,0.0,N,0.0,,,,,,,,,"PLUM ORCHARD DRIVE, BROADBIRCH DRIVE & CHERRY HILL ROAD"
STORMWATER CONCEPT,201598,08/24/2000,11/06/2000,TIKVAT ISRAEL,,218NW5,GR562,5.8,1.0,0.4,R-200,R-200,TEMPLE,TEMPLE,URC,GENERAL USE,,N,N,N,N,0.0,Y,1.0,Y,1.0,N,0.0,2200,,BALTIMORE,RD,,ROCKVILLE,MD,20851,
STORMWATER CONCEPT,281939,05/05/2016,05/26/2016,FRIENDS RETIREMENT HOME,,223NW01,JT31,62.1,34.3,13.5,,,,,NWB,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,17340,,QUAKER,LN,,SANDY SPRING,MD,20860,
STORMWATER CONCEPT,261697,02/24/2014,03/11/2014,Potomac Ridge SWM Pond D,,218NW12,ER62,1.4,1.4,0.0,,,,,WBR,,SANDY BR,N,N,N,Y,47.3,Y,47.3,N,0.0,N,0.0,,,,,,,,,"Appaloosa Way / North Potomac, MD 20878"
STORMWATER CONCEPT,203905,07/05/2001,08/03/2001,ALLEN CHAPEL AME CHURCH,,218NE3,KR32,3.2,2.5,1.5,R-200,R-200,VACANT,CHURCH,LPB,NATURAL TROUT,,N,N,N,Y,3.5,Y,3.5,N,0.0,N,0.0,,,,,,,,,"13410 OLD COLUMBIA PIKE, SPRING SPRING, MD 20904, PARCEL 896"
STORMWATER CONCEPT,228379,09/21/2006,10/12/2006,BRADMOOR-LOT 42/17,Lot 42/17,210NW06,GN63,0.4,0.2,0.0,,,,,CJC,GENERAL USE,,N,N,N,Y,0.4,Y,0.4,N,0.0,N,0.0,8618,,IRVINGTON,AVE,,BETHESDA,MD,20817,
STORMWATER CONCEPT,230939,03/15/2007,10/02/2014,SILVER SPRING EXXON MOBIL,,222NE01,J563,1.2,1.2,0.0,C-1,C-1,COMM,COMM,NWB,RECREATION TROUT,,N,N,N,Y,1.2,Y,1.2,N,0.0,N,0.0,16201,,NEW HAMPSHIRE,AVE,,SPENCERVILLE,MD,20868,"PARCEL: N890, P864, P918"
STORMWATER CONCEPT,237609,04/09/2010,04/29/2010,BRADLEY HILLS ELEM SCHOOL,REVISION TO PREVIOUSLY APPROVED SWM CONCEPT TO REFLECT SITE DESIGN CHANGES SUBMITTED & PROCESSED ON 04/05/2011**,210NW06,GN63,6.7,4.0,2.1,R-60,R-60,E.S.,E.S.,CJC,GENERAL USE,BOOZE CRK,N,Y,Y,Y,4.0,Y,4.0,N,0.0,N,0.0,8701,,HARTSDALE,AVE,,BETHESDA,MD,20817,
STORMWATER CONCEPT,220054,08/16/2005,08/29/2005,10001 NEW HAMPSHIRE AVENUE,Revision approved 11/21/05,212NE02,KP22,1.8,0.0,0.0,C-1,C-1,COMM,COMM,NWB,RECREATION TROUT,,N,N,N,N,0.0,Y,1.8,Y,1.8,N,0.0,10001,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20903,
STORMWATER CONCEPT,221379,10/14/2005,02/02/2006,THE HEIGHTS SCHOOL,Parcel I (Inverness Forest),213NW08,GP123,19.8,0.4,0.4,R-90,R-90,SCHOOL,SCHOOL,CJC,GENERAL USE,,N,N,N,Y,0.4,Y,0.4,N,0.0,N,0.0,10400,,SEVEN LOCKS,RD,,ROCKVILLE,MD,20854,
STORMWATER CONCEPT,233630,05/15/2008,,KINDER CARE LAYHILL,,219NW02,JR123,3.0,1.6,0.8,R-200,R-200,VACANT,DAY CARE,NWB,RECREATION TROUT,,N,N,N,Y,1.6,Y,1.6,N,0.0,N,0.0,14241,,LAYHILL,RD,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,219088,06/28/2005,07/27/2005,SOUTH GLEN ROAD,Parcel P445,214NW10,FQ341,10.6,5.5,0.9,,,,,WBR,GENERAL USE,,N,N,N,N,0.0,Y,2.5,N,0.0,N,0.0,11111,S,GLEN,RD,,POTOMAC,MD,20854,
STORMWATER CONCEPT,207581,04/10/2003,07/08/2003,POTOMAC COUNTRY CORNER,"Parcels 881, 883, 994, 933, 958; Lot 29",20NW11,FS31,3.9,3.9,2.0,,,,,MBR,GENERAL USE,,N,N,N,Y,3.6,Y,3.6,N,0.0,N,0.0,,,,,,,,,"INTERSECTION OF HUNTING LA & DARNESTOWN RD, PARCELS 881, 883, 994, 933, 958, LOT 29"
STORMWATER CONCEPT,201183,05/17/2000,11/27/2000,LINCOLN PARK,,219NW7,GR343,10.3,7.8,5.4,I-1,I-1,,,URC,NATURAL TROUT,,N,N,N,Y,7.8,Y,7.8,N,0.0,N,0.0,1000,,WESTMORE,AVE,,ROCKVILLE,MD,20850,
STORMWATER CONCEPT,207153,01/10/2003,12/23/2003,SPRINGBROOK ESTATES,Parcel 615,216NE01,JQ563,5.6,2.0,1.0,R-200,R-200,RESID,RESID,NWB,RECREATION TROUT,,N,N,N,Y,5.6,Y,5.6,N,0.0,N,0.0,406,,VALLEY BROOK,DR,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,231104,04/12/2007,07/13/2007,VEIRS MILL ELEMENTARY SCHOOL,,215NW10,HQ342,9.9,0.8,0.0,R-60,R-60,SCHOOL,SCHOOL,LRC,GENERAL USE,,N,N,N,Y,0.8,Y,0.8,N,0.0,N,0.0,11711,,JOSEPH MILL,RD,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,283907,05/02/2018,12/28/2018,Grosvenor Parking Garage,Grosvenor Parking Garage Expansion,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,Grosvenor-Strathmore Metro Parking
STORMWATER CONCEPT,283652,02/13/2018,06/01/2018,CRESCENT AT CHEVY CHASE,,,,1.5,2.1,1.7,CRT,CRT,Multi Re,Multi Re,LRC,GENERAL USE,,Y,N,N,N,0.0,Y,2.0,Y,2.1,Y,0.1,3929,,NEWDALE,RD,,CHEVY CHASE,MD,20815,
STORMWATER CONCEPT,206645,09/18/2002,11/06/2002,PLEASANT HILLS,Parcel 101,220NW15,DS561,3.0,0.6,0.1,RC,RC,MEADOW,RESID,GSC,GENERAL USE,,N,N,N,Y,3.0,Y,3.0,N,0.0,N,0.0,,,,,,,,,"BERRYVILLE ROAD, DARNESTOWN, PARCEL 101"
STORMWATER CONCEPT,233495,04/22/2008,05/28/2008,GREENWICH FOREST WOODS,,,,0.2,0.2,0.1,,,,,CJC,GENERAL USE,,N,N,N,Y,0.2,Y,0.2,N,0.0,N,0.0,,,,,,,,,"CUSTER ROAD, LOT 4; BLOCK B, BETHESDA"
STORMWATER CONCEPT,284222,09/19/2018,03/15/2019,,"Customer Wants To Use ePlans,Proposed Wine Tasting Room with Parking Lot and separate Winery/Wine Cellar",,41,44.7,4.7,0.0,RC,RC,,,GSC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,15700,,DARNESTOWN,RD,,GERMANTOWN,MD,20874,
STORMWATER CONCEPT,241695,12/28/2011,,DLSS PROPERTY,,13NW226,,2.6,2.6,1.3,PD-11,TMX-2,,,LSC,RECREATION TROUT,,N,N,N,N,0.0,Y,2.6,N,0.0,N,0.0,,,,,,,,,WALTER JOHNSON ROAD
STORMWATER CONCEPT,266215,07/17/2014,12/30/2014,Seneca Valley High School,Revision requested 11/10/2016...,226NW13,EU41,29.3,29.3,18.3,R-200,R-200,High Sch,High Sch,GSC,,GUNNERS BR,N,N,N,Y,28.5,N,0.0,N,0.0,N,0.0,19401,,CRYSTAL ROCK,DR,,GERMANTOWN,MD,20874,
STORMWATER CONCEPT,206963,11/19/2002,02/13/2003,GREENBRIAR PRESERVE,"Parcels 547, P6",215NW11,EQ63,68.4,16.3,4.6,,,,,WBR,GENERAL USE,,N,N,N,Y,14.8,Y,14.8,N,0.0,N,0.0,,,,,,,,,"GLEN RD & PINEY MEETINGHOUSE RD, PARCELS 547, 850"
STORMWATER CONCEPT,235755,05/21/2009,06/10/2016,ST. JUDE AME CHURCH,"ST JUDES AME CHURCH - 1.92 ACRES
            ********** REVISION SUBMITTED 6/2/2010 **********",229NW11,FV21,1.9,1.4,0.5,RE-2,RE-2,RESIDENT,CHURCH,GSC,GENERAL USE,,N,N,N,Y,1.9,Y,1.9,N,0.0,N,0.0,11040,,BRINK,RD,,GERMANTOWN,MD,20876,
STORMWATER CONCEPT,209490,08/26/2003,09/04/2003,SEIBEL'S SUBDIVISION/DAY PROP,Lot 1,218NE04,KR562,2.0,0.8,0.5,RT-8.0,RT-8.0,RESID,RESID,LPB,GENERAL USE,,N,N,N,Y,0.8,Y,0.8,N,0.0,N,0.0,,,,,,,,,"GREENCASTLE RD, LOT 1"
STORMWATER CONCEPT,210271,10/22/2003,02/23/2004,MARTIN'S DAIRY,"Lots 24-28/2, Parcels B, C, D, & OL A",223NW03,HT51,3.1,3.8,2.2,C-1,C-I,VACANT,COMMERCI,URC,NATURAL TROUT,,N,N,N,Y,3.1,Y,3.1,N,0.0,N,0.0,16800-26,,GEORGIA,AVE,,OLNEY,MD,20832,
STORMWATER CONCEPT,244570,07/20/2012,09/28/2012,EDGEMOOR CLUB PH 2,,209NW05,HN22,2.1,0.5,0.4,R-60,R-60,,,LFB,,,N,N,N,Y,0.5,Y,0.5,N,0.0,N,0.0,7415,,EXETER,RD,,BETHESDA,MD,20814,
STORMWATER CONCEPT,282523,12/15/2016,04/06/2017,HAYES,"Customer Wants To Use ePlans,existing and proposed zone is R-90",,341,2.2,1.4,0.0,R-90,R-90,,,URC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,4100,,JONES BRIDGE,RD,,CHEVY CHASE,MD,20815,
STORMWATER CONCEPT,217764,04/21/2005,05/09/2005,PARKLAND MIDDLE SCHOOL,Parcel P320,219NW4,HR32,9.2,9.5,7.4,R-90,R-90,SCHOOL,SCHOOL,URC,GENERAL USE,,N,N,N,Y,9.8,Y,7.4,N,0.0,N,0.0,4610,,RENN,ST,,ROCKVILLE,MD,20853,
STORMWATER CONCEPT,283122,07/05/2017,02/26/2018,Dewey Local Park,,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,11720,,DEWEY,RD,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,268935,10/09/2014,01/14/2015,GOSHEN ESTATES,,,,7.5,0.4,0.0,,,,,GSC,,,N,N,N,Y,3.2,Y,0.0,N,0.0,N,0.0,,,,,,,,,"20740 BELL BLUFF RD

GAITHERSBURG, MD 20879"
STORMWATER CONCEPT,282905,04/13/2017,06/02/2017,THE FRENCH INTERNATIONAL SCHOOL,The French International School plans to consolidate the above mentioned properties which are currently commercial and residential into one property to construct a Primary School to accompany their campus located nearby at 9600 Forest Road. (Nobis requested ePlans),,561,4.0,3.7,0.0,R-150,R-150,,,URC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,,,,,,,,,"The work is proposed to take place on 4 lots to be consolidated. They are located at 9300, 9312 and 9320 Old Georgetown Road in Bethesda, MD (Liber 8118, Folio 286; Liber 16988, Folio 697; Liber 7762, Folio 795; Liber 47217, Folio 346)"
STORMWATER CONCEPT,282493,12/07/2016,05/10/2017,Georgia Avenue Gas Station,,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,13800,,GEORGIA,AVE,,SILVER SPRING,MD,20906,
STORMWATER CONCEPT,284571,02/21/2019,,BURNING TREE CLUB,"Customer Wants To Use ePlans,REQUESTING FOR A EXPEDITED REVIEW AND WILL PAY FOR THE EXPEDITED REVIEW. PLEASE SEND NOTIFICATIONS ONLY TO michael_norton@nortonlanddesign.com.",,343,208.0,8.6,0.0,RMH200,RMH200,,,CJC,GENERAL USE,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,8600,,BURDETTE,RD,,BETHESDA,MD,20817,
STORMWATER CONCEPT,240325,05/26/2011,07/28/2011,B H WARNER PROPERTY REHAB,,213NW04,HP43,4.4,3.0,0.8,R-60,R-60,,,LRC,RECREATION TROUT,,N,N,N,Y,3.0,Y,3.0,N,0.0,N,0.0,10231,,CARROLL,PL,,KENSINGTON,MD,20895,
STORMWATER CONCEPT,204413,11/07/2001,12/27/2001,JOHN E. KELLY PROPERTY,Parcel 641,222NW12,ES63,1.4,1.0,0.2,R-200,R-200,,,GSC,GENERAL USE,,N,N,N,N,0.0,N,0.0,Y,1.4,Y,1.4,,,,,,,,,"OLD QUINCE ORCHARD RD & CHEYENNE RD, GAITHERSBURG PARCEL 641"
STORMWATER CONCEPT,282886,04/07/2017,05/03/2017,Germantown Park - WRE 12-07,,,,2.2,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,18400,,CINNAMON,DR,,GERMANTOWN,MD,20874,
STORMWATER CONCEPT,201118,05/04/2000,06/13/2000,S. GERMANTOWN REC PARK,,,,41.8,33.3,10.5,,,PARK,PARK,GSC,GENERAL USE,,N,N,N,Y,33.3,Y,33.3,N,0.0,N,0.0,,,,,,,,,BETWEEN SCHAEFFER RD & MD RT 118 IN GERMANTOWN
STORMWATER CONCEPT,242769,04/26/2012,06/04/2012,HOLLYWOOD BRANCH STREAM RESTOR,,217NE01,,38.3,7.3,0.0,R-90,R-90,,,PBR,NATURAL TROUT,,N,N,N,N,0.0,N,0.0,Y,7.3,N,0.0,,,,,,,,,"CANNON ROAD - MIDLAND ROAD, SILVER SPRING"
STORMWATER CONCEPT,231700,07/05/2007,07/17/2007,HERITAGE CHRISTIAN CHURCH,,220NE01,JS561,4.8,0.6,0.2,RE-2C,RE-2C,CHURCH,CHURCH,NWB,RECREATION TROUT,,N,N,N,Y,0.2,Y,0.2,N,0.0,N,0.0,15250,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20905,
STORMWATER CONCEPT,264135,05/07/2014,07/10/2014,Quail Valley # 2 SWM pond (MCDEP Asset#10884),,226NW09,FU61,5.9,1.0,0.0,,,idle,idle,GSC,GENERAL USE,,N,N,N,Y,49.0,Y,49.0,N,0.0,N,0.0,,,,,,,,,MNCPPC property off Centerway Road/Gaithersburg MD 20879
STORMWATER CONCEPT,264415,05/16/2014,10/01/2014,WHITE OAK SELF STORAGE,,214NE1,JQ61,2.6,0.9,0.6,C-2,C-2,COMM,COMM,PBR,NATURAL TROUT,,N,N,N,N,0.0,Y,0.9,N,0.0,Y,0.9,11105,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20904,
STORMWATER CONCEPT,231349,05/10/2007,10/03/2007,HOLY REDEEMER CHURCH,,212NW04,HP342,10.1,1.7,1.0,R-90,R-90,CHURCH,CHURCH,LRC,GENERAL USE,,N,N,N,Y,1.4,Y,1.4,N,0.0,N,0.0,9705,,SUMMIT,AVE,,KENSINGTON,MD,20895,
STORMWATER CONCEPT,205966,06/27/2002,12/13/2002,POTOMAC CREST,"Lots 1-21, Parcels A, B, C, D",213NW8,GQ121,9.1,6.8,2.2,,,,,CJC,GENERAL USE,,N,N,N,Y,9.1,Y,9.1,N,0.0,N,0.0,,,,,,,,,EXTENSION OF PATRIOTT LANE NEAR INTERSECTION OF SEVEN-LOCKS RD & DECLARATION LA
STORMWATER CONCEPT,234086,07/22/2008,10/13/2008,WASHINGTON SCIENCE CENTER,,"6NW,215N",GQ62,20.2,8.2,3.8,C-1,C-1,,,CJC,GENERAL USE,CABIN BRCH,N,N,N,Y,7.3,Y,7.3,N,0.0,N,0.0,,,,,,,,,"6011 & 6015 EXECUTIVE BOULEVARD, ROCKVILLE, MD 20852"
STORMWATER CONCEPT,230488,01/11/2007,03/01/2007,CABIN JOHN PARK,Lots 1-5/B,208NW08,GN121,1.9,0.0,0.5,,,,,PRD,GENERAL USE,,N,N,N,Y,1.9,Y,1.9,N,0.0,N,0.0,8004,,MACARTHUR,BLVD,,CABIN JOHN,MD,20818,
STORMWATER CONCEPT,284390,12/10/2018,04/03/2019,VOB DEVELOPMENT,"STORMWATER MANAGEMENT CONCEPT/SITE DEVELOPMENT STORMWATER MANAGEMENT PLANCustomer Wants To Use ePlans,Mixed-use project with 1,000 units multi-family residential up to 940,843sf, and up to 110,169sf non-residential.",,62,5.1,5.1,0.0,CR,CR,Car deal,mixed,CJC,GENERAL USE,,N,N,N,Y,5.1,Y,5.1,N,0.0,N,0.0,11575,,OLD GEORGETOWN,RD,,ROCKVILLE,MD,20852,
STORMWATER CONCEPT,283310,09/18/2017,11/17/2017,WASHINGTON GAS NORTHWEST STORAGE BUILDING,,,,0.0,0.0,0.0,,,,,,,,N,N,N,N,0.0,N,0.0,N,0.0,N,0.0,11801,,NEBEL,ST,,ROCKVILLE,MD,20852,
STORMWATER CONCEPT,239308,12/20/2010,06/02/2011,20315 GEORGIA AVE,,228NW03,HU53,14.2,1.1,0.0,RC,RC,LANDSCAP,LANDSCAP,HWR,RECREATION TROUT,,N,N,N,Y,14.2,Y,14.2,N,0.0,N,0.0,20315,,GEORGIA,AVE,,BROOKEVILLE,MD,20833,
STORMWATER CONCEPT,212498,04/27/2004,07/27/2004,BARNARD PROPERTY,"Parcels 466, 577, proposed lots 1-12",236NW09,FX562,33.1,3.9,1.9,RE-2C,RE-2C,RESID,RESID,GSC,GENERAL USE,,N,N,N,Y,30.2,Y,30.2,N,0.0,N,0.0,,,,,,,,,"DAMASCUS ROAD, PARCELS 466 & 575"
STORMWATER CONCEPT,202974,11/29/2000,02/22/2002,RICHARDS PROPERTY,,WQ0NW7,GN343,3.7,2.4,0.9,R-90,R-90,,,CJC,GENERAL USE,,Y,N,N,N,0.0,Y,3.5,Y,3.7,N,0.0,,,,,,,,,"OAK PARK DRIVE, PARCELS 291 & 293"
