Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
711 S Peters St Apt 203,711 S Peters St Apt 203,Commercial STR,2,4,08/20/2020 11:59:59 PM,"(29.9458739362436, -90.0660331651377)",3682183.77,528028.31
300 N Cortez St Unit C,300 N Cortez St Unit C,Commercial STR,4,8,06/13/2020 11:59:59 PM,"(29.9741297231356, -90.0950850382044)",3672872.45,538202.6
4915 Magazine St,4915 Magazine St,Accessory STR,1,2,11/13/2020 11:59:59 PM,"(29.920483870761, -90.108402246889)",3668864.82,518649.62
2829 St Thomas St,2829 St Thomas St,Accessory STR,2,4,07/02/2020 11:59:59 PM,"(29.9218590891146, -90.0802314632776)",3677782.89,519246.19
2001 Marengo St,2001 Marengo St,Accessory STR,,,06/25/2020 11:59:59 PM,"(29.9308598093013, -90.0987921835661)",3671868.31,522455.36
711 S Peters St Pent 402,711 S Peters St Pent 402,Commercial STR,2,4,08/13/2020 11:59:59 PM,"(29.9458745955534, -90.0660673548599)",3682172.94,528028.43
1225 Coliseum St Unit 2,1225 Coliseum St Unit 2,Accessory STR,1,2,11/19/2020 11:59:59 PM,"(29.9388320283352, -90.0727047983159)",3680099.14,525444.31
1812 Carondelet St Unit 3,1812 Carondelet St Unit 3,Commercial STR,4,8,07/19/2020 01:10:34 PM,"(29.9368330672728, -90.0788169103925)",3678171.35,524696.17
1021 Sixth St,1021 Sixth St,Accessory STR,3,6,12/25/2019 11:59:59 PM,"(29.925058893337, -90.0833308873353)",3676788.42,520399.03
800 St Charles Ave unit 402,800 St Charles Ave unit 402,Commercial STR,2,4,11/18/2020 11:59:59 PM,"(29.9456771124893, -90.0715376301863)",3680441.38,527937.5
2924 Orleans Ave,2924 Orleans Ave,Accessory STR,2,1,11/25/2020 11:59:59 PM,"(29.9724441563484, -90.0856517485661)",3675865.66,537622.06
2613 Orleans Ave,2613 Orleans Ave,Commercial STR,2,4,11/03/2020 11:59:59 PM,"(29.9701466506311, -90.0815884159532)",3677161.24,536800.63
2940 George Nick Connor Dr,2940 George Nick Connor Dr,Accessory STR,2,4,05/16/2020 11:59:59 PM,"(29.9880020505654, -90.0693128225163)",3680976.16,543336.2
1908 Cambronne St,1908 Cambronne St,Accessory STR,2,4,11/24/2020 11:59:59 PM,"(29.9546593545981, -90.1269596116522)",3662855.63,531014.76
334 Carondelet St Apt 205,334 Carondelet St Apt 205,Commercial STR,1,2,08/05/2020 11:59:59 PM,"(29.9509604512216, -90.0713155480901)",3680490.55,529859.49
326 Camp St Apt 401,326 Camp St Apt 401,Commercial STR,3,6,08/06/2020 11:59:59 PM,"(29.9503018815279, -90.0688750533587)",3681266.02,529628.53
5722 St Roch Ave,5722 St Roch Ave,Accessory STR,2,4,11/20/2020 11:59:59 PM,"(30.0175824005601, -90.0563913684802)",3684946.58,554138.12
1610 Frenchmen St C,1610 Frenchmen St C,Commercial STR,3,6,08/06/2020 11:59:59 PM,"(29.9738132289569, -90.0586951364588)",3684394.59,538213.84
1 Cypress Grove Ct Unit 68,1 Cypress Grove Ct Unit 68,Temporary STR,2,4,11/24/2020 11:59:59 PM,"(29.9015950336519, -89.9954787300672)",3704715.17,512181.05
1108 Henriette Delille St,1108 Henriette Delille St,Accessory STR,2,4,07/28/2020 11:59:59 PM,"(29.9645663470612, -90.0662411157314)",3682042.75,534824.83
2411 Octavia St,2411 Octavia St,Accessory STR,2,4,11/03/2020 11:59:59 PM,"(29.9366820221103, -90.1117402720962)",3667744.65,524528.58
1728 Clio St,1728 Clio St,Commercial STR,5,10,02/03/2020 11:59:59 PM,"(29.9423708812544, -90.0758213622062)",3679097.98,526720.32
900 Bartholomew St Unit 406,900 Bartholomew St Unit 406,Commercial STR,2,4,06/06/2020 11:59:59 PM,"(29.9636411834197, -90.0361572765411)",3691571.84,534594.99
803 9th Street,803 9th Street,Accessory STR,1,2,12/04/2020 11:59:59 PM,"(29.9217573428048, -90.084404367254)",3676461.48,519194.76
518 River Oaks Dr,518 River Oaks Dr,Temporary STR,3,6,11/12/2020 11:59:59 PM,"(29.9261949174584, -90.0050802366211)",3701569.5,521090.98
506 David St,506 David St,Commercial STR,3,6,05/22/2020 11:59:59 PM,"(29.9782538601549, -90.0981101065092)",3671898.56,539691.96
1006 Race St,1006 Race St,Commercial STR,5,10,06/27/2020 11:59:59 PM,"(29.9341057406729, -90.0715577293161)",3680481.35,523729.66
3128 Toulouse St,3128 Toulouse St,Accessory STR,3,6,11/26/2020 11:59:59 PM,"(29.9725010283242, -90.0884456322434)",3674980.89,537633.12
2101 Robert St,2101 Robert St,Accessory STR,2,4,11/12/2020 11:59:59 PM,"(29.9331115977565, -90.1083570706569)",3668830.04,523241.68
2715 Carondelet St.,2715 Carondelet St.,Commercial STR,1,2,05/16/2020 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3680110.08,523229.07
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,2,4,06/25/2020 11:59:59 PM,"(29.9468754722696, -90.0683693381956)",3681439.92,528384.33
1737 Esplanade Ave,1737 Esplanade Ave,Accessory STR,2,4,12/05/2020 11:59:59 PM,"(29.9707620651447, -90.0700957751153)",3680797.43,537064.35
838 Camp St Apt B,838 Camp St Apt B,Commercial STR,1,2,06/01/2020 11:59:59 PM,"(29.9447464355353, -90.0705206254245)",3680767.18,527602.62
3100 Gravier St Apt B,3100 Gravier St Apt B,Commercial STR,1,2,06/06/2020 11:59:59 PM,"(29.9627443290269, -90.0964221770765)",3672493.81,534057.86
600 Canal St Apt 402 APT 402,600 Canal St Apt 402 APT 402,Commercial STR,1,2,10/09/2020 11:59:59 PM,"(29.9524692132439, -90.0685177747389)",3681370.46,530417.9
4643 Dart St,4643 Dart St,Accessory STR,3,6,06/03/2020 11:59:59 PM,"(29.9565063415556, -90.1073328943063)",3669063.4,531752.36
2303 Louisiana Ave,2303 Louisiana Ave,Commercial STR,2,4,09/11/2020 11:59:59 PM,"(29.9348019364714, -90.0943348929843)",3673264.58,523904.1
4011 Iberville St,4011 Iberville St,Commercial STR,2,4,09/13/2020 11:59:59 PM,"(29.9750553723491, -90.0990026673118)",3671628.52,538525.82
1816 Desire St,1816 Desire St,Accessory STR,3,6,11/05/2020 11:59:59 PM,"(29.9744423188463, -90.038325979278)",3690840.78,538514.91
1253 N Villere St Apt A Apt. A,1253 N Villere St Apt A Apt. A,Commercial STR,,,05/22/2020 11:59:59 PM,"(29.9678683946992, -90.0674006389274)",3681662.35,536021.52
5112 Clara St,5112 Clara St,Accessory STR,1,2,11/04/2020 11:59:59 PM,"(29.9376024417874, -90.1096153810941)",3668414.06,524870.46
3218 Dumaine St,3218 Dumaine St,Accessory STR,1,2,09/03/2020 11:59:59 PM,"(29.9760692041463, -90.087531965926)",3675256.05,538933.79
455 Hyde St,455 Hyde St,Commercial STR,3,6,05/21/2020 11:59:59 PM,"(29.9420591670823, -90.0752832573771)",3679269.64,526608.84
1925 Third St,1925 Third St,Accessory STR,3,6,10/16/2020 11:59:59 PM,"(29.9349168764791, -90.0864806576881)",3675751.72,523972.88
828 Franklin Ave,828 Franklin Ave,Accessory STR,2,4,12/08/2020 11:59:59 PM,"(29.96653649806, -90.0510067810051)",3686858.3,535594.91
212 Magazine St Apt 2B,212 Magazine St Apt 2B,Commercial STR,1,2,10/06/2020 11:59:59 PM,"(29.9508062518218, -90.0674329028886)",3681720.68,529816.98
2003 Dumaine St,2003 Dumaine St,Accessory STR,,,06/17/2020 11:59:59 PM,"(29.9675770621681, -90.0747060608139)",3679350.51,535890.1
1131 N Robertson St.,1131 N Robertson St.,Accessory STR,3,6,06/07/2020 11:59:59 PM,"(29.9671808708095, -90.0692031086562)",3681094.42,535765.21
3503 Urquhart St,3503 Urquhart St,Accessory STR,2,4,11/14/2020 11:59:59 PM,"(29.9686139516976, -90.038863272827)",3690694.62,536393.58
733 Constantinople St,733 Constantinople St,Accessory STR,1,2,06/05/2020 11:59:59 PM,"(29.9199342472342, -90.0966191542089)",3672599.46,518489.85
822 Howard Ave 104,822 Howard Ave 104,Commercial STR,2,4,07/30/2020 11:59:59 PM,"(29.9441827371827, -90.0743740769912)",3679549.09,527384.21
1036 Webster St,1036 Webster St,Accessory STR,3,6,12/11/2020 11:59:59 PM,"(29.92529031719, -90.1223978275304)",3664413.02,520350.3
1020 Mandeville St,1020 Mandeville St,Commercial STR,,,12/04/2020 11:59:59 PM,"(29.9681644438445, -90.0544463886499)",3685762.65,536174.72
4511 Dryades St,4511 Dryades St,Commercial STR,,,07/23/2020 11:59:59 PM,"(29.9294840698467, -90.103981214099)",3670230.14,521937.42
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,2,4,06/25/2020 11:59:59 PM,"(29.9468244969532, -90.0682845357167)",3681466.98,528366.09
2539 N. Rampart St,2539 N. Rampart St,Accessory STR,2,4,12/01/2020 11:59:59 PM,"(29.9679787989166, -90.0510586439842)",3686836.01,536119.2
50 Chatham Dr,50 Chatham Dr,Temporary STR,4,8,08/20/2020 11:59:59 PM,"(30.0109742406814, -90.0729355665628)",3679737.49,551677.16
5636 Woodlawn Pl,5636 Woodlawn Pl,Accessory STR,3,6,03/12/2021 11:59:59 PM,"(29.9928379154421, -90.1120025029979)",3667443.94,544948.16
123 N Alexander St,123 N Alexander St,Accessory STR,2,4,11/11/2020 11:59:59 PM,"(29.9775401488843, -90.1037037339069)",3670130.5,539413.38
325 Andrew Higgins Dr,325 Andrew Higgins Dr,Commercial STR,1,2,10/15/2020 11:59:59 PM,"(29.9420709695219, -90.0664996208988)",3682051.34,526643.78
Etals 1315 Vignaud St,Etals 1315 Vignaud St,Accessory STR,1,2,12/04/2020 11:59:59 PM,"(29.9803855331499, -90.0862439154892)",3675646.75,540507.81
2825 Laurel St,2825 Laurel St,Accessory STR,3,6,09/03/2020 11:59:59 PM,"(29.9242701510414, -90.0818775132807)",3677251.91,520117.24
3134 Annunciation St,3134 Annunciation St,Accessory STR,1,2,06/16/2020 11:59:59 PM,"(29.9214517850703, -90.084415451529)",3676459.18,519083.61
634 N Hennessey St,634 N Hennessey St,Accessory STR,,,08/18/2020 11:59:59 PM,"(29.9806625792254, -90.0991609090786)",3671556.46,540564.28
718 Peniston St,718 Peniston St,Accessory STR,2,4,10/07/2020 11:59:59 PM,"(29.919924902273, -90.0938149421975)",3673487.78,518496.05
3100 Gravier St Apt. C,3100 Gravier St Apt. C,Commercial STR,2,4,08/14/2020 03:45:18 PM,"(29.9627337330453, -90.0964300461346)",3672491.36,534053.98
1253 N Villere St,1253 N Villere St,Commercial STR,,,05/22/2020 11:59:59 PM,"(29.9678503261557, -90.0673719371254)",3681671.51,536015.05
2816 Milan St,2816 Milan St,Accessory STR,2,4,11/22/2020 11:59:59 PM,"(29.9387249450853, -90.1010871539448)",3671110.66,525307.59
614 N Carrolton,614 N Carrolton,Commercial STR,4,8,08/27/2020 11:59:59 PM,"(29.9782823039557, -90.0961874427649)",3672507.13,539708.87
1024 Sixth St Apt 204,1024 Sixth St Apt 204,Commercial STR,1,2,10/16/2020 03:17:16 PM,"(29.9249182140596, -90.0838241072338)",3676632.75,520346.17
2748 Bienville Ave,2748 Bienville Ave,Accessory STR,2,4,11/15/2020 11:59:59 PM,"(29.9678787845037, -90.0870785818301)",3675431.98,535957
925 Common St Unit 1504 unit 1504,925 Common St Unit 1504 unit 1504,Commercial STR,1,2,11/24/2020 11:59:59 PM,"(29.9536744286977, -90.0723660143204)",3680147.04,530842.73
5000 Cartier Ave,5000 Cartier Ave,Accessory STR,3,6,11/17/2020 11:59:59 PM,"(30.0081109211589, -90.0795316429059)",3677661.37,550613.04
1907 Sophie Wright Pl,1907 Sophie Wright Pl,Commercial STR,1,2,12/10/2020 11:59:59 PM,"(29.9320038113027, -90.0745353793166)",3679546.66,522954.95
3410 N Roman St,3410 N Roman St,Accessory STR,2,4,06/09/2020 11:59:59 PM,"(29.9737269970926, -90.0378768560372)",3690985.91,538256.4
1000 Elysian Fields Ave,1000 Elysian Fields Ave,Commercial STR,2,4,05/09/2020 11:59:59 PM,"(29.9676644363469, -90.0570379580606)",3684944.15,535983.75
842 Camp St Unit 7,842 Camp St Unit 7,Commercial STR,5,10,07/09/2020 11:59:59 PM,"(29.9446077055515, -90.07035237165)",3680821.02,527552.76
7601 Shaw Ave,7601 Shaw Ave,Temporary STR,3,6,08/13/2020 11:59:59 PM,"(30.0445330181325, -89.9854614762376)",3707277.44,564195.48
6125 Laurel St,6125 Laurel St,Accessory STR,1,2,05/31/2020 11:59:59 PM,"(29.9204958091789, -90.1251577937365)",3663557.18,518597.61
835 St Ferdinand St,835 St Ferdinand St,Accessory STR,3,6,11/29/2020 11:59:59 PM,"(29.9661073500997, -90.0489076577338)",3687524.67,535446.3
1053 Constance St Apt 215 215,1053 Constance St Apt 215 215,Commercial STR,,,11/13/2020 11:59:59 PM,"(29.9413815396484, -90.0697506035677)",3681024.53,526381.71
2726 Cleveland Ave,2726 Cleveland Ave,Accessory STR,3,6,10/09/2020 11:59:59 PM,"(29.964967934105, -90.0889279421221)",3674857.94,534892.14
1439 Moss St,1439 Moss St,Accessory STR,3,6,07/01/2020 11:59:59 PM,"(29.9817487337675, -90.0906146388085)",3674257.71,540988.49
1136 Elysian Fields Ave,1136 Elysian Fields Ave,Accessory STR,3,6,11/20/2020 11:59:59 PM,"(29.9693562676169, -90.05717483784)",3684893.96,536598.48
333 Julia St Unit 511,333 Julia St Unit 511,Commercial STR,,,10/01/2020 11:59:59 PM,"(29.9449976580457, -90.0670995307467)",3681849.59,527705.93
3037 General Taylor St,3037 General Taylor St,Accessory STR,2,4,11/14/2020 11:59:59 PM,"(29.9414387841912, -90.1000519999208)",3671427.88,526297.97
6016 Warrington Dr,6016 Warrington Dr,Temporary STR,3,6,09/05/2020 11:59:59 PM,"(30.0193774312619, -90.069990966026)",3680635.7,554743.16
2441 Decatur St,2441 Decatur St,Accessory STR,2,4,05/23/2020 11:59:59 PM,"(29.9630346580434, -90.0529194295795)",3686266.95,534314.74
1240 N Broad St,1240 N Broad St,Commercial STR,2,4,11/12/2020 11:59:59 PM,"(29.9752054120938, -90.0786337082395)",3678076.58,538650.42
624 S Lopez St,624 S Lopez St,Commercial STR,3,6,11/25/2020 11:59:59 PM,"(29.9636488662207, -90.096335669898)",3672517.65,534387.08
600 Canal St APT 603,600 Canal St APT 603,Commercial STR,1,2,10/09/2020 11:59:59 PM,"(29.9524810181828, -90.0685700466936)",3681353.86,530422.01
518 Hillary St,518 Hillary St,Accessory STR,1,2,08/15/2020 01:22:35 PM,"(29.9395802072398, -90.1306396797029)",3661747.86,525519.15
712 Franklin Ave,712 Franklin Ave,Accessory STR,2,4,07/24/2020 11:59:59 PM,"(29.9652234082264, -90.0514223347489)",3686732.07,535115.95
623 Gallier St,623 Gallier St,Accessory STR,1,2,11/14/2020 11:59:59 PM,"(29.9619888542725, -90.0408731629781)",3690085.44,533977.27
3301 St Claude Ave,3301 St Claude Ave,Commercial STR,2,4,09/02/2020 11:59:59 PM,"(29.9672514597241, -90.0414206232016)",3689890.52,535888.99
3221 Canal St Unit 1,3221 Canal St Unit 1,Commercial STR,5,10,11/16/2020 11:59:59 PM,"(29.9692367729003, -90.0922457102822)",3673790.64,536433.06
1828 Eagle St,1828 Eagle St,Accessory STR,2,4,09/24/2020 11:59:59 PM,"(29.9568487990641, -90.1306870164286)",3661666.96,531798.52
900 Bartholomew St Unit 511,900 Bartholomew St Unit 511,Commercial STR,2,4,06/06/2020 11:59:59 PM,"(29.9636413126597, -90.0362680361035)",3691536.77,534594.64
1125 N Rampart St Apt 3,1125 N Rampart St Apt 3,Commercial STR,1,2,07/23/2020 11:59:59 PM,"(29.9643802899211, -90.0653739342461)",3682318.07,534760.21
3729 Bienville Ave,3729 Bienville Ave,Commercial STR,4,8,05/15/2020 11:59:59 PM,"(29.9741121790676, -90.0956259773493)",3672701.26,538194.37
2413 Burgundy St,2413 Burgundy St,Accessory STR,2,4,06/17/2020 11:59:59 PM,"(29.966814834702, -90.0538330855951)",3685962.31,535686.12
3616 Annunciation St,3616 Annunciation St,Accessory STR,3,6,06/16/2020 11:59:59 PM,"(29.9190286441604, -90.0910073101223)",3674380.68,518179.77
3244 Annunciation St,3244 Annunciation St,Accessory STR,1,2,05/31/2020 11:59:59 PM,"(29.9206693501435, -90.0860003847284)",3675960.23,518793.62
2718 Magazine St,2718 Magazine St,Commercial STR,2,4,06/04/2020 11:59:59 PM,"(29.9262919849937, -90.0819877597308)",3677208.96,520852.07
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,2,4,06/25/2020 11:59:59 PM,"(29.9469336727198, -90.0684591015797)",3681411.26,528405.18
822 Howard Ave 303,822 Howard Ave 303,Commercial STR,2,4,07/30/2020 11:59:59 PM,"(29.9441743371742, -90.0743210395049)",3679565.92,527381.34
1412 St Roch Ave,1412 St Roch Ave,Accessory STR,1,2,06/16/2020 11:59:59 PM,"(29.972193295605, -90.0526845730664)",3686304.09,537645.99
217 S Bernadotte St,217 S Bernadotte St,Accessory STR,1,2,02/26/2021 11:59:59 PM,"(29.9781931925361, -90.1090732953342)",3668428.04,539632.65
900 Bartholomew St Unit 320,900 Bartholomew St Unit 320,Commercial STR,1,2,06/06/2020 11:59:59 PM,"(29.9637255576097, -90.036386482271)",3691498.92,534624.85
1103 Tchoupitoulas St,1103 Tchoupitoulas St,Commercial STR,2,4,08/01/2020 11:59:59 PM,"(29.9404327280007, -90.0673041835772)",3681803.12,526045.24
,,Commercial STR,2,4,11/12/2020 11:59:59 PM,"(29.9624497724607, -90.044531331393)",3688925.26,534131.83
2312 Jackson Ave,2312 Jackson Ave,Accessory STR,1,2,08/01/2020 11:59:59 PM,"(29.9407989282834, -90.0865501716258)",3675706.43,526111.57
10310 Brookfield Dr,10310 Brookfield Dr,Accessory STR,2,4,11/21/2020 11:59:59 PM,"(30.0414125000469, -89.97529699725)",3710506.61,563098.71
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,1,2,06/25/2020 11:59:59 PM,"(29.9468664113495, -90.0681734515404)",3681501.99,528381.72
2536 Bienville Ave,2536 Bienville Ave,Accessory STR,2,4,06/09/2020 11:59:59 PM,"(29.9658223393625, -90.0843427082566)",3676306.35,535218.63
921 Mandeville Street,921 Mandeville Street,Accessory STR,2,4,03/04/2021 11:59:59 PM,"(29.9672139238242, -90.0541650631558)",3685855.58,535830.07
1712 Oretha Castle Haley Blvd Apt 307 Unit 307,1712 Oretha Castle Haley Blvd Apt 307 Unit 307,Commercial STR,1,2,08/20/2020 11:59:59 PM,"(29.9393228439777, -90.0802982473713)",3677692.29,525596.41
"4742 Charlmark Dr New Orleans, LA 70127","4742 Charlmark Dr New Orleans, LA 70127",Temporary STR,,,06/06/2020 11:59:59 PM,"(30.0219262794106, -89.9729011313287)",3711348.74,556021.78
2928 Bruxelles St 2928 Bruxelles Street,2928 Bruxelles St 2928 Bruxelles Street,Accessory STR,1,2,09/02/2020 05:06:03 PM,"(29.987660396673, -90.0716435640943)",3680239.73,543203.83
320 N Cortez St Unit D,320 N Cortez St Unit D,Commercial STR,,,07/21/2020 11:59:59 PM,"(29.974443443623, -90.0956612553329)",3672688.79,538314.71
1205 Eighth St,1205 Eighth St,Commercial STR,1,2,06/03/2020 11:59:59 PM,"(29.9400650608399, -90.0763594118801)",3678936.78,525879.97
6000 Elysian Fields Avenue,6000 Elysian Fields Avenue,Accessory STR,1,2,09/14/2020 11:59:59 PM,"(30.0198866272527, -90.0614313311016)",3683342.35,554958.29
2862 Maurepas St,2862 Maurepas St,Accessory STR,2,4,11/24/2020 11:59:59 PM,"(29.9807007504405, -90.0792673618447)",3677854.1,540646.54
900 Bartholomew St Unit 507,900 Bartholomew St Unit 507,Commercial STR,2,4,06/06/2020 11:59:59 PM,"(29.963618532429, -90.0361860903944)",3691562.81,534586.65
2606 Royal St,2606 Royal St,Accessory STR,1,2,06/18/2020 11:06:01 AM,"(29.9646813408433, -90.0511949207699)",3686806.28,534919.64
3319 Short St,3319 Short St,Accessory STR,3,6,11/24/2020 11:59:59 PM,"(29.9619158904155, -90.1122484409679)",3667485.92,533702.86
1314 Touro St,1314 Touro St,Accessory STR,2,4,12/21/2019 11:59:59 PM,"(29.9707918834535, -90.0597307224204)",3684078.94,537111.52
800 St Charles Ave 203,800 St Charles Ave 203,Commercial STR,2,4,08/06/2020 11:59:59 PM,"(29.9457097938119, -90.0715015347987)",3680452.68,527949.51
2323 Dauphine St,2323 Dauphine St,Accessory STR,1,4,11/22/2020 11:59:59 PM,"(29.9659294612504, -90.0547202526613)",3685685.01,535361.03
4011 Iberville St,4011 Iberville St,Commercial STR,3,6,09/06/2020 09:48:53 AM,"(29.9751281842736, -90.0989168307143)",3671655.41,538552.59
1534 Washington Ave,1534 Washington Ave,Accessory STR,2,4,11/10/2020 11:59:59 PM,"(29.9303210238616, -90.0857818240965)",3675991.25,522304.07
900 Napoleon Ave,900 Napoleon Ave,Commercial STR,,,07/30/2020 11:59:59 PM,"(29.9209095714411, -90.1022487999013)",3670812.36,518825.31
2226 Upperline St,2226 Upperline St,Accessory STR,3,6,12/10/2020 11:59:59 PM,"(29.9325495276817, -90.1076515597593)",3669055.68,523039.68
2253 Urquhart St Apt B,2253 Urquhart St Apt B,Accessory STR,3,6,12/24/2020 12:00:00 AM,"(29.9708452386924, -90.0552153592301)",3685508.31,537146.84
928 2nd St,928 2nd St,Accessory STR,1,2,08/13/2020 11:59:59 PM,"(29.9264222382431, -90.0793294278528)",3678050.46,520908.64
1010 N Rocheblave St,1010 N Rocheblave St,Accessory STR,3,6,12/01/2020 11:59:59 PM,"(29.9714923742595, -90.0779553982418)",3678306.12,537302.57
5231 Chestnut St,5231 Chestnut St,Accessory STR,1,2,09/08/2020 11:59:59 PM,"(29.9225890881525, -90.1117539575834)",3667794.95,519403.82
2428 Valence St,2428 Valence St,Commercial STR,2,4,11/01/2020 11:59:59 PM,"(29.9346970109004, -90.1065996460938)",3669380.49,523824.15
2475 N Rampart St,2475 N Rampart St,Accessory STR,3,6,11/24/2020 11:59:59 PM,"(29.9679008896237, -90.0523545661061)",3686426.02,536086.28
237 S White,237 S White,Accessory STR,2,4,07/02/2020 11:59:59 PM,"(29.965059227555, -90.0903793143058)",3674398.04,534920.35
1512 Ursulines Ave,1512 Ursulines Ave,Accessory STR,3,6,07/21/2020 11:59:59 PM,"(29.9661777228138, -90.069191026042)",3681102.27,535400.47
2504 Conti St,2504 Conti St,Accessory STR,3,6,10/23/2020 11:59:59 PM,"(29.9664396384416, -90.0828610348428)",3676773.03,535448.22
5757 Campus Blvd,5757 Campus Blvd,Temporary STR,3,6,10/14/2020 11:59:59 PM,"(30.0192616872424, -90.0442715266467)",3688775.11,554791.72
900 Bartholomew St Unit 306,900 Bartholomew St Unit 306,Commercial STR,2,4,06/06/2020 11:59:59 PM,"(29.9636697316265, -90.0361492307224)",3691574.27,534605.4
900 Bartholomew St Unit 420,900 Bartholomew St Unit 420,Commercial STR,1,2,06/06/2020 11:59:59 PM,"(29.9637068256816, -90.0364250990244)",3691486.77,534617.9
734 Union St Unit 400,734 Union St Unit 400,Commercial STR,2,4,05/25/2020 11:59:59 PM,"(29.9511739980045, -90.0711531214295)",3680541.13,529937.71
4424 Jeanne Marie Pl,4424 Jeanne Marie Pl,Temporary STR,4,8,05/20/2020 11:59:59 PM,"(30.0030643222069, -90.0771244018245)",3678443.35,548786.24
3029 Lafitte Ave,3029 Lafitte Ave,Commercial STR,,,05/14/2020 11:59:59 PM,"(29.9715009274964, -90.0880197720611)",3675119.67,537270.91
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,1,2,06/25/2020 11:59:59 PM,"(29.9468402749729, -90.06836103741)",3681442.69,528371.56
429 Exposition Blvd,429 Exposition Blvd,Accessory STR,1,2,12/14/2019 11:59:59 PM,"(29.9211323553661, -90.1278710050532)",3662695.29,518820.03
8006 Nelson St,8006 Nelson St,Accessory STR,3,6,09/11/2020 11:59:59 PM,"(29.9560944624813, -90.1190102483695)",3665367.33,531563.21
600 Canal St Apt 403 APT 403,600 Canal St Apt 403 APT 403,Commercial STR,1,2,10/09/2020 11:59:59 PM,"(29.9524592923699, -90.0685241847669)",3681368.47,530414.27
3686 Louisiana Avenue Prkwy,3686 Louisiana Avenue Prkwy,Accessory STR,3,6,07/16/2020 11:59:59 PM,"(29.9473259238338, -90.1002293031883)",3671348.69,528438.15
612 Julia St Apt G Unit G,612 Julia St Apt G Unit G,Commercial STR,1,2,11/12/2020 11:59:59 PM,"(29.9456006678639, -90.0709046236361)",3680642.15,527911.91
2625 Dumaine,2625 Dumaine,Accessory STR,,,10/17/2020 11:59:59 PM,"(29.9716808163772, -90.0806869887706)",3677440.54,537361.63
1513 Governor Nicholls St,1513 Governor Nicholls St,Accessory STR,2,4,10/27/2020 11:59:59 PM,"(29.9673309079486, -90.0682413075125)",3681398.34,535823.13
1028 Josephine St,1028 Josephine St,Commercial STR,2,4,08/07/2020 11:59:59 PM,"(29.9298825295208, -90.0755864593125)",3679222.22,522179.92
826 Foucher St,826 Foucher St,Accessory STR,3,6,07/22/2020 11:59:59 PM,"(29.9197926935441, -90.0910614118702)",3674360.53,518457.42
3235 St Ann St,3235 St Ann St,Accessory STR,1,2,11/13/2020 11:59:59 PM,"(29.9755484523732, -90.0884313251334)",3674973.38,538741.33
600 Canal St Apt 506 APT 506,600 Canal St Apt 506 APT 506,Commercial STR,2,4,10/09/2020 11:59:59 PM,"(29.9524527389082, -90.0685690788102)",3681354.28,530411.73
123 N Dorgenois St Apt 2A,123 N Dorgenois St Apt 2A,Commercial STR,3,6,11/24/2020 11:59:59 PM,"(29.9652549661994, -90.0856999324682)",3675878.87,535007.63
2213 St Bernard Ave,2213 St Bernard Ave,Commercial STR,3,6,11/26/2020 11:59:59 PM,"(29.9793435171772, -90.0691625062546)",3681058.48,540188.15
925 Common St Unit 1105 Unit 1105,925 Common St Unit 1105 Unit 1105,Commercial STR,1,2,11/26/2020 11:59:59 PM,"(29.9537214169694, -90.0724683701814)",3680114.44,530859.46
3724 Bruxelles,3724 Bruxelles,Accessory STR,1,2,11/28/2020 11:59:59 PM,"(29.9955801719035, -90.0723318435937)",3679990.16,546081.37
3701 Bienville Ave,3701 Bienville Ave,Commercial STR,,,07/21/2020 11:59:59 PM,"(29.973844508449, -90.0951829255777)",3672842.58,538098.55
1111 Governor Nicholls St Apt A,1111 Governor Nicholls St Apt A,Commercial STR,5,10,11/18/2020 11:59:59 PM,"(29.964878002556, -90.0650305845076)",3682424.78,534942.4
400 Poydras St STE. 3150,400 Poydras St STE. 3150,Commercial STR,1,2,06/25/2020 11:59:59 PM,"(29.9468584721807, -90.0681428588731)",3681511.71,528378.94
900 Bartholomew St Unit 405,900 Bartholomew St Unit 405,Commercial STR,2,4,06/06/2020 11:59:59 PM,"(29.9636361935827, -90.0361364967013)",3691578.44,534593.25
920 North Derbigny St.,920 North Derbigny St.,Accessory STR,3,6,05/30/2020 11:59:59 PM,"(29.966510960069, -90.0723605554798)",3680097.4,535510.59
905 St Ferdinand St,905 St Ferdinand St,Accessory STR,1,2,07/15/2020 11:59:59 PM,"(29.9664856815249, -90.0487907910239)",3687560.13,535584.29
1331 Louisiana Ave,1331 Louisiana Ave,Accessory STR,1,2,11/25/2020 11:59:59 PM,"(29.9256183041859, -90.0898134319336)",3674732.86,520580.11
2615 N Rampart St,2615 N Rampart St,Accessory STR,3,6,11/12/2020 11:59:59 PM,"(29.967732969805, -90.0500761252699)",3687148.09,536033.29
711 S Peters St Apt 302,711 S Peters St Apt 302,Commercial STR,2,4,08/15/2020 11:59:59 PM,"(29.9458153149728, -90.0660055217388)",3682192.76,528007.09
