the_geom,OBJECTID,UNDERGROUND_TANK_SYSTEM_ID,UST_ID,FACILITY_NAME,APPROXIMATE_LOCATION_OF_TANK,FACILITY_ADDRESS,STREET_NAME,FACILITY_TANK_NUMBER,ORDINANCE_FOR_ROW,SOURCE,TCEQ_NUMBER,HYPERLINK_TO_COUNCIL_MINUTES,DATE,REMEDIATION_ATAUS,LOCATED_IN_RECHARGE_ZONE,PERMIT_STATUS,LEAKING_STORAGE_TANK_NUMBER,TANK_TYPE,TANK_SYSTEM_STATUS,HISTORICAL_RECORD,CONFIRMED_INSTALLED,COMMENTS
POINT (-97.652235021298 30.272309086024),1423,1425,03081,Williams Insulation,,4300 Nixon Ln,NIXON,,,,,,,,N,C,,,,N,,
POINT (-97.712763784014 30.318390183229),680,680,H0818,Frank Scarbrough,,5619 Airport,Airport,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41176,02/02/1961 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.720885475032 30.279662793922),1054,1055,00318,7-Eleven #36645,,1901 E Martin Luther King Blvd,MARTIN LUTHER KING,,,,,,,,N,P,,,,N,,
POINT (-97.720310688347 30.266806858331),40,40,H0130,A Reed Pena,,1110 Chicon,Chicon,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89142,11/06/1924 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.738306321799 30.216296936424),1255,1256,01008,Power Stop,,2300 E Ben White Blvd,BEN WHITE,,,,,,,,N,P,,,,N,,
POINT (-97.667228809486 30.309776686728),1134,1135,00633,Austex Food Mart,,4607 Loyola Ln,LOYOLA,,,,,,,,N,P,,,,N,,
POINT (-97.731327452997 30.321608905615),1232,1233,00961,North Loop SBC Port,,819 W North Loop Blvd,NORTH LOOP,,,,,,,,N,C,,,,N,,
POINT (-97.719399297166 30.31414257398),1294,1295,01184,Duval Market,,500 E 51st St,51ST,,,,,,,,N,P,,,,N,,
POINT (-97.782612095196 30.300158070414),967,968,H0959,,,3811 Kennelwood,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118541,12/30/1899 12:00:00 AM +0000,,Y,H,,,,Y,,
POINT (-97.751452550344 30.267110257439),210,210,H0036,Dixie Oil Company,"Lots 5,6,7,8","Lots, 5, 6, 7, 8",,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89504,08/03/1916 12:00:00 AM +0000,,N,H,,Kerosene,,Y,,"Condemned, tank to be removed"
POINT (-97.708207405932 30.35025385938),847,848,H0777,Austin Sheet Metal Shop,,715 W Powell,W Powell,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44680,12/23/1959 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.736168367675 30.254043053412),1258,1259,01097,City Star Foods,,31 N I 35,I 35,,,,,,,,N,P,,,,N,,
POINT (-97.860305819453 30.14877269872),2214,2218,C0690,Tabor Residence,,2925 Frate Barker Rd,FRATE BARKER,,,,,,,,Y,C,,,,N,,
POINT (-97.693843130864 30.255110688314),1340,1341,01817,"Coastal Transport Co., Inc.",,5301 Glissman Rd,GLISSMAN,,,,,,,,N,P,,,,N,,
POINT (-97.749648419254 30.269108292024),173,173,H0113,Capital Petroleum Products,Lot 1 Block 50,"Lot 1, Blk 50",,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88859,05/18/1923 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.744648642336 30.268437183287),36,36,H0018,,under sidewalk,211 W 6th,W 6th,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89443,03/25/1915 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.748265831508 30.258171579829),494,494,H0448,Red Ball Taxi Co.,,301 W Riverside,W Riverside,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88728,10/28/1948 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.733175052291 30.263360602106),24,24,H0003,Southern Oil,lot 23 block 2,San Marcos & 4th,,0,Yes,Council Approved,0,http://www.ci.austin.tx.us/edims/document.cfm?id=107572,08/21/1905 12:00:00 AM +0000,,N,H,,Oil Storage,,Y,,
POINT (-97.773928249686 30.247299461757),549,549,H0684,Austin Garden Center,,2223 S Lamar,S Lamar,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44517,01/17/1957 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.760820069313 30.30997826933),2582,2598,EX008,,,,,,,,,,,,Y,X,,,,N,,
POINT (-97.715374868446 30.258989049392),1695,1697,C0116,Fitzgerald Lumber Co,,2400 E 6th St,6TH,,,,,,,,N,C,,,,N,,
POINT (-97.668248983381 30.353656275729),1874,1876,C0303,Hayden Concrete,,9710 Brown Ln,BROWN,,,,,,,,N,C,,,,N,,
POINT (-97.724583276648 30.379862060631),1103,1104,00395,Corner Store #961,,9601 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.670990348217 30.423700698761),1401,1403,03035,7-Eleven Store #35805,,13641 N I 35,I 35,,,,,,,,N,P,,,,N,,
POINT (-97.742165697893 30.294926231721),1245,1246,00994,Star Stop #74,,2819 Guadalupe St,GUADALUPE,,,,,,,,N,P,,,,N,,
POINT (-97.734140654937 30.348767623986),2010,2014,C0463,Scales Electric,,2209 Pasadena Dr,PASADENA,,,,,,,,N,C,,,,N,,
POINT (-97.740640899015 30.266235810355),354,354,H0213,General tire store,SE Corner,E 5th & San Jacinto,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89896,08/02/1928 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,New Tank Added
POINT (-97.739718679805 30.333343925924),1009,1010,00138,Mister Car Wash #301,,5721 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.749759548402 30.269860878401),896,897,H0932,,,701 E 6th Street,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118436,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.759697191947 30.24237013198),789,789,H0746,I.E. Stubbs,,2318 S 1st,S 1st,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44627,02/12/1959 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.699781049715 30.252566921429),698,698,H0836,Allied Sales Co.,,5001 E 5th,E 5th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41220,05/25/1961 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.743438658567 30.265697343833),448,448,H0363,Swift & Co.,,311 Congress,Congress,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88976,02/08/1934 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.743874861735 30.197057624384),1153,1154,00662,All Star Grocery #3,,4600 Teri Rd,TERI,,,,,,,,N,P,,,,N,,
POINT (-97.762990830159 30.215769804843),1661,1663,C0082,Twin Oaks Assoc,,400 E St Elmo Rd,ST ELMO,,,,,,,,N,C,,,,N,,
POINT (-97.737481631132 30.265397764434),987,988,H1005,,,417 Red River Street,,0,,,0,,12/30/1899 12:00:00 AM +0000,,N,,,,,Y,,
POINT (-97.735957569096 30.261310076039),230,230,H0057,Oscar Kuntz?,under sidewalk,800 E 1st,E 1st,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89828,07/12/1917 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.76798949359 30.296670278926),977,978,H0978,,,3112 Windsor Road,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118574,12/30/1899 12:00:00 AM +0000,,Y,H,,,,Y,,
POINT (-97.862528962636 30.235051148082),1049,1050,00312,Circle K #2704684,,6412 W Us 290 Hwy,US 290,,,,,,,,Y,P,,,,N,,
POINT (-97.74131808274 30.279580234141),64,64,H0146,Leonard and Floyd,,1700 Lavaca,Lavaca,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89254,01/26/1926 12:00:00 AM +0000,,N,H,,Dry Cleaning,,Y,,
POINT (-97.777637522835 30.196981489636),1112,1113,00459,H & R Food Mart,,6400 S Congress Ave,CONGRESS,,,,,,,,N,P,,,,N,,
POINT (-97.701131656555 30.273152992653),678,678,H0816,J.D. Robards,,2900 Oak Springs,Oak Springs,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41173,01/12/1961 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.738273053726 30.267130158793),166,166,H0122,,,602 Neches,Neches,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89083,11/22/1923 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.718287169235 30.260759438582),423,423,H0520,Capitol Beer,,607 Canadian,Canadian,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88460,02/28/1952 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.744728293858 30.268523212479),26,26,H0006,Capital City Tire,under sidewalk,213-215 W 6th,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89559,09/09/1909 12:00:00 AM +0000,,N,H,,Gasoline,,Y,,
POINT (-97.746366436208 30.300424693809),1633,1635,C0053,The Flower Station,,3100 N Lamar Blvd,LAMAR,,,,,,,,N,C,,,,N,,
POINT (-97.746531009866 30.257296052562),1620,1622,C0038,Sherrill's Exxon,,343 S Congress Ave,CONGRESS,,,,,,,,N,C,,,,N,,
POINT (-97.877745693597 30.236728180495),1149,1150,00657,Scenic Brook Food Mart,,7216 W Sh 71,SH 71,,,,,,,,N,P,,,,N,,
POINT (-97.724116427434 30.39413229333),2513,2524,03336,"Former Bld 41, The Domain",,11400 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.73959540055 30.237431085771),1069,1070,00347,"Austin Super Retail, LLC",,2000 S Ih 35,IH 35,,,,,,,,N,P,,,,N,,
POINT (-97.726409889033 30.353784589592),1096,1097,00385,Anderson Lane Food Mart,,1901 W Anderson Ln,ANDERSON,,,,,,,,N,P,,,,N,,
POINT (-97.719384356747 30.273614100187),2140,2144,C0606,Speedy Stop,,1193 Chicon St,CHICON,,,,,,,,N,C,,,,N,,
POINT (-97.744732148232 30.267414751634),234,234,H0060,Thompson Motor Company,under sidewalk,W 5th & Colorado,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90180,05/27/1918 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.756162539911 30.337164282969),1295,1296,01187,Northland Shell,,3310 Northland Dr,NORTHLAND,,,,,,,,Y,P,,,,N,,
POINT (-97.756592438315 30.24653718705),273,273,H0408,John B. Loveless,SW Corner,W Mary & S 1st,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88639,03/06/1947 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.734075394894 30.268998652345),1060,1061,00325,Signature #9,,900 N I 35,I 35,,,,,,,,N,P,,,,N,,
POINT (-97.742468104856 30.276540311625),243,243,H0074,Magnolia Petroleum Comp.,,W 14th & Lavaca,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90104,04/03/1919 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.81762044034 30.208241981691),1160,1161,00671,Mets Mart,,2800 W William Cannon Dr,WILLIAM CANNON,,,,,,,,N,P,,,,N,,
POINT (-97.729026119949 30.262756007248),421,421,H0502,Yarbrough Construction,SW Corner,5th St and Navasota,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88118,03/01/1951 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.781421738948 30.20819304936),1140,1141,00643,Andy's Food Mart,,611 W Stassney Ln,STASSNEY,,,,,,,,N,C,,,,N,,
POINT (-97.748486941135 30.306136229721),1260,1261,01109,Seton Shoal Creek Hospital,,3501 Mills Ave,MILLS,,,,,,,,N,P,,,,N,,
POINT (-97.744001543553 30.27234063636),376,376,H0236,Herman Becker,"Lots 7&8, Block 40","E 5th & Trinity, Lot 7 & 8 Blk 40",,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89904,09/27/1928 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.751770294597 30.270811443777),225,225,H0053,Gulf Oil Company,transmission line,601-607 W 6th,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89827,07/05/1917 12:00:00 AM +0000,,N,H,,Gasoline main,,Y,,
POINT (-97.744858527228 30.271188514225),29,29,H0009,,"lot 1,2 & 3 block 100","Lot 1, 2, & 3, Blk 100",,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89563,06/16/1910 12:00:00 AM +0000,,N,H,,Gasoline,,Y,,
POINT (-97.723978104026 30.273026980149),718,718,H0635,Humble Oil & Refining Co.,SW Corner,E 12th & Comal,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44579,11/10/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.737209039405 30.276472649576),980,981,H0989,,,1500 San Jacinto Boulevard,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118652,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.741371191334 30.281435623804),937,938,H0912,,,309 W Martin Luther King Jr Blvd,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118390,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.68571306685 30.30007912362),1273,1274,01144,Stop N Buy,,5301 Manor Rd,MANOR,,,,,,,,N,P,,,,N,,
POINT (-97.685704238991 30.332843571047),1330,1331,01741,Geronimo's Food Mart,,7901 Cameron Rd,CAMERON,,,,,,,,N,C,,,,N,,
POINT (-97.758307744155 30.336119302413),1028,1029,00211,Balcones Exxon Automotive,,5400 Balcones Dr,BALCONES,,,,,,,,Y,P,,,,N,,
POINT (-97.715317422154 30.330151043412),1200,1201,00836,Mr. Sam's Food Mart,,6515 Airport Blvd,AIRPORT,,,,,,,,N,P,,,,N,,
POINT (-97.757778987099 30.352687995771),1074,1075,00354,Northwest Hills Texaco,,3635 North Hills Dr,NORTH HILLS,,,,,,,,Y,C,,,,N,,
POINT (-97.730169050417 30.262335741766),84,84,H0179,Texas Company,,1300 E 4th,E 4th,0,Yes,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=89861,10/16/1927 12:00:00 AM +0000,,N,H,,Storage Tank,,Y,,
POINT (-97.739233674162 30.216489351339),1061,1062,00326,Ben White Gas and Beverage,,2250 E Ben White Blvd,BEN WHITE,,,,,,,,N,P,,,,N,,
POINT (-97.787030470846 30.160803847478),1757,1759,C0178,Holt Co,,9601 S Ih 35,IH 35,,,,,,,,N,C,,,,N,,
POINT (-97.751802039465 30.307694802836),408,408,H0395,Sinclair Refining,SW Corner,W 35th & Jefferson,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88173,09/12/1946 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.70685947228 30.289012566221),551,551,H0686,Gulf Oil Company,SE Corner,E 38 1/2 & Airport,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44594,01/31/1957 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.717742373763 30.33918260504),588,588,H0599,Pioneer Service Co.,SE Corner,St. John's & Lamar,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44442,04/28/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.739378912234 30.325600184313),838,839,H0767,Knox Stations Inc.,SE Corner,Jeff Davis & Burnet,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44669,10/08/1959 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.72209103918 30.283894895303),418,418,H0517,Texas Company,NE Corner,Manor Rd and Lafayette,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88337,12/06/1951 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.695794486164 30.264379541788),1121,1122,00568,US Foodservice,,979 Springdale Rd,SPRINGDALE,,,,,,,,N,C,,,,N,,
POINT (-97.676087757827 30.35115620966),1278,1279,01149,Dessau Grocery,,9406 Dessau Rd,DESSAU,,,,,,,,N,P,,,,N,,
POINT (-97.741000787554 30.265064592638),27,27,H0008,,lot 12 block 32,Lot 12 Block 32,,0,Yes,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=89708,04/28/1910 12:00:00 AM +0000,,N,H,,Oil Storage,,Y,,
POINT (-97.711125381751 30.260747508008),1004,1005,00111,EZ Way Food Store,,2700 E 7th St,7TH,,,,,,,,N,P,,,,N,,
POINT (-97.7258532056 30.304783596309),396,396,H0495,Joe Prowse,NW Corner,43rd St and Duval,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88478,12/07/1950 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.73765351629 30.265938430246),369,369,H0227,Texas Co.,,E 5th & Red River,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89899,08/23/1928 12:00:00 AM +0000,,N,H,,Existing Filling Stn,,Y,,Pump upgrade
POINT (-97.739478934516 30.367820794035),1008,1009,00136,First Texas Honda,,3400 Steck Ave,STECK,,,,,,,,N,C,,,,N,,
POINT (-97.67229848414 30.177468080894),2625,2642,A0039,ABIA AASF,,5102,Emma Browning Ave,,,,,,,,,A,,,,N,,
POINT (-97.826936490739 30.455419822574),1901,1903,C0332,Rocking V Inn,,11522 N Fm 620 Rd,FM 620,,,,,,,,Y,C,,,,N,,
POINT (-97.692890846132 30.25404501062),875,876,H0880,FillingStation,,750 Airport Blvd,Airport Blvd,0,,SM,0,,01/01/1962 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Filling Station
POINT (-97.829877100459 30.29584218789),1151,1152,00660,7-Eleven #36565,,6111 Fm 2244 Rd,FM 2244,,,,,,,,N,P,,,,N,,
POINT (-97.750808930553 30.270507500882),2488,2497,03335,Former Downtown Automotiive,,800 W 6th St,6TH,,,,,,,,N,C,,,,N,,
POINT (-97.740900978444 30.37414762535),1346,1347,01869,Hyridge Grocery,,3503 Hyridge Dr,HYRIDGE,,,,,,,,N,C,,,,N,,
POINT (-97.658117299364 30.327034915167),1543,1545,03236,Penske Truck Leasing,,8201 Tuscany Way,TUSCANY,,,,,,,,N,P,,,,N,,
POINT (-97.74400813189 30.264178479537),100,100,H0064,Oriental Oil Company,,2nd & Congress Ave,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=90278,11/21/1918 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.738401372207 30.232562030528),1127,1128,00613,Mucho's Grocery,,1723 E Oltorf St,OLTORF,,,,,,,,N,P,,,,N,,
POINT (-97.714886222821 30.31383656169),577,577,H0585,John Beasley,SE Corner,Airport and 53rd,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88556,12/16/1954 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.678630408708 30.407145653063),1188,1189,00809,Prime Mart Inc,,12430 N Lamar Blvd,LAMAR,,,,,,,,N,P,,,,N,,
POINT (-97.698968034901 30.251292027543),679,679,H0817,James Boyce,,5021 E 1st,E 1st,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=41175,01/19/1961 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.730664664869 30.318784106561),640,640,H0575,W L Brown,NE corner,Lamar and 51st St,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88424,07/22/1954 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.745475639298 30.267545255109),1949,1952,C0383,Vacant Commercial Bldg,,213 W 5th St,5TH,,,,,,,,N,C,,,,N,,
POINT (-97.670702723086 30.212304868164),1581,1583,A0027,Budget Car Rental,,9300 Rental Car Ln,RENTAL CAR,,,,,,,,N,C,,,,N,,
POINT (-97.717029011964 30.360090003831),1104,1105,00396,Fairfield Food Mart,,8538 Research Blvd Sb,RESEARCH,,,,,,,,N,P,,,,N,,
POINT (-97.69106212645 30.177531387793),2395,2403,OJ066,Travis County Satellite #4,,5412 S Us 183 Hwy,US 183,,,,,,,,N,X,,,,N,,
POINT (-97.718281796399 30.368547177857),1953,1956,C0387,Dell Computer,,8801 N. US Hwy 183,US Hwy 183,,,,,,,,N,C,,,,N,,
POINT (-97.702929111277 30.281280389706),716,716,H0633,Jack Ritter Oil Co.,NE corner,E 18th & Airport,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44578,11/03/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.702063899414 30.25199802987),1680,1682,C0101,The Austin Company,,4822 E Cesar Chavez St,CESAR CHAVEZ,,,,,,,,N,C,,,,N,,
POINT (-97.747994815102 30.268614761602),222,222,H0050,,sidewalk,506 W 5th,W 5th,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89509,04/12/1917 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,
POINT (-97.734021532601 30.300152899506),358,358,H0217,Speedway Service Station,,3714 Speedway,Speedway,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89897,08/09/1928 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.716044148373 30.261406792646),624,624,H0559,Arthur Pihlgren,????,E 7th St and Morelos,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88506,02/18/1954 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.71504088459 30.313123858902),581,581,H0591,Damon Oil Co.,NE Corner,E 52nd & Airport,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44534,03/16/1955 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.742084444573 30.268030369384),31,31,H0012,Littlefield Building,alleyway behind bldg,6th and Congress,,0,Yes,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89725,12/08/1910 12:00:00 AM +0000,,N,H,,Fuel Oil Tank,,Y,,
POINT (-97.739410632153 30.237668954564),659,659,H0759,Texaco Inc,SW corner,Mariposa & IRH,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44645,07/16/1959 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.736091295933 30.34814319527),1042,1043,00285,Roger Beasley Fast Lube,,7120 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.745002719063 30.26749525723),249,249,H0081,,,205 W 5th,W 5th,0,Yes,Council Reviewed,0,http://www.cityofaustin.org/edims/document.cfm?id=90126,07/10/1919 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.736819262023 30.268065709995),169,169,H0103,,,708 Red River,Red River,0,Yes,No Online Info Found,0,http://www.cityofaustin.org/edims/document.cfm?id=90519,08/08/1922 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.697207270599 30.27032671027),1088,1089,00377,Diamond Shamrock #0084,,1140 Airport Blvd,AIRPORT,,,,,,,,N,C,,,,N,,
POINT (-97.736264840257 30.278130878414),941,942,H0919,,,1705 San Jacinto Blvd,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118423,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.721237920207 30.317867416512),1135,1136,00637,North Loop Food Store,,120 E North Loop Blvd,NORTH LOOP,,,,,,,,N,P,,,,N,,
POINT (-97.768194774642 30.297007251662),1001,1002,00096,Tarrytown Texaco,,2400 Exposition Blvd,EXPOSITION,,,,,,,,Y,P,,,,N,,
POINT (-97.702804743236 30.257321569678),426,426,H0523,Frances Ritter,NE Corner,706 Gunter,Gunter,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88485,04/24/1952 12:00:00 AM +0000,,N,H,,Bulk Storage,,Y,,wholesale AST
POINT (-97.664986122562 30.291627620447),2257,2262,EX067,Rollins Leasing Co,,5316 Ed Bluestein Blvd,ED BLUESTEIN,,,,,,,,N,X,,,,N,,
POINT (-97.754002564718 30.267879841764),463,463,H0378,A.T. Long,SE Corner,211 Bowie,Bowie,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88102,10/04/1945 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.707567334949 30.2756408786),627,627,H0562,Lawrence Owens,SE Corner,Hargrave and E 12th St,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88574,04/01/1954 12:00:00 AM +0000,,N,H,,Filling Station,,Y,,Public use
POINT (-97.695279007873 30.300388268363),2236,2240,EX027,Texas Army National Guard,,2001 E 51st St,51ST,,,,,,,,N,C,,,,N,,
POINT (-97.740182846496 30.265145484087),328,328,H0339,Silbey Fireproof Warehouse Co,SW Corner,E 4th & Trinity,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89970,06/23/1932 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.741868248192 30.315225141151),2464,2473,C0699,Cutler Automotive,,4416 Burnet Rd,BURNET,,,,,,,,N,C,,,,N,,
POINT (-97.743275010087 30.282362534379),348,348,H0357,Lassburg & Schmedes,,1900 San Antonio,San Antonio,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88900,06/01/1933 12:00:00 AM +0000,,N,H,,New Filling Station,,Y,,Public use
POINT (-97.730404388571 30.262396592319),4,4,H0190,formerly Sinclair and Austin,,1216-1220 E 4th,,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=89801,04/26/1928 12:00:00 AM +0000,,N,H,,Fuel Oil Tank,,Y,,
POINT (-97.751280543503 30.269170274878),707,707,H0626,C.B. Smith Motors,,805 W 5th,W 5th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44562,09/08/1955 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.711918173723 30.256987001105),548,548,H0683,E.E. Steussy,,2716 E 5th,E 5th,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=44516,01/10/1957 12:00:00 AM +0000,,N,H,,Tank and pump,,Y,,Private use
POINT (-97.696477567057 30.320494042571),617,617,H0552,Blair Lumber Co.,,6300 Cameron Rd,Cameron,0,No,Council Approved,0,http://www.cityofaustin.org/edims/document.cfm?id=88516,10/28/1953 12:00:00 AM +0000,,N,H,,private station,,Y,,Private use
POINT (-97.762063152092 30.248329073096),939,940,H0917,,,S 5th St & W Mary St,,0,,,0,http://www.cityofaustin.org/edims/document.cfm?id=118413,12/30/1899 12:00:00 AM +0000,,N,H,,,,Y,,
POINT (-97.754221141003 30.250924004759),1682,1684,C0103,Georges Wagon Works,,1311 S 1st St,1ST,,,,,,,,N,C,,,,N,,
POINT (-97.659902428673 30.322876594995),1824,1826,C0249,Vacant Lot,,3416 Andtree Blvd,ANDTREE,,,,,,,,N,C,,,,N,,
