Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
12/07/2012,City Council,,433,17,3.9,6435.41
12/07/2012,City Treasurer,,22,0,0.0,0.00
12/07/2012,Cultural Affairs & Special Events,,61,0,0.0,0.00
12/07/2012,Emergency Management & Communications,,1455,79,5.4,54709.39
12/07/2012,Family & Support Services,,840,9,1.1,2483.20
12/07/2012,Finance,,578,2,0.3,544.27
12/07/2012,Fire,,4838,121,2.5,53285.47
12/07/2012,Fleet & Facilities Management,,1018,34,3.3,22020.12
12/07/2012,Housing & Economic Development,,211,1,0.5,68.60
12/07/2012,Human Resources,,67,3,4.5,402.18
12/07/2012,Independent Police Review Authority,,90,2,2.2,784.94
12/07/2012,Innovation & Technology,,83,0,0.0,0.00
12/07/2012,Law,,437,5,1.1,1973.57
12/07/2012,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
12/07/2012,Office of the Mayor,,109,0,0.0,0.00
12/07/2012,Police,,13486,481,3.6,225409.75
12/07/2012,Public Health,,752,22,2.9,8017.66
12/07/2012,Streets & Sanitation,,2112,119,5.6,40714.50
12/07/2012,Transportation,,1205,45,3.7,19392.25
12/07/2012,Water Management,,1796,46,2.6,19673.82
01/04/2013,Administrative Hearings,,38,0,0.0,0.00
01/04/2013,Animal Care & Control,,49,1,2.0,200.00
01/04/2013,Aviation,,1214,15,1.2,6996.80
01/04/2013,Board of Elections,,107,0,0.0,0.00
01/04/2013,Buildings,,258,2,0.8,254.91
01/04/2013,Business Affairs & Consumer Protection,,172,0,0.0,0.00
01/04/2013,City Clerk,,138,0,0.0,0.00
01/04/2013,City Council,,433,14,3.2,6057.75
01/04/2013,Family & Support Services,,840,2,0.2,487.03
01/04/2013,Fire Department,,4838,76,1.6,29995.66
01/04/2013,Fleet & Facilities Management,,1018,19,1.9,15638.36
01/04/2013,Housing & Economic Development,,211,0,0.0,0.00
01/04/2013,Human Resources,,67,0,0.0,0.00
01/04/2013,IPRA,,90,0,0.0,0.00
01/04/2013,Law,,437,1,0.2,189.53
01/04/2013,Library,,883,1,0.1,351.35
01/04/2013,Mayor's Office for People with Disabilities,,29,0,0.0,0.00
01/04/2013,Office of Emergency Mgmt & Com,,1455,39,2.7,35986.17
01/04/2013,Office of the Mayor,,109,0,0.0,0.00
01/04/2013,Police,,13486,389,2.9,150766.45
01/04/2013,Public Health,,752,3,0.4,907.00
01/04/2013,Streets & Sanitation,,2112,27,1.3,14057.78
01/04/2013,Transportation,,1205,23,1.9,12939.88
01/04/2013,Water Management,,1796,16,0.9,12127.40
01/04/2013,Chicago Board of Education,,48025,2091,4.4,1032191.91
01/04/2013,Chicago Housing Authority,,466,4,0.9,897.43
01/04/2013,Chicago Park District,,3475,140,4.0,77192.65
01/04/2013,Chicago Transit Authority,,10196,1424,14.0,563679.69
01/04/2013,City Colleges of Chicago,,6702,224,3.3,166950.42
01/25/2013,Administratiave Hearings,,42,3,2.6,459.71
01/25/2013,Animal Care and Control,,60,5,8.3,4143.87
01/25/2013,Aviation,,1458,60,4.1,25821.79
01/25/2013,Board Of Election Commissioner,,114,5,4.4,1766.35
01/25/2013,Board of Ethics,,8,1,12.5,96.96
01/25/2013,Buildings,,253,14,5.5,4578.32
01/25/2013,Business Affairs/Consumer Protection,,183,9,4.9,4392.82
01/25/2013,City Clerk,,138,4,2.9,1153.65
01/25/2013,City Council,,375,21,5.6,8860.61
01/25/2013,Cultural Affairs,,76,1,1.3,244.00
01/25/2013,DOIT,,105,1,1.0,316.17
01/25/2013,Family and Support Services,,751,24,3.2,5624.14
01/25/2013,Finance,,530,16,3.0,4921.62
01/25/2013,Fire Department,,4765,200,4.2,91321.88
01/25/2013,Fleet and Facilities Management,,927,36,3.9,15668.04
01/25/2013,Housing & Economic Development,,208,10,4.8,1791.45
01/25/2013,Human Relations,,18,2,11.1,680.06
01/25/2013,Human Resources,,69,0,0.0,0.00
01/25/2013,IPRA,,91,3,3.3,2006.50
01/25/2013,Law,,447,5,1.1,1295.70
01/25/2013,Library,,896,17,1.9,5948.15
01/25/2013,Mayor's Offices-Disabilities,,29,2,6.9,260.00
01/25/2013,Office of Emergency Mgmt & Com,,1333,82,6.2,42797.14
01/25/2013,Office of the Mayor,,101,2,2.0,449.40
01/25/2013,Police,,13517,657,4.9,267937.92
01/25/2013,Procurement Services,,67,2,3.0,630.00
01/25/2013,Public Health,,615,21,3.4,5220.05
01/25/2013,Streets and Sanitation,,2152,165,7.7,69546.15
01/25/2013,Transportation,,1077,63,5.8,24520.04
01/25/2013,Water Management,,1821,96,5.3,58057.67
01/25/2013,Chicago Board of Education,,48128,2946,6.1,1480763.93
01/25/2013,Chicago Housing Authority,,463,25,5.4,9988.23
01/25/2013,Chicago Park District,,3043,193,6.3,101908.60
01/25/2013,Chicago Transit Authority,,10253,1804,17.6,788172.62
01/25/2013,City Colleges of Chicago,,6761,317,4.7,170107.71
03/22/2013,Administratiave Hearings,,42,1,2.6,137.87
03/22/2013,Animal Care and Control,,60,4,6.7,3076.67
03/22/2013,Aviation,,1458,27,1.9,11428.80
03/22/2013,Board Of Election Commissioner,,114,0,0.0,0.00
03/22/2013,Board of Ethics,,8,0,0.0,0.00
03/22/2013,Buildings,,253,0,0.0,0.00
03/22/2013,Business Affairs/Consumer Protection,,183,1,0.5,320.00
03/22/2013,City Clerk,,138,1,0.7,288.02
03/22/2013,City Council,,375,5,1.3,1974.65
03/22/2013,Cultural Affairs,,76,0,0.0,0.00
03/22/2013,DOIT,,105,0,0.0,0.00
03/22/2013,Family and Support Services,,751,1,0.1,276.96
03/22/2013,Finance,,530,1,0.2,439.57
03/22/2013,Fire Department,,4765,91,1.9,38588.29
03/22/2013,Fleet and Facilities Management,,927,14,1.5,3399.34
03/22/2013,Housing & Economic Development,,208,2,1.0,325.00
03/22/2013,Human Relations,,18,0,0.0,0.00
03/22/2013,Human Resources,,69,0,0.0,0.00
03/22/2013,IPRA,,91,0,0.0,0.00
03/22/2013,Law,,447,0,0.0,0.00
03/22/2013,Library,,896,6,0.7,2106.40
03/22/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
03/22/2013,Office of Emergency Mgmt & Com,,1333,44,3.3,30760.60
03/22/2013,Office of the Mayor,,101,1,1.0,183.00
03/22/2013,Police,,13517,228,1.7,165170.90
03/22/2013,Procurement Services,,67,0,0.0,0.00
03/22/2013,Public Health,,615,3,0.5,1679.73
03/22/2013,Streets and Sanitation,,2152,92,4.3,46236.15
03/22/2013,Transportation,,1077,31,2.9,11426.32
03/22/2013,Water Management,,1821,51,2.8,38211.67
03/22/2013,Chicago Board of Education,,48128,2207,4.6,1184489.84
03/22/2013,Chicago Housing Authority,,463,5,1.1,1267.81
03/22/2013,Chicago Park District,,3043,129,4.2,66748.94
03/22/2013,Chicago Transit Authority,,10253,1516,14.8,646309.76
03/22/2013,City Colleges of Chicago,,6761,165,2.4,83376.48
03/15/2013,Administratiave Hearings,,42,1,2.6,137.87
03/15/2013,Animal Care and Control,,60,4,6.7,3076.67
03/15/2013,Aviation,,1458,33,2.3,12070.20
03/15/2013,Board Of Election Commissioner,,114,0,0.0,0.00
03/15/2013,Board of Ethics,,8,0,0.0,0.00
03/15/2013,Buildings,,253,3,1.2,651.47
03/15/2013,Business Affairs/Consumer Protection,,183,3,1.6,1124.00
03/15/2013,City Clerk,,138,2,1.4,488.02
03/15/2013,City Council,,375,16,4.3,9924.61
03/15/2013,Cultural Affairs,,76,0,0.0,0.00
03/15/2013,DOIT,,105,1,1.0,316.17
03/15/2013,Family and Support Services,,751,2,0.3,617.38
03/15/2013,Finance,,530,4,0.8,1070.16
03/15/2013,Fire Department,,4765,121,2.5,63300.15
03/15/2013,Fleet and Facilities Management,,927,18,1.9,4166.66
03/15/2013,Housing & Economic Development,,208,3,1.4,445.00
03/15/2013,Human Relations,,18,0,0.0,0.00
03/15/2013,Human Resources,,69,0,0.0,0.00
03/15/2013,IPRA,,91,1,1.1,653.41
03/15/2013,Law,,447,0,0.0,0.00
03/15/2013,Library,,896,11,1.2,3221.95
03/15/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
03/15/2013,Office of Budget Management,,,,,
03/15/2013,Office of Emergency Mgmt & Com,,1333,57,4.3,34320.19
03/15/2013,Office of the Mayor,,101,2,2.0,449.40
03/15/2013,Police,,13517,294,2.2,140332.03
03/15/2013,Procurement Services,,67,0,0.0,0.00
03/15/2013,Public Health,,615,5,0.8,1878.11
03/15/2013,Streets and Sanitation,,2152,98,4.6,45425.55
03/15/2013,Transportation,,1077,32,3.0,11761.13
03/15/2013,Water Management,,1821,52,2.9,38940.28
03/15/2013,Chicago Board of Education,,48128,2297,4.8,1210703.67
03/15/2013,Chicago Housing Authority,,463,9,1.9,3091.21
03/15/2013,Chicago Park District,,3043,132,4.3,70054.16
03/15/2013,Chicago Transit Authority,,10253,1576,15.4,668081.18
03/15/2013,City Colleges of Chicago,,6761,178,2.6,87444.35
03/08/2013,Administratiave Hearings,,42,1,2.6,137.87
03/08/2013,Animal Care and Control,,60,4,6.7,3076.67
03/08/2013,Aviation,,1458,44,3.0,14893.92
03/08/2013,Board Of Election Commissioner,,114,1,0.9,279.74
03/08/2013,Board of Ethics,,8,0,0.0,0.00
03/08/2013,Buildings,,253,5,2.0,1551.47
03/08/2013,Business Affairs/Consumer Protection,,183,4,2.2,1644.00
03/08/2013,City Clerk,,138,3,2.2,1027.24
03/08/2013,City Council,,375,17,4.5,10141.95
03/08/2013,Cultural Affairs,,76,0,0.0,0.00
03/08/2013,DOIT,,105,1,1.0,316.17
03/08/2013,Family and Support Services,,751,4,0.5,1118.13
03/08/2013,Finance,,530,3,0.6,950.16
03/08/2013,Fire Department,,4765,137,2.9,70761.61
03/08/2013,Fleet and Facilities Management,,927,21,2.3,4614.69
03/08/2013,Housing & Economic Development,,208,3,1.4,445.00
03/08/2013,Human Relations,,18,1,5.6,77.30
03/08/2013,Human Resources,,69,0,0.0,0.00
03/08/2013,IPRA,,91,1,1.1,652.31
03/08/2013,Law,,447,1,0.2,286.22
03/08/2013,Library,,896,11,1.2,3221.95
03/08/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
03/08/2013,Office of Budget Management,,,,,
03/08/2013,Office of Emergency Mgmt & Com,,1333,65,4.9,36372.29
03/08/2013,Office of the Mayor,,101,2,2.0,449.40
03/08/2013,Police,,13517,364,2.7,163175.11
03/08/2013,Procurement Services,,67,0,0.0,0.00
03/08/2013,Public Health,,615,7,1.1,2176.49
03/08/2013,Streets and Sanitation,,2152,116,5.4,53730.47
03/08/2013,Transportation,,1077,37,3.4,14088.09
03/08/2013,Water Management,,1821,66,3.6,46295.67
03/08/2013,Chicago Board of Education,,48128,2476,5.1,1291885.19
03/08/2013,Chicago Housing Authority,,463,10,2.2,4067.01
03/08/2013,Chicago Park District,,3043,157,5.2,87609.00
03/08/2013,Chicago Transit Authority,,10253,1643,16.0,706572.97
03/08/2013,City Colleges of Chicago,,6761,242,3.6,139153.32
02/22/2013,Administratiave Hearings,,42,3,2.6,459.71
02/22/2013,Animal Care and Control,,60,5,8.3,4143.87
02/22/2013,Aviation,,1458,60,4.1,25821.79
02/22/2013,Board Of Election Commissioner,,114,5,4.4,1766.35
02/22/2013,Board of Ethics,,8,1,12.5,96.96
02/22/2013,Buildings,,253,14,5.5,4578.32
02/22/2013,Business Affairs/Consumer Protection,,183,9,4.9,4392.82
02/22/2013,City Clerk,,138,4,2.9,1153.65
02/22/2013,City Council,,375,21,5.6,8860.61
02/22/2013,Cultural Affairs,,76,1,1.3,244.00
02/22/2013,DOIT,,105,1,1.0,316.17
02/22/2013,Family and Support Services,,751,24,3.2,5624.14
02/22/2013,Finance,,530,16,3.0,4921.62
02/22/2013,Fire Department,,4765,200,4.2,91321.88
02/22/2013,Fleet and Facilities Management,,927,36,3.9,15668.04
02/22/2013,Housing & Economic Development,,208,10,4.8,1791.45
02/22/2013,Human Relations,,18,2,11.1,680.06
02/22/2013,Human Resources,,69,0,0.0,0.00
02/22/2013,IPRA,,91,3,3.3,2006.50
02/22/2013,Law,,447,5,1.1,1295.70
02/22/2013,Library,,896,17,1.9,5948.15
02/22/2013,Mayor's Offices-Disabilities,,29,2,6.9,260.00
02/22/2013,Office of Budget Management,,,,,
02/22/2013,Office of Emergency Mgmt & Com,,1333,82,6.2,42797.14
02/22/2013,Office of the Mayor,,101,2,2.0,449.40
02/22/2013,Police,,13517,657,4.9,267937.92
02/22/2013,Procurement Services,,67,2,3.0,630.00
02/22/2013,Public Health,,615,21,3.4,5220.05
02/22/2013,Streets and Sanitation,,2152,165,7.7,69546.15
02/22/2013,Transportation,,1077,63,5.8,24520.04
02/22/2013,Water Management,,1821,96,5.3,58057.67
02/22/2013,Chicago Board of Education,,48128,2946,6.1,1480763.93
02/22/2013,Chicago Housing Authority,,463,25,5.4,9988.23
02/08/2013,Administratiave Hearings,,38,0,0.0,0.00
02/08/2013,Animal Care and Control,,49,1,2.0,2190.70
02/08/2013,Aviation,,1214,7,0.6,1013.00
02/08/2013,Board Of Election Commissioner,,107,,0.0,
02/08/2013,Buildings,,258,1,,531.47
02/08/2013,Business Affairs/Consumer Protection,,172,,0.0,
02/08/2013,City Clerk,,138,,0.0,
02/08/2013,City Council,,433,2,0.5,972.80
02/08/2013,DOIT,,83,,0.0,0.00
02/08/2013,Family and Support Services,,840,2,0.2,990.00
02/08/2013,Finance,,578,2,0.3,170.80
02/08/2013,Fire Department,,4838,47,1.0,26259.54
02/08/2013,Fleet and Facilities Management,,1018,10,1.0,11185.09
02/08/2013,Housing & Economic Development,,211,1,0.5,165.72
02/08/2013,Human Resources,,67,,,
02/08/2013,IPRA,,90,,,
02/08/2013,Law,,437,1,,189.53
02/08/2013,Library,,883,3,0.3,484.57
02/08/2013,Mayor's Offices-Disabilities,,29,,0.0,
02/08/2013,Office of Budget Management,,,,,
02/08/2013,Office of Emergency Mgmt & Com,,1455,34,2.3,21839.20
02/08/2013,Office of the Mayor,,109,,0.0,0.00
02/08/2013,Police,,13486,316,2.3,109484.59
02/08/2013,Public Health,,752,1,7.3,54.91
02/08/2013,Streets and Sanitation,,2112,11,0.5,4753.68
02/08/2013,Transportation,,1205,4,0.3,768.40
02/08/2013,Water Management,,1796,10,0.6,11028.17
02/08/2013,Chicago Board of Education,,48025,1786,3.7,861140.67
02/08/2013,Chicago Housing Authority,,466,,0.0,
02/08/2013,Chicago Park District,,3475,82,2.4,45446.03
02/08/2013,Chicago Transit Authority,,10196,1301,12.8,494623.36
02/08/2013,City Colleges of Chicago,,6702,127,1.9,80508.36
05/03/2013,Administratiave Hearings,,42,0,0.0,0.00
05/03/2013,Animal Care and Control,,60,2,3.3,2727.50
05/03/2013,Aviation,,1458,3,0.2,847.78
05/03/2013,Board Of Election Commissioner,,114,0,0.0,0.00
05/03/2013,Board of Ethics,,8,0,0.0,0.00
05/03/2013,Buildings,,253,0,0.0,0.00
05/03/2013,Business Affairs/Consumer Protection,,183,0,0.0,0.00
05/03/2013,City Clerk,,138,0,0.0,0.00
05/03/2013,City Council,,375,0,0.0,0.00
05/03/2013,Cultural Affairs,,76,0,0.0,0.00
05/03/2013,DOIT,,105,0,0.0,0.00
05/03/2013,Family and Support Services,,751,0,0.0,0.00
05/03/2013,Finance,,530,0,0.0,0.00
05/03/2013,Fire Department,,4765,39,0.8,13773.80
05/03/2013,Fleet and Facilities Management,,927,1,0.1,118.04
05/03/2013,Housing & Economic Development,,208,0,0.0,0.00
05/03/2013,Human Relations,,18,0,0.0,0.00
05/03/2013,Human Resources,,69,0,0.0,0.00
05/03/2013,IPRA,,91,0,0.0,0.00
05/03/2013,Law,,447,0,0.0,0.00
05/03/2013,Library,,896,1,0.1,114.70
05/03/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
05/03/2013,Office of Budget Management,,,,,
05/03/2013,Office of Emergency Mgmt & Com,,1333,30,2.3,29354.58
05/03/2013,Office of the Mayor,,101,0,0.0,0.00
05/03/2013,Police,,13517,67,0.5,34812.16
05/03/2013,Procurement Services,,67,0,0.0,0.00
05/03/2013,Public Health,,615,0,0.0,0.00
05/03/2013,Streets and Sanitation,,2152,17,0.8,10625.10
05/03/2013,Transportation,,1077,1,0.1,217.00
05/03/2013,Water Management,,1821,7,0.4,11724.26
05/03/2013,Chicago Board of Education,,48128,1816,3.8,986785.10
05/03/2013,Chicago Housing Authority,,463,0,0.0,0.00
05/03/2013,Chicago Park District,,3043,78,2.6,56058.73
05/03/2013,Chicago Transit Authority,,10253,1337,13.0,561311.18
05/03/2013,City Colleges of Chicago,,6761,79,1.2,37416.00
05/10/2013,Administratiave Hearings,,42,0,0.0,0.00
05/10/2013,Animal Care and Control,,60,2,3.3,2727.50
05/10/2013,Aviation,,1458,3,0.2,847.78
05/10/2013,Board Of Election Commissioner,,114,0,0.0,0.00
05/10/2013,Board of Ethics,,8,0,0.0,0.00
05/10/2013,Buildings,,253,0,0.0,0.00
05/10/2013,Business Affairs/Consumer Protection,,183,0,0.0,0.00
05/10/2013,City Clerk,,138,0,0.0,0.00
05/10/2013,City Council,,375,0,0.0,0.00
05/10/2013,Cultural Affairs,,76,0,0.0,0.00
05/10/2013,DOIT,,105,0,0.0,0.00
05/10/2013,Family and Support Services,,751,0,0.0,0.00
05/10/2013,Finance,,530,0,0.0,0.00
05/10/2013,Fire Department,,4765,37,0.8,13509.51
05/10/2013,Fleet and Facilities Management,,927,0,0.0,0.00
05/10/2013,Housing & Economic Development,,208,0,0.0,0.00
05/10/2013,Human Relations,,18,0,0.0,0.00
05/10/2013,Human Resources,,69,0,0.0,0.00
05/10/2013,IPRA,,91,0,0.0,0.00
05/10/2013,Law,,447,0,0.0,0.00
05/10/2013,Library,,896,1,0.1,114.70
05/10/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
05/10/2013,Office of Budget Management,,,,,
05/10/2013,Office of Emergency Mgmt & Com,,1333,30,2.3,29336.71
05/10/2013,Office of the Mayor,,101,0,0.0,0.00
05/10/2013,Police,,13517,59,0.4,32935.10
05/10/2013,Procurement Services,,67,0,0.0,0.00
05/10/2013,Public Health,,615,0,0.0,0.00
05/10/2013,Streets and Sanitation,,2152,17,0.8,7160.41
05/10/2013,Transportation,,1077,2,0.2,724.92
05/10/2013,Water Management,,1821,7,0.4,6485.06
05/10/2013,Chicago Board of Education,,48128,1757,3.7,961041.25
05/10/2013,Chicago Housing Authority,,463,0,0.0,0.00
05/10/2013,Chicago Park District,,3043,67,2.2,53071.10
05/10/2013,Chicago Transit Authority,,10253,1260,12.3,516161.27
05/10/2013,City Colleges of Chicago,,6761,76,1.1,37851.65
06/07/2013,Administrative Hearings,,41,1,2.4,287.27
06/07/2013,Animal Care and Control,,64,2,3.1,3327.50
06/07/2013,Aviation,,1232,16,1.3,6444.92
06/07/2013,Board Of Election Commissioner,,115,1,0.9,23.18
06/07/2013,Board of Ethics,,8,0,0.0,0.00
06/07/2013,Buildings,,257,0,0.0,0.00
06/07/2013,Business Affairs/Consumer Protection,,182,2,1.1,290.00
06/07/2013,City Clerk,,92,5,5.4,877.23
06/07/2013,City Council,,383,7,1.8,5044.87
06/07/2013,City Treasurer,,25,0,0.0,0.00
06/07/2013,Cultural Affairs,,76,0,0.0,0.00
06/07/2013,DOIT,,104,1,1.0,150.00
06/07/2013,Family and Support Services,,758,12,1.6,8162.81
06/07/2013,Finance,,530,6,1.1,1199.20
06/07/2013,Fire Department,,4710,98,2.1,29540.51
06/07/2013,Fleet and Facilities Management,,923,22,2.4,7875.14
06/07/2013,Housing & Economic Development,,213,2,0.9,741.94
06/07/2013,Human Relations,,18,0,0.0,0.00
06/07/2013,Human Resources,,70,2,2.9,619.24
06/07/2013,IPRA,,88,3,3.4,430.00
06/07/2013,Law,,443,3,0.7,920.00
06/07/2013,Library,,893,7,0.8,1776.24
06/07/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
06/07/2013,Office of Emergency Mgmt & Com,,1306,48,3.7,25998.86
06/07/2013,Office of the Mayor,,99,1,1.0,351.54
06/07/2013,Police,,13658,130,1.0,65875.91
06/07/2013,Procurement Services,,68,1,1.5,190.40
06/07/2013,Public Health,,591,8,1.4,1334.85
06/07/2013,Streets and Sanitation,,2131,87,4.1,27408.46
06/07/2013,Transportation,,1213,36,3.0,12745.64
06/07/2013,Water Management,,1820,61,3.4,24698.70
06/07/2013,Chicago Board of Education,,48630,2125,4.4,1233198.06
06/07/2013,Chicago Housing Authority,,457,5,1.1,2758.00
06/07/2013,Chicago Park District,,3234,157,4.9,98123.61
06/07/2013,Chicago Transit Authority,,10773,1649,15.3,910101.08
06/07/2013,City Colleges of Chicago,,6830,174,2.5,101427.42
07/12/2013,Administrative Hearings,,41,0,0.0,0.00
07/12/2013,Animal Care and Control,,64,2,3.1,2600.46
07/12/2013,Aviation,,1232,5,0.4,2649.05
07/12/2013,Board Of Election Commissioner,,115,0,0.0,0.00
07/12/2013,Board of Ethics,,8,0,0.0,0.00
07/12/2013,Buildings,,257,0,0.0,0.00
07/12/2013,Business Affairs/Consumer Protection,,182,0,0.0,0.00
07/12/2013,City Clerk,,92,2,2.2,220.00
07/12/2013,City Council,,383,5,1.3,842.00
07/12/2013,City Treasurer,,25,0,0.0,0.00
07/12/2013,Cultural Affairs,,76,0,0.0,0.00
07/12/2013,DOIT,,104,0,0.0,0.00
07/12/2013,Family and Support Services,,758,5,0.7,1051.16
07/12/2013,Finance,,530,1,0.2,246.72
07/12/2013,Fire Department,,4710,25,0.5,12035.92
07/12/2013,Fleet and Facilities Management,,923,3,0.3,3942.31
07/12/2013,Housing & Economic Development,,213,0,0.0,0.00
07/12/2013,Human Relations,,18,0,0.0,0.00
07/12/2013,Human Resources,,70,0,0.0,0.00
07/12/2013,IPRA,,88,0,0.0,0.00
07/12/2013,Law,,443,1,0.2,158.05
07/12/2013,Library,,893,1,0.1,514.70
07/12/2013,Mayor's Offices-Disabilities,,29,0,0.0,0.00
07/12/2013,Office of Emergency Mgmt & Com,,1306,17,1.3,13253.25
07/12/2013,Office of the Mayor,,99,0,0.0,0.00
07/12/2013,Police,,13658,68,0.5,36096.52
07/12/2013,Procurement Services,,68,0,0.0,0.00
07/12/2013,Public Health,,591,0,0.0,0.00
07/12/2013,Streets and Sanitation,,2131,13,0.6,3511.41
07/12/2013,Transportation,,1213,18,1.5,5686.43
07/12/2013,Water Management,,1820,13,0.7,5383.73
07/12/2013,Chicago Board of Education,,48630,1857,3.8,1124432.27
07/12/2013,Chicago Housing Authority,,457,1,0.2,200.00
07/12/2013,Chicago Park District,,3234,119,3.7,78163.06
07/12/2013,Chicago Transit Authority,,10773,1487,13.8,802528.88
07/12/2013,City Colleges of Chicago,,6830,107,1.6,68983.74
07/26/2013,ADMINISTRATIVE HEARING,AHMS,42,0,0.0,0.00
07/26/2013,AVIATION,AVIATION,1204,2,0.2,2229.54
07/26/2013,BOARD OF ELECTION COMMISSIONER,ELECTIONS,114,0,0.0,0.00
07/26/2013,BOARD OF ETHICS,ETHICS,9,0,0.0,0.00
07/26/2013,BUILDINGS,BUILDINGS,249,0,0.0,0.00
07/26/2013,BUS AFFAIRS AND CONSUMER PROT,BACP,181,0,0.0,0.00
07/26/2013,CHICAGO BOARD OF EDUCATION,CBOE,48630,1774,3.6,1054922.30
07/26/2013,CHICAGO HOUSING AUTHORITY,CHA,457,1,0.2,200.00
07/26/2013,CHICAGO PARK DISTRICT,CPDT,3234,111,3.4,76833.23
07/26/2013,CHICAGO PUBLIC LIBRARY,CPL,879,1,0.1,514.70
07/26/2013,CHICAGO TRANSIT AUTHORITY,CTA,10773,1449,13.4,771512.31
07/26/2013,CITY CLERK,CLERK,139,1,0.7,100.00
07/26/2013,CITY COLLEGES OF CHICAGO,CCC,6830,97,1.4,66001.78
07/26/2013,CITY COUNCIL,COUNCIL,438,5,1.1,842.00
07/26/2013,CITY TREASURER,TREASURER,24,0,0.0,0.00
07/26/2013,COMM ANIMAL CARE AND CONTROL,ANIMAL,63,3,4.8,2800.46
07/26/2013,COMMISSION ON HUMAN RELATIONS,HR,18,0,0.0,0.00
07/26/2013,COMMUNITY DEVELOPMENT,COMM_DEVEL,207,1,0.5,217.94
07/26/2013,CULTURAL AFFAIRS,CA,83,0,0.0,0.00
07/26/2013,DOIT,DOIT,100,0,0.0,0.00
07/26/2013,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,763,3,0.4,249.88
07/26/2013,FINANCE,FINANCE,526,1,0.2,146.72
07/26/2013,FIRE DEPARTMENT,CFD,4680,20,0.4,10015.39
07/26/2013,FLEET AND FACILITY MGMT,FLEETFM,908,3,0.3,3756.66
07/26/2013,HUMAN RESOURCES,HUMANRESOURCES,70,0,0.0,0.00
07/26/2013,IPRA,IPRA,84,0,0.0,0.00
07/26/2013,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0.0,0.00
07/26/2013,OFFICE OF BUDGET & MANAGEMENT,OBM,44,0,0.0,0.00
07/26/2013,OFFICE OF EMERGENCY MGMT & COM,OEMC,1370,17,1.2,12914.40
07/26/2013,OFFICE OF THE MAYOR,MAYOR,115,0,0.0,0.00
07/26/2013,POLICE,POLICE,13656,58,0.4,29244.93
07/26/2013,PROCUREMENT SERV,PROCUREMENT,70,0,0.0,0.00
07/26/2013,PUBLIC HEALTH,HEALTH,584,0,0.0,0.00
07/26/2013,STREETS AND SANITATION,STREETSAN,2085,10,0.5,10391.24
07/26/2013,TRANSPORTATION,TRANS,1195,10,0.8,3678.43
07/26/2013,WATER MANAGEMENT,WATER,1825,10,0.6,5016.86
08/05/2013,ADMINISTRATIVE HEARING,AHMS,42,0,0.0,0.00
08/05/2013,AVIATION,AVIATION,1204,2,0.2,2229.54
08/05/2013,BOARD OF ELECTION COMMISSIONER,ELECTIONS,114,0,0.0,0.00
08/05/2013,BOARD OF ETHICS,ETHICS,9,0,0.0,0.00
08/05/2013,BUILDINGS,BUILDINGS,249,0,0.0,0.00
08/05/2013,BUS AFFAIRS AND CONSUMER PROT,BACP,181,0,0.0,0.00
08/05/2013,CHICAGO BOARD OF EDUCATION,CBOE,48630,1752,3.6,1041841.53
08/05/2013,CHICAGO HOUSING AUTHORITY,CHA,457,1,0.2,200.00
08/05/2013,CHICAGO PARK DISTRICT,CPDT,3234,108,3.3,71796.68
08/05/2013,CHICAGO PUBLIC LIBRARY,CPL,879,2,0.2,488.70
08/05/2013,CHICAGO TRANSIT AUTHORITY,CTA,10773,1403,13.0,721726.98
08/05/2013,CITY COLLEGES OF CHICAGO,CCC,6830,93,1.4,64717.69
08/05/2013,CITY COUNCIL,COUNCIL,438,5,1.1,3081.19
08/05/2013,CITY TREASURER,TREASURER,24,0,0.0,0.00
08/05/2013,COMM ANIMAL CARE AND CONTROL,ANIMAL,63,2,3.2,2600.46
08/05/2013,COMMISSION ON HUMAN RELATIONS,HR,18,0,0.0,0.00
08/05/2013,COMMUNITY DEVELOPMENT,COMM_DEVEL,207,1,0.5,217.94
08/05/2013,CULTURAL AFFAIRS,CA,83,0,0.0,0.00
08/05/2013,DOIT,DOIT,100,0,0.0,0.00
08/05/2013,FINANCE,FINANCE,526,1,0.2,146.72
08/05/2013,FIRE DEPARTMENT,CFD,4680,20,0.4,9873.77
08/05/2013,FLEET AND FACILITY MGMT,FLEETFM,908,3,0.3,3764.06
08/05/2013,HUMAN RESOURCES,HUMANRESOURCES,70,0,0.0,0.00
08/05/2013,IPRA,IPRA,84,0,0.0,0.00
08/05/2013,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0.0,0.00
08/05/2013,OFFICE OF BUDGET & MANAGEMENT,OBM,44,0,0.0,0.00
