credentialid,name,type,businessname,dba,fullcredentialcode,credentialtype,credentialnumber,credentialsubcategory,credential,status,statusreason,active,issuedate,effectivedate,expirationdate,address,city,state,zip,recordrefreshedon,New Georeferenced Column,Planning Regions,Counties,Zip Code,Town Index
929173,BROOKDALE PLACE OF WEST HARTFORD LLC,LIMITED LIABILITY COMPANY,BROOKDALE PLACE OF WEST HARTFORD LLC,BROOKDALE WEST HARTFORD,ALSA.0000150,ALSA,150,,Assisted Living Service Agency,ACTIVE,CURRENT,1,11/18/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,22 SIMSBURY RD,WEST HARTFORD,CT,061171444,12/17/2019 12:00:00 AM,POINT (-72.72196 41.797336),1,1041,181,155
929132,BAL ROCKY HILL LLC,LIMITED LIABILITY COMPANY,BAL ROCKY HILL LLC,BAL ROCKY HILL,ALSA.0000142,ALSA,142,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/02/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,1160 ELM STREET EXT,ROCKY HILL,CT,060671812,11/08/2018 12:00:00 AM,POINT (-72.679839 41.658021),1,1041,189,119
930077,GEER VILLAGE,CORPORATION,GEER VILLAGE,GEER VILLAGE,ALSA.0000093,ALSA,93,,Assisted Living Service Agency,ACTIVE,CURRENT,1,04/01/2009 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,77 S CANAAN RD,CANAAN,CT,060182517,08/22/2019 12:00:00 AM,POINT (-73.332737 42.017975),6,1042,233,100
1597359,"ROSES AT GUILFORD HOUSE, THE",LIMITED LIABILITY COMPANY,"ROSES AT GUILFORD HOUSE, THE","ROSES AT GUILFORD HOUSE, THE",ALSA.0000201,ALSA,201,,Assisted Living Service Agency,CLOSED,CLOSED,0,09/05/2018 12:00:00 AM,09/04/2018 12:00:00 AM,06/30/2020 12:00:00 AM,109 WEST LAKE AVENUE,GUILFORD,CT,06437,03/22/2019 12:00:00 AM,POINT (-72.725116 41.311477),7,1044,201,60
929720,ABBINGTON SERVICES INC.,BUSINESS,ABBINGTON SERVICES INC.,ABBINGTON OF NEWINGTON,ALSA.0AL0042,ALSA,AL0042,,Assisted Living Service Agency,INACTIVE,,0,04/01/2001 12:00:00 AM,04/01/2001 12:00:00 AM,03/31/2003 12:00:00 AM,2125 MAIN STREET,NEWINGTON,CT,06111,05/18/2010 12:00:00 AM,POINT (-72.718613 41.671269),1,1041,86,94
929716,SENIORS' CHOICE AT THE GREEN LLC,BUSINESS,SENIORS' CHOICE AT THE GREEN LLC,SENIORS' CHOICE AT THE GREEN,ALSA.0AL0030,ALSA,AL0030,,Assisted Living Service Agency,INACTIVE,,0,10/01/2000 12:00:00 AM,10/01/2000 12:00:00 AM,09/30/2002 12:00:00 AM,1 ELIZABETH COURT,ROCKY HILL,CT,06067,05/18/2010 12:00:00 AM,POINT (-72.674737 41.667831),1,1041,189,119
1330938,MEADOW MILLS ASSISTED LIVING & MEMORY CARE,LIMITED LIABILITY COMPANY,MEADOW MILLS ASSISTED LIVING & MEMORY CARE,MEADOW MILLS ASSISTED LIVING & MEMORY CARE,ALSA.0000178,ALSA,178,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,01/28/2016 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,153 LEEDER HILL DR,HAMDEN,CT,065172731,03/13/2020 12:00:00 AM,POINT (-72.921723 41.346298),7,1044,198,62
930723,CARE LINK CORPORATION,CORPORATION,CARE LINK CORPORATION,CARE LINK CORPORATION,ALSA.0AL0032,ALSA,AL0032,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,580 LONG HILL AVE,SHELTON,CT,064844803,10/04/2018 12:00:00 AM,POINT (-73.098429 41.281236),4,1040,217,126
930030,MEADOW RIDGE,LIMITED LIABILITY COMPANY,MEADOW RIDGE,MEADOW RIDGE,ALSA.0000088,ALSA,88,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,100 REDDING RD,REDDING,CT,068963236,09/25/2019 12:00:00 AM,POINT (-73.425508 41.263538),9,1040,154,117
929981,BENCHMARK ASSISTED LIVING LLC,BUSINESS,BENCHMARK ASSISTED LIVING LLC,BENCHMARK ASSISTED LIVING,ALSA.0000059,ALSA,59,,Assisted Living Service Agency,INACTIVE,,0,01/01/2007 12:00:00 AM,01/01/2007 12:00:00 AM,12/31/2008 12:00:00 AM,20 Academy Lane,Mystic,CT,06355,05/18/2010 12:00:00 AM,POINT (-71.97156 41.356613),8,1045,135,59
929497,ATRIA ASSISTED LIVING STAMFORD LLC,BUSINESS,ATRIA ASSISTED LIVING STAMFORD LLC,"ATRIA ASSISTED LIVING, STAMFORD",ALSA.AL-0058,ALSA,AL-0058,,Assisted Living Service Agency,INACTIVE,,0,12/20/2000 12:00:00 AM,12/20/2000 12:00:00 AM,09/30/2002 12:00:00 AM,59 COURTLAND AVENUE,STAMFORD,CT,06902,05/13/2010 12:00:00 AM,POINT (-73.514066 41.060375),9,1040,7,135
1223302,BSL SHELTON LLC,LIMITED LIABILITY COMPANY,BSL SHELTON LLC,BSL SHELTON LLC,ALSA.0000169,ALSA,169,,Assisted Living Service Agency,ACTIVE,CURRENT,1,05/19/2014 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,708 BRIDGEPORT AVE # A,SHELTON,CT,064844734,12/18/2018 12:00:00 AM,POINT (-73.124392 41.274858),4,1040,217,126
929009,DAY KIMBALL HOSPITAL,BUSINESS,DAY KIMBALL HOSPITAL,DAY KIMBALL HOMECARE ALSA,ALSA.0000106,ALSA,106,,Assisted Living Service Agency,INACTIVE,,0,06/30/2005 12:00:00 AM,06/30/2005 12:00:00 AM,06/30/2007 12:00:00 AM,320 Pomfret Street,Putnam,CT,06260,05/18/2010 12:00:00 AM,POINT (-71.914692 41.907746),5,39,39,116
1532874,"RESIDENCE AT SUMMER STREET, THE",LIMITED LIABILITY COMPANY,"RESIDENCE AT SUMMER STREET, THE","RESIDENCE AT SUMMER STREET, THE",ALSA.0000200,ALSA,200,,Assisted Living Service Agency,ACTIVE,CURRENT,1,07/30/2018 12:00:00 AM,07/27/2018 12:00:00 AM,06/30/2020 12:00:00 AM,14 SECOND STREET,STAMFORD,CT,069055103,07/30/2018 12:00:00 AM,POINT (-73.542044 41.063554),9,1040,84,135
929578,ORANGE CARE LLC,BUSINESS,ORANGE CARE LLC,LAUREL GARDENS OF ORANGE,ALSA.0000082,ALSA,82,,Assisted Living Service Agency,INACTIVE,,0,07/01/2004 12:00:00 AM,07/01/2004 12:00:00 AM,06/30/2006 12:00:00 AM,245 Indian River Road,Orange,CT,06477,05/18/2010 12:00:00 AM,POINT (-73.000132 41.263913),7,1044,196,107
929719,PRIORITY CARE INC.,BUSINESS,PRIORITY CARE INC.,"PRIORITY CARE, INC.",ALSA.0AL0041,ALSA,AL0041,,Assisted Living Service Agency,INACTIVE,,0,04/01/2001 12:00:00 AM,04/01/2001 12:00:00 AM,03/31/2003 12:00:00 AM,999 ORONOQUE LANE,STRATFORD,CT,06614,05/18/2010 12:00:00 AM,POINT (-73.102725 41.248399),2,1040,218,138
930013,SUNRISE WEST HARTFORD ASSISTED LIVING L.L.C.,BUSINESS,SUNRISE WEST HARTFORD ASSISTED LIVING L.L.C.,SUNRISE ASSISTED LIVING OF WEST HARTFORD,ALSA.0000074,ALSA,74,,Assisted Living Service Agency,INACTIVE,,0,01/01/2008 12:00:00 AM,01/01/2008 12:00:00 AM,12/31/2009 12:00:00 AM,22 Simsbury Road,West Hartford,CT,06107,05/18/2010 12:00:00 AM,POINT (-72.72196 41.797336),1,1041,181,155
1329552,BRIGHTVIEW ON NEW CANAAN,LIMITED LIABILITY COMPANY,BRIGHTVIEW ON NEW CANAAN,BRIGHTVIEW ON NEW CANAAN,ALSA.0000177,ALSA,177,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/22/2016 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2021 12:00:00 AM,162 NEW CANAAN AVE,NORWALK,CT,068501916,02/20/2020 12:00:00 AM,POINT (-73.439401 41.129127),9,1040,204,103
929118,BAL HAMDEN LLC,LIMITED LIABILITY COMPANY,BAL HAMDEN LLC,BAL HAMDEN LLC,ALSA.0000133,ALSA,133,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,35 HAMDEN HILLS DR,HAMDEN,CT,065185322,12/07/2018 12:00:00 AM,POINT (-72.910228 41.388808),7,1044,100,62
929773,ARDEN COURTS OF FARMINGTON CT LLC,LIMITED LIABILITY COMPANY,ARDEN COURTS OF FARMINGTON CT LLC,ARDEN COURTS OF FARMINGTON,ALSA.0000123,ALSA,123,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,45 SOUTH RD,FARMINGTON,CT,060322022,11/18/2019 12:00:00 AM,POINT (-72.799001 41.725058),1,1041,254,52
929128,BAL MIDDLETOWN LLC,LIMITED LIABILITY COMPANY,BAL MIDDLETOWN LLC,BAL MIDDLETOWN,ALSA.0000137,ALSA,137,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/02/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,645 SAYBROOK RD,MIDDLETOWN,CT,064574746,11/05/2018 12:00:00 AM,POINT (-72.61955 41.538898),3,1043,236,83
1607035,"RESIDENCE AT SOUTH WINDSOR FARMS, THE",LIMITED LIABILITY COMPANY,"RESIDENCE AT SOUTH WINDSOR FARMS, THE","RESIDENCE AT SOUTH WINDSOR FARMS, THE",ALSA.0000204,ALSA,204,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/11/2018 12:00:00 AM,09/27/2018 12:00:00 AM,09/30/2020 12:00:00 AM,200 DEMING WAY,SOUTH WINDSOR,CT,06074,10/11/2018 12:00:00 AM,POINT (-72.552788 41.820807),1,1041,89,132
929100,MASONICARE HOME HEALTH AND HOSPICE INC.,CORPORATION,MASONICARE HOME HEALTH AND HOSPICE INC.,MASONICARE HOME HEALTH AND HOSPICE,ALSA.0000128,ALSA,128,,Assisted Living Service Agency,CLOSED,CLOSED,0,10/30/2008 12:00:00 AM,10/01/2014 12:00:00 AM,09/30/2016 12:00:00 AM,33 N PLAINS INDUSTRIAL RD,WALLINGFORD,CT,064925841,11/09/2016 12:00:00 AM,POINT (-72.81405 41.485441),7,1044,195,148
930727,ATRIA STRATFORD,BUSINESS,ATRIA STRATFORD,ATRIA STRATFORD,ALSA.0AL0039,ALSA,AL0039,,Assisted Living Service Agency,CLOSED,CLOSED,0,01/01/2009 12:00:00 AM,01/01/2011 12:00:00 AM,12/31/2012 12:00:00 AM,6911 MAIN ST,STRATFORD,CT,066141360,09/26/2012 12:00:00 AM,POINT (-73.10197 41.247009),2,1040,218,138
1519307,COLEBROOK VILLAGE AT HEBRON,CORPORATION,COLEBROOK VILLAGE AT HEBRON,COLEBROOK VILLAGE AT HEBRON,ALSA.0000196,ALSA,196,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/14/2018 12:00:00 AM,04/01/2020 12:00:00 AM,03/31/2022 12:00:00 AM,55 JOHN E HORTON BLVD,HEBRON,CT,062481564,04/27/2020 12:00:00 AM,,,,,
929939,NSL CONNECTICUT LLC,BUSINESS,NSL CONNECTICUT LLC,"NSL CONNECTICUT, LLC",ALSA.0000060,ALSA,60,,Assisted Living Service Agency,INACTIVE,,0,01/01/2005 12:00:00 AM,01/01/2005 12:00:00 AM,12/31/2006 12:00:00 AM,1 HAMILTON HEIGHTS DRIVE,WEST HARTFORD,CT,06119,05/18/2010 12:00:00 AM,POINT (-72.722606 41.768831),1,1041,251,155
929883,LUTHER RIDGE AT MIDDLETOWN INC.,CORPORATION,LUTHER RIDGE AT MIDDLETOWN INC.,"LUTHER RIDGE AT MIDDLETOWN, INC.",ALSA.0000113,ALSA,113,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,628 CONGDON ST W,MIDDLETOWN,CT,064577939,12/17/2019 12:00:00 AM,POINT (-72.694591 41.570091),3,1043,236,83
929172,BROOKDALE WILTON,LIMITED LIABILITY COMPANY,BROOKDALE WILTON,BROOKDALE WILTON,ALSA.0000149,ALSA,149,,Assisted Living Service Agency,ACTIVE,CURRENT,1,11/18/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,96 DANBURY RD,WILTON,CT,068974409,12/17/2019 12:00:00 AM,POINT (-73.416578 41.173046),9,1040,212,161
929581,WOODBRIDGE CARE LLC,BUSINESS,WOODBRIDGE CARE LLC,LAUREL GARDENS OF WOODBRIDGE,ALSA.0000085,ALSA,85,,Assisted Living Service Agency,INACTIVE,,0,07/01/2004 12:00:00 AM,07/01/2004 12:00:00 AM,06/30/2006 12:00:00 AM,21 Bradley Road,Woodbridge,CT,06525,05/18/2010 12:00:00 AM,POINT (-72.982582 41.343605),7,1044,61,167
1798836,ANTHOLOGY OF SIMSBURY,LIMITED LIABILITY COMPANY,ANTHOLOGY OF SIMSBURY,ANTHOLOGY OF SIMSBURY,ALSA.0000215,ALSA,215,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/17/2019 12:00:00 AM,10/23/2019 12:00:00 AM,09/30/2021 12:00:00 AM,142 COOPER AVE,WEATOGUE,CT,060897949,10/23/2019 12:00:00 AM,,,,,
929801,THE HOMESTEADS AT NEWTOWN LLC,BUSINESS,THE HOMESTEADS AT NEWTOWN LLC,THE HOMESTEADS AT NEWTOWN,ALSA.0000061,ALSA,61,,Assisted Living Service Agency,INACTIVE,,0,01/01/2005 12:00:00 AM,01/01/2005 12:00:00 AM,12/31/2006 12:00:00 AM,166 Mount Pleasant Road,Newtown,CT,06470,05/18/2010 12:00:00 AM,POINT (-73.366622 41.415915),9,1040,153,97
1618070,ESSEX MEADOWS,LIMITED LIABILITY COMPANY,ESSEX MEADOWS,ESSEX MEADOWS,ALSA.0000206,ALSA,206,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/03/2018 12:00:00 AM,11/20/2018 12:00:00 AM,09/30/2020 12:00:00 AM,30 BOKUM ROAD,ESSEX,CT,06426,12/03/2018 12:00:00 AM,POINT (-72.410763 41.338327),3,1043,97,50
930101,VILLAGE RETIREMENT COMMUNITIES LLC,BUSINESS,VILLAGE RETIREMENT COMMUNITIES LLC,VILLAGE AT EAST FARMS,ALSA.0AL0034,ALSA,AL0034,,Assisted Living Service Agency,INACTIVE,,0,10/01/2004 12:00:00 AM,10/01/2004 12:00:00 AM,09/30/2006 12:00:00 AM,180 SCOTT ROAD,WATERBURY,CT,06705,05/18/2010 12:00:00 AM,POINT (-72.977856 41.532751),4,1044,62,115
929849,SACRED HEART MANOR INC.,CORPORATION,SACRED HEART MANOR INC.,SACRED HEART MANOR,ALSA.0000098,ALSA,98,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,04/01/2008 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,261 BENHAM ST,HAMDEN,CT,065142801,02/04/2020 12:00:00 AM,POINT (-72.932224 41.364958),7,1044,197,62
929590,NEW ENGLAND HOME CARE INC.,BUSINESS,NEW ENGLAND HOME CARE INC.,"NEW ENGLAND HOME CARE, INC.",ALSA.0000089,ALSA,89,,Assisted Living Service Agency,INACTIVE,,0,01/01/2005 12:00:00 AM,01/01/2005 12:00:00 AM,12/31/2006 12:00:00 AM,57 Plains Road,Milford,CT,06460,05/18/2010 12:00:00 AM,POINT (-73.074204 41.22262),7,1044,193,84
930073,EVERGREEN WOODS,LIMITED LIABILITY COMPANY,EVERGREEN WOODS,EVERGREEN WOODS,ALSA.0000092,ALSA,92,,Assisted Living Service Agency,CLOSED,CLOSED,0,04/01/2009 12:00:00 AM,04/01/2015 12:00:00 AM,03/31/2017 12:00:00 AM,88 NOTCH HILL RD,NORTH BRANFORD,CT,064711846,12/05/2016 12:00:00 AM,POINT (-72.751087 41.317083),7,1044,131,99
996299,BROOKDALE BUCKINGHAM,CORPORATION,BROOKDALE BUCKINGHAM,BROOKDALE BUCKINGHAM,ALSA.0000155,ALSA,155,,Assisted Living Service Agency,ACTIVE,CURRENT,1,05/04/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,1824 MANCHESTER RD,GLASTONBURY,CT,060331832,04/22/2019 12:00:00 AM,POINT (-72.52021 41.730072),1,1041,90,54
1518513,ATRIA GLASTONBURY,LIMITED LIABILITY COMPANY,ATRIA GLASTONBURY,ATRIA GLASTONBURY,ALSA.0000195,ALSA,195,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,05/29/2018 12:00:00 AM,05/22/2018 12:00:00 AM,03/31/2020 12:00:00 AM,1177 HEBRON AVENUE,GLASTONBURY,CT,06033,01/20/2020 12:00:00 AM,POINT (-72.565688 41.718233),1,1041,90,54
930925,BRIGHTON GARDENS OF STAMFORD ALSA,LIMITED LIABILITY COMPANY,BRIGHTON GARDENS OF STAMFORD ALSA,BRIGHTON GARDENS OF STAMFORD,ALSA.0000022,ALSA,22,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,59 ROXBURY RD,STAMFORD,CT,069021283,10/23/2019 12:00:00 AM,POINT (-73.56296 41.08957),9,1040,7,135
1003908,ATRIA LARSON PLACE,LIMITED LIABILITY COMPANY,ATRIA LARSON PLACE,ATRIA LARSON PLACE,ALSA.0000161,ALSA,161,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/22/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,1450 WHITNEY AVE,HAMDEN,CT,065172451,04/18/2019 12:00:00 AM,POINT (-72.913115 41.353404),7,1044,198,62
1394779,ARTIS SENIOR LIVING OF BRANFORD,LIMITED LIABILITY COMPANY,ARTIS SENIOR LIVING OF BRANFORD,ARTIS SENIOR LIVING OF BRANFORD,ALSA.0000188,ALSA,188,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/21/2016 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,814 E MAIN ST,BRANFORD,CT,064052920,11/29/2018 12:00:00 AM,POINT (-72.749485 41.308551),7,1044,170,14
930202,LIVEWELL CONNECTICUT,CORPORATION,LIVEWELL CONNECTICUT,LIVEWELL CONNECTICUT,ALSA.0000048,ALSA,48,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/01/2008 12:00:00 AM,01/01/2020 12:00:00 AM,12/31/2021 12:00:00 AM,1261 S MAIN ST,PLANTSVILLE,CT,064791750,01/09/2020 12:00:00 AM,POINT (-72.895847 41.573158),1,1041,185,131
1243579,"LINDEN AT WOODBRIDGE, THE",LIMITED LIABILITY COMPANY,"LINDEN AT WOODBRIDGE, THE","LINDEN AT WOODBRIDGE, THE",ALSA.0000170,ALSA,170,,Assisted Living Service Agency,ACTIVE,CURRENT,1,09/04/2014 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,330 AMITY RD,WOODBRIDGE,CT,065252131,07/20/2018 12:00:00 AM,POINT (-72.988123 41.349764),7,1044,61,167
929644,MAPLEWOOD AT DANBURY ALSA LLC,LIMITED LIABILITY COMPANY,MAPLEWOOD AT DANBURY ALSA LLC,"MAPLEWOOD AT DANBURY ALSA, LLC",ALSA.0000114,ALSA,114,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,04/01/2008 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,1 GORHAM IS,WESTPORT,CT,068803217,02/28/2020 12:00:00 AM,POINT (-73.362577 41.143759),9,1040,179,158
1003704,ATRIA CROSSROADS PLACE,LIMITED LIABILITY COMPANY,ATRIA CROSSROADS PLACE,ATRIA CROSSROADS PLACE,ALSA.0000157,ALSA,157,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/22/2011 12:00:00 AM,04/01/2019 12:00:00 AM,03/31/2021 12:00:00 AM,1 BEECHWOOD DR,WATERFORD,CT,063851227,04/22/2019 12:00:00 AM,POINT (-72.157421 41.366678),8,1045,140,152
929571,INTERIM HEALTHCARE OF HARTFORD INC.,BUSINESS,INTERIM HEALTHCARE OF HARTFORD INC.,"INTERIM HEALTHCARE OF HARTFORD, INC.",ALSA.0000075,ALSA,75,,Assisted Living Service Agency,INACTIVE,,0,01/01/2004 12:00:00 AM,01/01/2004 12:00:00 AM,12/31/2005 12:00:00 AM,231 Farmington Avenue,Farmington,CT,06032,05/18/2010 12:00:00 AM,POINT (-72.793626 41.737713),1,1041,254,52
930222,"COVENANT LIVING OF CROMWELL, INC.",CORPORATION,"COVENANT LIVING OF CROMWELL, INC.",COVENANT LIVING OF CROMWELL ASSISTED LIVING SERVICES AGENCY,ALSA.0000063,ALSA,63,,Assisted Living Service Agency,ACTIVE,CURRENT,1,01/01/2009 12:00:00 AM,01/01/2019 12:00:00 AM,12/31/2020 12:00:00 AM,52 MISSIONARY RD,CROMWELL,CT,064162170,10/07/2019 12:00:00 AM,POINT (-72.660908 41.600427),3,1043,165,33
930213,DANBURY ASSISTED LIVING LLC.,LIMITED LIABILITY COMPANY,DANBURY ASSISTED LIVING LLC.,"DANBURY ASSISTED LIVING, LLC.",ALSA.0000054,ALSA,54,,Assisted Living Service Agency,CLOSED,CLOSED,0,07/01/2008 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,8 GLEN HILL RD,DANBURY,CT,068114985,02/15/2019 12:00:00 AM,POINT (-73.448186 41.414573),9,1040,60,34
929130,BAL BROOKFIELD LLC,LIMITED LIABILITY COMPANY,BAL BROOKFIELD LLC,BAL BROOKFIELD,ALSA.0000138,ALSA,138,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/01/2009 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,246A FEDERAL RD,BROOKFIELD,CT,068042652,12/07/2018 12:00:00 AM,POINT (-73.404301 41.44501),9,1040,173,18
929798,AMICUS HEALTHCARE LIVING CENTERS LLC,BUSINESS,AMICUS HEALTHCARE LIVING CENTERS LLC,THE ATRIUM AT ROCKY HILL,ALSA.0000049,ALSA,49,,Assisted Living Service Agency,INACTIVE,,0,01/01/2004 12:00:00 AM,01/01/2004 12:00:00 AM,12/31/2005 12:00:00 AM,1160 Elm Street,Rocky Hill,CT,06067,05/18/2010 12:00:00 AM,POINT (-72.679839 41.658021),1,1041,189,119
930725,ORCHARDS AT SOUTHINGTON INC.,CORPORATION,ORCHARDS AT SOUTHINGTON INC.,"ORCHARDS AT SOUTHINGTON, INC. THE",ALSA.0AL0035,ALSA,AL0035,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2008 12:00:00 AM,10/01/2018 12:00:00 AM,09/30/2020 12:00:00 AM,34 HOBART ST,SOUTHINGTON,CT,064893366,11/29/2018 12:00:00 AM,POINT (-72.876441 41.606384),1,1041,176,131
930026,DUNCASTER ASSISTED LIVING SERVICES AGENCY,CORPORATION,DUNCASTER ASSISTED LIVING SERVICES AGENCY,"DUNCASTER, INC.",ALSA.0000080,ALSA,80,,Assisted Living Service Agency,ACTIVE,CURRENT,1,07/01/2008 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,40 LOEFFLER RD,BLOOMFIELD,CT,060022262,05/09/2019 12:00:00 AM,POINT (-72.76466 41.828776),1,1041,224,11
1123803,ASSISTED LIVING SERVICES AGENCY AT CREAMERY BROOK,CORPORATION,ASSISTED LIVING SERVICES AGENCY AT CREAMERY BROOK,ASSISTED LIVING SERVICES AGENCY AT CREAMERY BROOK,ALSA.0000166,ALSA,166,,Assisted Living Service Agency,ACTIVE,CURRENT,1,09/19/2012 12:00:00 AM,07/01/2018 12:00:00 AM,06/30/2020 12:00:00 AM,36 VINA LN,BROOKLYN,CT,062341937,10/16/2018 12:00:00 AM,POINT (-71.944691 41.782419),5,39,37,19
929120,EMERITUS CORPORATION,CORPORATION,EMERITUS CORPORATION,EMERITUS AT WOODBRIDGE,ALSA.0000132,ALSA,132,,Assisted Living Service Agency,CLOSED,CLOSED,0,12/01/2008 12:00:00 AM,10/01/2012 12:00:00 AM,09/30/2014 12:00:00 AM,330 AMITY RD,WOODBRIDGE,CT,065252131,09/04/2014 12:00:00 AM,POINT (-72.988123 41.349764),7,1044,61,167
1640127,THE ROSES AT GUILFORD HOUSE,LIMITED LIABILITY COMPANY,THE ROSES AT GUILFORD HOUSE,THE ROSES AT GUILFORD HOUSE,ALSA.0000209,ALSA,209,,Assisted Living Service Agency,ACTIVE,CURRENT,1,03/21/2019 12:00:00 AM,03/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,109 WEST LAKE AVENUE,GUILFORD,CT,064371352,03/21/2019 12:00:00 AM,POINT (-72.725116 41.311477),7,1044,201,60
2021202,FARMINGTON STATION A SENIOR LIVING RESIDENCE,LIMITED LIABILITY COMPANY,FARMINGTON STATION A SENIOR LIVING RESIDENCE,FARMINGTON STATION A SENIOR LIVING RESIDENCE,ALSA.0000220,ALSA,220,,Assisted Living Service Agency,ACTIVE,CURRENT,1,04/03/2020 12:00:00 AM,03/30/2020 12:00:00 AM,03/31/2022 12:00:00 AM,111 SCOTT SWAMP RD,FARMINGTON,CT,060322861,04/03/2020 12:00:00 AM,POINT (-72.857734 41.704071),1,1041,254,52
930922,WHITNEY CENTER INCORPORATED,CORPORATION,WHITNEY CENTER INCORPORATED,"WHITNEY CENTER, INC",ALSA.0AL0001,ALSA,AL0001,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,200 LEEDER HILL DR,HAMDEN,CT,065172749,12/02/2019 12:00:00 AM,POINT (-72.920674 41.34892),7,1044,198,62
929879,OLSL CROSSROADS PLACE LLC,BUSINESS,OLSL CROSSROADS PLACE LLC,ATRIA CROSSROADS PLACE,ALSA.0000109,ALSA,109,,Assisted Living Service Agency,INACTIVE,INACTIVE,0,10/01/2009 12:00:00 AM,10/01/2009 12:00:00 AM,09/30/2011 12:00:00 AM,One Beechwood Drive,Waterford,CT,06385,11/29/2012 12:00:00 AM,,,,,
930719,UNITED COMMUNITY & FAMILY SERVICES INC.,BUSINESS,UNITED COMMUNITY & FAMILY SERVICES INC.,"UNITED COMMUNITY & FAMILY SERVICES, INC.",ALSA.0AL0026,ALSA,AL0026,,Assisted Living Service Agency,INACTIVE,,0,07/01/2008 12:00:00 AM,07/01/2008 12:00:00 AM,06/30/2010 12:00:00 AM,34 EAST TOWN STREET,NORWICH,CT,06360,05/18/2010 12:00:00 AM,POINT (-72.091557 41.550573),8,1045,14,104
929496,PARKSIDE SENIOR SERVICES LLC,BUSINESS,PARKSIDE SENIOR SERVICES LLC,GREAT POND CROSSING AT RIDGEFIELD,ALSA.0000079,ALSA,79,,Assisted Living Service Agency,INACTIVE,,0,08/13/2002 12:00:00 AM,08/13/2002 12:00:00 AM,06/30/2004 12:00:00 AM,640 Danbury Road,Ridgefield,CT,06877,05/18/2010 12:00:00 AM,POINT (-73.474933 41.324173),9,1040,43,118
