Reporting Area,MMWR Year,MMWR Week,"Tularemia, Current week","Tularemia, Current week, flag","Tularemia, Previous 52 weeks Max†","Tularemia, Previous 52 weeks Max†, flag","Tularemia, Cum 2019†","Tularemia, Cum 2019†, flag","Tularemia, Cum 2018†","Tularemia, Cum 2018†, flag","Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2018†","Vancomycin-intermediate Staphylococcus aureus, Cum 2018†, flag",Location 1,Location 2
COLORADO,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MONTANA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
EAST SOUTH CENTRAL,2019,4,,-,1,,,-,,-,,-,1,,,-,2,,,EAST SOUTH CENTRAL
MIDDDLE ATLANTIC,2019,4,,-,1,,,-,,-,,-,2,,,-,1,,,MIDDDLE ATLANTIC
TOTAL,2019,4,,-,16,,1,,,-,,-,7,,1,,4,,,TOTAL
MICHIGAN,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
US RESIDENTS,2019,4,,-,16,,1,,,-,,-,7,,1,,4,,,US RESIDENTS
GEORGIA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTH CAROLINA,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DISTRICT OF COLUMBIA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"INDIANA
(39.76845, -86.156212)",
SOUTH ATLANTIC,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
VERMONT,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2019,4,,-,0,,,-,,-,,-,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OREGON,2019,4,,-,2,,,-,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2019,4,,-,1,,1,,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PACIFIC,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,,PACIFIC
SOUTH DAKOTA,2019,4,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST NORTH CENTRAL,2019,4,,-,7,,1,,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL
WISCONSIN,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST SOUTH CENTRAL,2019,4,,-,13,,,-,,-,,-,4,,,-,,-,,WEST SOUTH CENTRAL
NEVADA,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2019,4,,-,1,,,-,,-,,-,1,,,-,2,,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KENTUCKY,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2019,4,,-,8,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
OHIO,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSOURI,2019,4,,-,5,,,-,,-,,-,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
EAST NORTH CENTRAL,2019,4,,-,2,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL
NEW JERSEY,2019,4,,-,1,,,-,,-,,-,1,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
NEW ENGLAND,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
DELAWARE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MAINE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2019,5,,-,1,,,-,1,,,N,,NC,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
LOUISIANA,2019,5,,-,0,,,-,,-,,-,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST NORTH CENTRAL,2019,5,,-,7,,1,,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL
ILLINOIS,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
AMERICAN SAMOA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2019,5,,-,1,,,-,,-,,-,1,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH DAKOTA,2019,5,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW ENGLAND,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
NEVADA,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2019,5,,-,1,,1,,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ARIZONA,2019,5,,-,0,,,-,,-,,-,1,,1,,1,,"ARIZONA
(34.869712, -111.760902)",
PENNSYLVANIA,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGINIA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TOTAL,2019,5,,-,16,,1,,1,,,-,7,,1,,4,,,TOTAL
US RESIDENTS,2019,5,,-,16,,1,,1,,,-,7,,1,,4,,,US RESIDENTS
SOUTH ATLANTIC,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
TENNESSEE,2019,5,,-,1,,,-,,-,,-,1,,,-,2,,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MISSISSIPPI,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2019,5,,-,8,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2019,5,,-,13,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST SOUTH CENTRAL,2019,5,,-,13,,,-,,-,,-,4,,,-,,-,,WEST SOUTH CENTRAL
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DISTRICT OF COLUMBIA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
PACIFIC,2019,5,,-,3,,,-,1,,,-,0,,,-,,-,,PACIFIC
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ALABAMA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
KANSAS,2019,5,,-,3,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK CITY,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY
MIDDDLE ATLANTIC,2019,5,,-,1,,,-,,-,,-,2,,,-,1,,,MIDDDLE ATLANTIC
INDIANA,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2019,5,,-,5,,,-,,-,,-,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
WEST VIRGINIA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW MEXICO,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
KENTUCKY,2019,5,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
GEORGIA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OREGON,2019,5,,-,2,,,-,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
VERMONT,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
EAST SOUTH CENTRAL,2019,5,,-,1,,,-,,-,,-,1,,,-,2,,,EAST SOUTH CENTRAL
MOUNTAIN,2019,5,,-,2,,,-,,-,,-,1,,1,,1,,,MOUNTAIN
EAST NORTH CENTRAL,2019,5,,-,2,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL
IDAHO,2019,5,,-,1,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
TEXAS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OHIO,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
US RESIDENTS,2019,6,,-,16,,3,,1,,1,,7,,2,,8,,,US RESIDENTS
NEVADA,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
EAST SOUTH CENTRAL,2019,6,,-,1,,,-,,-,,-,1,,,-,2,,,EAST SOUTH CENTRAL
WASHINGTON,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
KENTUCKY,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
AMERICAN SAMOA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
OHIO,2019,6,,-,1,,,-,,-,1,,1,,1,,,-,"OHIO
(40.056807, -82.405897)",
NORTH DAKOTA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
WEST SOUTH CENTRAL,2019,6,,-,13,,,-,,-,,-,4,,,-,,-,,WEST SOUTH CENTRAL
IDAHO,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MONTANA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VIRGINIA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW YORK CITY,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY
MASSACHUSETTS,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2019,6,,-,0,,,-,,-,,-,1,,,-,1,,"GEORGIA
(32.836038, -83.631709)",
WEST NORTH CENTRAL,2019,6,,-,7,,2,,,-,,-,1,,,-,1,,,WEST NORTH CENTRAL
WYOMING,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2019,6,,-,1,,,-,,-,,-,1,,,-,2,,"TENNESSEE
(35.681402, -85.774444)",
TOTAL,2019,6,,-,16,,3,,1,,1,,7,,2,,8,,,TOTAL
DELAWARE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CALIFORNIA,2019,6,,-,1,,,-,1,,,N,,NC,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
PACIFIC,2019,6,,-,3,,1,,1,,,-,0,,,-,,-,,PACIFIC
MOUNTAIN,2019,6,,-,2,,,-,,-,,-,1,,1,,1,,,MOUNTAIN
ALASKA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
VERMONT,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
EAST NORTH CENTRAL,2019,6,,-,2,,,-,,-,1,,2,,1,,,-,,EAST NORTH CENTRAL
LOUISIANA,2019,6,,-,0,,,-,,-,,-,4,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
TEXAS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ILLINOIS,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2019,6,,-,0,,,-,,-,,-,1,,1,,1,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
COLORADO,2019,6,,-,2,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW YORK CITY,2019,12,,-,0,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY
NEBRASKA,2019,6,,-,1,,1,,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2019,6,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MIDDDLE ATLANTIC,2019,6,,-,1,,,-,,-,,-,2,,,-,3,,,MIDDDLE ATLANTIC
DISTRICT OF COLUMBIA,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2019,6,,-,5,,1,,,-,,-,1,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
MAINE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
KANSAS,2019,6,,-,3,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OREGON,2019,6,,-,2,,1,,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW ENGLAND,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
WEST VIRGINIA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MINNESOTA,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MICHIGAN,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2019,6,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ALABAMA,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2019,6,,-,1,,,-,,-,,-,1,,,-,1,,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2019,6,,-,13,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2019,6,,-,8,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2019,6,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH ATLANTIC,2019,6,,-,2,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
INDIANA,2019,6,,-,1,,,-,,-,,N,,NC,,N,,N,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2019,6,,-,1,,,-,,-,,-,1,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WEST SOUTH CENTRAL,2019,7,,-,13,,,-,,-,,-,4,,,-,,-,,WEST SOUTH CENTRAL
CONNECTICUT,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2019,7,,-,1,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
US RESIDENTS,2019,7,,-,16,,3,,1,,,-,7,,3,,9,,,US RESIDENTS
SOUTH DAKOTA,2019,7,,-,2,,,-,,-,,N,,NC,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2019,7,,-,1,,,-,,-,,-,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WISCONSIN,2019,7,,-,1,,,-,,-,,-,2,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2019,7,,-,2,,1,,,-,,N,,NC,,N,,N,"OREGON
(44.567912, -120.156945)",
COLORADO,2019,7,,-,2,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KENTUCKY,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
SOUTH ATLANTIC,2019,7,,-,2,,,-,,-,,-,1,,1,,1,,,SOUTH ATLANTIC
WYOMING,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NORTH DAKOTA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
IOWA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
AMERICAN SAMOA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
MIDDDLE ATLANTIC,2019,7,,-,1,,,-,,-,,-,2,,,-,3,,,MIDDDLE ATLANTIC
NEW MEXICO,2019,7,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
MINNESOTA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2019,7,,-,0,,,-,,-,,-,1,,1,,1,,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2019,7,,-,1,,,-,,-,,-,0,,,-,2,,"NEW JERSEY
(40.104655, -74.386686)",
HAWAII,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2019,7,,-,3,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
DISTRICT OF COLUMBIA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VERMONT,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MONTANA,2019,7,,-,1,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2019,7,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEBRASKA,2019,7,,-,1,,1,,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK CITY,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,,NEW YORK CITY
