Outcome,Indicator Category,Measure,Measure ID,Top 10 Indicator,Indicator Type
MOBILITY,B. Transportation Cost,Percent satisfaction with cost of transportation to get around Austin,M.B.2,,Community Indicator
MOBILITY,B. Transportation Cost,Percent of households reducing the number of cars in their household,M.B.3,,Community Indicator
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,"Percent satisfaction with transportation options (aside from personal vehicle) to get around Austin (e.g. ride share, bus/train, bike, walk)",M.C.2,true,Community Indicator
MOBILITY,E. Condition of Transportation-Related Infrastructure,"Percent satisfaction with the condition of major City streets (e.g. Anderson Ln, Congress Ave., Lamar Blvd., Slaughter Ln., Martin Luther King Jr.)",M.E.1,,Community Indicator
MOBILITY,E. Condition of Transportation-Related Infrastructure,Percent satisfaction with the overall maintenance of City sidewalks,M.E.2,,Community Indicator
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,Percentage of existing sidewalks in functionally acceptable condition,M.C.4,true,COA Contribution
MOBILITY,C. Accessibility to and equity of multi-modal transportation choices,Percent of missing sidewalks and all ages and abilities bicycle facilities completed,M.C.6,true,COA Contribution
MOBILITY,D. Safety,"Percent of High or Very High Benefit Safe Routes to School projects in Development, Under Construction, and Completed",M.D.6,,COA Contribution
MOBILITY,E. Condition of Transportation-Related Infrastructure,Percent of the street inventory maintained by preventive maintenance,M.E.3,,COA Contribution
MOBILITY,E. Condition of Transportation-Related Infrastructure,Number and percentage of high-frequency transit routes with fair or better street condition,M.E.5,,COA Contribution
MOBILITY,E. Condition of Transportation-Related Infrastructure,Number and percentage of major bridges in fair or better condition,M.E.7,,COA Contribution
MOBILITY,E. Condition of Transportation-Related Infrastructure,Number and percentage of street network lane miles in fair to excellent condition,M.E.8,,COA Contribution
MOBILITY,E. Condition of Transportation-Related Infrastructure,Percent and linear miles of protected bikeways swept annually,M.E.4,,COA Contribution
SAFETY,A. Success of Emergency Response,Number and percentage of emergency responses that meet established time standards for that type of response,S.A.5,,COA Contribution
SAFETY,A. Success of Emergency Response,"Number and percentage of our responders who have completed initial and continuing training related to serving vulnerable and diverse community members (examples:  mental, behavioral health, de-escalation training)",S.A.4,,COA Contribution
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),"Crimes Against Persons rate per 1,000 population and percentage change in that rate",S.B.1.a,,Community Indicator
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),"Crimes Against Property rate per 1,000 population and percentage change in that rate",S.B.1.b,,Community Indicator
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),"Crimes Against Society rate per 1,000 population and percentage change in that rate",S.B.1.c,,Community Indicator
SAFETY,D. Fair Administration of Justice,"Difference between the percentage of citations, warnings, field observations, and arrests that result from motor vehicles stops involving individuals of a particular race compared to the percentage of that race in the City of Austin",S.D.1.a,true,Community Indicator
SAFETY,D. Fair Administration of Justice,Difference between the percentage of overall arrests issued to individuals of a particular race compared to the percentage of that race in the City of Austin,S.D.1.b,true,Community Indicator
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),Percentage of actual public safety time spent on community engagement compared to goals for community engagement,S.B.6,,COA Contribution
SAFETY,D. Fair Administration of Justice,Number and percentage of use of force incidents in proportion to the number of arrests made,S.D.3,true,COA Contribution
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),Number of occupational injuries/illnesses per 100 full-time workers,S.B.5,,Community Indicator
SAFETY,"C. Emergency Prevention, Preparedness, and Recovery",Number and percentage of residents living in high-risk areas for top natural disasters who are enrolled to receive regional emergency alerts,S.C.1,,Community Indicator
SAFETY,"C. Emergency Prevention, Preparedness, and Recovery",Number and percentage of partner safety agencies and organizations participating in local and regional emergency exercises,S.C.4,,COA Contribution
SAFETY,"C. Emergency Prevention, Preparedness, and Recovery",Number and percentage of City of Austin employees who have completed emergency management and preparedness response training (if appropriate to their position),S.C.5,,COA Contribution
SAFETY,D. Fair Administration of Justice,"Number and percentage of instances where people access court services other than in person and outside normal business hours (e.g. phone, mobile application, online, expanded hours) – Municipal Court",S.D.4.a,true,COA Contribution
SAFETY,D. Fair Administration of Justice,"Number and percentage of instances where people access court services other than in person and outside normal business hours (e.g. phone, mobile application, online, expanded hours) –  Downtown Austin Community Court (DACC) Correspondence cases",S.D.4.b,true,
SAFETY,D. Fair Administration of Justice,"Number and percentage of instances where people access court services other than in person and outside normal business hours (e.g. phone, mobile application, online, expanded hours) –  Downtown Austin Community Court (DACC) Clients Contacts Through Outreach",S.D.4.c,true,
SAFETY,D. Fair Administration of Justice,Number and percentage of court cases that are adjudicated within case processing time standards,S.D.5,true,COA Contribution
SAFETY,D. Fair Administration of Justice,Number and percentage of all cases granted alternative form of adjudication (e.g. community service) in lieu of monetary penalties for those not able to pay,S.D.6,true,COA Contribution
SAFETY,A. Success of Emergency Response,"Percentage of residents and visitors who say they feel safe anywhere, anytime in the City (at home, at work, and in my community)",S.A.1,,Community Indicator
SAFETY,A. Success of Emergency Response,Percentage of residents who say they trust the City's public safety services,S.A.2,,COA Contribution
SAFETY,A. Success of Emergency Response,"Percent of residents who say they feel confident that in case of an emergency, their response will be delivered effectively",S.A.3,,COA Contribution
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),"Percentage of residents who say they have knowledge and understanding of community laws, codes, and ordinances",S.B.3,,Community Indicator
SAFETY,B. Community Compliance with Laws and Regulations (actual and perceived),Percentage of residents who say they feel safe within their workplace,S.B.4,,Community Indicator
SAFETY,"C. Emergency Prevention, Preparedness, and Recovery",Percentage of residents living in high risk areas for natural disasters who say they have access to information and education pertaining to disasters and other major emergencies,S.C.2,,Community Indicator
SAFETY,"C. Emergency Prevention, Preparedness, and Recovery","Percentage of residents who say that they are prepared to help themselves, their families, and their neighbors to respond effectively to disasters and major emergencies",S.C.3,,Community Indicator
SAFETY,D. Fair Administration of Justice,Percentage of people who agree they were treated fairly during our enforcement and judicial processes,S.D.2,true,COA Contribution
SAFETY,E. Quality and Reliability of Critical Infrastructure,Number and percentage of City departments that have completed performance and vulnerability audits of documented critical infrastructure following sector-specific guidance,S.E.2,,COA Contribution
SAFETY,E. Quality and Reliability of Critical Infrastructure,Number and percentage of our critical infrastructure for which vulnerabilities have been assessed and addressed via protective and/or mitigation strategies,S.E.3,,COA Contribution
SAFETY,E. Quality and Reliability of Critical Infrastructure,"Number and percentage of our critical infrastructure assets with current, accredited or non-accredited disaster recovery and Continuity of Operations Plans (COOP).  Indicate accreditation details where applicable.",S.E.4,,COA Contribution
SAFETY,E. Quality and Reliability of Critical Infrastructure,Number and percentage of City departments that have documented critical infrastructure following sector-specific guidance,S.E.1,,Community Indicator
