Data as of,State,Place of Death,Start week,End Week,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID19 Deaths",Footnote
05/06/2020,Massachusetts,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,114,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Massachusetts,Decedent's Home,02/01/2020,05/02/2020,67,4911,0,134,16,13,
05/06/2020,Massachusetts,Hospice Facility,02/01/2020,05/02/2020,0,913,0,44,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Massachusetts,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,1182,5286,0,541,265,12,
05/06/2020,Massachusetts,Other,02/01/2020,05/02/2020,64,1085,0,38,12,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Massachusetts,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Michigan,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,1759,8761,0,2263,968,168,
05/06/2020,Michigan,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,98,1512,0,119,42,12,
05/06/2020,Michigan,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,36,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Michigan,Decedent's Home,02/01/2020,05/02/2020,115,10112,0,184,25,15,
05/06/2020,Michigan,Hospice Facility,02/01/2020,05/02/2020,41,2498,0,78,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Michigan,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,209,5324,0,305,43,23,
05/06/2020,Michigan,Other,02/01/2020,05/02/2020,13,784,0,23,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Michigan,Place of Death Unknown,02/01/2020,05/02/2020,,,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,96,2763,0,478,42,74,
05/06/2020,Minnesota,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,397,0,23,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,Decedent's Home,02/01/2020,05/02/2020,,3807,0,114,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,Hospice Facility,02/01/2020,05/02/2020,,480,0,15,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,146,4181,0,266,40,23,
05/06/2020,Minnesota,Other,02/01/2020,05/02/2020,,526,0,12,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Minnesota,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,162,2548,0,586,89,36,
05/06/2020,Mississippi,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,12,757,0,41,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,18,0,0,0,0,
05/06/2020,Mississippi,Decedent's Home,02/01/2020,05/02/2020,11,3063,0,58,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,Hospice Facility,02/01/2020,05/02/2020,0,469,0,32,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,21,1234,0,60,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,Other,02/01/2020,05/02/2020,,502,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Mississippi,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,176,4511,0,699,66,114,
05/06/2020,Missouri,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,866,0,27,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,13,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,Decedent's Home,02/01/2020,05/02/2020,,5242,0,91,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,Hospice Facility,02/01/2020,05/02/2020,0,738,0,23,0,12,
05/06/2020,Missouri,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,32,4190,0,174,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,Other,02/01/2020,05/02/2020,,524,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Missouri,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Montana,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,,678,0,93,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,77,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,Decedent's Home,02/01/2020,05/02/2020,0,905,0,16,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,Hospice Facility,02/01/2020,05/02/2020,0,85,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,703,0,25,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,Other,02/01/2020,05/02/2020,0,93,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Montana,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Nebraska,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,16,1064,0,183,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,232,0,13,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,Decedent's Home,02/01/2020,05/02/2020,,1083,0,37,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,Hospice Facility,02/01/2020,05/02/2020,0,117,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,1227,0,63,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,Other,02/01/2020,05/02/2020,0,415,0,11,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nebraska,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Nevada,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,139,2120,0,470,114,26,
05/06/2020,Nevada,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,541,0,23,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nevada,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Nevada,Decedent's Home,02/01/2020,05/02/2020,,2194,0,24,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nevada,Hospice Facility,02/01/2020,05/02/2020,15,1224,0,34,10,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nevada,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,191,0,12,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nevada,Other,02/01/2020,05/02/2020,,331,0,16,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Nevada,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,New Hampshire,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,33,832,0,148,21,26,
05/06/2020,New Hampshire,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,142,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Hampshire,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Hampshire,Decedent's Home,02/01/2020,05/02/2020,,1169,0,21,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Hampshire,Hospice Facility,02/01/2020,05/02/2020,0,154,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Hampshire,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,29,908,0,55,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Hampshire,Other,02/01/2020,05/02/2020,,198,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Hampshire,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,3784,10414,0,3473,2218,78,
05/06/2020,New Jersey,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,207,1515,0,157,74,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,13,111,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,Decedent's Home,02/01/2020,05/02/2020,269,7499,0,191,66,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,Hospice Facility,02/01/2020,05/02/2020,66,958,0,52,18,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,1559,7628,0,1020,574,14,
05/06/2020,New Jersey,Other,02/01/2020,05/02/2020,93,1201,0,59,36,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Jersey,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,New Mexico,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,35,1013,0,203,22,15,
05/06/2020,New Mexico,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,180,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Mexico,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Mexico,Decedent's Home,02/01/2020,05/02/2020,,1901,0,42,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Mexico,Hospice Facility,02/01/2020,05/02/2020,0,168,0,15,0,0,
05/06/2020,New Mexico,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,26,789,0,43,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Mexico,Other,02/01/2020,05/02/2020,,354,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New Mexico,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,New York,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,3434,11082,0,3731,2102,113,
05/06/2020,New York,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,193,1817,0,171,70,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,127,0,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York,Decedent's Home,02/01/2020,05/02/2020,275,9183,0,273,76,27,
05/06/2020,New York,Hospice Facility,02/01/2020,05/02/2020,179,2134,0,260,132,15,
05/06/2020,New York,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,1277,8854,0,1058,409,30,
05/06/2020,New York,Other,02/01/2020,05/02/2020,73,829,0,35,15,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York,Place of Death Unknown,02/01/2020,05/02/2020,,19,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York City,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,8747,16070,0,5367,3739,86,
05/06/2020,New York City,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,909,2673,0,611,356,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York City,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,19,164,0,13,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York City,Decedent's Home,02/01/2020,05/02/2020,1468,7994,0,104,51,773,
05/06/2020,New York City,Hospice Facility,02/01/2020,05/02/2020,,236,0,22,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York City,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,1418,6122,0,726,489,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York City,Other,02/01/2020,05/02/2020,35,421,0,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,New York City,Place of Death Unknown,02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Carolina,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,0,3484,0,502,0,113,
05/06/2020,North Carolina,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,589,0,14,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Carolina,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,60,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Carolina,Decedent's Home,02/01/2020,05/02/2020,0,3916,0,49,0,15,
05/06/2020,North Carolina,Hospice Facility,02/01/2020,05/02/2020,0,2067,0,95,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Carolina,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,0,2194,0,120,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Carolina,Other,02/01/2020,05/02/2020,0,644,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Carolina,Place of Death Unknown,02/01/2020,05/02/2020,0,21,0,0,0,0,
05/06/2020,North Dakota,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,10,611,0,97,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Dakota,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,0,62,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Dakota,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Dakota,Decedent's Home,02/01/2020,05/02/2020,0,343,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Dakota,Hospice Facility,02/01/2020,05/02/2020,0,10,0,0,0,0,
05/06/2020,North Dakota,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,577,0,43,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,North Dakota,Other,02/01/2020,05/02/2020,0,51,0,0,0,0,
05/06/2020,North Dakota,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Ohio,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,222,6878,0,993,117,152,
05/06/2020,Ohio,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,1814,0,57,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Ohio,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,67,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Ohio,Decedent's Home,02/01/2020,05/02/2020,17,8424,0,146,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Ohio,Hospice Facility,02/01/2020,05/02/2020,24,2967,0,173,11,19,
05/06/2020,Ohio,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,96,7661,0,349,24,25,
05/06/2020,Ohio,Other,02/01/2020,05/02/2020,,1202,0,18,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Ohio,Place of Death Unknown,02/01/2020,05/02/2020,,,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,99,2710,0,604,44,80,
05/06/2020,Oklahoma,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,766,0,29,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,Decedent's Home,02/01/2020,05/02/2020,,3291,0,82,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,Hospice Facility,02/01/2020,05/02/2020,0,335,0,31,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,27,1827,0,95,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,Other,02/01/2020,05/02/2020,,542,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oklahoma,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Oregon,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,52,2121,0,314,27,39,
05/06/2020,Oregon,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,356,0,12,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oregon,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oregon,Decedent's Home,02/01/2020,05/02/2020,10,3809,0,64,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oregon,Hospice Facility,02/01/2020,05/02/2020,0,249,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oregon,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,25,1743,0,69,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oregon,Other,02/01/2020,05/02/2020,,768,0,16,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Oregon,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Pennsylvania,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,1091,8206,0,1591,562,122,
05/06/2020,Pennsylvania,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,48,1260,0,62,18,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Pennsylvania,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,,108,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Pennsylvania,Decedent's Home,02/01/2020,05/02/2020,58,9066,0,179,16,11,
05/06/2020,Pennsylvania,Hospice Facility,02/01/2020,05/02/2020,14,1687,0,93,10,13,
05/06/2020,Pennsylvania,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,681,8608,0,511,138,24,
05/06/2020,Pennsylvania,Other,02/01/2020,05/02/2020,15,1154,0,16,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Pennsylvania,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Rhode Island,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,23,482,0,65,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,189,0,,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,Decedent's Home,02/01/2020,05/02/2020,,573,0,12,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,Hospice Facility,02/01/2020,05/02/2020,,311,0,17,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,35,730,0,26,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,Other,02/01/2020,05/02/2020,0,26,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,Rhode Island,Place of Death Unknown,02/01/2020,05/02/2020,,54,0,11,,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,136,3675,0,571,56,65,
05/06/2020,South Carolina,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,871,0,15,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,Decedent's Home,02/01/2020,05/02/2020,14,5259,0,100,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,Hospice Facility,02/01/2020,05/02/2020,,1147,0,61,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,10,1919,0,85,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,Other,02/01/2020,05/02/2020,,740,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Carolina,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,South Dakota,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,,516,0,89,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,05/02/2020,,100,0,,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,"Healthcare Setting, Dead on Arrival",02/01/2020,05/02/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,Decedent's Home,02/01/2020,05/02/2020,,437,0,14,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,Hospice Facility,02/01/2020,05/02/2020,0,243,0,19,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,Nursing Home or Long Term Care Facility,02/01/2020,05/02/2020,,672,0,33,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,Other,02/01/2020,05/02/2020,0,86,0,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,South Dakota,Place of Death Unknown,02/01/2020,05/02/2020,0,0,0,0,0,0,
05/06/2020,Tennessee,"Healthcare Setting, Inpatient",02/01/2020,05/02/2020,126,5760,0,971,65,87,
