File Number,Date,Source,Allegation,Status,Finding
14-0243,12/16/2014,Internal,Conformance to Law,Completed,Administrative Closure
15-0115,06/30/2015,External,Courtesy,Completed,Corrective Action Taken
15-0193,10/26/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0016,02/10/2015,External,Use of Force,Completed,Exonerated
13-0264,09/25/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
13-0246,09/10/2013,External,Conduct Unbecoming,Completed,Exonerated
14-0086,05/01/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
14-0241,12/16/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0202,08/06/2013,External,Conduct Unbecoming,Completed,No Corrective Action Tak
15-0185,09/29/2015,External,Conformance to Law,Completed,Exonerated
15-0094,05/27/2015,External,Conformance to Law,Completed,Insufficent Evidence
15-0153,08/20/2015,External,Conformance to Law,Completed,No Corrective Action Tak
16-0030,02/11/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0318,12/02/2013,Internal,Conduct Unbecoming,Completed,Administrative Closure
14-0134,06/20/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0263,09/24/2013,External,Use of Force,Completed,Exonerated
14-0002,01/07/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence
13-0244,09/10/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
14-0090,05/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0146,07/03/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0010,01/23/2014,Internal,Courtesy,Completed,No Corrective Action Tak
13-0247,09/11/2013,External,Courtesy,Completed,Exonerated
15-0115,06/30/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0337,12/11/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0269,10/01/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0028,02/10/2014,External,Conf T/L Traffic,Completed,Corrective Action Taken
16-0022,02/03/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0325,12/03/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0150,07/14/2014,Internal,Conformance to Law,Completed,Insufficent Evidence
13-0254,09/16/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
15-0141,08/04/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0177,08/25/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0182,09/02/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure
14-0140,07/01/2014,Internal,Conduct Unbecoming,Completed,Exonerated
13-0223,08/19/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0059,03/14/2016,External,Abuse of Authority,Completed,No Corrective Action Tak
15-0229,12/23/2015,External,Conformance to Law,Active,
13-0304,11/07/2013,External,Courtesy,Completed,Unfounded
13-0275,10/10/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
14-0151,07/14/2014,External,Carry Credent/Identification,Completed,Corrective Action Taken
14-0219,11/04/2014,Internal,Conformance to Law Re: Criminal,Completed,Administrative Closure
14-0151,07/14/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0228,12/22/2015,External,Punctuality,Completed,Administrative Closure
14-0148,07/07/2014,External,Untruthful Statements,Completed,Administrative Closure
15-0103,06/08/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0188,09/22/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
15-0143,08/04/2015,Internal,Untruthful Statements,Completed,Sustained
13-0263,09/24/2013,External,Neglect of Duty/Unsatisfactory Performance (Count two),Completed,Unfounded
15-0155,08/24/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0007,01/12/2016,External,Conformance to Law,Completed,No Corrective Action Tak
15-0019,02/25/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0099,05/10/2016,External,Att to Duty/Use Alch-Drugs,Completed,Corrective Action Taken
13-0235,09/03/2013,External,Use of Force,Completed,Unfounded
14-0130,06/19/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0084,05/13/2015,External,Courtesy,Completed,No Corrective Action Tak
13-0286,10/18/2013,External,Abuse of Authority,Completed,No Corrective Action Tak
15-0160,09/03/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
13-0201,08/01/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0203,10/13/2014,Internal,Conformance to Law,Completed,Corrective Action Taken
15-0012,01/28/2015,External,Conformance to Law,Completed,No Corrective Action Tak
15-0156,08/24/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0279,10/11/2013,External,Abuse of Authority,Completed,No Corrective Action Tak
13-0266,09/25/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0187,09/16/2014,External,Courtesy,Completed,Corrective Action Taken
15-0016,02/10/2015,External,Abuse of Authority,Completed,Exonerated
14-0155,07/21/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
16-0006,01/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
14-0194,09/26/2014,External,Use of Force,Completed,Exonerated
15-0079,05/05/2015,Internal,Conformance to Law,Completed,Administrative Closure
13-0342,12/16/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
13-0316,11/20/2013,External,Conformance to Law,Completed,Sustained
16-0003,01/05/2016,Internal,Conformance to Law,Completed,Administrative Closure
13-0280,10/14/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0101,05/10/2016,Internal,Conformance to Law,Active,
15-0002,01/07/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
15-0064,04/16/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
15-0135,07/31/2015,External,Conduct Unbecoming,Completed,Corrective Action Taken
15-0145,08/06/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0083,05/08/2015,External,Conduct Unbecoming,Completed,Exonerated
14-0183,09/03/2014,External,Courtesy,Completed,No Corrective Action Tak
16-0073,04/11/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0153,07/07/2016,External,,Completed,
14-0158,07/23/2014,Internal,Conformance to Law Deadly Force,Completed,Exonerated
14-0023,02/04/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
14-0249,12/26/2014,External,Abuse of Process,Completed,Declined
15-0191,10/22/2015,External,Conformance to Law,Completed,Administrative Closure
14-0058,03/27/2014,Internal,Discrimination/Harassment,Completed,Administrative Closure
14-0163,08/05/2014,Internal,Use of Force,Completed,Administrative Closure
14-0146,07/03/2014,External,Courtesy,Completed,No Corrective Action Tak
16-0051,03/08/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0115,06/30/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0196,09/30/2014,Internal,Punctuality,Completed,Sustained
15-0150,08/19/2015,External,Courtesy,Completed,No Corrective Action Tak
13-0312,11/19/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0304,11/07/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
15-0083,05/08/2015,External,Use of Force,Completed,Exonerated
13-0211,08/13/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0029,02/10/2014,Internal,Conformance to Law,Completed,Administrative Closure
13-0207,08/12/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0025,02/06/2014,Internal,Conformance to Law Deadly Force,Completed,Administrative Closure
14-0114,05/30/2014,External,,Completed,
15-0200,11/09/2015,External,Courtesy,Active,
15-0005,01/08/2015,Internal,Conformance to Law,Completed,No Corrective Action Tak
13-0315,11/20/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
16-0008,01/12/2016,External,Conformance to Law,Completed,Corrective Action Taken
14-0034,02/20/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0016,02/10/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
14-0027,02/07/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
14-0211,10/20/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure
14-0149,07/10/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0121,06/06/2014,External,Courtesy,Completed,Corrective Action Taken
14-0215,10/23/2014,Internal,Untruthful Statements,Completed,Administrative Closure
15-0156,08/24/2015,External,Courtesy,Completed,Corrective Action Taken
13-0345,12/26/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
14-0193,09/24/2014,External,Conformance to Law,Completed,Exonerated
13-0282,10/14/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
15-0174,09/21/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0152,07/15/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0070,04/09/2014,External,Conformance to Law,Completed,Corrective Action Taken
14-0058,03/27/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure
14-0075,04/22/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0303,11/07/2013,Internal,Discrim/Race/Sex,Completed,Unfounded
14-0094,05/06/2014,External,Carry ID on Duty&OD While Armed,Completed,Corrective Action Taken
13-0284,10/17/2013,External,Courtesy,Completed,Administrative Closure
13-0249,09/12/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
13-0327,12/04/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0102,06/05/2015,External,Courtesy,Completed,Declined
14-0061,04/03/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0124,07/06/2015,Internal,Conformance to Law,Completed,Sustained
13-0349,01/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0045,03/16/2015,External,Conformance to Law,Completed,Administrative Closure
14-0233,12/11/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0176,09/23/2015,Internal,Conduct Unbecoming,Completed,Administrative Closure
15-0122,07/01/2015,External,Property,Completed,No Corrective Action Tak
15-0015,02/10/2015,Internal,Secondary Employment,Completed,Sustained
15-0159,09/03/2015,External,Abuse of Authority,Completed,Declined
14-0043,03/05/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0189,09/22/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0200,11/09/2015,External,Conduct Unbecoming,Active,
15-0079,05/05/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
15-0078,05/05/2015,External,Conduct Unbecoming,Completed,No Corrective Action Tak
13-0280,10/14/2013,Internal,Untruthful Statements,Completed,Administrative Closure
14-0144,07/02/2014,Internal,Use of Force,Completed,Exonerated
15-0004,01/08/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0142,07/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0204,10/13/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0300,11/05/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0132,06/20/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure
13-0346,12/26/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
15-0095,05/27/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
13-0255,09/17/2013,External,Carry Credent/Identification,Completed,Exonerated
14-0144,07/02/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
14-0219,11/04/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
15-0022,02/25/2015,Internal,Conformance to Law,Completed,Sustained
14-0069,04/09/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0273,10/07/2013,External,,Completed,
14-0057,03/24/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
13-0270,10/02/2013,Internal,Conduct Unbecoming,Completed,Sustained
14-0126,06/18/2014,External,Courtesy,Completed,No Corrective Action Tak
15-0110,06/23/2015,External,Conformance to Law,Completed,Insufficent Evidence
13-0283,10/17/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
14-0126,06/18/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0093,05/26/2015,External,Courtesy,Completed,No Corrective Action Tak
15-0222,12/09/2015,External,Abuse of Authority,Completed,Declined
15-0172,09/16/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
16-0065,03/24/2016,External,Courtesy,Completed,Corrective Action Taken
13-0263,09/24/2013,External,Courtesy,Completed,Administrative Closure
14-0162,08/01/2014,Internal,Punctuality,Completed,Administrative Closure
14-0060,03/27/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0142,08/04/2015,External,Use of Force,Completed,Administrative Closure
13-0247,09/11/2013,External,Conduct Unbecoming,Completed,Exonerated
15-0182,09/29/2015,External,Conformance to Law,Completed,Declined
15-0046,03/17/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0066,04/04/2014,External,Abuse of Authority,Completed,Corrective Action Taken
13-0338,12/11/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
13-0295,10/25/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0012,01/28/2015,External,Abuse of Process,Completed,No Corrective Action Tak
16-0018,01/28/2016,External,Abuse of Authority,Completed,No Corrective Action Tak
14-0095,05/06/2014,External,Courtesy,Completed,No Corrective Action Tak
13-0310,11/14/2013,Internal,Compliance with Orders,Completed,Sustained
14-0225,11/21/2014,External,Courtesy,Completed,No Corrective Action Tak
16-0020,02/01/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0016,01/30/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0224,11/20/2014,External,Conf T/L Traffic,Completed,Corrective Action Taken
13-0298,10/31/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0209,10/15/2014,External,,Completed,
14-0109,05/20/2014,External,,Completed,
15-0189,10/19/2015,External,Conduct Unbecoming,Completed,No Corrective Action Tak
15-0083,05/08/2015,External,Courtesy,Completed,Exonerated
14-0243,12/16/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
14-0189,09/22/2014,External,Courtesy,Completed,No Corrective Action Tak
15-0189,10/19/2015,External,Conformance to Law,Completed,No Corrective Action Tak
15-0208,11/24/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0144,08/05/2015,Internal,Conduct Unbecoming,Completed,No Corrective Action Tak
13-0211,08/13/2013,External,Abuse of Authority,Completed,No Corrective Action Tak
13-0263,09/24/2013,External,Use of Force (Count three),Completed,Exonerated
14-0100,05/14/2014,Internal,Conformance to Law,Completed,Corrective Action Taken
15-0196,11/02/2015,Internal,Conduct Unbecoming,Completed,Unfounded
14-0007,01/13/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0213,11/25/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0311,11/19/2013,Internal,Conformance to Law Deadly Force,Completed,Exonerated
15-0131,07/21/2015,Internal,Maintenance of Property,Completed,Administrative Closure
15-0090,05/20/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0037,02/24/2014,External,Conf T/L Traffic,Completed,No Corrective Action Tak
15-0002,01/07/2015,External,Use of Force,Completed,Unfounded
13-0343,12/16/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
13-0263,09/24/2013,External,Conformance to Law,Completed,Administrative Closure
14-0075,04/22/2014,External,Courtesy,Completed,No Corrective Action Tak
15-0005,01/08/2015,Internal,Abuse of Authority,Completed,No Corrective Action Tak
15-0061,04/15/2015,External,Conformance to Law,Completed,Administrative Closure
14-0039,02/28/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0204,08/06/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
14-0088,05/01/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0246,09/10/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
16-0099,05/10/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0336,12/09/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0212,11/25/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0135,06/20/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0046,03/07/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0016,02/10/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0294,10/24/2013,External,Courtesy,Completed,Corrective Action Taken
15-0014,02/03/2015,External,Conformance to Law,Completed,Corrective Action Taken
15-0152,08/20/2015,External,Courtesy,Completed,Corrective Action Taken
15-0009,01/23/2015,External,Courtesy,Completed,Corrective Action Taken
13-0242,09/09/2013,External,Conf T/L Traffic,Completed,No Corrective Action Tak
14-0202,10/10/2014,Internal,Conformance to Law,Completed,Exonerated
15-0118,07/01/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0050,03/14/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
14-0059,03/27/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
13-0322,12/02/2013,External,Courtesy,Completed,
14-0029,02/10/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure
14-0226,11/26/2014,Internal,Maintenance of Property,Completed,Sustained
16-0040,02/26/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0038,02/22/2016,External,Courtesy,Completed,No Corrective Action Tak
14-0232,12/08/2014,External,Maintenance of Property,Completed,Administrative Closure
14-0072,04/16/2014,External,Conformance to Law,Completed,Corrective Action Taken
13-0323,12/03/2013,External,Courtesy,Completed,No Corrective Action Tak
15-0010,01/23/2015,Internal,Untruthful Statements,Completed,Sustained
13-0297,10/30/2013,Internal,Use of Force,Completed,Exonerated
13-0296,10/29/2013,Internal,Conf T/L Traffic,Completed,Sustained
14-0027,02/07/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
14-0004,01/09/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0148,07/07/2014,External,Conformance to Law,Completed,Administrative Closure
14-0113,05/30/2014,External,Conf T/L Traffic,Completed,No Corrective Action Tak
14-0132,06/20/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
15-0022,02/25/2015,Internal,Maintenance of Property,Completed,Sustained
15-0144,08/05/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0301,11/05/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0080,04/23/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
15-0059,04/07/2015,External,Courtesy,Completed,No Corrective Action Tak
13-0248,09/11/2013,External,Courtesy,Completed,No Corrective Action Tak
14-0072,04/16/2014,External,Conduct Unbecoming,Completed,Corrective Action Taken
14-0031,02/10/2014,External,Conformance to Law,Completed,Insufficent Evidence
14-0100,05/14/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
13-0332,12/06/2013,External,Courtesy,Completed,Corrective Action Taken
14-0184,09/05/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0095,05/27/2015,External,Conformance to Law,Completed,Exonerated
14-0150,07/14/2014,Internal,Untruthful Statements,Completed,Unfounded
15-0113,06/29/2015,External,Courtesy,Completed,Administrative Closure
16-0052,03/08/2016,External,Conformance to Law,Completed,No Corrective Action Tak
15-0124,07/06/2015,Internal,Punctuality,Completed,Sustained
13-0219,08/19/2013,External,Courtesy,Completed,No Corrective Action Tak
15-0220,12/04/2015,External,Conformance to Law,Completed,Corrective Action Taken
13-0287,10/21/2013,Internal,Conduct Unbecoming,Completed,Administrative Closure
13-0246,09/10/2013,External,Abuse of Authority,Completed,Exonerated
13-0232,08/29/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
14-0215,10/23/2014,Internal,Conformance to Law,Completed,Administrative Closure
13-0330,12/06/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken
14-0087,05/01/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
16-0101,05/10/2016,Internal,Att to Duty/Use Alch-Drugs,Active,
15-0098,06/03/2015,External,Conduct Unbecoming,Completed,Corrective Action Taken
14-0211,10/20/2014,Internal,Secondary Employment,Completed,Administrative Closure
16-0046,03/03/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0048,03/10/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
15-0069,04/20/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0186,10/08/2015,External,Courtesy,Completed,Corrective Action Taken
14-0112,05/30/2014,External,Courtesy,Completed,Corrective Action Taken
13-0253,09/16/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
15-0127,07/13/2015,External,Conduct Unbecoming,Completed,Sustained
14-0047,03/10/2014,External,Courtesy,Completed,No Corrective Action Tak
14-0044,03/06/2014,External,Courtesy,Completed,Unfounded
13-0217,08/13/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0245,09/10/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
14-0147,07/03/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0288,10/22/2013,External,Courtesy,Completed,No Corrective Action Tak
13-0297,10/30/2013,Internal,Conformance to Law Deadly Force,Completed,Exonerated
14-0219,11/04/2014,Internal,Property,Completed,Administrative Closure
14-0180,08/25/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0086,05/01/2014,Internal,Conduct Unbecoming,Completed,Sustained
14-0231,12/07/2014,External,Conduct Unbecoming,Completed,Administrative Closure
14-0245,12/19/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure
13-0276,10/10/2013,External,Conduct Unbecoming,Completed,No Corrective Action Tak
13-0289,10/23/2013,External,Courtesy,Completed,Corrective Action Taken
14-0187,09/16/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0084,05/13/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0005,01/09/2014,External,Conformance to Law,Completed,Sustained
13-0263,09/24/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
13-0260,09/19/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0226,08/21/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
13-0263,09/24/2013,External,Discrimination/Harassment,Completed,Unfounded
15-0157,08/25/2015,External,Conformance to Law,Completed,Declined
16-0124,06/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
16-0022,02/03/2016,Internal,Conduct Unbecoming,Completed,Corrective Action Taken
15-0130,07/21/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
13-0225,08/21/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
13-0231,08/28/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
14-0144,07/02/2014,Internal,Conformance to Law,Completed,Exonerated
16-0125,06/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
13-0308,11/12/2013,External,Courtesy,Completed,Corrective Action Taken
13-0298,10/31/2013,External,Courtesy,Completed,Corrective Action Taken
13-0279,10/11/2013,External,Courtesy,Completed,No Corrective Action Tak
13-0290,10/24/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
14-0054,03/19/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
14-0066,04/04/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
16-0054,03/10/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
13-0227,08/27/2013,Internal,Conduct Unbecoming,Completed,Administrative Closure
15-0207,11/24/2015,External,Use of Force,Completed,Administrative Closure
15-0207,11/24/2015,External,Abuse of Authority,Completed,Administrative Closure
16-0045,03/01/2016,Internal,Conformance to Law,Completed,Administrative Closure
16-0005,01/05/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0082,05/07/2015,External,Conformance to Law,Completed,Declined
14-0077,04/22/2014,Internal,Conduct Unbecoming,Completed,Sustained
15-0070,04/21/2015,External,Courtesy,Completed,Declined
15-0197,11/02/2015,Internal,Conduct Unbecoming,Completed,Exonerated
14-0083,04/25/2014,External,Conf T/L Traffic,Completed,Declined
14-0077,04/22/2014,Internal,Conformance to Law,Completed,Sustained
14-0077,04/22/2014,Internal,Untruthful Statements,Completed,Sustained
14-0076,04/22/2014,Internal,Abuse of Process,Completed,Sustained
15-0082,05/07/2015,External,Use of Force,Completed,Declined
15-0072,04/23/2015,External,Courtesy,Completed,Declined
14-0145,07/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
15-0088,05/20/2015,External,Courtesy,Completed,Declined
15-0077,05/05/2015,External,Courtesy,Completed,No Corrective Action Tak
14-0077,04/22/2014,Internal,Conformance to Law,Completed,Administrative Closure
14-0077,04/22/2014,Internal,Courtesy,Completed,Sustained
14-0077,04/22/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
16-0014,01/20/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
15-0001,01/07/2015,External,Conduct Unbecoming,Completed,Declined
14-0076,04/22/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
15-0197,11/02/2015,Internal,Conformance to Law,Completed,Exonerated
16-0104,05/16/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
16-0014,01/20/2016,External,Courtesy,Completed,Corrective Action Taken
15-0085,05/13/2015,External,Courtesy,Completed,Declined
15-0032,03/09/2015,External,Conf T/L Traffic,Completed,Declined
14-0077,04/22/2014,Internal,Discrimination/Harassment,Completed,Administrative Closure
15-0066,04/16/2015,External,Courtesy,Completed,Declined
15-0097,06/01/2015,External,Abuse of Authority,Completed,Declined
16-0039,02/24/2016,Internal,Conformance to Law,Completed,No Corrective Action Tak
16-0105,05/16/2016,External,Conformance to Law,Completed,No Corrective Action Tak
14-0077,04/22/2014,Internal,Discrimination/Harassment,Completed,Sustained
15-0075,04/29/2015,External,Conduct Unbecoming,Completed,Corrective Action Taken
16-0014,01/20/2016,External,Courtesy,Completed,No Corrective Action Tak
14-0077,04/22/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
