Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2
KENTUCKY,2019,4,,-,8,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OREGON,2019,4,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MAINE,2019,4,,-,5,,2,,3,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CONNECTICUT,2019,4,,-,3,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEW YORK CITY,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
MISSOURI,2019,4,1,,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2019,4,,-,9,,1,,2,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW ENGLAND,2019,4,,-,13,,4,,8,,,-,0,,,-,,-,,NEW ENGLAND
MARYLAND,2019,4,,-,11,,7,,11,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2019,4,,-,3,,2,,3,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2019,4,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
PACIFIC,2019,4,,-,12,,2,,2,,,-,0,,,-,,-,,PACIFIC
TEXAS,2019,4,,-,15,,,-,2,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2019,4,6,,18,,10,,165,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
MOUNTAIN,2019,4,1,,6,,3,,3,,,-,1,,,-,,-,,MOUNTAIN
EAST NORTH CENTRAL,2019,4,,-,24,,3,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KANSAS,2019,4,,-,3,,3,,1,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
EAST SOUTH CENTRAL,2019,4,,-,8,,2,,2,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MONTANA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
AMERICAN SAMOA,2019,4,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
SOUTH DAKOTA,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW YORK,2019,4,3,,29,,14,,38,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST SOUTH CENTRAL,2019,4,,-,15,,2,,5,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
SOUTH CAROLINA,2019,4,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ARKANSAS,2019,4,,-,3,,,-,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
US RESIDENTS,2019,4,12,,75,,61,,246,,,-,1,,,-,1,,,US RESIDENTS
VERMONT,2019,4,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2019,4,,-,10,,1,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2019,4,1,,17,,9,,8,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST NORTH CENTRAL,2019,4,1,,5,,4,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL
WYOMING,2019,4,1,,4,,3,,2,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GEORGIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
OKLAHOMA,2019,4,,-,8,,2,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OHIO,2019,4,,-,6,,1,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
IOWA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ALASKA,2019,4,,-,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2019,5,6,,134,,13,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2019,5,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2019,5,,-,4,,3,,2,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
US RESIDENTS,2019,5,23,,162,,82,,243,,,-,1,,,-,1,,,US RESIDENTS
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
EAST SOUTH CENTRAL,2019,5,1,,8,,3,,2,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
CONNECTICUT,2019,5,,-,3,,,-,2,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEBRASKA,2019,5,,-,3,,,-,2,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
OKLAHOMA,2019,5,,-,8,,2,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
RHODE ISLAND,2019,5,,-,3,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW HAMPSHIRE,2019,5,,-,3,,2,,3,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
EAST NORTH CENTRAL,2019,5,1,,24,,4,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
AMERICAN SAMOA,2019,5,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEW MEXICO,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK CITY,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
MARYLAND,2019,5,,-,11,,7,,17,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2019,5,,-,8,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MOUNTAIN,2019,5,,-,6,,3,,3,,,-,1,,,-,,-,,MOUNTAIN
INDIANA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH ATLANTIC,2019,5,12,,145,,36,,164,,,-,1,,,-,1,,,SOUTH ATLANTIC
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2019,5,,-,13,,1,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
CALIFORNIA,2019,5,1,,9,,3,,5,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2019,5,4,,17,,13,,13,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2019,5,2,,10,,3,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OREGON,2019,5,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW YORK,2019,5,8,,29,,22,,46,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALABAMA,2019,5,1,,4,,3,,1,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2019,5,,-,3,,,-,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2019,5,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2019,5,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSOURI,2019,5,,-,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2019,5,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2019,5,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEVADA,2019,5,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALASKA,2019,5,,-,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
IOWA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
TEXAS,2019,5,,-,15,,,-,3,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DISTRICT OF COLUMBIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TOTAL,2019,5,23,,162,,82,,243,,,-,1,,,-,1,,,TOTAL
MAINE,2019,5,,-,5,,2,,4,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
KANSAS,2019,5,,-,3,,3,,2,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WEST SOUTH CENTRAL,2019,5,,-,15,,2,,6,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
NEW ENGLAND,2019,5,,-,13,,4,,10,,,-,0,,,-,,-,,NEW ENGLAND
PACIFIC,2019,5,1,,12,,4,,5,,,-,0,,,-,,-,,PACIFIC
SOUTH DAKOTA,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VERMONT,2019,5,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW JERSEY,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WASHINGTON,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MIDDDLE ATLANTIC,2019,5,8,,29,,22,,46,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
OHIO,2019,5,1,,6,,2,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
TENNESSEE,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2019,5,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WEST NORTH CENTRAL,2019,5,,-,5,,4,,5,,,-,0,,,-,,-,,WEST NORTH CENTRAL
COLORADO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
HAWAII,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2019,6,6,,11,,22,,19,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2019,6,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
WEST NORTH CENTRAL,2019,6,1,,5,,5,,6,,,-,0,,,-,,-,,WEST NORTH CENTRAL
DELAWARE,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
AMERICAN SAMOA,2019,6,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2019,6,3,,5,,5,,5,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
RHODE ISLAND,2019,6,,-,3,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2019,6,,-,2,,,-,1,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2019,6,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MISSISSIPPI,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2019,6,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
U.S. VIRGIN ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW YORK,2019,6,10,,29,,32,,52,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEVADA,2019,6,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2019,6,,-,3,,,-,2,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
OKLAHOMA,2019,6,,-,8,,2,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH CAROLINA,2019,6,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2019,6,,-,3,,,-,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WEST SOUTH CENTRAL,2019,6,,-,15,,2,,7,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
DISTRICT OF COLUMBIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IDAHO,2019,6,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ALASKA,2019,6,,-,2,,1,,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2019,6,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2019,6,1,,3,,4,,2,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
OHIO,2019,6,,-,6,,2,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2019,6,,-,3,,2,,4,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
EAST NORTH CENTRAL,2019,6,,-,24,,4,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
MIDDDLE ATLANTIC,2019,6,10,,29,,32,,52,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
WYOMING,2019,6,,-,4,,3,,2,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TOTAL,2019,6,31,,75,,122,,261,,,-,1,,,-,1,,,TOTAL
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW JERSEY,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WEST VIRGINIA,2019,6,,-,10,,3,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2019,6,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
EAST SOUTH CENTRAL,2019,6,3,,8,,6,,2,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
ALABAMA,2019,6,2,,4,,5,,1,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2019,6,,-,15,,,-,4,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MOUNTAIN,2019,6,,-,6,,3,,3,,,-,1,,,-,,-,,MOUNTAIN
CALIFORNIA,2019,6,,-,9,,3,,8,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2019,6,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
US RESIDENTS,2019,6,31,,75,,122,,261,,,-,1,,,-,1,,,US RESIDENTS
PACIFIC,2019,6,,-,12,,4,,8,,,-,0,,,-,,-,,PACIFIC
NORTH CAROLINA,2019,6,4,,17,,17,,15,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2019,6,,-,4,,1,,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW ENGLAND,2019,6,3,,13,,7,,13,,,-,0,,,-,,-,,NEW ENGLAND
SOUTH ATLANTIC,2019,6,14,,24,,59,,168,,,-,1,,,-,1,,,SOUTH ATLANTIC
CONNECTICUT,2019,6,,-,3,,,-,3,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2019,6,1,,8,,1,,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2019,6,4,,6,,17,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2019,6,,-,13,,1,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2019,6,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
KENTUCKY,2019,7,,-,8,,1,,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WEST SOUTH CENTRAL,2019,7,1,,15,,3,,11,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
INDIANA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2019,7,,-,3,,,-,2,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2019,7,,-,3,,1,,5,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OREGON,2019,7,,-,6,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MOUNTAIN,2019,7,,-,6,,4,,4,,,-,1,,,-,,-,,MOUNTAIN
PACIFIC,2019,7,,-,12,,4,,12,,,-,0,,,-,,-,,PACIFIC
U.S. VIRGIN ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WEST VIRGINIA,2019,7,2,,10,,5,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
IDAHO,2019,7,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MASSACHUSETTS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2019,7,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2019,7,,-,5,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TEXAS,2019,7,,-,15,,,-,8,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MONTANA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
TENNESSEE,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2019,7,,-,11,,22,,22,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2019,7,1,,8,,3,,1,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
IOWA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEVADA,2019,7,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK CITY,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
NORTH CAROLINA,2019,7,,-,17,,17,,20,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
EAST SOUTH CENTRAL,2019,7,,-,8,,6,,3,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
SOUTH DAKOTA,2019,7,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2019,7,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
AMERICAN SAMOA,2019,7,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
SOUTH ATLANTIC,2019,7,4,,24,,63,,176,,,-,1,,,-,1,,,SOUTH ATLANTIC
ILLINOIS,2019,7,,-,13,,2,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
MICHIGAN,2019,7,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2019,7,,-,3,,,-,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KANSAS,2019,7,,-,3,,4,,2,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GUAM,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
