Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
KBJ Construction Corp,Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/15/2019,05/17/2019,Advised to Sue - ATS,No,0.00,1015,HEGEMAN AVE,,BROOKLYN,NY,11208,10065,-73.74538590156389,40.67781687009533
,Garage - 049,Damage / Estimate,03/15/2019,04/26/2019,No Satisfactory Agreement - NSA,No,0.00,,,,,,,10463,-73.97101215466975,40.78935901751707
AUTO QUEENS TOWING CORP.,Tow Truck Company - 124,Unauthorized tow,12/11/2018,01/10/2019,Cash Amount - AMT,Yes,136.00,9741,86TH ST,,OZONE PARK,NY,11416,11229,,
SPQR FINE ART,Misc Non-Food Retail - 817,Misrepresentation - M01,11/06/2019,11/25/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,309,W 55TH ST,4A,NEW YORK,NY,10019,78130,,
"HARRIPERSAUD, HARDEO",Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/22/2019,03/01/2019,No Satisfactory Agreement - NSA,No,0.00,1121,NOBLE AVE,,BRONX,NY,10472,10472,-73.86968025683197,40.8294278552919
ALBERTO CURI JR,Tax Preparers - 891,Misrepresentation - M01,06/18/2019,07/09/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,852,E 180TH ST,,BRONX,NY,10460,10467,-73.8836795004896,40.845587223788044
BAYA INC.,Storage Warehouse - 120,Billing Dispute - B02,06/06/2019,06/17/2019,Advised to Sue - ATS,No,0.00,381,CANAL PL,,BRONX,NY,10451,11212,-73.92616733464263,40.81521355440179
SPRINT SPECTRUM L.P.,Electronic Store - 001,Advertising/Misleading - A02,06/13/2019,07/08/2019,Bill Reduced - BLR,Yes,97.00,6500,SPRINT PARKWAY,,OVERLAND PARK,NY,66251,11373,-73.87157752015248,40.73384724725437
"PLAZA OLDSMOBILE, LTD.",Secondhand Dealer Auto - 005,Advertising/Misleading - A02,01/08/2020,02/18/2020,Cash Amount - AMT,Yes,925.00,2733,NOSTRAND AVE,,BROOKLYN,NY,11210,11215,-73.94525266543515,40.61824927509875
SHIRLAW & ASSOCIATES,Debt Collection Agency - 122,Misrepresentation - M01,12/12/2019,01/13/2020,Bill Reduced - BLR,Yes,1183.00,4533,MACARTHUR BLVD,332,NEWPORT BEACH,CA,92660,11229,,
HAIM TOWING INC.,Tow Truck Company - 124,Unauthorized tow,10/21/2019,11/22/2019,Cash Amount - AMT,Yes,64.00,1979,STILLWELL AVE,,BROOKLYN,NY,11223,11230,-73.99241702098571,40.592661350479844
NYC AUTOMART INC,Secondhand Dealer Auto - 005,Defective Goods - D02,10/15/2019,11/15/2019,Referred to Outside - RTO,NA,0.00,12041,FLATLANDS AVE,,BROOKLYN,NY,11207,12180,,
DOMINO'S PIZZA LLC,Restaurant - 818,,04/24/2020,05/01/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,183,GRAHAM AVE,,BROOKLYN,NY,11206,,-73.95312001454633,40.71497871842693
D MACARTHUR AUTO BODY LTD,Tow Truck Company - 124,Misrepresentation - M01,03/09/2020,04/20/2020,Advised to Sue - ATS,No,0.00,13631,SPRINGFIELD BLVD,,SPRNGFLD GDNS,NY,11413,,-73.75528488937897,40.677127450602285
PROFESSIONAL ACCOUNT MANAGEMENT LLC,Debt Collection Agency - 122,Minor Present School Hours,02/07/2019,03/13/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,633,W WISCONSIN AVE,STE 1600,MILWAUKEE,WI,53203,10310,,
"GERMAN KITCHEN CENTER NEW YORK, LLC",Home Improvement Contractor - 100,,04/14/2020,04/24/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,2003,BROADWAY,,NEW YORK,NY,10023,10025,-73.97262407628308,40.79501630113585
DECORA DESIGN & CONSTRUCTION,Home Improvement Contractor - 100,Quality of Work - Q01,08/28/2019,09/12/2019,Advised to Sue - ATS,No,0.00,189,KENSINGTON ST,,BROOKLYN,NY,11235,11224,-74.07558260639428,40.59376760114261
DUBAI FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,04/26/2019,06/10/2019,Consumer Took Action - CTA,No,0.00,8928,165TH ST,,JAMAICA,NY,11432,,-73.79610097204704,40.70735839159144
NUERA CONTRACTING,Home Improvement Contractor - 100,Quality of Work - Q01,11/23/2018,01/04/2019,No Business Response - NVR,No,0.00,8851,20TH AVE,6A,BROOKLYN,NY,11214,11228,-74.00345338567718,40.599578440790054
INTERNATIONAL AFRICAN ARTS FESTIVAL,Other,Misrepresentation - M01,07/23/2019,08/12/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1360,FULTON ST,401,BROOKLYN,NY,11216,,,
BAEZ MOTA COMPANY,Misc Non-Food Retail - 817,Advertising/General - A01,09/09/2019,10/04/2019,Bill Reduced - BLR,Yes,1800.00,2356,UNIVERSITY AVE,,BRONX,NY,10468,11221,-73.90591393367994,40.86165029673804
LONG ISLAND CUSTOM WINDOWS LLC,Home Improvement Contractor - 100,Misrepresentation - M01,11/30/2018,02/04/2019,Advised to Sue - ATS,No,0.00,2029,NEW HWY,,FARMINGDALE,NY,11735,11414,,
YSG SOLAR,Other,Misrepresentation - M01,01/10/2020,01/31/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,79,MADISON AVE,8,NEW YORK,NY,10016,11414,,
PLANET AUTO CARS LLC,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/15/2020,01/22/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,7322,NORTHERN BLVD,,JACKSON HTS,NY,11372,11377,-73.89344647424845,40.754702226190496
WD PLUS INC,Electronic Store - 001,Misrepresentation - M01,10/07/2019,11/18/2019,Advised to Sue - ATS,No,0.00,2834,CONEY ISLAND AVE,,BROOKLYN,NY,11235,11218,,
1STOPBEDROOMS.COM,Furniture Sales - 242,Breach of Warranty - B04,05/31/2019,07/10/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1716,CONEY ISLAND AVE,5,BROOKLYN,NY,11230,17025,,
STAPLES THE OFFICE SUPERSTORE EAST INC.,Misc Non-Food Retail - 817,Misrepresentation - M01,05/01/2019,06/14/2019,Cash Amount - AMT,Yes,353.00,500,STAPLES DR,,FRAMINGHAM,MA,01702,11434,,
TOP VIEW SIGHTSEEING,Sightseeing Bus - 078,Non-Delivery of Service - N02,08/05/2019,08/27/2019,Store Credit - SCR,Yes,262.00,2,E 42ND ST,,NEW YORK,NY,10017,07306,-73.98065392916737,40.75337202022346
"MILLENNIUM MOTORS SPORTS, LLC",Secondhand Dealer Auto - 005,Refund Policy - R01,03/18/2019,04/09/2019,Unable to Locate Business - ULV,NA,0.00,20201,NORTHERN BLVD,,BAYSIDE,NY,11361,10573,,
"G.R. & J. HUB HOME IMPROVEMENT CENTER, INC.",Home Improvement Contractor - 100,Misrepresentation - M01,08/13/2019,10/04/2019,Advised to Sue - ATS,No,0.00,8660,18TH AVE,,BROOKLYN,NY,11214,11415,,
"RITE AID OF NEW YORK, INC.",Drug Store Retail - 810,Refund Policy - R01,12/09/2019,01/15/2020,Cash Amount - AMT,Yes,8.00,30,HUNTER LN,,CAMP HILL,PA,17011,10026,-73.95479392453541,40.805188135946835
,Home Improvement Contractor - 100,Quality of Work - Q01,01/17/2019,02/22/2019,Advised to Sue - ATS,No,0.00,,,,,,,11214,,
SUPREME SPECTACLE,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,10/01/2019,11/06/2019,No Satisfactory Agreement - NSA,No,0.00,4250,BROADWAY,,NEW YORK,NY,10033,10471,,
LEVIA TOUR LLC,Travel Agency - 440,Surcharge/Overcharge - S02,02/01/2019,03/11/2019,Unable to Locate Business - ULV,NA,0.00,PO BOX,P O BOX 260307,,BROOKLYN,NY,11226,10591,,
B & M ELECTRONIC DIAGNOSTIC REPAIR SERVICE INC,Tow Truck Company - 124,Damaged Goods - D01,08/08/2019,08/12/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,6202,ALMEDA AVE,,ROCKAWAY BEACH,NY,11692,,-73.79247986883259,40.59723096724215
"WARREN D GROCERY, INC",Grocery-Retail - 808,Exchange Goods/Contract Cancelled - E01,12/31/2018,01/16/2019,Advised to Sue - ATS,No,0.00,5916,FORT HAMILTON PKWY,,BROOKLYN,NY,11219,11220,-74.00502598381779,40.63345461534979
J.O.A.T. NYC LLC,Home Improvement Contractor - 100,Quality of Work - Q01,03/01/2019,03/22/2019,Consumer Took Action - CTA,No,0.00,194,E 35TH ST,,BROOKLYN,NY,11203,11231,,
"IMPERIAL PARKING (U.S.), LLC",Parking Lot - 050,Damage / Estimate,07/09/2019,09/12/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,307,7TH AVE,STE 301,NEW YORK,NY,10001,10021,,
LA FITNESS,Misc Non-Food Retail - 817,Billing Dispute - B02,09/26/2019,10/17/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,2600,MICHELSON DR,300,IRVINE,CA,92612,10454,,
"YI, WON S",Dry Cleaners - 230,Wrong Goods - W01,08/12/2019,08/19/2019,Cash Amount - AMT,Yes,100.00,550,COLUMBUS AVE,,NEW YORK,NY,10024,10025,-73.97189435280914,40.78688897704574
"CREDIT CONTROL, LLC",Debt Collection Agency - 122,Billing Dispute - B02,03/22/2019,03/26/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,5757,PHANTOM DR,330,HAZELWOOD,MO,63042,10009,,
EMPIRE GIFTS & ELECTRONICS INC,Electronic Store - 001,Misrepresentation - M01,03/29/2019,05/13/2019,Credit Card Refund and/or Contract Cancelled - CRC,Yes,200.00,51,WESTERN AVE,,JERSEY CITY,NJ,07307,8005,-73.9813548644334,40.763684140332686
330 THIRD PARKING CORP.,Garage - 049,Damage / Estimate,11/26/2019,01/10/2020,Advised to Sue - ATS,No,0.00,,,,,,,10040,-73.9824513445768,40.73981050293851
"PARAGON MOTORS OF WOODSIDE, INC.",Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,02/07/2019,03/01/2019,Advised to Sue - ATS,No,0.00,5502,NORTHERN BLVD,,WOODSIDE,NY,11377,11367,-73.90376735974701,40.7536189011006
SI MAINTENANCE CORP,Home Improvement Contractor - 100,Quality of Work - Q01,09/26/2019,11/14/2019,Advised to Sue - ATS,No,0.00,150L,GREAVES LN,151,STATEN ISLAND,NY,10308,10305,-74.07948937996133,40.5907401948742
"GRANITE TOPS, INC.",Misc Non-Food Retail - 817,Non-Delivery of Service - N02,05/17/2019,06/18/2019,Cash Amount - AMT,Yes,850.00,716,S COLUMBUS AVE,,MOUNT VERNON,NY,10550,10023,,
E-HOME RENOVATION ENGINEERING INC.,Home Improvement Contractor - 100,Breach of Contract - B03,05/01/2019,06/07/2019,Advised to Sue - ATS,No,0.00,4722,160TH ST,,FLUSHING,NY,11358,11364,-73.80713747631087,40.75115911460013
POST N PARCEL,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,12/17/2019,01/09/2020,No Business Response - NVR,No,0.00,1780,GRAND CONCOURSE,,BRONX,NY,10457,,-73.90927506934007,40.846496735120056
HOME DESIGN FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,09/24/2019,11/12/2019,No Business Response - NVR,No,0.00,8803,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,11377,-73.87819044417368,40.7482479211439
HILLSIDE AUTO MALL INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,12/20/2018,01/17/2019,Advised to Sue - ATS,No,0.00,15009,HILLSIDE AVE,,JAMAICA,NY,11432,11420,,
"BEST BUY STORES, L.P.",Electronic Store - 001,Misrepresentation - M01,11/06/2019,12/03/2019,Store Credit - SCR,Yes,799.00,7601,PENN AVE S,,RICHFIELD,MN,55423,10474,,
"SAKS 5TH AVENUE, INC.",Misc Non-Food Retail - 817,Misrepresentation - M01,07/16/2019,09/03/2019,Referred to Outside - RTO,NA,0.00,611,5TH AVE,,NEW YORK,NY,10022,11233,,
"SEPHORA USA, INC.",Retail Store - 820,Refund Policy - R01,10/08/2019,10/22/2019,Consumer Took Action - CTA,No,0.00,525,MARKET ST,32,SAN FRANCISCO,CA,94105,10005,-74.01208736680412,40.71183664272319
ROD'S CERTIFIED APPLIANCES,Appliances - 244,Non-Delivery of Service - N02,03/08/2019,04/09/2019,Complaint Invalid - CIN,NA,0.00,120,GAZZA BLVD,,FARMINGDALE,NY,11735,11427,,
SAN MIGUEL FLAT FIX CORP.,Secondhand Dealer [General] - 006,Exchange Goods/Contract Cancelled - E01,11/30/2018,01/03/2019,No Business Response - NVR,No,0.00,600,PELHAM PKWY S,,BRONX,NY,10462,10470,-73.86908838320105,40.85660256337729
ALL STARS AUTO SALES INC.,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,08/20/2019,09/13/2019,Referred to Outside - RTO,NA,0.00,504,REMSEN AVE,,BROOKLYN,NY,11236,10474,-73.92124622027247,40.65393130589978
"JENNIFER CONVERTIBLES, INC.",Furniture Sales - 242,Misrepresentation - M01,01/29/2020,02/13/2020,Resolved and Consumer Satisfied - SPF,Yes,0.00,1995,BROADHOLLOW RD,,FARMINGDALE,NY,11735,11378,,
SYLHET MOTORS INC.,Secondhand Dealer Auto - 005,Billing Dispute - B02,05/28/2019,06/05/2019,Referred to Outside - RTO,NA,0.00,16105,HILLSIDE AVE,,JAMAICA,NY,11432,08859,-73.80092788429403,40.70825340141655
RAYMOUR & FLANIGAN FURNITURE,Furniture Sales - 242,Defective Goods - D02,08/26/2019,09/20/2019,Store Credit - SCR,Yes,490.00,7248,MORGAN RD,,LIVERPOOL,NY,13090,10001,,
BEAR TRANSPORTATION LLC,Tow Truck Company - 124,Damaged Goods - D01,07/25/2019,08/26/2019,Advised to Sue - ATS,No,0.00,953,COLGATE AVE,,BRONX,NY,10473,10452,-73.88050508425333,40.822009628048534
"NEMET MOTORS, LLC",Secondhand Dealer Auto - 005,Breach of Contract - B03,10/07/2019,11/13/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,15312,HILLSIDE AVE,,JAMAICA,NY,11432,11415,-73.80424540466761,40.707309400318074
NY-NY CONTRACTORS CORP,Home Improvement Contractor - 100,Breach of Contract - B03,01/16/2019,01/31/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,469,E 48TH ST,2,BROOKLYN,NY,11203,11249,-73.95788943748877,40.67973774673329
CITY AUTOMOTIVE INC,Tow Truck Company - 124,Billing Dispute - B02,07/09/2019,08/12/2019,No Business Response - NVR,No,0.00,21625,HEMPSTEAD AVE,,QUEENS VILLAGE,NY,11429,10471,-73.74258420610671,40.715282363656655
FEMINIK BOUTIQUE,Retail Store - 820,Non-Delivery of Goods - N01,05/24/2019,05/31/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,311,BRIGHTON BEACH AVE,,BROOKLYN,NY,11235,11235,-73.96399465597217,40.57707097652127
107 GARAGE CORP.,Garage - 049,Misrepresentation - M01,08/29/2019,10/02/2019,Complaint Invalid - CIN,NA,0.00,107-109,W 13TH ST,,NEW YORK,NY,10011,10039,,
SYLVAN TOWER GARAGE LLC,Garage - 049,Misrepresentation - M01,07/30/2019,08/13/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,13633,37TH AVE,,FLUSHING,NY,11354,11362,,
I FIX SCREENS ASTORIA BLVD LLC,Electronic & Home Appliance Service Dealer - 115,,12/31/2018,01/10/2019,No Satisfactory Agreement - NSA,No,0.00,3015,ASTORIA BLVD,,ASTORIA,NY,11102,,-73.91876560531655,40.77025536945757
LUCKY COIN 888 LAUNDROMAT INC.,Laundry - 064,Damaged Goods - D01,07/15/2019,07/23/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,2156,2ND AVE,,NEW YORK,NY,10029,10029,-73.94023650174654,40.79362071461773
PRM GENERAL CONTRACTORS INC,Home Improvement Contractor - 100,Quality of Work - Q01,02/10/2020,03/31/2020,Advised to Sue - ATS,No,0.00,21165,23RD AVE,3C,BAYSIDE,NY,11360,11360,,
VCT CONTRACTING,Home Improvement Contractor - 100,Breach of Contract - B03,02/28/2019,03/25/2019,Consumer Took Action - CTA,No,0.00,2182,RENFREW AVE,,ELMONT,NY,11003,11236,,
C.B. IRON WORK INC,Home Improvement Contractor - 100,Non-Delivery of Goods - N01,05/06/2019,06/04/2019,No Business Response - NVR,No,0.00,10745,LEFFERTS BLVD,,SOUTH RICHMOND HILL,NY,11419,11436,-73.82306290691801,40.68400654418182
D Handy Inc.,Home Improvement Contractor - 100,Unlicensed,01/04/2019,03/20/2019,Advised to Sue - ATS,No,0.00,808,CROSS BAY BLVD,,BROAD CHANNEL,NY,11693,11414,-73.8194279157276,40.60698209250896
QUALITY HOMES USA INC.,Home Improvement Contractor - 100,Quality of Work - Q01,11/30/2018,01/29/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,1025,OLD COUNTRY RD,401,WESTBURY,NY,11590,11412,,
ON DEMAND SERVICES LLC,Mailorder Misc - 319,Non-Delivery of Goods - N01,11/12/2019,12/06/2019,Unable to Locate Business - ULV,NA,0.00,9703,SUTPHIN BLVD,UNIT350517,JAMAICA,NY,11435,12508,,
COMMONS CAFE,Restaurant - 818,Non-Delivery of Goods - N01,07/09/2019,08/01/2019,Advised to Sue - ATS,No,0.00,388,ATLANTIC AVE,,BROOKLYN,NY,11217,11421,,
26 MOTORS CORP,Secondhand Dealer Auto - 005,,07/15/2019,08/23/2019,Cash Amount - AMT,Yes,17000.00,3551,BOSTON RD,,BRONX,NY,10469,10461,,
PRICELINE.COM,Auto Rental - 213,Misrepresentation - M01,07/12/2019,08/28/2019,Consumer Took Action - CTA,No,0.00,800,CONNECTICUT AVE,,NORWALK,CT,06854,11436,,
ANCHOR INN,Hotel/Motel - 460,Breach of Contract - B03,01/15/2020,02/07/2020,No Consumer Response - NCR,NA,0.00,21534,NORTHERN BLVD,,BAYSIDE,NY,11361,11547,-73.76639557867169,40.76067386726933
ZALES THE DIAMOND STORE,Jewelry Store-Retail - 823,Closed without Notice,04/16/2019,05/01/2019,Cash Amount - AMT,Yes,258.00,901,W WALNUT HILL LN,,IRVING,TX,75038,10456,-73.89563860415568,40.86220686848353
JAMAICA DISCOUNT FURNITURE & CARPET CORNER INC,Furniture Sales - 242,Damaged Goods - D01,08/07/2019,08/15/2019,Advised to Sue - ATS,No,0.00,17227,JAMAICA AVE,,JAMAICA,NY,11432,11433,-73.78731697802371,40.70776244705413
P & L HOME US INC.,Appliances - 244,Defective Goods - D02,10/21/2019,11/08/2019,Advised to Sue - ATS,No,0.00,3637,MAIN ST,,FLUSHING,NY,11354,10029,,
GRAY LINE NEW YORK SIGHTSEEING,Sightseeing Bus - 078,Non-Delivery of Service - N02,10/08/2019,10/18/2019,Advised to Sue - ATS,No,0.00,777,8TH AVE,,NEW YORK,NY,10036,21044,-74.00279029827558,40.75999119126775
UNIVERSAL ELECTRONICS & APPLIANCES INC.,Electronic Store - 001,Defective Goods - D02,05/22/2019,07/11/2019,No Satisfactory Preempted - NSP,NA,0.00,17008,JAMAICA AVE,,JAMAICA,NY,11432,11433,-73.78938529670329,40.70726395678041
ALLIED INTERSTATE LLC,Debt Collection Agency - 122,Billing Dispute - B02,01/11/2019,02/12/2019,Bill Reduced - BLR,Yes,71928.00,70,MANSELL CT,STE 250,ROSWELL,GA,30076,10475,,
15 WEST 72ND STREET CORP.,Garage & Parking Lot - 098,Damaged Goods - D01,09/11/2019,10/08/2019,Cash Amount - AMT,Yes,1548.00,15,W 72ND ST,,NEW YORK,NY,10023,13045,,
"DIPLOMAT HOME IMPROVEMENT, LLC",Home Improvement Contractor - 100,Misrepresentation - M01,07/25/2019,08/19/2019,Advised to Sue - ATS,No,0.00,22110,JAMAICA AVE,109,QUEENS VILLAGE,NY,11428,11208,,
CENTURY FIRST CREDIT SOLUTIONS,Debt Settlement - 248,Misrepresentation - M01,02/05/2020,03/05/2020,Referred to Outside - RTO,NA,0.00,230,PARK AVE,3,NEW YORK,NY,10169,10469,,
EAGLE ONE GARAGE LLC,Garage - 049,Outstanding Judgment - J01,01/15/2020,02/21/2020,Referred to Hearing - RTH,No,0.00,10,E 33RD ST,11,NEW YORK,NY,10016,07076,-73.97355588664213,40.74951149481157
MR. TOM'S TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,06/27/2019,07/19/2019,Advised to Sue - ATS,No,0.00,1535,128TH ST,,COLLEGE POINT,NY,11356,11355,-73.84032731959705,40.784547577499644
MICHAEL KORS USA,Misc Non-Food Retail - 817,Misrepresentation - M01,04/10/2019,05/07/2019,Cash Amount - AMT,Yes,344.00,11,W 42ND ST,,NEW YORK,NY,10036,07002,,
P. C. RICHARD & SON LONG ISLAND CORPORATION,Appliances - 244,Exchange Goods/Contract Cancelled - E01,07/30/2019,08/01/2019,Store Credit - SCR,Yes,718.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,11374,-73.86707791306134,40.732074517587776
"NATIONAL CAR RENTAL SYSTEM, INC.",Auto Rental - 213,,06/13/2019,07/16/2019,Bill Reduced - BLR,Yes,1882.00,8420,SAINT JOHN INDUSTRIAL DR,,SAINT LOUIS,MO,63114,,,
"KIM, JONGSOK",Dry Cleaners - 230,Damaged Goods - D01,03/19/2019,03/26/2019,Cash Amount - AMT,Yes,13.00,1422,CORNAGA AVE,,FAR ROCKAWAY,NY,11691,,-73.74930962794546,40.60268941508535
MOBILESHACK INC,Electronic Store - 001,,06/06/2019,07/23/2019,No Business Response - NVR,No,0.00,566,FASHION AVE,,NEW YORK,NY,10018,,-73.98771710887013,40.755008858572324
T-MOBILE NORTHEAST LLC,Other,Advertising/Misleading - A02,02/21/2020,03/11/2020,Bill Reduced - BLR,Yes,137.00,P O BOX,P O BOX 37380,,ALBUQUERQUE,NM,87176,11229,,
ELITE WIRELESS GROUP NY LLC,Electronic Store - 001,Billing Dispute - B02,10/28/2019,11/13/2019,Credit Card Refund and/or Contract Cancelled - CRC,Yes,45.00,11731,FARMERS BLVD,,SAINT ALBANS,NY,11412,11233,,
EFS Restoration Corp,Home Improvement Contractor - 100,Misrepresentation - M01,10/28/2019,11/19/2019,Cash Amount - AMT,Yes,12000.00,6133,GRAND AVE,,MASPETH,NY,11378,11104,-73.90401864439592,40.72200503382978
"LPARK 31, LLC",Parking Lot - 050,Damage / Estimate,07/10/2019,08/26/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,333,W 39TH ST,602,NEW YORK,NY,10018,22801,-73.99527196877375,40.75046686077087
"METROPCS NEW YORK, LLC",Electronic Store - 001,Misrepresentation - M01,03/28/2019,04/03/2019,Referred to Outside - RTO,NA,0.00,PO BOX,,,DALLAS,TX,75360,11212,,
PATRICK FORRESTER,Home Improvement Contractor - 100,Quality of Work - Q01,01/11/2019,03/01/2019,Agency Collected Judgement - ACJ,Yes,0.00,71,SCRIBNER AVE,,STATEN ISLAND,NY,10301,10302,,
J CAIAZZO MAINTENANCE,Misc Non-Food Retail - 817,Quality of Work - Q01,10/28/2019,11/25/2019,Goods Repaired - GRS,Yes,0.00,1381,UTICA AVE,,BROOKLYN,NY,11203,11210,,
QUALITY AUTO TECH INC.,Tow Truck Company - 124,,02/04/2020,04/03/2020,Cash Amount - AMT,Yes,50.00,1188,ROUTE 52,,WALDEN,NY,12586,11104,,
H & G ELECTRONICS INC,Electronic Store - 001,Defective Goods - D02,08/19/2019,08/29/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,837,CLARENCE AVE,,BRONX,NY,10465,10451,,
ALL STARS AUTO SALES INC.,Secondhand Dealer Auto - 005,Other - Z01,07/12/2019,08/08/2019,No Business Response - NVR,No,0.00,504,REMSEN AVE,,BROOKLYN,NY,11236,10302,-73.92124622027247,40.65393130589978
THE HOME DEPOT AT-HOME SERVICES INC,Home Improvement Contractor - 100,Breach of Warranty - B04,01/03/2020,02/13/2020,Cash Amount - AMT,Yes,6470.00,40,OSER AVE,STE 17,HAUPPAUGE,NY,11788,11365,,
VANILLA VISA GIFT CARD CUSTOMER SERVICE,Other,Misrepresentation - M01,01/14/2020,02/05/2020,Store Credit - SCR,Yes,100.00,PO BOX,P O BOX 826,,FORTSON,GA,31808,,,
JOULVERT ELECTRIC BICYCLES & SCOOTERS,Misc Non-Food Retail - 817,Defective Goods - D02,09/25/2019,10/22/2019,Consumer Took Action - CTA,No,0.00,354,BROOME ST,,NEW YORK,NY,10013,10021,,
NEW WAY HOME DECOR,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,09/30/2019,11/01/2019,Cash Amount - AMT,Yes,150.00,,,,,,,11210,-73.91624235071356,40.77287478977388
SAPPHIRE CONSTRUCTION & MAINTENANCE INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,11/26/2019,01/02/2020,Advised to Sue - ATS,No,0.00,230,HAMDEN AVE,,STATEN ISLAND,NY,10306,10307,-74.11568711501171,40.57490487005831
NEW YORK POST,Other,Surcharge/Overcharge - S02,10/21/2019,11/15/2019,Cash Amount - AMT,Yes,80.00,1211,AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,92562,,
EXOTIC FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,11/12/2019,01/03/2020,Advised to Sue - ATS,No,0.00,1370,SAINT NICHOLAS AVE,,NEW YORK,NY,10033,11354,,
JML AUTO GROUP LLC,Secondhand Dealer Auto - 005,,06/18/2019,07/16/2019,Referred to Outside - RTO,NA,0.00,2785,CONEY ISLAND AVE,,BROOKLYN,NY,11235,14420,-73.9604348350511,40.58855680269112
BARNEYS NEW YORK INC,Megastore - 821,Non-Delivery of Goods - N01,02/25/2020,03/02/2020,Consumer Took Action - CTA,No,0.00,660,MADISON AVE,,NEW YORK,NY,10065,10003,,
,Garage & Parking Lot - 098,Refund Policy - R01,01/16/2019,01/25/2019,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,17701,,
BAY RIDGE TOYOTA INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,08/07/2019,08/14/2019,Referred to Outside - RTO,NA,0.00,7500,W SIDE AVE,,NORTH BERGEN,NJ,07047,11232,,
CAPITAL COOPERATIVE CORPORATION,Home Improvement Contractor - 100,Quality of Work - Q01,09/25/2019,11/14/2019,Advised to Sue - ATS,No,0.00,5205,FLUSHING AVE,213,MASPETH,NY,11378,10025,,
UNION SUPPLY GROUP,Mailorder Misc - 319,Non-Delivery of Goods - N01,09/03/2019,09/23/2019,No Business Response - NVR,No,0.00,2301,E PACIFICA PL,,RANCHO DOMINGUEZ,CA,90220,12582,,
,Dealer In Products For The Disabled - 119,Defective Goods - D02,02/01/2019,02/20/2019,Referred to Outside - RTO,NA,0.00,,,,,,,10456,-73.92067048700686,40.81683752294695
"BARROW STREET GARAGE, LLC",Garage - 049,Damage / Estimate,01/08/2019,02/04/2019,Cash Amount - AMT,Yes,1235.00,21,BURNHAM CT,,SCOTCH PLAINS,NJ,07076,90068,-74.00220102247826,40.732916999439766
DEPENDABLE TOWING,Tow Truck Company - 124,,11/19/2019,12/27/2019,Cash Amount - AMT,Yes,206.00,,,,,,,11235,-73.99241702098571,40.592661350479844
ASSET RECOVERY SOLUTIONS LLC,Debt Collection Agency - 122,Billing Dispute - B02,11/20/2019,12/31/2019,Bill Reduced - BLR,Yes,5011.00,2200,E DEVON AVE,,DES PLAINES,IL,60018,11225,,
METROPOLITAN STORAGE CORP.,Garage - 049,Damage / Estimate,01/22/2020,02/04/2020,Goods Repaired - GRS,Yes,1154.00,545,5TH AVE,600,NEW YORK,NY,10017,10029,-73.94344364905606,40.78498466092544
