Application Type,Application Number,Processed Date,Approved Date,Project Name,Description,Street Number,Pre-direction,Street Name,Street Suffix,Post-direction,City,State,ZIP code,Work Location,WSSC Grid,Tax Map,Site Area,Proposed Disturbed Area,Current Zoning,Proposed Zoning,Current Land use,Proposed Land Use,Watershed,Tributary,Protection Area,State Water Use
SPECIAL PROTECTION AREA,239312,12/21/2010,05/17/2012,SHADY GROVE ADVENTIST HOSPITAL,PRELIMINARY WATER QUALITY,,,,,,,,,MEDICAL CENTER DRIVE,219NW9,FR53,39.1,39.1,LSC,LSC,HOSPITAL,HOSPITAL,WBR,,SPA-PB,SPA-PB
SPECIAL PROTECTION AREA,233949,06/30/2008,,ECO ESTATES,,1234,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,220NE01,JS561,13.0,6.1,RE-1,RE-1,RES,RES,PBR,LEFT FORK,SPA-UPB,III
SPECIAL PROTECTION AREA,205173,03/29/2002,06/07/2002,GREAT HOPE HOMES,Parcel A,1189,,GOOD HOPE,DR,,SILVER SPRING,MD,20905,,219NE01,JR563,11.5,0.5,,,,,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,282643,01/27/2017,10/03/2017,14911 Good Hope Road,,14911,,GOOD HOPE,RD,,SILVER SPRING,MD,20905,,,KS11,6.0,0.0,RE-2C,RE-2C,,,PBR,UNNAMED,SPA-UPB,SPA-UPB
SPECIAL PROTECTION AREA,202666,09/18/2000,02/02/2001,SNIDER'S ESTATES,,1100,,SNIDER,LN,,SILVER SPRING,MD,20905,,220NW01,JS561,8.1,6.2,RE-1,RE-1,RESIDENTIA,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,283720,03/09/2018,,,TEST PERMIT BY MR,,,,,,,,,TEST,,7676,5454.0,8787.0,EOF,GR,,,TMC,,,III
SPECIAL PROTECTION AREA,237572,04/02/2010,,RAINBOW DRIVE,,,,,,,,,,RAINBOW DRIVE (FROM SNIDER LANE TO BRIGGS CHANEY ROAD),220NE02,KS121,1.9,1.9,,,ROW,ROW,PBR,,,
SPECIAL PROTECTION AREA,204466,11/26/2001,05/13/2002,HUNT PROPERTY-MILES TRACT,,,,,,,,,,"SOUTH OF MILES RD, WEST OF COLUMBIA PIKE (MD RT. 29)",219NE3,KR343,48.2,20.0,PD-2,PD-2,,SF RESIDEN,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,209099,08/05/2003,12/03/2004,FRANKLIN PROPERTY-MILES TRACT,"Parcel 603, Lot 2.",2800,,DUVALL,RD,,BURTONSVILLE,MD,20866,,,KR43,1.7,0.4,R-200,R-200,RESIDENTIA,RESIDENTIA,PBR,,SPA-UPB,SPA-UPB
SPECIAL PROTECTION AREA,201549,08/14/2000,08/14/2000,CLARKSBURG MAINTENANCE DEPOT,,,,,,,,,,"SHAWNEE LANE, CLARKSBURG",231NW13,,9.2,1.6,,,,,GSC,,SPA-CB,
SPECIAL PROTECTION AREA,235362,03/11/2009,,ORCHARD RUN,"ORCHARD RUN - PARCEL P429 - NORTHWEST OF INTERSECTION OF RIDGE ROAD &amp; BRINK ROAD, GERMANTOWN, MD

ROUGH GRADING ONLY",,,,,,,,,"NORTHWEST OF INTERSECTION OF RIDGE ROAD & BRINK ROAD, GERMANTOWN, MD",230NW12,FV122,54.4,54.4,RE-2,PRC,AGRICULTUR,RESIDENTIA,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,215470,12/02/2004,03/02/2005,ISLAMIC SOCIETY OF WASHINGTON,Parcel 220.   SPA APPROVAL ARE NO LONGER VALID. See 224293.,2701,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,218NE03,KR342,5.3,0.8,RE-1,RE-1,RELIGIOUS,RELIGIOUS,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,204511,12/03/2001,,INTERCHANGE BRIGGS CHANEY & 29,Interchange @ US 29 & Briggs Chaney Rd,,,,,,,,,INTERSECTION OF US 29 & BRIGGS CHANEY RD AND INTERCHANGE @ INTERSECTION OF BRIGGS CHANEY RD & COLUMBIA PIKE,,,1.0,1.0,,,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,278015,08/03/2015,,,,13613,,LAKEWOOD,CT,,ROCKVILLE,MD,20850,,,,0.0,0.0,,,,,DSC,BUCKLODGE,I,I
SPECIAL PROTECTION AREA,232130,08/24/2007,,MONTGOMERY COUNTY ANIMAL SHELT,,7300,,AIRPARK,RD,,GAITHERSBURG,MD,20879,,225NW07,GT433,11.0,11.0,RE-1,RE-1,VACANT,ANIMAL,URC,,,
SPECIAL PROTECTION AREA,206165,07/08/2002,09/26/2002,NEUBURG PROPERTY,Lots 1 & 2/A,,,,,,,,,"LOTS 1 & 2/A, COUNTRYSIDE DRIVE",218NE3,KR22,3.0,1.2,R-200,R-200,,,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,207801,05/20/2003,09/08/2003,FAIRLAND HEIGHTS,"Lot 6/C
This was previously concept 207387 and changed to SPA",2414,,STARCREST,DR,,SILVER SPRING,MD,20904,,218NE3,KR342,0.6,0.2,R-200,R-200,RESIDENTIA,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,236470,08/25/2009,02/05/2010,CABIN BRANCH-GOSNELL,,,,,,,,,,CLARKSBURG ROAD CLARKSBURG MD 20871,,,6.0,6.0,MXPD,,VACANT,,LSC,16,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,242263,03/07/2012,,CLARKSBURG ELEMENTARY SCHOOL#1,,,,,,,,,,"12520 BLUE SKY DRIVE, CLARKSBURG",232NW12,EW51,9.3,10.4,R-200,R-200,VACANT,SCHOOL,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,202772,10/10/2000,11/06/2001,CARLTON PROPERTY,,,,,,,,,,"DUVALL ROAD, BURTONSVILLE",219NE3,KR343,2.9,1.6,R-200,R-200,RESIDENTIA,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,213293,07/06/2004,06/02/2005,COLESVILLE FARM ESTATES,Blocks D & F; Lot 10 & 11,,,,,,,,,911 & 1001 ORCHARD WAY,218NE01,JR62,3.2,1.0,RE-1,RE-1,RESIDENTIA,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,241081,09/20/2011,,GARNKIRK FARMS,,,,,,,,,,SHAWNEE LANE CLARKSBURG MD,13NW231,,37.0,31.0,,,,,LSC,,,
SPECIAL PROTECTION AREA,284326,11/09/2018,,SHADY GROVE LIFE SCIENCES CENTER,,9900,,MEDICAL CENTER,DR,,ROCKVILLE,MD,20850,,,,4.8,1.0,,,,,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,220578,09/13/2005,11/08/2005,SNOWDEN MANOR ENL/JACOT PROP,"Parcels 248, 249, 348",1601,,SPENCERVILLE,RD,,SPENCERVILLE,MD,20868,,221NE02,KS122,4.3,2.3,RE-1,RE-1,VACANT,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,242587,04/03/2012,05/02/2013,CABIN BRANCH-WINCHESTER 3,,,,,,,,,,"SOUTHWEST QUADRANT, INTERSECTION OF I-270 & CLARKSBURG ROAD",230NW13,EV23,29.0,29.0,MXPD,MXPD,VACANT,SFD,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,210219,10/15/2003,12/22/2004,BRIARCLIFF MEADOWS NORTH,Lots 1-10/A; Parcels A & B,,,,,,,,,"THOMPSON ROAD, PARCELS P624, P669 & P680",221NE2,KS122,11.6,7.5,RE-1,RE-1,COMERCIAL,RESIDENTIA,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,282780,03/01/2017,,BEALLS MANOR,,1220,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,,,2.5,0.8,,,nursery,nursery,PBR,LEFT FORK,SPA-UPB,III
SPECIAL PROTECTION AREA,230631,01/18/2007,,STABLER'S ADD TO SPENCERVILLE,Parcel P118; Lot 3; proposed 6 & 7,1313,,SPENCERVILLE,RD,,SILVER SPRING,MD,20905,,221NE02,KS12,3.2,0.5,,,,,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,204546,12/11/2001,,SOUTHERN ASIA ADVENTIST ASSOC,,,,,,,,,,S.E. QUADRANT INTERSECTION OF SPENCERVILLE RD & GOOD HOPE RD,221NE2,KS122,23.2,4.2,,,,,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,282558,12/28/2016,,Clarksburg Road @ MD 355,CIP Project: 508000,,,,,,,,,Clarksburg Road @ 355 Intersection Improvements/Clarksburg Road @ 355,,,3.5,0.0,,,Roadway,Roadway,LSC,TENMILE CR,SPA-CB,IV
SPECIAL PROTECTION AREA,212383,04/21/2004,10/27/2004,CLARKSBURG TOWN CENTER SCHOOL,School Site,,,,,,,,,CLARKSBURG & PIEDMONT ROADS,223NW13,EW,17.0,17.0,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,201446,07/19/2000,08/01/2001,WILLOW OAKS,,,,,,,,,,"TRAVILLAH ROAD, CROSS STONEBRIDGE DRIVE",219NW10,FR343,7.9,6.7,,,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,216220,02/10/2005,05/24/2005,REDLAND ESTATES/FRALEY PROP,SEE CONCEPT #204556 FOR HISTORICAL INFORMATION.  Lots 43-56/E; Parcel B,,,,,,,,,"INTERSECTION OF MUNCASTER MILL RD & MUNCASTER RD, PARCEL B",224NW07,GT42,5.7,2.3,R-10,R-10,RESIDENTIA,RESIDENTIA,URC,,,III
SPECIAL PROTECTION AREA,251712,03/21/2013,,NORTH BRANCH TRAIL - ROCK CREEK REG PARK,,5030,,MUNCASTER MILL,RD,,ROCKVILLE,MD,20853,,,HS21,668.1,10.1,,,PARK LAND,PARK LAND,URC,,,III
SPECIAL PROTECTION AREA,206230,07/17/2002,01/31/2008,UNIVERSITY OF MARYLAND CARB2,parcel P410,9600,,GUDELSKY,DR,,ROCKVILLE,MD,20850,,219NW9,FR343,45.3,3.9,,,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,222401,12/08/2005,,LUTHERAN CHURCH OF ST. ANDREW,Parcels 182 & 234,,,,,,,,,INTERSECTION OF NEW HAMPSHIRE AVE & NORWOOD RD,220NE01,JS561,12.8,10.0,,,,,NWB,,SPA-UPB,III
SPECIAL PROTECTION AREA,201078,04/26/2000,06/23/2000,HUNTING HILL WOODS,,14324,,TRAVILAH,RD,,ROCKVILLE,MD,20850,,,FR343,1.6,0.4,R-200,R-200,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,204424,11/13/2001,04/09/2002,HAN PROPERTY,Parcel 320,2721,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,218NE3,KR342,4.9,2.3,,,,,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,236850,10/29/2009,09/21/2010,CABIN BRANCH - TOLL 2,CABIN BRANCH TOLL 2,,,,,,,,,"WEST OLD BALTIMORE ROAD, I-270, AND CLARKSBURG ROAD",230NW14,EV-22,71.3,71.3,MXPD,MXPD,AGRICULTUR,RESIDENTIA,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,204115,08/30/2001,08/01/2002,MARTENS PROPERTY,Approval of Pre-application meeting & PWQP 3/5/02,22412,,FREDERICK,RD,,CLARKSBURG,MD,20871,,230NW12,EV43,103.1,91.0,R200/T,R200/T,,,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,201360,06/30/2000,08/28/2000,PINEY MEETINGHOUSE ROAD,,,,,,,,,,PINEY MEETINGHOUSE RD,,,3.9,3.9,,,ROADWAY,ROADWAY,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,284498,01/24/2019,,23301 SHILOH CHURCH RD,"Preliminary/Final Water Quality PlanCustomer Wants To Use ePlans,DEMOLITION AND REMOVAL OF A SINGLE FAMILY DWELLING, GARAGE/OUT BUILDING AND BARN. ALL DISTURBED AREAS WILL BE GRADED, SEEDED AND STRAWED. THERE WILL BE NO REBUILD OR NEW CONSTRUCTION. THERE WILL BE NO FEE REQUIRED (MNCPPC PROPERTY)",23301,,SHILOH CHURCH,RD,,BOYDS,MD,20841,,,561,45.0,0.5,R,R,,,TMC,,SPA-CB,IV
SPECIAL PROTECTION AREA,227839,08/17/2006,10/29/2007,TRAVILLE - DAY CARE,Parcel L,,,,,,,,,"TRAVILLE GATEWAY DRIVE, ROCKVILLE 20850 (PARCEL L)",219NW10,FR343,1.5,1.5,,,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,234680,10/14/2008,,MD121 & I-270 INTERCHAGE,FEES WERE ADJUSTED.  CREDIT WAS GIVEN FOR $2249.50 PAID TOWARD PERMIT #233043.  THE PERMIT SHOULD HAVE BEEN A SPECIAL PROTECTION AREA PERMIT.,,,,,,,,,"INTERSECTION OF MD 121 AND I-270, CLARKSBURG",232NW14,,14.8,0.0,,,URBAN,URBAN,,,,
SPECIAL PROTECTION AREA,232578,11/23/2007,07/31/2008,CHARLES L DUVALL FARM LOTS19-2,,2720,,DUVALL,RD,,BURTONSVILLE,MD,20866,,219NE03,KR343,2.4,0.5,R-200,R-200,RES,RES,PBR,UPPER SEC,SPA-UPB,III
SPECIAL PROTECTION AREA,282140,07/28/2016,,RICKMAN PROPERTY,,,,,,,,,,"[RICKMAN PROPERTY - SWM-C / PARCELS: P860 & P925]

WOODFIELD ROAD (MD RTE 124): Between the two intersections of Lindbergh Dr.",226NW07,GU341,6.0,0.0,IL,,,,URC,,III,III
SPECIAL PROTECTION AREA,204464,11/26/2001,,CLARKSBURG TOWN CTR EAST SIDE,"CLARKSBURG TOWN CENTER EAST SIDE - PIEDMONT ROAD & CLARKSBURG ROAD, CLARKSBURG, MD - REVISION TO FINAL WATER QUALITY PLAN PROCESSED ON 06/16/2008 - **ADMINISTRATIVE WAIVER REQUEST SUBMITTED ON 12/28/2010**",,,,,,,,,"STRINGTOWN ROAD, CLARKSBURG, MD",233NW13,EW,115.0,70.0,RMX-2,RMX-2,AGRIC,RES,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,231735,07/06/2007,01/10/2008,CLARKSBURG ROAD PHASE 3,,,,,,,,,,CLARKSBURG ROAD EASTLAND STA 20+13.27 TO 37+90 WESTLAND STA 21+31.89 TO 37+90,,,4.2,0.0,,,,,LBC,,SPA-CB,
SPECIAL PROTECTION AREA,232554,11/19/2007,02/21/2008,RIDGE VIEW ESTATES,RECONFIRMATION 9/28/2010,22630,,RIDGE,RD,,GERMANTOWN,MD,20876,,231NW11,FV123,2.5,1.5,R-200,R-200,RES,SUB,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,262735,03/25/2014,,Castle Cliff,,,,,,,,,,,,KR-13,7.3,0.7,,,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,270835,12/18/2014,,Dowden's Station,,,,,,,,,,"Dowden's Station Frederick Road / Clarksburg, MD 20841",232NW13,EW31,24.4,13.6,R-200,PD-5,,,LSC,UNNAMED,SPA-CB,IV
SPECIAL PROTECTION AREA,235121,01/26/2009,,FAIRLAND ELEMENTARY SCHOOL,,14315,,FAIRDALE,RD,,SILVER SPRING,MD,20905,,219NE03,KR33,0.0,2.1,R-200,R-200,SCHOOL,SCHOOL,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,203826,06/14/2001,11/27/2001,GUM SPRINGS POND & STREAM REST,,,,,,,,,,"END OF FIRESIDE DR &BART DR, SILVER SPRING",219NE2,KR13,48.8,3.4,R-200,R-200,OPEN,OPEN,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,213244,07/01/2004,07/13/2005,THE RESERVE AT FAIR HILL,"Parcels P420, P888, P249.",,,,,,,,,"INTERSECTION MD RT 108 & WICKHAM, PARCELS P420, P888, P249",,HU121,334.0,80.0,RE-2,RE-2,AGGRICULTU,RESIDENTIA,URC,,,III
SPECIAL PROTECTION AREA,223370,01/24/2006,02/21/2006,FAIRLAND ELEMENTARY SCHOOL,Parcel P675,14315,,FAIRDALE,RD,,SILVER SPRING,MD,20905,,218NE03,KR33,12.0,0.6,R-60,R-60,SCHOOL,SCHOOL,PBR,,SPA-UPB,SPA-UPB
SPECIAL PROTECTION AREA,238104,06/24/2010,,EDGEWOOD INN,,,,,,,,,,"NE OF INTERSECTION MD 198 & OAK HILL ROAD, SILVER SPRING, MD 20905",221NE2,KS-22,0.0,1.6,RE-1,RE-1,VACANT,COUNTRYINN,,,,
SPECIAL PROTECTION AREA,206920,11/08/2002,11/26/2002,NORTH GLEN HILLS,lots 13 & 14:  NEED 125.00 11/26/02,,,,,,,,,"1 & 2 BRATTON COURT, ROCKVILLE 20850",217NW2,FR341,2.3,1.1,,,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,237528,03/25/2010,,MAYDALE CONSERVATION PARK,,1638,,MAYDALE,DR,,SILVER SPRING,MD,20905,,220NE02,K521,19.0,2.0,,,PARK,PARK,,,,
SPECIAL PROTECTION AREA,224703,03/16/2006,06/05/2007,"GOOD HOPE,CAPE MAY,RAINBOW RDS","Sidewalks for Good Hope Rd, Cape May Rd & Rainbow Dr.",,,,,,,,,GOOD HOPE & CAPE MAY RD-SOUTH SIDE ROW FROM GOOD HOPE DR TO NH AVE. SOUTHSIDE RAINBOW DR-FROM GOOD HOPE TO SNIDER LA.,219NE01,,1.4,1.4,,,ROAD R-O-W,SIDEWALK,PBR,LEFT FORK,SPA-UPB,III
SPECIAL PROTECTION AREA,204351,10/25/2001,12/06/2002,PARKSIDE,"Lots 1-29/A; 1-5/B, Parcel A-E Outlot A",,,,,,,,,"CLARKSBURG RD, 1/2 MILE EAST OF MD 355",233NW13,EW32,11.6,10.6,,,,,LBC,,SPA-CB,
SPECIAL PROTECTION AREA,203639,05/02/2001,08/14/2001,SPENCERVILLE ACADEMY,"7.9 acres in SPA.  Revision submitted 11/03/06
Revision submitted on 03/14/2008.",16325,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20905,,221NE3,KS32,31.0,16.0,RE-1,RE-1,UNDEV,SCHOOL,PBR,,SPA-UPB,
SPECIAL PROTECTION AREA,228521,09/27/2006,,AVALON SCHOOL,"Parcels P700, P765, P801",22821,,FREDERICK,RD,,CLARKSBURG,MD,20871,,232NW13,EW41,10.3,10.0,R-200,R-200,RESIDENTIA,SCHOOL,LSC,,SPA-CB,I
SPECIAL PROTECTION AREA,282287,09/13/2016,,Clarksburg Road Improvement,,,,,,,,,,Clarksburg Road,,,5.7,5.7,,,Roadway,Roadway,LRC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,236690,09/25/2009,,CABIN BRANCH-WINCHESTER PHAS,,,,,,,,,,"WEST OLD BALTIMORE, I-270 AND CLARKSBURG",231NW13,FU562,9.2,9.2,MXPD,MXPD,AGRICULT,AGRICULT,LSC,,,
SPECIAL PROTECTION AREA,232920,01/22/2008,02/05/2008,PINEY GLEN FARMS LOT 22,,12308,,PINEY GLEN,LN,,POTOMAC,MD,20854,,216NW11,FO123,5.0,0.9,RE-2,RE-2,RESIDENT,RESIDENT,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,284491,01/22/2019,02/26/2019,23701 CLARKSBURG RD,"Customer Wants To Use ePlans,This submittal is for the proposed demolition of the building, shed, walkway and gravel driveway.",23701,,CLARKSBURG,RD,,CLARKSBURG,MD,20871,,,342,0.5,0.2,CR,CR,,,CLB,,SPA-CB,IV
SPECIAL PROTECTION AREA,202944,11/20/2000,01/08/2001,"HORIZON HILLS, LOTS 45 & 46",Water Quality Inventory,,,,,,,,,"RED BARN LANE, POTOMAC 20854",216NW10,FQ123,4.0,1.9,RE-2,RE-2,RESIDENTIA,RESIDENTIA,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,212351,04/20/2004,06/02/2005,BANNEKER MIDDLE SCHOOL,Block E,14800,,PERRYWOOD,DR,,BURTONSVILLE,MD,20866,,219NE03,KR43,19.9,0.9,R-200,R-200,SCHOOL,SCHOOL,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,228661,10/04/2006,11/02/2006,MCCORMICKS ADD TO HORIZON HILL,"Parcel 923, lot 1",10600,,RED BARN,LN,,POTOMAC,MD,20854,,216NW10,FQ33,5.0,0.5,,,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,206255,07/19/2002,06/02/2005,STRINGTOWN RD EXTENDED,,,,,,,,,,STRINGTOWN ROAD FROM MD 355 TO I-270,232,EW,17.2,17.2,,,,,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,218749,06/06/2005,11/03/2006,MITCHELL PROPERTY,Proposed Lots 1-19; Original approval 5/11/06. Revision submitted 7/11/06,,,,,,,,,"PEACH ORCHARD ROAD, SILVER SPRING, 20905, PROPOSED LOTS 1-19",200NE02,KS121,36.0,16.5,RE-1,RE-1,VACANT,RESID,PBR,,SPA-UPB,SPA-UPB
SPECIAL PROTECTION AREA,256273,08/27/2013,,HARDINGS SUBD - OUTLOT E,CONVERT OUTLOT E INTO A BUILDABLE LOT FOR A SFD THROUGH THE SUBDIVISION PROCESS (SPA PRELIMINARY WATER QUALITY PLA AND SPA FINAL WATER QUALITY PLAN),2608,,SAGEBRUSH,TER,,SILVER SPRING,MD,20905,,218NE03,KR42,0.9,0.4,R-200,R-200,RESIDENT,UNIMPROVED,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,217923,04/29/2005,,CLARKSBURG VILLAGE-PHASE II,,,,,,,,,,BOUND BY RIDGE RD (EAST); LITTLE SENECA CR (WEST); GREENWAY VILLAGE PROPERTY (NORTH),231NW12,EV/FV,402.0,270.0,,,,,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,204116,08/30/2001,10/23/2001,CAMP PROPERTY,Parcel 514 & 516,1201,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,,220NE1,JS561,5.7,0.7,RE-2C,RE-2C,RESIDENTIA,RESIDENTIA,PBR,GUM S,SPA-UPB,III
SPECIAL PROTECTION AREA,233947,06/30/2008,09/21/2010,STRINGTOWN ROAD PH 3B,,,,,,,,,,STRINGTOWN ROAD STATION 47+95.11 (SNOWDEN FARM PARKWAY) TO STATION 43+25,,,1.1,1.1,,,,,LBC,,SPA-CB,
SPECIAL PROTECTION AREA,258336,11/04/2013,,Clarksburg Square Road Extension,,23329,,FREDERICK,RD,,CLARKSBURG,MD,20871,,232NW13,EW42,1.1,1.2,,,,roadway,LSC,,SPA-CB,SPA-CB
SPECIAL PROTECTION AREA,283647,02/09/2018,,BRIGGS CHANEY ESTATES,"Preliminary/Final Water Quality Plan 

Customer Wants To Use ePlans,Land to be subdivided into one lot to construct one single family detached dwellingXXX",1105,,BRIGGS CHANEY,RD,,SILVER SPRING,MD,20905,"0000 briggs chaney RD

silver spring, MD 20905",,,4.6,4.6,RE-2C,RE-2C,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,203193,01/31/2001,03/14/2001,TRAVILLE-BIOMED REALTY TRUST,RECONFIRMATION SUBMITTED ON 12/23/2010,,,,,,,,,"SHADY GROVE ROAD, NORTH OF HGS BLDG, ROCKVILLE, MD",219NW10,FR342,18.2,7.5,MXN,MXN,,,WBR,,SPA-PB,
SPECIAL PROTECTION AREA,205477,05/24/2002,06/02/2005,SHADY GROVE ADVENTIST HOSPITAL,Parcel 4A,,,,,,,,,"MEDICAL CENTER DRIVE, ROCKVILLE",219NW9,FR53,25.3,8.5,,,,,WBR,,SPA-PB,I
SPECIAL PROTECTION AREA,223702,02/08/2006,12/15/2009,CABIN BRANCH-WINCHESTER 1,,,,,,,,,,"WEST OLD BALTIMORE ROAD, I-270 & CLARKSBURG ROAD",230NW13,EV562,38.2,0.0,,,VACANT,SFD,LSC,,SPA-CB,
SPECIAL PROTECTION AREA,283257,08/24/2017,,CABIN BRANCH SUBSTATION,SPA Prelimary/Final Water Quality Plan,,,,,,,,,Clarksburg Road,,,0.7,0.6,,,,,TMC,TENMILE CR,SPA-CB,IV
SPECIAL PROTECTION AREA,200789,02/24/2000,06/20/2000,SINES PROPERTY,,,,,,,,,,CORNER OF THOMPSON RD & PEACH ORCHARD RD IN SPENCERVILLE,,KS341,2.5,0.3,RE-1,RE-1,RESID,RESID,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,204118,08/30/2001,10/18/2001,GOOD HOPE COMMUNITY CENTER,Spray Park,14715,,GOOD HOPE,RD,,SILVER SPRING,MD,20905,,,,7.0,0.2,,,PARK,PARK,PBR,GUM S,SPA-UPB,III
SPECIAL PROTECTION AREA,279955,10/06/2015,,NEEDWOOD ROAD BIKE PATH/TRAIL,,5900,,MUNCASTER MILL,RD,,WASHINGTON GROVE,MD,,,,,0.4,0.0,,,,,,,,
SPECIAL PROTECTION AREA,285033,06/25/2019,,MAR THOMA CHURCH OF GREATER WASHINGTON,"Preliminary/Final Water Quality PlanCustomer Wants To Use ePlans,Zoned RE-2; Prop. construction includes a church, a parsonage, driveway, parking &amp; amenities.",15400,,NEW HAMPSHIRE,AVE,,SILVER SPRING,MD,20905,,,562,11.0,3.8,RE-1,RE-1,,,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,212724,05/19/2004,03/30/2007,TAPESTRY,REVISION 1: Parcel: P090 (02-00022108); Parcel: P250 (02-00018152); Parcel: P430 (02-00018163); Submitted 06/25/2019.&nbsp; ePlan review requested.,,,,,,,,,NW & SW QUADRANT OF INTERSECTION OF RTE 355 & WEST OLD BALTIMORE RD,230NW12,EV562,30.0,30.3,R-200,R-200,VACANT,RESIDENTIA,LSC,,SPA-CB,IV
SPECIAL PROTECTION AREA,285360,09/10/2019,,BOWIE MILL ROAD BIKE FACILITY,"Preliminary/Final Water Quality Plan Zoning is R-200/RE-1/RE-2/RNC. Tax Maps GT561,562, HT122, 123 ,343. Customer wants to use ePlans.",,,,,,,,,The project will establish bike facilities via an 8 to 10 foot wide path along the 3.3 mile length of Bowie Mill Rd from Olney-Laytonsville Rd (MD 108) to Muncaster Mill Rd (MD 115) and the 0.1-mile segment of MD 115 from Bowie Mill Rd to the existing bike path on Needwood Rd.,,561,22.7,15.7,RE-1,RE-1,,,URC,,,III
SPECIAL PROTECTION AREA,284605,03/01/2019,,COLUMBIA LOCAL PARK RENOVATION,"PRELIMINARY/FINAL WATER QUALITY PLANCustomer Wants To Use ePlans,Reconstruction of the existing poor condition paved court areas for re-purposing for new uses. The existing asphalt is to be removed and the existing aggregate sub-base left in place with wedge and level to achieve new grades and placement of new paving.",14900,,OLD COLUMBIA,PIKE,,BURTONSVILLE,MD,20866,,,00269,22.0,2.3,RE-1,RE-1,Parkland,Parkland,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,285258,08/01/2019,,GOOD HOPE ROAD SIDE PATH,"Preliminary/Final Water Quality PlanCustomer Wants To Use ePlans,Tax maps KS121, KS122. Zoning RE-1, RE-2C, R-200",,,,,,,,,"The project consists of proposed improvements to install an 8-foot wide shared-use path in order to establish bicycle facilities along the 0.9-mile long portion of Good Hope Road, from Windmill Lane to Rainbow Drive in Silver Spring, Maryland.",,121,3.0,3.0,RE-1,RE-1,Roadway,Roadway,PBR,,SPA-UPB,III
SPECIAL PROTECTION AREA,285790,02/05/2020,,GARNKIRK / Adventist Healthcare,"Customer Wants To Use ePlans,Preliminary Water Quality Plan for development of mixed use senior housing neighborhood in Cabin Branch Subdivision.",13601,W,OLD BALTIMORE,RD,,BOYDS,MD,20841,,,32,60.2,42.8,MXPD,MXPD,,,CLB,,,I
